"MoneyLeadersFallSeries_RANKTHISWEEK_2009","MoneyLeadersFallSeries_RANKLASTWEEK_2009","MoneyLeadersFallSeries_PLAYERNAME_2009","MoneyLeadersFallSeries_EVENTS_2009","MoneyLeadersFallSeries_MONEY_2009","MoneyLeadersFallSeries_YTDVICTORIES_2009","stat_name","year"
1,1,"Matt Kuchar",24,1193700,7001,"MoneyLeadersFallSeries",2009
2,2,"Troy Matteson",30,941455,5001,"MoneyLeadersFallSeries",2009
3,3,"Stephen Ames",23,889250,7001,"MoneyLeadersFallSeries",2009
4,4,"Martin Laird",24,872250,9001,"MoneyLeadersFallSeries",2009
5,5,"George McNeill",26,783200,9000,"MoneyLeadersFallSeries",2009
6,6,"Vaughn Taylor",28,659000,2000,"MoneyLeadersFallSeries",2009
7,7,"Rickie Fowler",6,571090,6012000,"MoneyLeadersFallSeries",2009
8,8,"Tim Petrovic",31,539800,5000,"MoneyLeadersFallSeries",2009
9,9,"Justin Leonard",26,491700,7000,"MoneyLeadersFallSeries",2009
10,10,"Jamie Lovemark",5,440000,4500000,"MoneyLeadersFallSeries",2009
11,11,"Chad Campbell",26,396016,7000,"MoneyLeadersFallSeries",2009
12,12,"Nick OHern",27,371456,9000,"MoneyLeadersFallSeries",2009
13,13,"Leif Olson",21,348000,7000,"MoneyLeadersFallSeries",2009
14,14,"Justin Rose",22,308800,5000,"MoneyLeadersFallSeries",2009
15,15,"Jimmy Walker",24,300850,9000,"MoneyLeadersFallSeries",2009
16,16,"DA Points",29,289865,5000,"MoneyLeadersFallSeries",2009
17,17,"Nicholas Thompson",31,266728,12000,"MoneyLeadersFallSeries",2009
18,18,"Webb Simpson",30,252700,7000,"MoneyLeadersFallSeries",2009
19,19,"Ryan Moore",27,248700,7000,"MoneyLeadersFallSeries",2009
20,20,"Tim Clark",23,246230,7000,"MoneyLeadersFallSeries",2009
20,20,"Bill Lunde",27,246230,2000,"MoneyLeadersFallSeries",2009
22,22,"Bo Van Pelt",30,234522,7000,"MoneyLeadersFallSeries",2009
23,23,"John Senden",29,228000,10000,"MoneyLeadersFallSeries",2009
24,24,"Jeff Klauk",29,207658,10000,"MoneyLeadersFallSeries",2009
25,25,"Tom Pernice Jr",26,202598,10000,"MoneyLeadersFallSeries",2009
26,26,"Chris Stroud",28,201129,11000,"MoneyLeadersFallSeries",2009
27,27,"Mathias Gronberg",13,197528,5000,"MoneyLeadersFallSeries",2009
28,28,"Ben Crane",27,197400,7000,"MoneyLeadersFallSeries",2009
28,28,"Scott Piercy",28,197400,5000,"MoneyLeadersFallSeries",2009
30,30,"Harrison Frazar",28,195930,2000,"MoneyLeadersFallSeries",2009
31,31,"DJ Trahan",30,194898,5000,"MoneyLeadersFallSeries",2009
32,32,"Carl Pettersson",29,188685,12000,"MoneyLeadersFallSeries",2009
