"Percentageofpotentialmoneywon_RANKTHISWEEK_2016","Percentageofpotentialmoneywon_RANKLASTWEEK_2016","Percentageofpotentialmoneywon_PLAYERNAME_2016","Percentageofpotentialmoneywon_EVENTS_2016","Percentageofpotentialmoneywon_Pct_2016","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2016","Percentageofpotentialmoneywon_POTENTIALMONEY_2016","stat_name","year"
1,1,"Danny Willett",5,37.58,2832959,7538000,"Percentageofpotentialmoneywon",2016
2,2,"Adam Scott",10,32.99,4457723,13514000,"Percentageofpotentialmoneywon",2016
3,3,"Jason Day",9,30.33,3671728,12106000,"Percentageofpotentialmoneywon",2016
4,4,"Bubba Watson",8,24.02,2708050,11274000,"Percentageofpotentialmoneywon",2016
5,5,"Jordan Spieth",9,22.32,2772926,12426000,"Percentageofpotentialmoneywon",2016
6,6,"Rafa Cabrera Bello",4,20.38,1276400,6264000,"Percentageofpotentialmoneywon",2016
7,8,"Louis Oosthuizen",6,17.87,1565987,8762000,"Percentageofpotentialmoneywon",2016
8,9,"Dustin Johnson",9,17.11,2138399,12498000,"Percentageofpotentialmoneywon",2016
9,10,"Lee Westwood",4,16.41,992000,6044000,"Percentageofpotentialmoneywon",2016
10,11,"Ross Fisher",2,16.18,488500,3020000,"Percentageofpotentialmoneywon",2016
11,13,"Russell Knox",14,16.03,2851401,17790000,"Percentageofpotentialmoneywon",2016
12,15,"Brandt Snedeker",14,15.96,2781610,17434000,"Percentageofpotentialmoneywon",2016
13,12,"Hideki Matsuyama",12,15.87,2521510,15890000,"Percentageofpotentialmoneywon",2016
14,7,"Brian Stuard",8,15.79,1330095,8424000,"Percentageofpotentialmoneywon",2016
15,17,"Charl Schwartzel",8,15.28,1691136,11066000,"Percentageofpotentialmoneywon",2016
16,20,"Branden Grace",9,15.01,1811831,12074000,"Percentageofpotentialmoneywon",2016
17,22,"Rory McIlroy",9,14.63,1797505,12290000,"Percentageofpotentialmoneywon",2016
18,16,"Kevin Kisner",14,14.42,2578280,17880000,"Percentageofpotentialmoneywon",2016
19,23,"Phil Mickelson",11,14.39,2078037,14436000,"Percentageofpotentialmoneywon",2016
20,19,"Patrick Reed",14,14.32,2606490,18204000,"Percentageofpotentialmoneywon",2016
21,21,"Graeme McDowell",11,14.14,1951528,13798000,"Percentageofpotentialmoneywon",2016
22,14,"Henrik Stenson",8,14.04,1523332,10850000,"Percentageofpotentialmoneywon",2016
23,25,"Kevin Na",14,13.27,2366915,17834000,"Percentageofpotentialmoneywon",2016
24,26,"Rickie Fowler",12,13.15,2104653,16008000,"Percentageofpotentialmoneywon",2016
25,24,"Justin Thomas",15,12.48,2370087,18996000,"Percentageofpotentialmoneywon",2016
26,41,"Justin Rose",10,11.99,1616066,13482000,"Percentageofpotentialmoneywon",2016
27,30,"Martin Flores",1,11.67,86100,738000,"Percentageofpotentialmoneywon",2016
28,27,"Kevin Chappell",14,11.3,1826976,16164000,"Percentageofpotentialmoneywon",2016
29,28,"JB Holmes",10,10.73,1445482,13474000,"Percentageofpotentialmoneywon",2016
30,34,"Smylie Kaufman",16,10.68,2075937,19432000,"Percentageofpotentialmoneywon",2016
31,29,"Jason Bohn",11,10.45,1285104,12294000,"Percentageofpotentialmoneywon",2016
32,31,"Vaughn Taylor",11,10.27,1349030,13140000,"Percentageofpotentialmoneywon",2016
33,37,"Charley Hoffman",14,10.24,1809883,17676000,"Percentageofpotentialmoneywon",2016
34,167,"James Hahn",15,10.15,1785362,17596000,"Percentageofpotentialmoneywon",2016
35,38,"Sergio Garcia",8,10.07,1132022,11246000,"Percentageofpotentialmoneywon",2016
36,33,"Emiliano Grillo",13,9.97,1672678,16782000,"Percentageofpotentialmoneywon",2016
37,32,"Bill Haas",12,9.93,1530880,15418000,"Percentageofpotentialmoneywon",2016
38,34,"Ryan Moore",11,9.68,1366724,14112000,"Percentageofpotentialmoneywon",2016
39,18,"Bobby Wyatt",3,9.62,346488,3600000,"Percentageofpotentialmoneywon",2016
40,43,"Fabian Gomez",15,9.44,1764526,18694000,"Percentageofpotentialmoneywon",2016
41,36,"Byeong Hun An",7,9.24,937245,10148000,"Percentageofpotentialmoneywon",2016
42,42,"Jason Dufner",15,9.13,1697599,18594000,"Percentageofpotentialmoneywon",2016
43,39,"Jamie Lovemark",17,9.1,1724684,18954000,"Percentageofpotentialmoneywon",2016
44,40,"Jim Herman",17,8.61,1725923,20052000,"Percentageofpotentialmoneywon",2016
45,45,"Brooks Koepka",11,8.15,1166516,14320000,"Percentageofpotentialmoneywon",2016
46,46,"Kiradech Aphibarnrat",5,7.99,604950,7574000,"Percentageofpotentialmoneywon",2016
47,44,"Charles Howell III",17,7.93,1543694,19476000,"Percentageofpotentialmoneywon",2016
48,48,"William McGirt",15,7.78,1259553,16200000,"Percentageofpotentialmoneywon",2016
49,128,"Roberto Castro",16,7.59,1358047,17892000,"Percentageofpotentialmoneywon",2016
50,49,"Jimmy Walker",12,7.57,1173945,15508000,"Percentageofpotentialmoneywon",2016
51,47,"Paul Casey",11,7.35,1081199,14702000,"Percentageofpotentialmoneywon",2016
52,51,"KJ Choi",14,7.29,1140314,15642000,"Percentageofpotentialmoneywon",2016
53,50,"Patton Kizzire",16,7.24,1330013,18360000,"Percentageofpotentialmoneywon",2016
54,52,"Matthew Fitzpatrick",7,6.81,662851,9734000,"Percentageofpotentialmoneywon",2016
55,53,"Billy Horschel",12,6.8,1041108,15318000,"Percentageofpotentialmoneywon",2016
56,56,"David Lingmerth",15,6.61,1258057,19032000,"Percentageofpotentialmoneywon",2016
57,57,"Soren Kjeldsen",5,6.54,495095,7574000,"Percentageofpotentialmoneywon",2016
58,59,"Matt Kuchar",12,6.5,968034,14904000,"Percentageofpotentialmoneywon",2016
59,60,"Rafael Campos",2,6.47,114200,1764000,"Percentageofpotentialmoneywon",2016
60,61,"Rodolfo Cazaubon",3,6.46,185904,2880000,"Percentageofpotentialmoneywon",2016
61,62,"Freddie Jacobson",16,6.39,1104532,17280000,"Percentageofpotentialmoneywon",2016
62,58,"Tony Finau",15,6.28,1043893,16614000,"Percentageofpotentialmoneywon",2016
63,54,"Luke Donald",13,6.22,907334,14594000,"Percentageofpotentialmoneywon",2016
64,55,"Jason Kokrak",17,6.14,1168113,19026000,"Percentageofpotentialmoneywon",2016
65,68,"Brendan Steele",14,6.09,984591,16164000,"Percentageofpotentialmoneywon",2016
66,64,"Zach Johnson",12,5.98,892035,14914000,"Percentageofpotentialmoneywon",2016
67,63,"Peter Malnati",19,5.97,1230589,20620000,"Percentageofpotentialmoneywon",2016
