"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2016","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2016","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2016","ofPotentialPtswonFedExCupRegularSeason_Pct_2016","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2016","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2016","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2016","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2016","stat_name","year"
1,1,"Adam Scott",10,38.31,1782,4650,2,4,"ofPotentialPtswonFedExCupRegularSeason",2016
2,2,"Jason Day",9,35.12,1440,4100,2,5,"ofPotentialPtswonFedExCupRegularSeason",2016
3,3,"Danny Willett",5,29.95,644,2150,1,1,"ofPotentialPtswonFedExCupRegularSeason",2016
4,4,"Bubba Watson",8,28.58,1043,3650,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
5,5,"Jordan Spieth",9,27.28,1132,4150,1,4,"ofPotentialPtswonFedExCupRegularSeason",2016
6,7,"Charl Schwartzel",8,21.98,802,3650,1,2,"ofPotentialPtswonFedExCupRegularSeason",2016
7,8,"Dustin Johnson",9,20.79,863,4150,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2016
8,9,"Branden Grace",9,20.77,862,4150,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
9,10,"Louis Oosthuizen",6,20.5,543,2650,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
10,11,"Brandt Snedeker",14,19.69,1300,6600,1,5,"ofPotentialPtswonFedExCupRegularSeason",2016
11,12,"Russell Knox",14,19.54,1300,6650,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
12,6,"Henrik Stenson",8,19.24,693,3600,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
13,14,"Hideki Matsuyama",12,18.66,1054,5650,1,4,"ofPotentialPtswonFedExCupRegularSeason",2016
14,17,"Graeme McDowell",11,17.81,909,5100,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
15,13,"Kevin Kisner",14,17.78,1182,6650,1,4,"ofPotentialPtswonFedExCupRegularSeason",2016
16,16,"Patrick Reed",14,17.45,1161,6650,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2016
17,19,"Phil Mickelson",11,17.06,870,5100,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
18,18,"Kevin Na",14,16.99,1130,6650,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2016
19,20,"Rickie Fowler",12,16.61,938,5650,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2016
20,21,"Rory McIlroy",9,16.57,688,4150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
21,15,"Brian Stuard",8,15.9,573,3600,1,1,"ofPotentialPtswonFedExCupRegularSeason",2016
22,23,"Sergio Garcia",8,15.47,565,3650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
23,22,"Justin Thomas",15,14.7,1051,7150,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
24,35,"Justin Rose",10,14.46,665,4600,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2016
25,27,"Smylie Kaufman",16,13.77,1019,7400,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
26,29,"Charley Hoffman",14,13.34,881,6600,1,1,"ofPotentialPtswonFedExCupRegularSeason",2016
27,25,"Emiliano Grillo",13,13.18,810,6150,1,1,"ofPotentialPtswonFedExCupRegularSeason",2016
28,24,"Bill Haas",12,13.03,730,5600,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
29,26,"JB Holmes",10,12.95,596,4600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
30,28,"Kevin Chappell",14,12.76,893,7000,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
31,32,"Jason Dufner",15,12.43,882,7100,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
32,34,"Fabian Gomez",15,12.23,869,7100,1,3,"ofPotentialPtswonFedExCupRegularSeason",2016
33,33,"Vaughn Taylor",11,11.8,566,4800,1,1,"ofPotentialPtswonFedExCupRegularSeason",2016
34,30,"Ryan Moore",11,11.62,587,5050,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2016
35,31,"Jason Bohn",11,11.45,607,5300,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
36,37,"Brooks Koepka",11,10.48,535,5100,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
37,127,"James Hahn",15,10.27,770,7500,1,2,"ofPotentialPtswonFedExCupRegularSeason",2016
38,36,"Jamie Lovemark",17,10.12,840,8300,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2016
39,39,"Jimmy Walker",12,10.05,563,5600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
40,38,"Jim Herman",17,9.8,784,8000,1,2,"ofPotentialPtswonFedExCupRegularSeason",2016
41,40,"Paul Casey",11,9.38,483,5150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
42,42,"Billy Horschel",12,9.34,523,5600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
43,41,"Charles Howell III",17,9.01,766,8500,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
43,43,"Matt Kuchar",12,9.01,505,5600,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
45,44,"William McGirt",15,8.97,637,7100,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2016
46,46,"Patton Kizzire",16,8.65,679,7850,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2016
47,48,"David Lingmerth",15,8.57,613,7150,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
48,47,"Tony Finau",15,8.47,619,7300,1,2,"ofPotentialPtswonFedExCupRegularSeason",2016
49,49,"Scott Piercy",12,8.42,476,5650,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2016
50,97,"Roberto Castro",16,8.31,648,7800,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2016
51,50,"KJ Choi",14,8.27,562,6800,NA,2,"ofPotentialPtswonFedExCupRegularSeason",2016
