"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2009","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2009","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2009","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2009","ofPotentialPtswonFedExCupPlayoffs_Pct_2009","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2009","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2009","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2009","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2009","stat_name","year"
1,1,"Tiger Woods",17,52.65,5265,10000,1,3,"ofPotentialPtswonFedExCupPlayoffs",2009
2,2,"Steve Stricker",22,40.38,4038,10000,1,3,"ofPotentialPtswonFedExCupPlayoffs",2009
3,3,"Phil Mickelson",18,29.8,2980,10000,1,1,"ofPotentialPtswonFedExCupPlayoffs",2009
4,4,"Heath Slocum",30,29.05,2905,10000,1,1,"ofPotentialPtswonFedExCupPlayoffs",2009
5,5,"Padraig Harrington",20,26.75,2675,10000,NA,4,"ofPotentialPtswonFedExCupPlayoffs",2009
6,6,"Jim Furyk",23,23.58,2358,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2009
7,7,"Sean OHair",23,21.5,2150,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2009
8,8,"Scott Verplank",24,20.2,2020,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2009
9,9,"Marc Leishman",28,17.35,1735,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
10,10,"Jason Dufner",26,16.93,1693,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
11,11,"Ernie Els",19,15,1500,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2009
12,12,"Zach Johnson",26,12.85,1285,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
13,13,"Dustin Johnson",25,12.78,1278,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
14,14,"Steve Marino",29,11.8,1180,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
15,15,"Sergio Garcia",17,11.7,878,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
16,16,"Kevin Na",26,11.6,1160,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
17,17,"Bill Haas",29,11.03,827,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
18,18,"Brandt Snedeker",26,10.9,818,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
19,19,"Matt Kuchar",24,10.79,810,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
20,20,"Nick Watney",24,10.71,1071,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
21,21,"Angel Cabrera",17,10.11,1011,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
22,22,"Kenny Perry",24,9.75,975,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
23,23,"John Senden",29,9.45,945,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
24,24,"Freddie Jacobson",25,8.92,669,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
25,25,"Mike Weir",24,8.9,890,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
26,26,"Retief Goosen",20,8.72,872,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
27,27,"Jerry Kelly",26,8.5,850,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
28,28,"David Toms",27,8.46,846,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
29,29,"Ian Poulter",17,8.33,625,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
30,30,"Jason Day",18,8.18,613,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
31,31,"Luke Donald",21,8.05,805,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
32,32,"Troy Matteson",30,8,400,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
33,33,"Geoff Ogilvy",20,7.95,795,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
34,34,"Mark Wilson",28,7.86,590,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
35,35,"Hunter Mahan",25,7.85,785,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
36,36,"Kevin Sutherland",27,7.77,583,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
37,37,"Justin Leonard",26,7.1,533,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
38,38,"Stewart Cink",22,6.93,693,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
39,39,"Stephen Ames",23,6.8,510,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
40,40,"Brian Gay",27,6.61,661,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
41,41,"Robert Allenby",21,6.4,480,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
42,42,"Webb Simpson",30,6.23,468,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
43,43,"Anthony Kim",22,6.17,463,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
43,43,"Bubba Watson",24,6.17,463,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
45,45,"Greg Owen",30,6.15,308,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
46,46,"Bo Van Pelt",30,6.03,453,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
47,47,"Camilo Villegas",21,6,450,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
48,48,"Charley Hoffman",27,5.73,430,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
49,49,"YE Yang",23,5.63,563,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
50,50,"Charlie Wi",28,5.57,418,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
51,51,"DA Points",29,5.55,278,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
52,52,"Tim Clark",23,5.53,415,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
53,53,"Lucas Glover",26,5.28,528,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
54,54,"Paul Goydos",25,5.27,395,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2009
55,55,"Lee Janzen",23,4.95,248,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
56,56,"Kevin Streelman",29,4.8,240,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
57,57,"Chad Campbell",26,4.53,340,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
58,58,"Chris Riley",22,4.5,113,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
59,59,"Justin Rose",22,4.25,213,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
59,59,"Boo Weekley",22,4.25,213,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
61,61,"Davis Love III",27,4.2,315,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
62,62,"Pat Perez",22,4.17,313,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
63,63,"Jonathan Byrd",25,4.1,308,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
64,64,"Jeff Overton",28,3.76,282,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
65,65,"Richard Johnson",26,3.65,182,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
66,66,"Ben Crane",27,3.59,269,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
67,67,"Charles Howell III",29,3.53,265,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
68,68,"John Mallinger",27,3.5,263,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
68,68,"Rory Sabbatini",25,3.5,263,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
70,70,"Harrison Frazar",28,3.3,83,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
71,71,"Jason Bohn",25,3.27,245,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
72,72,"Greg Chalmers",26,3.05,153,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
72,72,"Scott McCarron",27,3.05,153,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
72,72,"Scott Piercy",28,3.05,153,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
75,75,"Woody Austin",24,3,225,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
75,75,"Bryce Molder",21,3,225,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
77,77,"Brian Davis",32,2.97,223,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2009
