"FedExCupPointsperEventLeaders_RANKTHISWEEK_2010","FedExCupPointsperEventLeaders_RANKLASTWEEK_2010","FedExCupPointsperEventLeaders_PLAYERNAME_2010","FedExCupPointsperEventLeaders_EVENTS_2010","FedExCupPointsperEventLeaders_POINTSPEREVENT_2010","FedExCupPointsperEventLeaders_TOTALPOINTS_2010","stat_name","year"
1,1,"Ernie Els",16,115.357,1845.713,"FedExCupPointsperEventLeaders",2010
2,2,"Steve Stricker",15,113.144,1697.167,"FedExCupPointsperEventLeaders",2010
3,3,"Anthony Kim",11,110.534,1215.87,"FedExCupPointsperEventLeaders",2010
4,4,"Phil Mickelson",16,101.809,1628.95,"FedExCupPointsperEventLeaders",2010
5,5,"Jim Furyk",18,93.937,1690.873,"FedExCupPointsperEventLeaders",2010
6,6,"Justin Rose",18,88.479,1592.627,"FedExCupPointsperEventLeaders",2010
7,7,"Rory McIlroy",13,84.71,1101.23,"FedExCupPointsperEventLeaders",2010
8,8,"Bubba Watson",18,83.241,1498.333,"FedExCupPointsperEventLeaders",2010
9,9,"Hunter Mahan",20,76.385,1527.7,"FedExCupPointsperEventLeaders",2010
10,10,"Paul Casey",13,76.306,991.972,"FedExCupPointsperEventLeaders",2010
11,11,"Camilo Villegas",16,75.839,1213.42,"FedExCupPointsperEventLeaders",2010
12,12,"Tim Clark",19,74.18,1409.416,"FedExCupPointsperEventLeaders",2010
13,13,"Dustin Johnson",19,71.668,1361.694,"FedExCupPointsperEventLeaders",2010
14,14,"Retief Goosen",15,71.228,1068.417,"FedExCupPointsperEventLeaders",2010
15,15,"Jeff Overton",22,69.841,1536.496,"FedExCupPointsperEventLeaders",2010
16,16,"Robert Allenby",17,68.759,1168.896,"FedExCupPointsperEventLeaders",2010
17,17,"Matt Kuchar",21,68.44,1437.23,"FedExCupPointsperEventLeaders",2010
18,18,"Luke Donald",16,68.036,1088.583,"FedExCupPointsperEventLeaders",2010
19,19,"Ben Crane",20,65.186,1303.717,"FedExCupPointsperEventLeaders",2010
20,20,"Ian Poulter",12,61.115,733.38,"FedExCupPointsperEventLeaders",2010
21,21,"Zach Johnson",20,59.557,1191.13,"FedExCupPointsperEventLeaders",2010
22,22,"Adam Scott",16,58.764,940.23,"FedExCupPointsperEventLeaders",2010
23,23,"Bo Van Pelt",22,57.832,1272.31,"FedExCupPointsperEventLeaders",2010
24,24,"JB Holmes",20,57.652,1153.044,"FedExCupPointsperEventLeaders",2010
25,25,"Geoff Ogilvy",15,54.319,814.785,"FedExCupPointsperEventLeaders",2010
26,26,"Corey Pavin",8,54.063,432.5,"FedExCupPointsperEventLeaders",2010
27,27,"Rickie Fowler",22,52.134,1146.944,"FedExCupPointsperEventLeaders",2010
28,28,"Nick Watney",19,51.772,983.663,"FedExCupPointsperEventLeaders",2010
29,29,"Bill Haas",20,51.236,1024.722,"FedExCupPointsperEventLeaders",2010
30,30,"KJ Choi",18,51.235,922.222,"FedExCupPointsperEventLeaders",2010
31,31,"Ryan Palmer",21,51.02,1071.41,"FedExCupPointsperEventLeaders",2010
32,32,"Jason Day",20,49.4,988,"FedExCupPointsperEventLeaders",2010
33,33,"Jason Bohn",19,48.743,926.122,"FedExCupPointsperEventLeaders",2010
34,34,"Tiger Woods",9,47.87,430.83,"FedExCupPointsperEventLeaders",2010
35,35,"Carl Pettersson",24,47.594,1142.25,"FedExCupPointsperEventLeaders",2010
36,36,"Freddie Jacobson",18,45.893,826.073,"FedExCupPointsperEventLeaders",2010
37,37,"Ryan Moore",20,44.635,892.707,"FedExCupPointsperEventLeaders",2010
38,38,"Sean OHair",20,42.91,858.193,"FedExCupPointsperEventLeaders",2010
39,39,"Padraig Harrington",16,41.38,662.084,"FedExCupPointsperEventLeaders",2010
40,40,"Scott Verplank",19,41.362,785.87,"FedExCupPointsperEventLeaders",2010
41,41,"Vaughn Taylor",20,41.187,823.73,"FedExCupPointsperEventLeaders",2010
42,42,"Ricky Barnes",23,41.177,947.08,"FedExCupPointsperEventLeaders",2010
43,43,"Brendon de Jonge",26,39.812,1035.1,"FedExCupPointsperEventLeaders",2010
44,44,"Shaun Micheel",15,39.667,595,"FedExCupPointsperEventLeaders",2010
45,45,"Kevin Na",21,38.297,804.24,"FedExCupPointsperEventLeaders",2010
46,46,"Heath Slocum",19,38.014,722.27,"FedExCupPointsperEventLeaders",2010
47,47,"YE Yang",18,37.67,678.063,"FedExCupPointsperEventLeaders",2010
48,48,"David Toms",20,37.411,748.222,"FedExCupPointsperEventLeaders",2010
49,49,"Lucas Glover",20,37.142,742.833,"FedExCupPointsperEventLeaders",2010
50,50,"Stuart Appleby",26,36.818,957.276,"FedExCupPointsperEventLeaders",2010
51,51,"Dean Wilson",12,36.167,434,"FedExCupPointsperEventLeaders",2010
52,52,"Stewart Cink",19,35.684,678,"FedExCupPointsperEventLeaders",2010
53,53,"Bryce Molder",21,35.604,747.69,"FedExCupPointsperEventLeaders",2010
54,54,"Brandt Snedeker",23,35.341,812.853,"FedExCupPointsperEventLeaders",2010
55,55,"Marc Leishman",21,35.159,738.333,"FedExCupPointsperEventLeaders",2010
56,56,"Charlie Wi",20,34.487,689.73,"FedExCupPointsperEventLeaders",2010
57,57,"Charles Howell III",22,33.919,746.226,"FedExCupPointsperEventLeaders",2010
58,58,"Michael Sim",17,33.734,573.473,"FedExCupPointsperEventLeaders",2010
59,59,"Steve Marino",19,33.472,635.96,"FedExCupPointsperEventLeaders",2010
60,60,"Angel Cabrera",16,32.775,524.4,"FedExCupPointsperEventLeaders",2010
61,61,"Brian Davis",24,32.542,781,"FedExCupPointsperEventLeaders",2010
62,62,"Brian Gay",23,31.047,714.083,"FedExCupPointsperEventLeaders",2010
63,63,"Rory Sabbatini",20,30.898,617.95,"FedExCupPointsperEventLeaders",2010
64,64,"Sergio Garcia",15,30.729,460.934,"FedExCupPointsperEventLeaders",2010
65,65,"Tom Watson",3,30.5,91.5,"FedExCupPointsperEventLeaders",2010
66,66,"Stephen Ames",18,30.458,548.25,"FedExCupPointsperEventLeaders",2010
67,67,"John Rollins",21,30.18,633.79,"FedExCupPointsperEventLeaders",2010
68,68,"Steve Elkington",19,30.031,570.584,"FedExCupPointsperEventLeaders",2010
69,69,"Fred Couples",7,29.643,207.5,"FedExCupPointsperEventLeaders",2010
70,70,"Matt Jones",22,29.415,647.138,"FedExCupPointsperEventLeaders",2010
71,71,"Vijay Singh",20,29.398,587.961,"FedExCupPointsperEventLeaders",2010
72,72,"Kenny Perry",19,29.214,555.067,"FedExCupPointsperEventLeaders",2010
73,73,"Tom Lehman",7,29.135,203.944,"FedExCupPointsperEventLeaders",2010
74,74,"Charley Hoffman",19,28.744,546.137,"FedExCupPointsperEventLeaders",2010
75,75,"Chris Riley",18,28.417,511.5,"FedExCupPointsperEventLeaders",2010
76,76,"Jason Dufner",22,28.055,617.2,"FedExCupPointsperEventLeaders",2010
77,77,"DJ Trahan",21,27.491,577.306,"FedExCupPointsperEventLeaders",2010
78,78,"Garrett Willis",19,27.23,517.373,"FedExCupPointsperEventLeaders",2010
79,79,"Paul Goydos",22,27.143,597.14,"FedExCupPointsperEventLeaders",2010
80,80,"Spencer Levin",24,26.896,645.5,"FedExCupPointsperEventLeaders",2010
81,81,"Henrik Stenson",12,26.775,321.3,"FedExCupPointsperEventLeaders",2010
82,82,"Justin Leonard",21,26.47,555.861,"FedExCupPointsperEventLeaders",2010
83,83,"Tom Gillis",21,26.357,553.5,"FedExCupPointsperEventLeaders",2010
84,84,"Andres Romero",16,26.118,417.89,"FedExCupPointsperEventLeaders",2010
85,85,"Pat Perez",21,25.412,533.643,"FedExCupPointsperEventLeaders",2010
86,86,"Greg Chalmers",22,25.349,557.667,"FedExCupPointsperEventLeaders",2010
87,87,"Aaron Baddeley",19,25.323,481.13,"FedExCupPointsperEventLeaders",2010
88,88,"Chad Campbell",22,25.033,550.73,"FedExCupPointsperEventLeaders",2010
89,89,"Davis Love III",19,25.015,475.28,"FedExCupPointsperEventLeaders",2010
90,90,"Kevin Sutherland",20,24.929,498.583,"FedExCupPointsperEventLeaders",2010
91,91,"Jimmy Walker",23,24.104,554.4,"FedExCupPointsperEventLeaders",2010
92,92,"JJ Henry",25,23.924,598.1,"FedExCupPointsperEventLeaders",2010
93,93,"Robert Garrigus",16,23.849,381.585,"FedExCupPointsperEventLeaders",2010
94,94,"DA Points",23,23.645,543.833,"FedExCupPointsperEventLeaders",2010
95,95,"Chris Couch",20,23.581,471.61,"FedExCupPointsperEventLeaders",2010
96,96,"Blake Adams",22,23.348,513.666,"FedExCupPointsperEventLeaders",2010
97,97,"JP Hayes",19,23.108,439.06,"FedExCupPointsperEventLeaders",2010
98,98,"Kris Blanks",24,23.067,553.612,"FedExCupPointsperEventLeaders",2010
99,99,"Boo Weekley",23,22.858,525.726,"FedExCupPointsperEventLeaders",2010
100,100,"Paul Stankowski",13,22.753,295.783,"FedExCupPointsperEventLeaders",2010
101,101,"Martin Laird",21,22.71,476.92,"FedExCupPointsperEventLeaders",2010
102,102,"Nick OHern",11,22.494,247.43,"FedExCupPointsperEventLeaders",2010
103,103,"Chad Collins",23,22.267,512.13,"FedExCupPointsperEventLeaders",2010
104,104,"Tim Petrovic",24,22.17,532.083,"FedExCupPointsperEventLeaders",2010
