"StrokesGainedPutting_RANKTHISWEEK_2007","StrokesGainedPutting_RANKLASTWEEK_2007","StrokesGainedPutting_PLAYERNAME_2007","StrokesGainedPutting_ROUNDS_2007","StrokesGainedPutting_AVERAGE_2007","StrokesGainedPutting_TOTALPUTTSGAINED_2007","StrokesGainedPutting_MEASUREDROUNDS_2007","stat_name","year"
1,1,"Jesper Parnevik",88,0.974,73.022,75,"StrokesGainedPutting",2007
2,2,"Tim Clark",66,0.77,40.816,53,"StrokesGainedPutting",2007
3,3,"Tiger Woods",63,0.712,30.615,43,"StrokesGainedPutting",2007
4,4,"Zach Johnson",76,0.656,39.387,60,"StrokesGainedPutting",2007
5,5,"Dean Wilson",92,0.632,47.431,75,"StrokesGainedPutting",2007
6,6,"Aaron Baddeley",83,0.628,41.433,66,"StrokesGainedPutting",2007
7,7,"Rory Sabbatini",81,0.62,39.06,63,"StrokesGainedPutting",2007
8,8,"Freddie Jacobson",70,0.609,41.42,68,"StrokesGainedPutting",2007
9,9,"Tag Ridings",52,0.607,27.303,45,"StrokesGainedPutting",2007
10,10,"Bob Estes",88,0.596,47.651,80,"StrokesGainedPutting",2007
11,11,"KJ Choi",87,0.586,39.818,68,"StrokesGainedPutting",2007
12,12,"Brandt Snedeker",105,0.553,47.518,86,"StrokesGainedPutting",2007
13,13,"Chris Tidland",59,0.543,27.687,51,"StrokesGainedPutting",2007
14,14,"Ryuji Imada",104,0.489,43.516,89,"StrokesGainedPutting",2007
15,15,"George McNeill",95,0.488,39.021,80,"StrokesGainedPutting",2007
16,16,"Craig Lile",77,0.486,33.54,69,"StrokesGainedPutting",2007
17,17,"Jose Maria Olazabal",52,0.478,17.702,37,"StrokesGainedPutting",2007
18,18,"Stewart Cink",91,0.462,33.282,72,"StrokesGainedPutting",2007
19,19,"Luke Donald",69,0.441,22.046,50,"StrokesGainedPutting",2007
20,20,"Rich Barcelo",80,0.437,30.599,70,"StrokesGainedPutting",2007
21,21,"Arron Oberholser",69,0.428,22.694,53,"StrokesGainedPutting",2007
22,22,"Parker McLachlin",83,0.416,30.373,73,"StrokesGainedPutting",2007
23,23,"Charlie Wi",90,0.413,34.282,83,"StrokesGainedPutting",2007
24,24,"Brian Gay",107,0.389,37.767,97,"StrokesGainedPutting",2007
25,25,"Kevin Na",84,0.388,30.297,78,"StrokesGainedPutting",2007
26,26,"Shigeki Maruyama",84,0.386,30.882,80,"StrokesGainedPutting",2007
27,27,"Tim Petrovic",106,0.363,34.527,95,"StrokesGainedPutting",2007
28,28,"Joe Ogilvie",102,0.354,30.785,87,"StrokesGainedPutting",2007
28,28,"Steve Stricker",81,0.354,23.003,65,"StrokesGainedPutting",2007
30,30,"Gavin Coles",87,0.336,25.885,77,"StrokesGainedPutting",2007
31,31,"Charles Howell III",89,0.333,21.969,66,"StrokesGainedPutting",2007
32,32,"Steve Elkington",87,0.319,23.3,73,"StrokesGainedPutting",2007
33,33,"Nathan Green",103,0.317,27.567,87,"StrokesGainedPutting",2007
34,34,"Jonathan Byrd",73,0.307,19.02,62,"StrokesGainedPutting",2007
35,35,"Dicky Pride",71,0.303,18.477,61,"StrokesGainedPutting",2007
36,36,"Paul Goydos",60,0.298,13.988,47,"StrokesGainedPutting",2007
37,37,"Michael Sim",52,0.296,14.789,50,"StrokesGainedPutting",2007
37,37,"Henrik Stenson",52,0.296,10.67,36,"StrokesGainedPutting",2007
39,39,"Chris Riley",59,0.287,14.631,51,"StrokesGainedPutting",2007
40,40,"Tom Pernice Jr",104,0.278,23.355,84,"StrokesGainedPutting",2007
41,41,"David Toms",80,0.265,16.721,63,"StrokesGainedPutting",2007
42,42,"Sergio Garcia",68,0.263,14.447,55,"StrokesGainedPutting",2007
42,42,"Padraig Harrington",64,0.263,12.114,46,"StrokesGainedPutting",2007
