"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2011","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2011","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2011","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2011","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2011","stat_name","year"
1,1,"Rory McIlroy",10,818,"NonWGCFedExCupSeasonPointsforNonMembers",2011
2,2,"Darren Clarke",3,600,"NonWGCFedExCupSeasonPointsforNonMembers",2011
3,3,"Lee Westwood",10,454,"NonWGCFedExCupSeasonPointsforNonMembers",2011
4,4,"Anders Hansen",7,258,"NonWGCFedExCupSeasonPointsforNonMembers",2011
5,5,"Edoardo Molinari",12,209,"NonWGCFedExCupSeasonPointsforNonMembers",2011
6,6,"Peter Hanson",12,205,"NonWGCFedExCupSeasonPointsforNonMembers",2011
7,7,"Martin Kaymer",10,204,"NonWGCFedExCupSeasonPointsforNonMembers",2011
8,8,"Adam Hadwin",3,190,"NonWGCFedExCupSeasonPointsforNonMembers",2011
9,9,"Bud Cauley",6,181,"NonWGCFedExCupSeasonPointsforNonMembers",2011
10,10,"KT Kim",9,179,"NonWGCFedExCupSeasonPointsforNonMembers",2011
11,11,"Thomas Bjorn",5,150,"NonWGCFedExCupSeasonPointsforNonMembers",2011
12,12,"Alvaro Quiros",8,147,"NonWGCFedExCupSeasonPointsforNonMembers",2011
13,13,"Matteo Manassero",8,101,"NonWGCFedExCupSeasonPointsforNonMembers",2011
14,14,"Simon Dyson",3,100,"NonWGCFedExCupSeasonPointsforNonMembers",2011
15,15,"Ross Fisher",8,98,"NonWGCFedExCupSeasonPointsforNonMembers",2011
15,15,"Seung Yul Noh",6,98,"NonWGCFedExCupSeasonPointsforNonMembers",2011
17,17,"Raphael Jacquelin",2,94,"NonWGCFedExCupSeasonPointsforNonMembers",2011
18,18,"Francesco Molinari",11,92,"NonWGCFedExCupSeasonPointsforNonMembers",2011
19,19,"Sam Saunders",8,91,"NonWGCFedExCupSeasonPointsforNonMembers",2011
20,20,"Miguel Angel Jimenez",7,91,"NonWGCFedExCupSeasonPointsforNonMembers",2011
21,21,"Ryo Ishikawa",10,87,"NonWGCFedExCupSeasonPointsforNonMembers",2011
22,22,"Johan Edfors",2,82,"NonWGCFedExCupSeasonPointsforNonMembers",2011
23,23,"Robert Rock",2,76,"NonWGCFedExCupSeasonPointsforNonMembers",2011
24,24,"Morgan Hoffmann",4,70,"NonWGCFedExCupSeasonPointsforNonMembers",2011
25,25,"Hiroyuki Fujita",7,68,"NonWGCFedExCupSeasonPointsforNonMembers",2011
26,26,"Erik Compton",6,67,"NonWGCFedExCupSeasonPointsforNonMembers",2011
27,27,"Yuta Ikeda",9,62,"NonWGCFedExCupSeasonPointsforNonMembers",2011
28,28,"George Coetzee",1,61,"NonWGCFedExCupSeasonPointsforNonMembers",2011
28,28,"Pablo Larrazabal",3,61,"NonWGCFedExCupSeasonPointsforNonMembers",2011
30,30,"Alexander Noren",4,55,"NonWGCFedExCupSeasonPointsforNonMembers",2011
31,31,"Richard Green",4,54,"NonWGCFedExCupSeasonPointsforNonMembers",2011
32,32,"Gregory Havret",3,49,"NonWGCFedExCupSeasonPointsforNonMembers",2011
33,33,"Do Hoon Kim",1,37,"NonWGCFedExCupSeasonPointsforNonMembers",2011
34,34,"Gary Boyd",1,31,"NonWGCFedExCupSeasonPointsforNonMembers",2011
34,34,"Simon Khan",1,31,"NonWGCFedExCupSeasonPointsforNonMembers",2011
36,36,"Sangmoon Bae",2,28,"NonWGCFedExCupSeasonPointsforNonMembers",2011
37,37,"Mathias Gronberg",1,26,"NonWGCFedExCupSeasonPointsforNonMembers",2011
38,38,"Josh Broadaway",1,25,"NonWGCFedExCupSeasonPointsforNonMembers",2011
39,39,"WC Liang",2,24,"NonWGCFedExCupSeasonPointsforNonMembers",2011
39,39,"Drew Weaver",2,24,"NonWGCFedExCupSeasonPointsforNonMembers",2011
41,41,"Gregory Bourdy",2,21,"NonWGCFedExCupSeasonPointsforNonMembers",2011
41,41,"Floris De Vries",1,21,"NonWGCFedExCupSeasonPointsforNonMembers",2011
41,41,"Richard McEvoy",1,21,"NonWGCFedExCupSeasonPointsforNonMembers",2011
44,44,"Mathew Goggin",1,20,"NonWGCFedExCupSeasonPointsforNonMembers",2011
45,45,"Jose Manuel Lara",1,20,"NonWGCFedExCupSeasonPointsforNonMembers",2011
46,46,"Alejandro Canizares",2,17,"NonWGCFedExCupSeasonPointsforNonMembers",2011
47,47,"Todd Fischer",2,16,"NonWGCFedExCupSeasonPointsforNonMembers",2011
48,48,"Julian Etulain",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2011
48,48,"Sal Spallone",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2011
50,50,"Steve Allan",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2011
51,51,"Troy Kelly",1,12,"NonWGCFedExCupSeasonPointsforNonMembers",2011
52,52,"Fredrik Andersson Hed",2,12,"NonWGCFedExCupSeasonPointsforNonMembers",2011
52,52,"Stephen Gallacher",3,12,"NonWGCFedExCupSeasonPointsforNonMembers",2011
54,54,"Mike Small",5,11,"NonWGCFedExCupSeasonPointsforNonMembers",2011
55,55,"Marcel Siem",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2011
56,56,"Billy Hurley III",3,8,"NonWGCFedExCupSeasonPointsforNonMembers",2011
57,57,"Joost Luiten",2,7,"NonWGCFedExCupSeasonPointsforNonMembers",2011
57,57,"Matthew Millar",1,7,"NonWGCFedExCupSeasonPointsforNonMembers",2011
59,59,"Bob May",2,6,"NonWGCFedExCupSeasonPointsforNonMembers",2011
60,60,"Paul Lawrie",1,5,"NonWGCFedExCupSeasonPointsforNonMembers",2011
61,61,"Patrick Reed",2,3,"NonWGCFedExCupSeasonPointsforNonMembers",2011
62,62,"Will Claxton",1,3,"NonWGCFedExCupSeasonPointsforNonMembers",2011
63,63,"Christo Greyling",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2011
63,63,"Kenichi Kuboya",1,2,"NonWGCFedExCupSeasonPointsforNonMembers",2011
65,65,"Michio Matsumura",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
66,66,"Kenneth Ferrie",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
67,67,"Wes Heffernan",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
67,67,"Junggon Hwang",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
69,69,"Brad Fritsch",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
70,70,"Dustin Risdon",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
71,71,"Dave Schultz",1,1,"NonWGCFedExCupSeasonPointsforNonMembers",2011
72,72,"Alex Aragon",2,NA,"NonWGCFedExCupSeasonPointsforNonMembers",2011
