"FedExCupStandings_RANKTHISWEEK_2015","FedExCupStandings_RANKLASTWEEK_2015","FedExCupStandings_PLAYERNAME_2015","FedExCupStandings_EVENTS_2015","FedExCupStandings_POINTS_2015","FedExCupStandings_OFWINS_2015","FedExCupStandings_OFTOP10S_2015","FedExCupStandings_POINTSBEHINDLEAD_2015","FedExCupStandings_RESETPOINTS_2015","stat_name","year"
1,1,"Jordan Spieth",25,3800,5,15,NA,1800,"FedExCupStandings",2015
2,2,"Henrik Stenson",16,2307,NA,8,1493,1440,"FedExCupStandings",2015
3,3,"Jason Day",20,2290,5,11,1510,2000,"FedExCupStandings",2015
4,4,"Rickie Fowler",21,1838,2,7,1962,1600,"FedExCupStandings",2015
5,5,"Bubba Watson",19,1680,2,10,2120,1280,"FedExCupStandings",2015
6,6,"Zach Johnson",25,1450,1,10,2350,1120,"FedExCupStandings",2015
7,7,"Dustin Johnson",21,1360,1,11,2440,960,"FedExCupStandings",2015
8,8,"Justin Rose",20,1235,1,8,2565,368,"FedExCupStandings",2015
9,9,"Danny Lee",36,1123,1,8,2677,256,"FedExCupStandings",2015
10,10,"Charley Hoffman",28,992,1,7,2808,800,"FedExCupStandings",2015
11,11,"Daniel Berger",31,878,NA,6,2922,640,"FedExCupStandings",2015
12,12,"Patrick Reed",27,656,1,4,3144,480,"FedExCupStandings",2015
13,13,"Paul Casey",24,632,NA,8,3168,232,"FedExCupStandings",2015
14,14,"JB Holmes",25,618,1,7,3182,288,"FedExCupStandings",2015
15,15,"Rory McIlroy",12,602,2,7,3198,384,"FedExCupStandings",2015
16,16,"Hideki Matsuyama",25,558,NA,9,3242,320,"FedExCupStandings",2015
16,16,"Jimmy Walker",24,558,2,6,3242,352,"FedExCupStandings",2015
18,18,"Robert Streb",30,542,1,9,3258,336,"FedExCupStandings",2015
19,19,"Matt Kuchar",25,530,NA,7,3270,240,"FedExCupStandings",2015
20,20,"Steven Bowditch",32,454,1,2,3346,216,"FedExCupStandings",2015
21,21,"Kevin Kisner",30,444,NA,6,3356,272,"FedExCupStandings",2015
22,22,"Scott Piercy",28,432,1,5,3368,248,"FedExCupStandings",2015
23,23,"Brandt Snedeker",27,416,1,8,3384,224,"FedExCupStandings",2015
24,24,"Brooks Koepka",23,414,1,8,3386,208,"FedExCupStandings",2015
25,25,"Kevin Na",27,410,NA,7,3390,192,"FedExCupStandings",2015
26,26,"Sangmoon Bae",30,390,1,5,3410,184,"FedExCupStandings",2015
27,27,"Bill Haas",25,380,1,5,3420,200,"FedExCupStandings",2015
28,28,"Harris English",29,360,NA,3,3440,168,"FedExCupStandings",2015
29,29,"Jim Furyk",19,304,1,7,3496,304,"FedExCupStandings",2015
30,30,"Louis Oosthuizen",20,176,NA,6,3624,176,"FedExCupStandings",2015
31,31,"Daniel Summerhays",29,1501,NA,5,5469,NA,"FedExCupStandings",2015
32,32,"Justin Thomas",30,1498,NA,7,5472,NA,"FedExCupStandings",2015
33,33,"Matt Jones",25,1445,NA,4,5525,NA,"FedExCupStandings",2015
34,34,"Russell Knox",28,1435,NA,3,5535,NA,"FedExCupStandings",2015
35,35,"Ben Martin",27,1417,1,5,5553,NA,"FedExCupStandings",2015
36,36,"Cameron Tringale",28,1390,NA,3,5580,NA,"FedExCupStandings",2015
37,37,"David Lingmerth",28,1387,1,4,5583,NA,"FedExCupStandings",2015
38,38,"Ryan Palmer",22,1386,NA,5,5584,NA,"FedExCupStandings",2015
39,39,"Ryan Moore",24,1374,1,4,5596,NA,"FedExCupStandings",2015
40,40,"Jason Bohn",27,1373,NA,6,5597,NA,"FedExCupStandings",2015
41,41,"Gary Woodland",24,1300,NA,4,5670,NA,"FedExCupStandings",2015
42,42,"Sean OHair",26,1293,NA,3,5677,NA,"FedExCupStandings",2015
43,43,"Tony Finau",31,1293,NA,5,5677,NA,"FedExCupStandings",2015
44,44,"Chris Kirk",21,1291,1,3,5679,NA,"FedExCupStandings",2015
45,45,"Pat Perez",26,1287,NA,2,5683,NA,"FedExCupStandings",2015
46,46,"Brendon Todd",27,1279,NA,4,5691,NA,"FedExCupStandings",2015
47,47,"Brendon de Jonge",31,1228,NA,3,5742,NA,"FedExCupStandings",2015
48,48,"Webb Simpson",22,1213,NA,5,5757,NA,"FedExCupStandings",2015
49,49,"Hunter Mahan",24,1208,NA,4,5762,NA,"FedExCupStandings",2015
50,50,"Brendan Steele",24,1204,NA,4,5766,NA,"FedExCupStandings",2015
51,51,"James Hahn",28,1202,1,2,5768,NA,"FedExCupStandings",2015
52,52,"Kevin Chappell",26,1186,NA,2,5784,NA,"FedExCupStandings",2015
53,53,"Sergio Garcia",15,1177,NA,4,5793,NA,"FedExCupStandings",2015
54,54,"Shawn Stefani",26,1171,NA,3,5799,NA,"FedExCupStandings",2015
55,55,"David Hearn",30,1152,NA,4,5818,NA,"FedExCupStandings",2015
56,56,"Troy Merritt",29,1148,1,3,5822,NA,"FedExCupStandings",2015
57,57,"Brian Harman",29,1135,NA,3,5835,NA,"FedExCupStandings",2015
58,58,"Nick Watney",28,1135,NA,3,5835,NA,"FedExCupStandings",2015
59,59,"Zac Blair",34,1126,NA,2,5844,NA,"FedExCupStandings",2015
60,60,"Keegan Bradley",24,1103,NA,3,5867,NA,"FedExCupStandings",2015
61,61,"Phil Mickelson",19,1091,NA,3,5879,NA,"FedExCupStandings",2015
62,62,"George McNeill",27,1086,NA,1,5884,NA,"FedExCupStandings",2015
63,63,"Russell Henley",24,1072,NA,4,5898,NA,"FedExCupStandings",2015
64,64,"Fabian Gomez",26,1069,1,2,5901,NA,"FedExCupStandings",2015
65,65,"Rory Sabbatini",25,1064,NA,4,5906,NA,"FedExCupStandings",2015
66,66,"Billy Horschel",28,1051,NA,2,5919,NA,"FedExCupStandings",2015
67,67,"Ian Poulter",19,981,NA,4,5989,NA,"FedExCupStandings",2015
68,68,"Jerry Kelly",24,966,NA,4,6004,NA,"FedExCupStandings",2015
69,69,"William McGirt",30,955,NA,1,6015,NA,"FedExCupStandings",2015
70,70,"Bryce Molder",26,875,NA,2,6095,NA,"FedExCupStandings",2015
71,71,"Alex Cejka",30,859,1,1,6111,NA,"FedExCupStandings",2015
72,72,"Marc Leishman",23,854,NA,4,6116,NA,"FedExCupStandings",2015
73,73,"John Senden",24,848,NA,3,6122,NA,"FedExCupStandings",2015
74,74,"Jim Herman",27,840,NA,2,6130,NA,"FedExCupStandings",2015
75,75,"Kevin Streelman",27,840,NA,2,6130,NA,"FedExCupStandings",2015
76,76,"Boo Weekley",24,830,NA,6,6140,NA,"FedExCupStandings",2015
77,77,"Carl Pettersson",32,809,NA,3,6161,NA,"FedExCupStandings",2015
78,78,"Kyle Reifers",31,804,NA,2,6166,NA,"FedExCupStandings",2015
79,79,"Charles Howell III",30,792,NA,3,6178,NA,"FedExCupStandings",2015
80,80,"Luke Donald",20,782,NA,2,6188,NA,"FedExCupStandings",2015
