"ConsecutiveBirdiesStreak_RANKTHISWEEK_2016","ConsecutiveBirdiesStreak_RANKLASTWEEK_2016","ConsecutiveBirdiesStreak_PLAYERNAME_2016","ConsecutiveBirdiesStreak_EVENTS_2016","ConsecutiveBirdiesStreak_NUMBEROFHOLES_2016","stat_name","year"
1,1,"Daniel Berger",15,8,"ConsecutiveBirdiesStreak",2016
2,2,"Fabian Gomez",15,7,"ConsecutiveBirdiesStreak",2016
3,3,"Billy Horschel",12,6,"ConsecutiveBirdiesStreak",2016
3,3,"Matt Jones",15,6,"ConsecutiveBirdiesStreak",2016
3,3,"Brooks Koepka",11,6,"ConsecutiveBirdiesStreak",2016
3,3,"Matt Kuchar",12,6,"ConsecutiveBirdiesStreak",2016
3,3,"David Lingmerth",15,6,"ConsecutiveBirdiesStreak",2016
3,3,"William McGirt",15,6,"ConsecutiveBirdiesStreak",2016
3,3,"Ryan Moore",11,6,"ConsecutiveBirdiesStreak",2016
3,3,"Jeff Overton",17,6,"ConsecutiveBirdiesStreak",2016
3,3,"Cameron Smith",14,6,"ConsecutiveBirdiesStreak",2016
3,3,"Jhonattan Vegas",14,6,"ConsecutiveBirdiesStreak",2016
13,13,"Stuart Appleby",13,5,"ConsecutiveBirdiesStreak",2016
13,13,"Ryan Blaum",1,5,"ConsecutiveBirdiesStreak",2016
13,13,"Steven Bowditch",14,5,"ConsecutiveBirdiesStreak",2016
13,13,"Bud Cauley",6,5,"ConsecutiveBirdiesStreak",2016
13,13,"Ben Crane",17,5,"ConsecutiveBirdiesStreak",2016
13,13,"Jason Dufner",15,5,"ConsecutiveBirdiesStreak",2016
13,13,"Harris English",15,5,"ConsecutiveBirdiesStreak",2016
13,13,"Brian Harman",18,5,"ConsecutiveBirdiesStreak",2016
13,13,"Charley Hoffman",14,5,"ConsecutiveBirdiesStreak",2016
13,13,"Mark Hubbard",20,5,"ConsecutiveBirdiesStreak",2016
13,13,"Smylie Kaufman",16,5,"ConsecutiveBirdiesStreak",2016
13,13,"DH Lee",13,5,"ConsecutiveBirdiesStreak",2016
13,13,"Marc Leishman",12,5,"ConsecutiveBirdiesStreak",2016
13,13,"Spencer Levin",19,5,"ConsecutiveBirdiesStreak",2016
13,13,"Andrew Loupe",16,5,"ConsecutiveBirdiesStreak",2016
13,13,"Ben Martin",14,5,"ConsecutiveBirdiesStreak",2016
13,13,"Lee McCoy",1,5,"ConsecutiveBirdiesStreak",2016
13,13,"Graeme McDowell",11,5,"ConsecutiveBirdiesStreak",2016
13,13,"Troy Merritt",14,5,"ConsecutiveBirdiesStreak",2016
13,13,"Scott Piercy",12,5,"ConsecutiveBirdiesStreak",2016
13,13,"John Senden",15,5,"ConsecutiveBirdiesStreak",2016
13,13,"Brendan Steele",14,5,"ConsecutiveBirdiesStreak",2016
13,13,"Brendon Todd",18,5,"ConsecutiveBirdiesStreak",2016
13,13,"DJ Trahan",7,5,"ConsecutiveBirdiesStreak",2016
13,13,"Tyrone Van Aswegen",20,5,"ConsecutiveBirdiesStreak",2016
13,13,"Harold Varner III",18,5,"ConsecutiveBirdiesStreak",2016
13,13,"Danny Willett",5,5,"ConsecutiveBirdiesStreak",2016
40,40,"Joe Affrunti",2,4,"ConsecutiveBirdiesStreak",2016
40,40,"Byeong Hun An",7,4,"ConsecutiveBirdiesStreak",2016
40,40,"Matt Atkins",1,4,"ConsecutiveBirdiesStreak",2016
40,40,"Blayne Barber",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"Ricky Barnes",18,4,"ConsecutiveBirdiesStreak",2016
40,40,"Shane Bertsch",9,4,"ConsecutiveBirdiesStreak",2016
40,40,"Zac Blair",18,4,"ConsecutiveBirdiesStreak",2016
40,40,"Jonas Blixt",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"Jason Bohn",11,4,"ConsecutiveBirdiesStreak",2016
40,40,"Angel Cabrera",13,4,"ConsecutiveBirdiesStreak",2016
40,40,"Rafa Cabrera Bello",4,4,"ConsecutiveBirdiesStreak",2016
40,40,"Rafael Campos",2,4,"ConsecutiveBirdiesStreak",2016
40,40,"Roberto Castro",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"Alex Cejka",15,4,"ConsecutiveBirdiesStreak",2016
40,40,"Kevin Chappell",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Stewart Cink",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Tim Clark",7,4,"ConsecutiveBirdiesStreak",2016
40,40,"Graham DeLaet",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Andrew Dodt",2,4,"ConsecutiveBirdiesStreak",2016
40,40,"Luke Donald",13,4,"ConsecutiveBirdiesStreak",2016
40,40,"Derek Fathauer",18,4,"ConsecutiveBirdiesStreak",2016
40,40,"Rickie Fowler",12,4,"ConsecutiveBirdiesStreak",2016
40,40,"Sergio Garcia",8,4,"ConsecutiveBirdiesStreak",2016
40,40,"Brice Garnett",9,4,"ConsecutiveBirdiesStreak",2016
40,40,"Lucas Glover",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"Jason Gore",15,4,"ConsecutiveBirdiesStreak",2016
40,40,"Branden Grace",9,4,"ConsecutiveBirdiesStreak",2016
40,40,"Luke Guthrie",11,4,"ConsecutiveBirdiesStreak",2016
40,40,"Bill Haas",12,4,"ConsecutiveBirdiesStreak",2016
40,40,"Adam Hadwin",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"James Hahn",15,4,"ConsecutiveBirdiesStreak",2016
40,40,"Russell Henley",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Jim Herman",17,4,"ConsecutiveBirdiesStreak",2016
40,40,"Morgan Hoffmann",15,4,"ConsecutiveBirdiesStreak",2016
40,40,"JB Holmes",10,4,"ConsecutiveBirdiesStreak",2016
40,40,"Charles Howell III",17,4,"ConsecutiveBirdiesStreak",2016
40,40,"Freddie Jacobson",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"Marty Jertson",1,4,"ConsecutiveBirdiesStreak",2016
40,40,"Michael Kim",18,4,"ConsecutiveBirdiesStreak",2016
40,40,"Patton Kizzire",16,4,"ConsecutiveBirdiesStreak",2016
40,40,"Colt Knost",15,4,"ConsecutiveBirdiesStreak",2016
40,40,"Russell Knox",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Scott Langley",13,4,"ConsecutiveBirdiesStreak",2016
40,40,"Richard Lee",2,4,"ConsecutiveBirdiesStreak",2016
40,40,"Justin Leonard",8,4,"ConsecutiveBirdiesStreak",2016
40,40,"Hao Tong Li",3,4,"ConsecutiveBirdiesStreak",2016
40,40,"Frank Lickliter II",4,4,"ConsecutiveBirdiesStreak",2016
40,40,"Shane Lowry",10,4,"ConsecutiveBirdiesStreak",2016
40,40,"Jarrod Lyle",7,4,"ConsecutiveBirdiesStreak",2016
40,40,"Steve Marino",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Hideki Matsuyama",12,4,"ConsecutiveBirdiesStreak",2016
40,40,"Billy Mayfair",3,4,"ConsecutiveBirdiesStreak",2016
40,40,"Rory McIlroy",9,4,"ConsecutiveBirdiesStreak",2016
40,40,"George McNeill",13,4,"ConsecutiveBirdiesStreak",2016
40,40,"Phil Mickelson",11,4,"ConsecutiveBirdiesStreak",2016
40,40,"Kevin Na",14,4,"ConsecutiveBirdiesStreak",2016
40,40,"Henrik Norlander",13,4,"ConsecutiveBirdiesStreak",2016
40,40,"Rob Oppenheim",11,4,"ConsecutiveBirdiesStreak",2016
40,40,"Carlos Ortiz",17,4,"ConsecutiveBirdiesStreak",2016
40,40,"Greg Owen",18,4,"ConsecutiveBirdiesStreak",2016
40,40,"Ryan Palmer",12,4,"ConsecutiveBirdiesStreak",2016
