"ConsecutiveBirdiesEaglesstreak_RANKTHISWEEK_2013","ConsecutiveBirdiesEaglesstreak_RANKLASTWEEK_2013","ConsecutiveBirdiesEaglesstreak_PLAYERNAME_2013","ConsecutiveBirdiesEaglesstreak_EVENTS_2013","ConsecutiveBirdiesEaglesstreak_NUMBEROFHOLES_2013","stat_name","year"
1,1,"Robert Garrigus",22,6,"ConsecutiveBirdiesEaglesstreak",2013
2,2,"Ricky Barnes",26,5,"ConsecutiveBirdiesEaglesstreak",2013
2,2,"Rickie Fowler",22,5,"ConsecutiveBirdiesEaglesstreak",2013
2,2,"Scott Gardiner",23,5,"ConsecutiveBirdiesEaglesstreak",2013
2,2,"Jerry Kelly",22,5,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Billy Andrade",3,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Scott Brown",21,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Roberto Castro",29,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"David Duval",8,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Brad Fritsch",24,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Bill Haas",25,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Justin Hicks",25,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Morgan Hoffmann",20,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Matt Jones",24,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Thorbjorn Olesen",11,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Ryan Palmer",22,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Ian Poulter",16,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Webb Simpson",25,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Brandt Snedeker",23,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Jordan Spieth",23,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Kevin Streelman",25,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Brian Stuard",25,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Andrew Svoboda",18,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Josh Teater",24,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Camilo Villegas",23,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Nick Watney",26,4,"ConsecutiveBirdiesEaglesstreak",2013
6,6,"Tiger Woods",16,4,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Mark Anderson",1,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Woody Austin",8,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Sangmoon Bae",26,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Keegan Bradley",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Angel Cabrera",21,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Chad Campbell",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Patrick Cantlay",7,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Greg Chalmers",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Kevin Chappell",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Brendon de Jonge",30,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Luke Donald",17,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"James Driscoll",23,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Harris English",26,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Gonzalo Fdez Castano",12,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Martin Flores",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Sergio Garcia",17,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Tom Gillis",22,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Andres Gonzales",17,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"James Hahn",26,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Peter Hanson",15,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Charles Howell III",26,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"John Huh",28,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Freddie Jacobson",19,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Zach Johnson",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Robert Karlsson",18,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Martin Kaymer",17,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Ben Kohles",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Jason Kokrak",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Matt Kuchar",23,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Hank Kuehne",5,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Marc Leishman",23,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Jeff Maggert",21,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Troy Matteson",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Graeme McDowell",16,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"William McGirt",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"George McNeill",21,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Nick OHern",10,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Jin Park",20,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Jesper Parnevik",13,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Scott Piercy",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Alistair Presnell",23,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Vijay Singh",19,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Heath Slocum",9,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Kevin Stadler",25,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Darron Stiles",20,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Nicholas Thompson",29,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Cameron Tringale",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Johnson Wagner",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Jimmy Walker",24,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Lee Westwood",19,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Charlie Wi",23,3,"ConsecutiveBirdiesEaglesstreak",2013
28,28,"Danny Willett",2,3,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Robert Allenby",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Stephen Ames",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Stuart Appleby",25,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Aaron Baddeley",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Blayne Barber",3,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Cameron Beckman",8,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Matt Bettencourt",9,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Thomas Bjorn",4,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Justin Bolli",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Steven Bowditch",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Michael Bradley",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Stewart Cink",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Tim Clark",20,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Nicolas Colsaerts",17,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Erik Compton",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ben Crane",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Steve Dartnall",1,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Brian Davis",28,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jason Day",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Graham DeLaet",26,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jason Dufner",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ken Duke",28,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ernie Els",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Derek Ernst",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Matt Every",28,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jim Furyk",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Tommy Gainey",28,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jorge Garcia",1,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Brian Gay",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Lucas Glover",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Fabian Gomez",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jeff Gove",17,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Luke Guthrie",27,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Brian Harman",29,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"David Hearn",26,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Russell Henley",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jim Herman",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Tim Herron",15,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Charley Hoffman",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ryuji Imada",7,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ryo Ishikawa",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Brandt Jobe",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Dustin Johnson",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Chris Kirk",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Doug LaBelle II",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Martin Laird",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Scott Langley",27,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Steve LeBrun",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"DH Lee",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Richard Lee",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"David Lingmerth",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Luke List",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Shane Lowry",9,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"David Lynn",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Hunter Mahan",25,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Hideki Matsuyama",7,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Scott McCarron",8,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Rory McIlroy",16,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Eric Meierdierks",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"John Merrick",23,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Phil Mickelson",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Bryce Molder",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Francesco Molinari",9,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ryan Moore",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Kevin Na",8,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Seung Yul Noh",25,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Henrik Norlander",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Sean OHair",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Joe Ogilvie",15,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Geoff Ogilvy",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jeff Overton",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Greg Owen",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Cameron Percy",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Tim Petrovic",12,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Carl Pettersson",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"DA Points",28,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Ted Potter Jr",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Patrick Reed",26,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Tag Ridings",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"John Rollins",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Andres Romero",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Justin Rose",17,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Charl Schwartzel",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Adam Scott",16,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"John Senden",25,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Wes Short Jr",15,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Jesse Smith",2,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Scott Stallings",27,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Kyle Stanley",24,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Brendan Steele",26,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Shawn Stefani",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Henrik Stenson",18,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Robert Streb",25,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Steve Stricker",13,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Daniel Summerhays",26,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Kevin Sutherland",13,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Michael Thompson",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Brendon Todd",10,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Peter Tomasulo",10,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"DJ Trahan",16,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Bo Van Pelt",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Sebastian Vazquez",1,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Duffy Waldorf",3,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Bubba Watson",21,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Boo Weekley",27,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Mike Weir",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Lee Williams",22,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Mark Wilson",19,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"Gary Woodland",26,2,"ConsecutiveBirdiesEaglesstreak",2013
80,80,"YE Yang",19,2,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Blake Adams",2,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Arjun Atwal",8,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Charlie Beljan",24,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Shane Bertsch",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Ryan Blaum",3,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Jonas Blixt",24,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Michael Block",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Mark Brown",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Jonathan Byrd",16,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Kevin Carll",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Kevin Carrigan",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Bud Cauley",24,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"KJ Choi",24,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Will Claxton",24,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Russ Cochran",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"George Coetzee",11,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Wil Collins",2,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Corey Conners",1,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Fred Couples",4,1,"ConsecutiveBirdiesEaglesstreak",2013
190,190,"Ben Curtis",20,1,"ConsecutiveBirdiesEaglesstreak",2013
