"StrokesGainedTeetoGreen_RANKTHISWEEK_2007","StrokesGainedTeetoGreen_RANKLASTWEEK_2007","StrokesGainedTeetoGreen_PLAYERNAME_2007","StrokesGainedTeetoGreen_ROUNDS_2007","StrokesGainedTeetoGreen_AVERAGE_2007","StrokesGainedTeetoGreen_TOTALSGT2G_2007","StrokesGainedTeetoGreen_SGTOTAL_2007","StrokesGainedTeetoGreen_TOTALSGP_2007","StrokesGainedTeetoGreen_MEASUREDROUNDS_2007","stat_name","year"
1,NA,"Tiger Woods",63,2.27,97.614,128.193,30.579,43,"StrokesGainedTeetoGreen",2007
2,NA,"Ernie Els",59,1.615,71.053,69.44,-1.613,44,"StrokesGainedTeetoGreen",2007
3,NA,"Phil Mickelson",73,1.385,70.647,79.243,8.596,51,"StrokesGainedTeetoGreen",2007
4,NA,"Vijay Singh",102,1.292,105.969,104.128,-1.841,82,"StrokesGainedTeetoGreen",2007
5,NA,"Scott Verplank",82,1.272,73.749,60.939,-12.81,58,"StrokesGainedTeetoGreen",2007
6,NA,"Jim Furyk",84,1.258,81.794,80.764,-1.03,65,"StrokesGainedTeetoGreen",2007
7,NA,"Sergio Garcia",68,1.206,66.326,80.702,14.376,55,"StrokesGainedTeetoGreen",2007
8,NA,"Alex Cejka",80,1.2,87.595,52.136,-35.459,73,"StrokesGainedTeetoGreen",2007
9,NA,"Steve Stricker",81,1.176,72.931,95.99,23.059,62,"StrokesGainedTeetoGreen",2007
10,NA,"Adam Scott",69,1.107,59.803,66.645,6.842,54,"StrokesGainedTeetoGreen",2007
11,NA,"Robert Allenby",90,0.978,72.373,44.808,-27.565,74,"StrokesGainedTeetoGreen",2007
12,NA,"Mike Weir",82,0.955,56.34,38.79,-17.55,59,"StrokesGainedTeetoGreen",2007
13,NA,"Kenny Perry",83,0.926,69.473,45.059,-24.414,75,"StrokesGainedTeetoGreen",2007
14,NA,"Sean OHair",98,0.925,75.82,91.292,15.472,82,"StrokesGainedTeetoGreen",2007
15,NA,"KJ Choi",87,0.896,60.022,99.752,39.73,67,"StrokesGainedTeetoGreen",2007
16,NA,"Joe Durant",88,0.874,61.186,-1.611,-62.797,70,"StrokesGainedTeetoGreen",2007
17,NA,"Camilo Villegas",82,0.856,59.089,61.573,2.484,69,"StrokesGainedTeetoGreen",2007
18,NA,"Arron Oberholser",69,0.839,43.617,66.212,22.595,52,"StrokesGainedTeetoGreen",2007
19,NA,"Anthony Kim",93,0.832,65.706,54.365,-11.341,79,"StrokesGainedTeetoGreen",2007
20,NA,"Ian Poulter",63,0.813,31.725,31.23,-0.495,39,"StrokesGainedTeetoGreen",2007
21,NA,"Jerry Kelly",101,0.809,59.898,44.608,-15.29,74,"StrokesGainedTeetoGreen",2007
22,NA,"Bo Van Pelt",104,0.761,72.273,84.34,12.067,95,"StrokesGainedTeetoGreen",2007
23,NA,"Geoff Ogilvy",84,0.749,47.94,52.571,4.631,64,"StrokesGainedTeetoGreen",2007
24,NA,"Jeff Overton",60,0.722,38.981,41.918,2.937,54,"StrokesGainedTeetoGreen",2007
25,NA,"Jeff Gove",103,0.72,67.681,-5.38,-73.061,94,"StrokesGainedTeetoGreen",2007
25,NA,"David Toms",80,0.72,44.639,61.225,16.586,62,"StrokesGainedTeetoGreen",2007
27,NA,"Heath Slocum",101,0.708,64.42,82.144,17.724,91,"StrokesGainedTeetoGreen",2007
28,NA,"John Senden",97,0.707,59.407,37.129,-22.278,84,"StrokesGainedTeetoGreen",2007
28,NA,"Boo Weekley",101,0.707,55.175,35.565,-19.61,78,"StrokesGainedTeetoGreen",2007
30,NA,"Padraig Harrington",64,0.697,31.352,43.406,12.054,45,"StrokesGainedTeetoGreen",2007
31,NA,"Trevor Immelman",74,0.694,37.5,24.49,-13.01,54,"StrokesGainedTeetoGreen",2007
31,NA,"Justin Rose",63,0.694,27.072,29.445,2.373,39,"StrokesGainedTeetoGreen",2007
31,NA,"Rory Sabbatini",81,0.694,43.002,81.969,38.967,62,"StrokesGainedTeetoGreen",2007
34,NA,"Tom Lehman",62,0.687,32.969,17.907,-15.062,48,"StrokesGainedTeetoGreen",2007
35,NA,"Rod Pampling",92,0.683,49.886,49.513,-0.373,73,"StrokesGainedTeetoGreen",2007
36,NA,"Charles Warren",101,0.631,56.795,22.924,-33.871,90,"StrokesGainedTeetoGreen",2007
37,NA,"Brett Wetterich",88,0.621,42.835,4.443,-38.392,69,"StrokesGainedTeetoGreen",2007
38,NA,"Mark Calcavecchia",93,0.612,44.694,29.802,-14.892,73,"StrokesGainedTeetoGreen",2007
39,NA,"Lucas Glover",98,0.601,46.268,54.257,7.989,77,"StrokesGainedTeetoGreen",2007
40,NA,"Billy Mayfair",98,0.595,48.791,45.55,-3.241,82,"StrokesGainedTeetoGreen",2007
41,NA,"Briny Baird",115,0.587,61.068,56.111,-4.957,104,"StrokesGainedTeetoGreen",2007
42,NA,"DJ Trahan",99,0.553,49.196,0.415,-48.781,89,"StrokesGainedTeetoGreen",2007
43,NA,"Carl Pettersson",111,0.535,47.652,70.075,22.423,89,"StrokesGainedTeetoGreen",2007
44,NA,"JJ Henry",86,0.531,35.049,33.53,-1.519,66,"StrokesGainedTeetoGreen",2007
45,NA,"Jason Bohn",57,0.51,26.528,15.728,-10.8,52,"StrokesGainedTeetoGreen",2007
46,NA,"Steve Elkington",87,0.463,33.353,56.544,23.191,72,"StrokesGainedTeetoGreen",2007
47,NA,"Will Ma Kenzie",100,0.462,41.607,26.322,-15.285,90,"StrokesGainedTeetoGreen",2007
48,NA,"Aaron Baddeley",83,0.45,29.252,71.052,41.8,65,"StrokesGainedTeetoGreen",2007
49,NA,"Justin Leonard",95,0.445,36.011,47.668,11.657,81,"StrokesGainedTeetoGreen",2007
50,NA,"Brian Davis",101,0.436,37.498,43.106,5.608,86,"StrokesGainedTeetoGreen",2007
51,NA,"Luke Donald",69,0.429,21.467,43.445,21.978,50,"StrokesGainedTeetoGreen",2007
52,NA,"Davis Love III",66,0.426,22.144,2.505,-19.639,52,"StrokesGainedTeetoGreen",2007
53,NA,"Cameron Beckman",96,0.422,35.835,29.736,-6.099,85,"StrokesGainedTeetoGreen",2007
54,NA,"Woody Austin",95,0.417,34.996,19.277,-15.719,84,"StrokesGainedTeetoGreen",2007
55,NA,"Nick Watney",87,0.409,28.212,11.752,-16.46,69,"StrokesGainedTeetoGreen",2007
56,NA,"Mark Wilson",87,0.398,28.634,23.383,-5.251,72,"StrokesGainedTeetoGreen",2007
57,NA,"John Rollins",102,0.394,32.718,43.189,10.471,83,"StrokesGainedTeetoGreen",2007
58,NA,"Ken Duke",112,0.387,36.333,44.33,7.997,94,"StrokesGainedTeetoGreen",2007
59,NA,"Shaun Micheel",91,0.376,25.593,23.497,-2.096,68,"StrokesGainedTeetoGreen",2007
60,NA,"Stuart Appleby",74,0.375,21.763,19.755,-2.008,58,"StrokesGainedTeetoGreen",2007
61,NA,"Bill Haas",93,0.351,28.8,27.327,-1.473,82,"StrokesGainedTeetoGreen",2007
62,NA,"Stephen Ames",81,0.345,21.028,35.365,14.337,61,"StrokesGainedTeetoGreen",2007
63,NA,"Peter Lonard",85,0.341,25.608,11.204,-14.404,75,"StrokesGainedTeetoGreen",2007
64,NA,"Zach Johnson",76,0.339,20.343,59.68,39.337,60,"StrokesGainedTeetoGreen",2007
65,NA,"Tim Clark",66,0.333,16.981,57.725,40.744,51,"StrokesGainedTeetoGreen",2007
