"StrokesGainedTeetoGreen_RANKTHISWEEK_2015","StrokesGainedTeetoGreen_RANKLASTWEEK_2015","StrokesGainedTeetoGreen_PLAYERNAME_2015","StrokesGainedTeetoGreen_ROUNDS_2015","StrokesGainedTeetoGreen_AVERAGE_2015","StrokesGainedTeetoGreen_TOTALSGOTT_2015","StrokesGainedTeetoGreen_SGAPR_2015","StrokesGainedTeetoGreen_TOTALSGARG_2015","StrokesGainedTeetoGreen_MEASUREDROUNDS_2015","stat_name","year"
1,1,"Bubba Watson",71,1.876,1.19,0.68,0,56,"StrokesGainedTeetoGreen",2015
2,2,"Henrik Stenson",63,1.774,0.44,1.24,0.08,44,"StrokesGainedTeetoGreen",2015
3,3,"Jim Furyk",71,1.658,0.06,1.08,0.51,52,"StrokesGainedTeetoGreen",2015
4,4,"Jordan Spieth",91,1.583,0.49,0.61,0.47,66,"StrokesGainedTeetoGreen",2015
5,5,"Jason Day",75,1.52,0.77,0.46,0.28,57,"StrokesGainedTeetoGreen",2015
6,6,"Justin Rose",69,1.471,0.55,0.69,0.22,49,"StrokesGainedTeetoGreen",2015
7,7,"Hideki Matsuyama",95,1.388,0.49,0.63,0.25,70,"StrokesGainedTeetoGreen",2015
8,8,"Webb Simpson",81,1.346,0.22,0.58,0.53,64,"StrokesGainedTeetoGreen",2015
9,9,"Dustin Johnson",75,1.326,0.96,0.57,-0.21,54,"StrokesGainedTeetoGreen",2015
10,10,"Paul Casey",87,1.202,0.39,0.99,-0.18,63,"StrokesGainedTeetoGreen",2015
11,11,"Lucas Glover",79,1.17,0.59,0.69,-0.11,72,"StrokesGainedTeetoGreen",2015
12,12,"Keegan Bradley",87,1.088,0.43,0.38,0.26,64,"StrokesGainedTeetoGreen",2015
13,13,"Zach Johnson",90,1.081,0.24,0.6,0.23,70,"StrokesGainedTeetoGreen",2015
14,14,"Sergio Garcia",59,1.067,0.44,0.46,0.15,36,"StrokesGainedTeetoGreen",2015
15,15,"Brendan Steele",88,1.005,0.36,0.6,0.04,76,"StrokesGainedTeetoGreen",2015
16,16,"JB Holmes",89,0.949,0.42,0.25,0.26,66,"StrokesGainedTeetoGreen",2015
17,17,"Justin Thomas",106,0.926,0.35,0.38,0.18,96,"StrokesGainedTeetoGreen",2015
18,18,"Jason Dufner",76,0.922,0.24,0.39,0.28,48,"StrokesGainedTeetoGreen",2015
19,19,"Will Wilcox",58,0.863,0.66,0.14,0.05,41,"StrokesGainedTeetoGreen",2015
20,20,"Francesco Molinari",56,0.859,0.32,0.57,-0.03,43,"StrokesGainedTeetoGreen",2015
21,21,"Russell Knox",96,0.827,0.09,0.62,0.1,87,"StrokesGainedTeetoGreen",2015
22,22,"Louis Oosthuizen",68,0.825,0.33,0.39,0.08,47,"StrokesGainedTeetoGreen",2015
23,23,"Matt Kuchar",97,0.817,0.13,0.2,0.47,77,"StrokesGainedTeetoGreen",2015
24,24,"Ryan Palmer",80,0.813,0.35,0.52,-0.07,54,"StrokesGainedTeetoGreen",2015
25,25,"Vijay Singh",78,0.812,0.15,0.42,0.24,69,"StrokesGainedTeetoGreen",2015
26,26,"Rickie Fowler",76,0.779,0.12,0.59,0.06,57,"StrokesGainedTeetoGreen",2015
27,27,"Robert Streb",110,0.712,0.3,0.17,0.22,96,"StrokesGainedTeetoGreen",2015
28,28,"Kevin Na",98,0.711,-0.32,0.38,0.66,71,"StrokesGainedTeetoGreen",2015
29,29,"Bill Haas",89,0.689,0.14,0.42,0.12,71,"StrokesGainedTeetoGreen",2015
30,30,"Daniel Berger",97,0.682,0.37,0.52,-0.21,83,"StrokesGainedTeetoGreen",2015
31,31,"Boo Weekley",79,0.671,0.54,0.1,0.01,67,"StrokesGainedTeetoGreen",2015
32,32,"Nick Watney",91,0.661,0.31,0.23,0.11,81,"StrokesGainedTeetoGreen",2015
33,33,"Brooks Koepka",84,0.66,0.4,0.2,0.05,65,"StrokesGainedTeetoGreen",2015
34,34,"Tony Finau",106,0.634,0.38,0.22,0.02,92,"StrokesGainedTeetoGreen",2015
35,35,"Charl Schwartzel",67,0.629,0.66,-0.13,0.09,41,"StrokesGainedTeetoGreen",2015
36,36,"Roberto Castro",54,0.612,0.07,0.34,0.18,36,"StrokesGainedTeetoGreen",2015
37,37,"Adam Scott",51,0.601,0.68,0.11,-0.19,32,"StrokesGainedTeetoGreen",2015
38,38,"Charles Howell III",105,0.599,0.34,0.19,0.05,99,"StrokesGainedTeetoGreen",2015
39,39,"Greg Owen",58,0.572,0.03,0.4,0.12,40,"StrokesGainedTeetoGreen",2015
40,40,"Rory Sabbatini",81,0.567,0.09,0.37,0.09,66,"StrokesGainedTeetoGreen",2015
41,41,"Jason Bohn",95,0.538,0.01,0.56,-0.04,87,"StrokesGainedTeetoGreen",2015
42,42,"Chad Campbell",97,0.482,0.13,0.19,0.15,91,"StrokesGainedTeetoGreen",2015
43,43,"Patrick Reed",103,0.465,-0.07,0.26,0.27,76,"StrokesGainedTeetoGreen",2015
44,44,"John Peterson",84,0.435,0.33,0.27,-0.17,77,"StrokesGainedTeetoGreen",2015
45,45,"Shawn Stefani",94,0.423,0.33,0.28,-0.19,88,"StrokesGainedTeetoGreen",2015
46,46,"John Merrick",78,0.42,0.05,0.35,NA,58,"StrokesGainedTeetoGreen",2015
47,47,"Ryan Moore",81,0.418,0.07,0.24,0.1,61,"StrokesGainedTeetoGreen",2015
48,48,"Tom Hoge",83,0.41,0.03,0.45,-0.08,65,"StrokesGainedTeetoGreen",2015
49,49,"Jim Herman",88,0.407,0.46,0.28,-0.34,77,"StrokesGainedTeetoGreen",2015
50,50,"William McGirt",103,0.395,0.08,0.06,0.24,97,"StrokesGainedTeetoGreen",2015
51,51,"Kevin Kisner",104,0.389,0.31,0.14,-0.06,94,"StrokesGainedTeetoGreen",2015
52,52,"Michael Putnam",87,0.373,-0.02,0.42,-0.02,68,"StrokesGainedTeetoGreen",2015
53,53,"Stewart Cink",77,0.367,0.08,0.56,-0.28,66,"StrokesGainedTeetoGreen",2015
54,54,"David Lingmerth",90,0.366,0.37,0.01,-0.02,74,"StrokesGainedTeetoGreen",2015
55,55,"Danny Lee",120,0.354,-0.3,0.71,-0.06,100,"StrokesGainedTeetoGreen",2015
56,56,"Kevin Streelman",95,0.352,0.56,0,-0.21,73,"StrokesGainedTeetoGreen",2015
57,57,"George McNeill",93,0.351,-0.22,0.64,-0.07,89,"StrokesGainedTeetoGreen",2015
58,58,"Chris Kirk",76,0.35,-0.15,0.3,0.19,56,"StrokesGainedTeetoGreen",2015
59,59,"Chez Reavie",56,0.342,0.38,0.29,-0.34,50,"StrokesGainedTeetoGreen",2015
60,60,"Ian Poulter",68,0.329,-0.05,0.23,0.14,48,"StrokesGainedTeetoGreen",2015
61,61,"Marc Leishman",74,0.322,0.02,0.19,0.1,54,"StrokesGainedTeetoGreen",2015
61,61,"Scott Piercy",90,0.322,0.27,0.22,-0.17,83,"StrokesGainedTeetoGreen",2015
63,63,"Brendon de Jonge",106,0.32,0.27,0.19,-0.15,92,"StrokesGainedTeetoGreen",2015
64,64,"Phil Mickelson",70,0.319,0.07,0.02,0.22,55,"StrokesGainedTeetoGreen",2015
65,65,"James Hahn",94,0.307,0.1,0.13,0.06,78,"StrokesGainedTeetoGreen",2015
66,66,"Jason Kokrak",88,0.306,0.46,-0.01,-0.14,80,"StrokesGainedTeetoGreen",2015
67,67,"Graham DeLaet",65,0.299,0.02,0.32,-0.05,54,"StrokesGainedTeetoGreen",2015
68,68,"Luke Donald",71,0.295,-0.79,0.57,0.51,54,"StrokesGainedTeetoGreen",2015
69,69,"Lee Westwood",56,0.283,0.09,0.29,-0.1,32,"StrokesGainedTeetoGreen",2015
