"StrokesGainedTotal_RANKTHISWEEK_2011","StrokesGainedTotal_RANKLASTWEEK_2011","StrokesGainedTotal_PLAYERNAME_2011","StrokesGainedTotal_ROUNDS_2011","StrokesGainedTotal_AVERAGE_2011","StrokesGainedTotal_TOTALSGT_2011","StrokesGainedTotal_TOTALSGT2G_2011","StrokesGainedTotal_TOTALSGP_2011","StrokesGainedTotal_MEASUREDROUNDS_2011","stat_name","year"
1,1,"Luke Donald",73,2.236,116.29,68.352,47.938,52,"StrokesGainedTotal",2011
2,2,"Steve Stricker",70,1.73,91.68,48.737,42.943,53,"StrokesGainedTotal",2011
3,3,"Webb Simpson",98,1.717,142.536,120.351,22.185,83,"StrokesGainedTotal",2011
4,4,"Nick Watney",80,1.653,102.506,69.424,33.082,62,"StrokesGainedTotal",2011
5,5,"Matt Kuchar",94,1.541,109.407,77.91,31.497,71,"StrokesGainedTotal",2011
6,6,"David Toms",78,1.253,73.918,49.896,24.022,59,"StrokesGainedTotal",2011
7,7,"Charles Howell III",108,1.195,108.717,74.05,34.667,91,"StrokesGainedTotal",2011
8,8,"Hunter Mahan",92,1.167,88.71,48.41,40.3,76,"StrokesGainedTotal",2011
9,9,"Phil Mickelson",79,1.107,64.2,71.891,-7.691,58,"StrokesGainedTotal",2011
10,10,"Aaron Baddeley",77,1.085,67.271,45.941,21.33,62,"StrokesGainedTotal",2011
11,11,"Brandt Snedeker",85,1.041,69.75,30.315,39.435,67,"StrokesGainedTotal",2011
12,12,"Zach Johnson",79,1.033,66.114,27.072,39.042,64,"StrokesGainedTotal",2011
13,13,"KJ Choi",77,1.012,58.675,49.929,8.746,58,"StrokesGainedTotal",2011
14,14,"Sergio Garcia",61,0.984,44.262,50.9,-6.638,45,"StrokesGainedTotal",2011
15,15,"Martin Laird",77,0.982,60.882,55.266,5.616,62,"StrokesGainedTotal",2011
16,16,"Jason Day",76,0.976,57.563,20.785,36.778,59,"StrokesGainedTotal",2011
17,17,"Gary Woodland",93,0.959,67.155,76.862,-9.707,70,"StrokesGainedTotal",2011
18,18,"Charl Schwartzel",58,0.95,37.994,39.476,-1.482,40,"StrokesGainedTotal",2011
19,19,"Justin Rose",79,0.922,58.109,53.126,4.983,63,"StrokesGainedTotal",2011
20,20,"John Senden",94,0.918,74.383,53.217,21.166,81,"StrokesGainedTotal",2011
21,21,"Bill Haas",93,0.891,64.167,55.978,8.278,72,"StrokesGainedTotal",2011
22,22,"Rickie Fowler",84,0.888,58.624,31.682,26.942,66,"StrokesGainedTotal",2011
23,23,"Freddie Jacobson",92,0.877,61.367,15.28,46.087,70,"StrokesGainedTotal",2011
24,24,"Kevin Streelman",90,0.854,60.621,33.269,27.352,71,"StrokesGainedTotal",2011
25,25,"Bo Van Pelt",92,0.839,59.536,73.152,-13.616,71,"StrokesGainedTotal",2011
26,26,"Ryan Moore",79,0.827,49.646,17.056,32.59,60,"StrokesGainedTotal",2011
27,27,"Robert Allenby",84,0.792,55.471,69.26,-13.789,70,"StrokesGainedTotal",2011
28,28,"Spencer Levin",113,0.784,73.711,73.501,0.21,94,"StrokesGainedTotal",2011
29,29,"JB Holmes",57,0.773,36.308,40.246,-3.938,47,"StrokesGainedTotal",2011
30,30,"Carl Pettersson",95,0.749,67.414,30.046,37.368,90,"StrokesGainedTotal",2011
31,31,"Kevin Na",84,0.73,49.673,8.243,41.43,68,"StrokesGainedTotal",2011
32,32,"Brian Gay",90,0.701,51.899,14.349,37.55,74,"StrokesGainedTotal",2011
33,33,"Jason Dufner",78,0.685,44.524,48.17,-3.646,65,"StrokesGainedTotal",2011
34,34,"Geoff Ogilvy",69,0.683,36.876,11.834,25.042,54,"StrokesGainedTotal",2011
35,35,"Robert Karlsson",61,0.678,30.513,26.765,3.748,45,"StrokesGainedTotal",2011
36,36,"Rory Sabbatini",85,0.653,39.849,64.845,-24.996,61,"StrokesGainedTotal",2011
37,37,"Jerry Kelly",85,0.649,44.143,30.683,13.46,68,"StrokesGainedTotal",2011
38,38,"Bryce Molder",82,0.642,45.551,-9.425,54.976,71,"StrokesGainedTotal",2011
39,39,"Stewart Cink",72,0.635,33.031,21.238,11.793,52,"StrokesGainedTotal",2011
39,39,"Adam Scott",60,0.635,28.576,37.092,-8.516,45,"StrokesGainedTotal",2011
41,41,"Kyle Stanley",98,0.631,50.486,89.002,-38.516,80,"StrokesGainedTotal",2011
42,42,"Jim Furyk",87,0.63,44.116,59.341,-15.225,70,"StrokesGainedTotal",2011
43,43,"John Rollins",85,0.604,43.471,49.97,-6.499,72,"StrokesGainedTotal",2011
44,44,"Bubba Watson",85,0.564,33.273,40.127,-6.854,59,"StrokesGainedTotal",2011
45,45,"Brendon de Jonge",105,0.558,51.338,23.929,27.409,92,"StrokesGainedTotal",2011
46,46,"Vijay Singh",79,0.551,39.651,46.746,-7.095,72,"StrokesGainedTotal",2011
47,47,"Brian Davis",105,0.55,50.645,52.045,-1.4,92,"StrokesGainedTotal",2011
