"3PuttAvoidanceInside5_RANKTHISWEEK_2005","3PuttAvoidanceInside5_RANKLASTWEEK_2005","3PuttAvoidanceInside5_PLAYERNAME_2005","3PuttAvoidanceInside5_ROUNDS_2005","3PuttAvoidanceInside5_Pct_2005","3PuttAvoidanceInside5_TOTAL3PUTTS_2005","3PuttAvoidanceInside5_ATTEMPTS_2005","3PuttAvoidanceInside5_2PUTTORBETTERPct_2005","stat_name","year"
1,1,"Michael Allen",90,0,NA,322,100,"3PuttAvoidanceInside5",2005
1,1,"Robert Allenby",95,0,NA,218,100,"3PuttAvoidanceInside5",2005
1,1,"Jason Allred",75,0,NA,216,100,"3PuttAvoidanceInside5",2005
1,1,"Stephen Ames",82,0,NA,244,100,"3PuttAvoidanceInside5",2005
1,1,"Stuart Appleby",84,0,NA,237,100,"3PuttAvoidanceInside5",2005
1,1,"Tommy Armour III",103,0,NA,316,100,"3PuttAvoidanceInside5",2005
1,1,"Arjun Atwal",65,0,NA,218,100,"3PuttAvoidanceInside5",2005
1,1,"Paul Azinger",66,0,NA,231,100,"3PuttAvoidanceInside5",2005
1,1,"Aaron Baddeley",84,0,NA,301,100,"3PuttAvoidanceInside5",2005
1,1,"Briny Baird",98,0,NA,292,100,"3PuttAvoidanceInside5",2005
1,1,"Craig Barlow",81,0,NA,222,100,"3PuttAvoidanceInside5",2005
1,1,"Doug Barron",70,0,NA,247,100,"3PuttAvoidanceInside5",2005
1,1,"Brian Bateman",98,0,NA,304,100,"3PuttAvoidanceInside5",2005
1,1,"Cameron Beckman",96,0,NA,341,100,"3PuttAvoidanceInside5",2005
1,1,"Justin Bolli",65,0,NA,232,100,"3PuttAvoidanceInside5",2005
1,1,"Jeff Brehaut",71,0,NA,216,100,"3PuttAvoidanceInside5",2005
1,1,"DJ Brigman",76,0,NA,221,100,"3PuttAvoidanceInside5",2005
1,1,"Olin Browne",99,0,NA,268,100,"3PuttAvoidanceInside5",2005
1,1,"Jonathan Byrd",103,0,NA,351,100,"3PuttAvoidanceInside5",2005
1,1,"Mark Calcavecchia",92,0,NA,303,100,"3PuttAvoidanceInside5",2005
1,1,"Chad Campbell",95,0,NA,239,100,"3PuttAvoidanceInside5",2005
1,1,"KJ Choi",78,0,NA,205,100,"3PuttAvoidanceInside5",2005
1,1,"Stewart Cink",98,0,NA,236,100,"3PuttAvoidanceInside5",2005
1,1,"Tim Clark",92,0,NA,262,100,"3PuttAvoidanceInside5",2005
1,1,"John Cook",72,0,NA,203,100,"3PuttAvoidanceInside5",2005
1,1,"Ben Crane",78,0,NA,264,100,"3PuttAvoidanceInside5",2005
1,1,"Ben Curtis",65,0,NA,196,100,"3PuttAvoidanceInside5",2005
1,1,"John Daly",78,0,NA,230,100,"3PuttAvoidanceInside5",2005
1,1,"Robert Damron",89,0,NA,310,100,"3PuttAvoidanceInside5",2005
1,1,"Matt Davidson",53,0,NA,170,100,"3PuttAvoidanceInside5",2005
1,1,"Marco Dawson",82,0,NA,296,100,"3PuttAvoidanceInside5",2005
