"3PuttAvoidance1015_RANKTHISWEEK_2009","3PuttAvoidance1015_RANKLASTWEEK_2009","3PuttAvoidance1015_PLAYERNAME_2009","3PuttAvoidance1015_ROUNDS_2009","3PuttAvoidance1015_Pct_2009","3PuttAvoidance1015_TOTAL3PUTTS_2009","3PuttAvoidance1015_ATTEMPTS_2009","3PuttAvoidance1015_2PUTTORBETTERPct_2009","stat_name","year"
1,1,"Michael Allen",73,0,NA,155,100,"3PuttAvoidance1015",2009
1,1,"Tommy Armour III",58,0,NA,136,100,"3PuttAvoidance1015",2009
1,1,"Eric Axley",71,0,NA,145,100,"3PuttAvoidance1015",2009
1,1,"Brian Bateman",55,0,NA,118,100,"3PuttAvoidance1015",2009
1,1,"Cameron Beckman",87,0,NA,202,100,"3PuttAvoidance1015",2009
1,1,"Greg Chalmers",85,0,NA,198,100,"3PuttAvoidance1015",2009
1,1,"KJ Choi",65,0,NA,139,100,"3PuttAvoidance1015",2009
1,1,"Ben Curtis",63,0,NA,120,100,"3PuttAvoidance1015",2009
1,1,"Luke Donald",79,0,NA,172,100,"3PuttAvoidance1015",2009
1,1,"Ken Duke",87,0,NA,227,100,"3PuttAvoidance1015",2009
1,1,"Joe Durant",62,0,NA,124,100,"3PuttAvoidance1015",2009
1,1,"Ernie Els",70,0,NA,151,100,"3PuttAvoidance1015",2009
1,1,"Bob Estes",78,0,NA,153,100,"3PuttAvoidance1015",2009
1,1,"Brad Faxon",59,0,NA,129,100,"3PuttAvoidance1015",2009
1,1,"Harrison Frazar",93,0,NA,238,100,"3PuttAvoidance1015",2009
1,1,"Jim Furyk",86,0,NA,160,100,"3PuttAvoidance1015",2009
1,1,"Retief Goosen",74,0,NA,144,100,"3PuttAvoidance1015",2009
1,1,"Charles Howell III",99,0,NA,206,100,"3PuttAvoidance1015",2009
1,1,"Greg Kraft",51,0,NA,114,100,"3PuttAvoidance1015",2009
1,1,"Matt Kuchar",82,0,NA,201,100,"3PuttAvoidance1015",2009
1,1,"Spencer Levin",75,0,NA,160,100,"3PuttAvoidance1015",2009
1,1,"Jarrod Lyle",65,0,NA,150,100,"3PuttAvoidance1015",2009
1,1,"Rocco Mediate",79,0,NA,159,100,"3PuttAvoidance1015",2009
1,1,"John Merrick",91,0,NA,166,100,"3PuttAvoidance1015",2009
1,1,"Phil Mickelson",66,0,NA,124,100,"3PuttAvoidance1015",2009
1,1,"Rod Pampling",72,0,NA,172,100,"3PuttAvoidance1015",2009
1,1,"Corey Pavin",73,0,NA,126,100,"3PuttAvoidance1015",2009
1,1,"Pat Perez",74,0,NA,163,100,"3PuttAvoidance1015",2009
1,1,"Kenny Perry",92,0,NA,201,100,"3PuttAvoidance1015",2009
1,1,"Rick Price",54,0,NA,92,100,"3PuttAvoidance1015",2009
1,1,"Tag Ridings",50,0,NA,106,100,"3PuttAvoidance1015",2009
1,1,"Chris Riley",77,0,NA,180,100,"3PuttAvoidance1015",2009
1,1,"Rory Sabbatini",81,0,NA,189,100,"3PuttAvoidance1015",2009
1,1,"Webb Simpson",94,0,NA,218,100,"3PuttAvoidance1015",2009
1,1,"Darron Stiles",52,0,NA,111,100,"3PuttAvoidance1015",2009
