"GIRPuttingAvg3035_RANKTHISWEEK_2009","GIRPuttingAvg3035_RANKLASTWEEK_2009","GIRPuttingAvg3035_PLAYERNAME_2009","GIRPuttingAvg3035_ROUNDS_2009","GIRPuttingAvg3035_PctMADE_2009","GIRPuttingAvg3035_ATTEMPTS_2009","GIRPuttingAvg3035_PUTTSMADE_2009","stat_name","year"
1,1,"Johnson Wagner",81,1.9,58,11,"GIRPuttingAvg3035",2009
2,2,"Brad Faxon",59,1.79,39,7,"GIRPuttingAvg3035",2009
3,3,"Jim Furyk",86,1.73,52,9,"GIRPuttingAvg3035",2009
4,4,"Phil Mickelson",66,1.71,35,6,"GIRPuttingAvg3035",2009
5,5,"Kenny Perry",92,1.53,59,9,"GIRPuttingAvg3035",2009
6,6,"Vijay Singh",71,1.48,27,4,"GIRPuttingAvg3035",2009
7,7,"David Duval",56,1.43,28,4,"GIRPuttingAvg3035",2009
7,7,"Matt Kuchar",82,1.43,49,7,"GIRPuttingAvg3035",2009
9,9,"Ben Crane",93,1.39,72,10,"GIRPuttingAvg3035",2009
10,10,"Derek Fathauer",63,1.38,29,4,"GIRPuttingAvg3035",2009
11,11,"Lee Janzen",74,1.35,52,7,"GIRPuttingAvg3035",2009
12,12,"Leif Olson",51,1.33,30,4,"GIRPuttingAvg3035",2009
13,13,"Greg Kraft",51,1.25,40,5,"GIRPuttingAvg3035",2009
13,13,"Geoff Ogilvy",78,1.25,40,5,"GIRPuttingAvg3035",2009
13,13,"Steve Stricker",81,1.25,48,6,"GIRPuttingAvg3035",2009
16,16,"Ted Purdy",101,1.2,75,9,"GIRPuttingAvg3035",2009
17,17,"Aaron Baddeley",66,1.16,43,5,"GIRPuttingAvg3035",2009
17,17,"Bart Bryant",58,1.16,43,5,"GIRPuttingAvg3035",2009
19,19,"Richard Johnson",85,1.15,78,9,"GIRPuttingAvg3035",2009
20,20,"Jason Day",61,1.09,46,5,"GIRPuttingAvg3035",2009
21,21,"Fred Couples",54,1.08,37,4,"GIRPuttingAvg3035",2009
21,21,"Bill Lunde",83,1.08,74,8,"GIRPuttingAvg3035",2009
23,23,"Martin Laird",72,1.06,47,5,"GIRPuttingAvg3035",2009
24,24,"Ben Curtis",63,1.05,38,4,"GIRPuttingAvg3035",2009
25,25,"Steve Lowery",83,1.04,48,5,"GIRPuttingAvg3035",2009
26,26,"Harrison Frazar",93,1.03,68,7,"GIRPuttingAvg3035",2009
26,26,"Brendon Todd",53,1.03,39,4,"GIRPuttingAvg3035",2009
28,28,"Daniel Chopra",89,1.02,59,6,"GIRPuttingAvg3035",2009
28,28,"Paul Goydos",79,1.02,49,5,"GIRPuttingAvg3035",2009
30,30,"Luke Donald",79,1,40,4,"GIRPuttingAvg3035",2009
31,31,"Kevin Stadler",65,0.96,52,5,"GIRPuttingAvg3035",2009
32,32,"Greg Chalmers",85,0.94,64,6,"GIRPuttingAvg3035",2009
32,32,"Rocco Mediate",79,0.94,64,6,"GIRPuttingAvg3035",2009
34,34,"Retief Goosen",74,0.93,43,4,"GIRPuttingAvg3035",2009
34,34,"Bryce Molder",69,0.93,54,5,"GIRPuttingAvg3035",2009
