"Approachesfrom75100yards_RANKTHISWEEK_2011","Approachesfrom75100yards_RANKLASTWEEK_2011","Approachesfrom75100yards_PLAYERNAME_2011","Approachesfrom75100yards_ROUNDS_2011","Approachesfrom75100yards_AVG_2011","Approachesfrom75100yards_TOTALDISTANCEFEET_2011","Approachesfrom75100yards_OFATTEMPTS_2011","Approachesfrom75100yards_RELATIVETOPAR_2011","stat_name","year"
1,1,"Nick Watney",80,NA,712,58,-18,"Approachesfrom75100yards",2011
2,2,"Steve Stricker",70,NA,788.167,60,-14,"Approachesfrom75100yards",2011
3,3,"Jonathan Byrd",83,NA,801.5,58,-8,"Approachesfrom75100yards",2011
4,4,"Stephen Ames",69,NA,764.583,54,-14,"Approachesfrom75100yards",2011
4,4,"Anthony Kim",72,NA,721.583,51,-11,"Approachesfrom75100yards",2011
6,6,"Luke Donald",73,NA,692.167,48,-11,"Approachesfrom75100yards",2011
7,7,"Paul Goydos",81,NA,1460.583,101,-12,"Approachesfrom75100yards",2011
7,7,"Scott Piercy",78,NA,523.417,36,-10,"Approachesfrom75100yards",2011
9,9,"Stewart Cink",72,NA,846.333,58,-14,"Approachesfrom75100yards",2011
10,10,"Adam Scott",60,NA,646,44,-8,"Approachesfrom75100yards",2011
11,11,"David Duval",67,NA,737.417,50,-5,"Approachesfrom75100yards",2011
11,11,"Kevin Na",84,NA,809.167,55,0,"Approachesfrom75100yards",2011
11,11,"Jimmy Walker",79,NA,764.833,52,-5,"Approachesfrom75100yards",2011
14,14,"Brian Davis",105,NA,1353.167,91,-26,"Approachesfrom75100yards",2011
14,14,"Camilo Villegas",69,NA,444,30,-9,"Approachesfrom75100yards",2011
16,16,"Charles Howell III",108,NA,909.333,61,-11,"Approachesfrom75100yards",2011
17,17,"Brian Gay",90,NA,1830.25,122,-30,"Approachesfrom75100yards",2011
18,18,"Alex Prugh",82,NA,1356.083,90,-10,"Approachesfrom75100yards",2011
18,18,"Justin Rose",79,NA,692.833,46,-12,"Approachesfrom75100yards",2011
20,20,"Woody Austin",59,NA,713.667,47,-17,"Approachesfrom75100yards",2011
20,20,"Greg Chalmers",88,NA,1104.917,73,-25,"Approachesfrom75100yards",2011
22,22,"Webb Simpson",98,NA,975.25,64,-14,"Approachesfrom75100yards",2011
22,22,"Heath Slocum",89,NA,1175.25,77,-16,"Approachesfrom75100yards",2011
24,24,"Shane Bertsch",62,NA,1093.167,71,-10,"Approachesfrom75100yards",2011
24,24,"Chad Campbell",99,NA,1235.833,80,-15,"Approachesfrom75100yards",2011
24,24,"Rickie Fowler",84,NA,833.5,54,-15,"Approachesfrom75100yards",2011
27,27,"Lee Janzen",62,NA,650.833,42,-5,"Approachesfrom75100yards",2011
27,27,"Graeme McDowell",50,NA,528.167,34,-9,"Approachesfrom75100yards",2011
29,29,"Bryce Molder",82,NA,1260.833,81,-17,"Approachesfrom75100yards",2011
29,29,"Marc Turnesa",54,NA,577.667,37,-6,"Approachesfrom75100yards",2011
31,31,"Ryuji Imada",83,NA,986.583,63,-12,"Approachesfrom75100yards",2011
32,32,"Ernie Els",71,NA,899,57,-3,"Approachesfrom75100yards",2011
33,33,"Andres Gonzales",60,NA,746.083,47,-5,"Approachesfrom75100yards",2011
34,34,"Aaron Baddeley",77,NA,651.417,41,-16,"Approachesfrom75100yards",2011
34,34,"Hunter Haas",96,NA,1067.417,67,-17,"Approachesfrom75100yards",2011
34,34,"Matt Kuchar",94,NA,1223,77,-19,"Approachesfrom75100yards",2011
34,34,"Kevin Stadler",88,NA,922.417,58,0,"Approachesfrom75100yards",2011
34,34,"Garrett Willis",71,NA,603.5,38,-3,"Approachesfrom75100yards",2011
39,39,"Jim Herman",69,NA,754.667,47,-4,"Approachesfrom75100yards",2011
39,39,"JB Holmes",57,NA,946.5,59,-7,"Approachesfrom75100yards",2011
41,41,"Dean Wilson",62,NA,841.5,52,-14,"Approachesfrom75100yards",2011
42,42,"Padraig Harrington",60,NA,502.5,31,-2,"Approachesfrom75100yards",2011
42,42,"Zack Miller",86,NA,944.083,58,1,"Approachesfrom75100yards",2011
42,42,"Brendan Steele",89,NA,992.083,61,-24,"Approachesfrom75100yards",2011
45,45,"KJ Choi",77,NA,996.083,61,-11,"Approachesfrom75100yards",2011
45,45,"Joe Durant",71,NA,1060.5,65,-6,"Approachesfrom75100yards",2011
45,45,"Bo Van Pelt",92,NA,978.75,60,-2,"Approachesfrom75100yards",2011
48,48,"Stuart Appleby",65,NA,853.5,52,2,"Approachesfrom75100yards",2011
48,48,"Chris DiMarco",93,NA,1246.083,76,-12,"Approachesfrom75100yards",2011
48,48,"Scott Gutschewski",67,NA,655.917,40,2,"Approachesfrom75100yards",2011
48,48,"Ryan Palmer",82,NA,671.917,41,1,"Approachesfrom75100yards",2011
52,52,"Ben Curtis",66,NA,1007.083,61,-10,"Approachesfrom75100yards",2011
52,52,"Bill Haas",93,NA,1007.833,61,-9,"Approachesfrom75100yards",2011
52,52,"Jerry Kelly",85,NA,758,46,-6,"Approachesfrom75100yards",2011
52,52,"Chris Kirk",87,NA,1038.75,63,-18,"Approachesfrom75100yards",2011
52,52,"Tim Petrovic",88,NA,1123.083,68,-8,"Approachesfrom75100yards",2011
52,52,"Vaughn Taylor",89,NA,1419.75,86,-11,"Approachesfrom75100yards",2011
58,58,"Jason Bohn",74,NA,1301.5,78,-17,"Approachesfrom75100yards",2011
59,59,"JP Hayes",56,NA,636.917,38,-12,"Approachesfrom75100yards",2011
59,59,"Billy Mayfair",94,NA,871.25,52,-6,"Approachesfrom75100yards",2011
61,61,"Dustin Johnson",72,NA,723.833,43,-8,"Approachesfrom75100yards",2011
61,61,"Kent Jones",76,NA,1042.917,62,-9,"Approachesfrom75100yards",2011
61,61,"Joe Ogilvie",75,NA,894,53,-1,"Approachesfrom75100yards",2011
61,61,"Aron Price",58,NA,706.667,42,-11,"Approachesfrom75100yards",2011
61,61,"Michael Putnam",67,NA,640.917,38,-8,"Approachesfrom75100yards",2011
66,66,"Harrison Frazar",58,NA,608,36,0,"Approachesfrom75100yards",2011
66,66,"Lucas Glover",74,NA,593.333,35,-1,"Approachesfrom75100yards",2011
66,66,"Justin Hicks",60,NA,811.5,48,-3,"Approachesfrom75100yards",2011
69,69,"Kris Blanks",92,NA,1053.667,62,-13,"Approachesfrom75100yards",2011
69,69,"Martin Laird",77,NA,951.833,56,-2,"Approachesfrom75100yards",2011
69,69,"Jarrod Lyle",83,NA,1085.917,64,-6,"Approachesfrom75100yards",2011
69,69,"Ben Martin",74,NA,782.333,46,-13,"Approachesfrom75100yards",2011
69,69,"Nick OHern",89,NA,1564.167,92,-13,"Approachesfrom75100yards",2011
69,69,"Brandt Snedeker",85,NA,766.333,45,-10,"Approachesfrom75100yards",2011
69,69,"Kyle Stanley",98,NA,952.833,56,-10,"Approachesfrom75100yards",2011
