"GIRPercentage100125yards_RANKTHISWEEK_2014","GIRPercentage100125yards_RANKLASTWEEK_2014","GIRPercentage100125yards_PLAYERNAME_2014","GIRPercentage100125yards_ROUNDS_2014","GIRPercentage100125yards_Pct_2014","GIRPercentage100125yards_GREENSHIT_2014","GIRPercentage100125yards_TOTALHOLES_2014","GIRPercentage100125yards_RELATIVETOPAR_2014","stat_name","year"
1,1,"Ted Potter Jr",68,86.67,91,105,-0.24,"GIRPercentage100125yards",2014
2,2,"Boo Weekley",73,84.82,95,112,-0.22,"GIRPercentage100125yards",2014
3,3,"Seung Yul Noh",92,84.73,111,131,-0.24,"GIRPercentage100125yards",2014
4,4,"John Huh",87,83.93,94,112,-0.24,"GIRPercentage100125yards",2014
4,4,"YE Yang",79,83.93,94,112,-0.3,"GIRPercentage100125yards",2014
6,6,"Billy Hurley III",86,83.61,102,122,-0.24,"GIRPercentage100125yards",2014
7,7,"Robert Allenby",83,83.59,107,128,-0.21,"GIRPercentage100125yards",2014
8,8,"Greg Chalmers",85,83.2,104,125,-0.28,"GIRPercentage100125yards",2014
9,9,"Jerry Kelly",80,83.19,94,113,-0.3,"GIRPercentage100125yards",2014
9,9,"George McNeill",79,83.19,99,119,-0.35,"GIRPercentage100125yards",2014
11,11,"DA Points",75,83.16,79,95,-0.19,"GIRPercentage100125yards",2014
12,12,"Scott Langley",95,83.11,123,148,-0.32,"GIRPercentage100125yards",2014
13,13,"John Rollins",84,82.91,97,117,-0.22,"GIRPercentage100125yards",2014
14,14,"Ben Martin",80,82.81,106,128,-0.35,"GIRPercentage100125yards",2014
15,15,"Jeff Maggert",54,82.56,71,86,-0.28,"GIRPercentage100125yards",2014
16,16,"Stuart Appleby",92,82.52,118,143,-0.31,"GIRPercentage100125yards",2014
17,17,"Justin Hicks",103,82.49,146,177,-0.25,"GIRPercentage100125yards",2014
18,18,"Chad Campbell",57,82.35,70,85,-0.3,"GIRPercentage100125yards",2014
18,18,"Cameron Tringale",111,82.35,126,153,-0.29,"GIRPercentage100125yards",2014
20,20,"Hideki Matsuyama",82,82.14,92,112,-0.29,"GIRPercentage100125yards",2014
20,20,"Kevin Stadler",90,82.14,115,140,-0.16,"GIRPercentage100125yards",2014
22,22,"Luke Donald",57,81.94,59,72,-0.36,"GIRPercentage100125yards",2014
22,22,"Russell Henley",92,81.94,118,144,-0.28,"GIRPercentage100125yards",2014
24,24,"Hudson Swafford",75,81.9,86,105,-0.22,"GIRPercentage100125yards",2014
25,25,"Harris English",95,81.89,104,127,-0.29,"GIRPercentage100125yards",2014
26,26,"Michael Thompson",74,81.75,103,126,-0.3,"GIRPercentage100125yards",2014
27,27,"David Hearn",97,81.65,129,158,-0.29,"GIRPercentage100125yards",2014
28,28,"Louis Oosthuizen",50,81.63,40,49,-0.33,"GIRPercentage100125yards",2014
29,29,"Adam Scott",68,81.52,75,92,-0.31,"GIRPercentage100125yards",2014
30,30,"Ben Curtis",77,81.37,83,102,-0.33,"GIRPercentage100125yards",2014
30,30,"Charles Howell III",106,81.37,166,204,-0.27,"GIRPercentage100125yards",2014
32,32,"Jim Furyk",84,80.95,85,105,-0.31,"GIRPercentage100125yards",2014
33,33,"Justin Leonard",75,80.7,92,114,-0.34,"GIRPercentage100125yards",2014
34,34,"Webb Simpson",87,80.54,120,149,-0.32,"GIRPercentage100125yards",2014
35,35,"Charlie Beljan",76,80.52,124,154,-0.17,"GIRPercentage100125yards",2014
36,36,"Nicholas Thompson",85,80.49,99,123,-0.2,"GIRPercentage100125yards",2014
37,37,"Brandt Snedeker",89,80.45,107,133,-0.28,"GIRPercentage100125yards",2014
38,38,"Dustin Johnson",58,80.43,74,92,-0.2,"GIRPercentage100125yards",2014
39,39,"Michael Putnam",106,80.41,119,148,-0.24,"GIRPercentage100125yards",2014
40,40,"Jason Day",54,80.39,41,51,-0.29,"GIRPercentage100125yards",2014
41,41,"Hunter Mahan",88,80.17,97,121,-0.27,"GIRPercentage100125yards",2014
42,42,"William McGirt",96,80,116,145,-0.28,"GIRPercentage100125yards",2014
43,43,"Martin Kaymer",65,79.79,75,94,-0.23,"GIRPercentage100125yards",2014
44,44,"Kevin Na",94,79.46,89,112,-0.24,"GIRPercentage100125yards",2014
45,45,"Jhonattan Vegas",77,79.39,104,131,-0.3,"GIRPercentage100125yards",2014
46,46,"Johnson Wagner",69,79.38,77,97,-0.25,"GIRPercentage100125yards",2014
47,47,"Camilo Villegas",95,79.31,138,174,-0.36,"GIRPercentage100125yards",2014
48,48,"Daniel Summerhays",98,79.26,149,188,-0.28,"GIRPercentage100125yards",2014
49,49,"Kyle Stanley",87,79.19,118,149,-0.24,"GIRPercentage100125yards",2014
50,50,"Kevin Streelman",79,79.17,95,120,-0.39,"GIRPercentage100125yards",2014
51,51,"Heath Slocum",71,79.13,91,115,-0.25,"GIRPercentage100125yards",2014
52,52,"Phil Mickelson",71,79.07,68,86,-0.26,"GIRPercentage100125yards",2014
53,53,"JJ Henry",91,79.01,128,162,-0.23,"GIRPercentage100125yards",2014
54,54,"Brian Davis",93,78.99,109,138,-0.3,"GIRPercentage100125yards",2014
55,55,"Brice Garnett",92,78.91,116,147,-0.29,"GIRPercentage100125yards",2014
56,56,"Nick Watney",80,78.9,86,109,-0.24,"GIRPercentage100125yards",2014
57,57,"Charley Hoffman",93,78.88,127,161,-0.23,"GIRPercentage100125yards",2014
58,58,"Brian Harman",111,78.38,174,222,-0.28,"GIRPercentage100125yards",2014
59,59,"Geoff Ogilvy",84,78.36,105,134,-0.36,"GIRPercentage100125yards",2014
60,60,"John Merrick",87,78.33,94,120,-0.26,"GIRPercentage100125yards",2014
61,61,"Russell Knox",92,78.26,126,161,-0.22,"GIRPercentage100125yards",2014
62,62,"Zach Johnson",97,78.11,132,169,-0.3,"GIRPercentage100125yards",2014
63,63,"Ryo Ishikawa",75,77.97,92,118,-0.33,"GIRPercentage100125yards",2014
64,64,"Ryan Moore",86,77.67,80,103,-0.36,"GIRPercentage100125yards",2014
65,65,"Graeme McDowell",66,77.65,66,85,-0.33,"GIRPercentage100125yards",2014
66,66,"Jim Renner",61,77.45,79,102,-0.27,"GIRPercentage100125yards",2014
67,67,"Chesson Hadley",84,77.27,102,132,-0.3,"GIRPercentage100125yards",2014
68,68,"Will Ma Kenzie",82,77.1,101,131,-0.34,"GIRPercentage100125yards",2014
69,69,"Henrik Stenson",56,77.08,37,48,-0.35,"GIRPercentage100125yards",2014
70,70,"Tyrone Van Aswegen",79,76.92,80,104,-0.26,"GIRPercentage100125yards",2014
71,71,"Jonathan Byrd",76,76.87,103,134,-0.25,"GIRPercentage100125yards",2014
72,72,"Lucas Glover",68,76.85,83,108,-0.2,"GIRPercentage100125yards",2014
73,73,"James Driscoll",71,76.84,73,95,-0.23,"GIRPercentage100125yards",2014
74,74,"Carl Pettersson",91,76.83,126,164,-0.28,"GIRPercentage100125yards",2014
75,75,"Billy Horschel",92,76.81,106,138,-0.23,"GIRPercentage100125yards",2014
76,76,"Tim Wilkinson",86,76.8,96,125,-0.26,"GIRPercentage100125yards",2014
77,77,"Angel Cabrera",69,76.69,102,133,-0.29,"GIRPercentage100125yards",2014
78,78,"Tim Clark",75,76.47,78,102,-0.33,"GIRPercentage100125yards",2014
78,78,"Bubba Watson",76,76.47,104,136,-0.4,"GIRPercentage100125yards",2014
80,80,"John Senden",99,76.43,107,140,-0.17,"GIRPercentage100125yards",2014
81,81,"Ricky Barnes",92,76.13,118,155,-0.3,"GIRPercentage100125yards",2014
82,82,"Paul Casey",56,76.12,51,67,-0.35,"GIRPercentage100125yards",2014
83,83,"Troy Matteson",62,76.11,86,113,-0.28,"GIRPercentage100125yards",2014
84,84,"Jason Bohn",81,76.09,105,138,-0.29,"GIRPercentage100125yards",2014
85,85,"Ian Poulter",57,76.06,54,71,-0.37,"GIRPercentage100125yards",2014
86,86,"Jimmy Walker",98,75.97,98,129,-0.34,"GIRPercentage100125yards",2014
87,87,"Matt Every",85,75.89,85,112,-0.44,"GIRPercentage100125yards",2014
88,88,"Bryce Molder",77,75.65,87,115,-0.33,"GIRPercentage100125yards",2014
89,89,"Keegan Bradley",89,75.63,90,119,-0.31,"GIRPercentage100125yards",2014
90,90,"Ben Crane",81,75.44,86,114,-0.27,"GIRPercentage100125yards",2014
91,91,"Erik Compton",88,75.4,95,126,-0.19,"GIRPercentage100125yards",2014
91,91,"Gary Woodland",93,75.4,95,126,-0.27,"GIRPercentage100125yards",2014
93,93,"Kevin Chappell",100,75.32,119,158,-0.24,"GIRPercentage100125yards",2014
94,94,"Brendon de Jonge",109,75.31,122,162,-0.33,"GIRPercentage100125yards",2014
95,95,"Mike Weir",69,75.29,64,85,-0.2,"GIRPercentage100125yards",2014
96,96,"Jason Dufner",57,75.28,67,89,-0.25,"GIRPercentage100125yards",2014
97,97,"Bo Van Pelt",83,75.21,91,121,-0.29,"GIRPercentage100125yards",2014
98,98,"Jordan Spieth",102,75,105,140,-0.21,"GIRPercentage100125yards",2014
98,98,"Brendon Todd",108,75,123,164,-0.27,"GIRPercentage100125yards",2014
100,100,"Matt Kuchar",91,74.83,107,143,-0.29,"GIRPercentage100125yards",2014
101,101,"Andrew Svoboda",77,74.78,86,115,-0.3,"GIRPercentage100125yards",2014
102,102,"Kevin Kisner",85,74.68,118,158,-0.25,"GIRPercentage100125yards",2014
103,103,"Luke Guthrie",85,74.45,102,137,-0.24,"GIRPercentage100125yards",2014
104,104,"Spencer Levin",59,74.44,67,90,-0.22,"GIRPercentage100125yards",2014
105,105,"Sergio Garcia",61,74.32,55,74,-0.27,"GIRPercentage100125yards",2014
106,106,"Chad Collins",78,74.29,78,105,-0.22,"GIRPercentage100125yards",2014
107,107,"James Hahn",82,74.19,92,124,-0.17,"GIRPercentage100125yards",2014
108,108,"Richard Lee",80,74.14,86,116,-0.34,"GIRPercentage100125yards",2014
108,108,"Robert Streb",75,74.14,86,116,-0.34,"GIRPercentage100125yards",2014
110,110,"Sangmoon Bae",76,74.02,94,127,-0.32,"GIRPercentage100125yards",2014
111,111,"Rory Sabbatini",82,73.98,91,123,-0.27,"GIRPercentage100125yards",2014
112,112,"Brian Gay",81,73.96,71,96,-0.21,"GIRPercentage100125yards",2014
