"RightRoughTendencyRTPScore_RANKTHISWEEK_2010","RightRoughTendencyRTPScore_RANKLASTWEEK_2010","RightRoughTendencyRTPScore_PLAYERNAME_2010","RightRoughTendencyRTPScore_ROUNDS_2010","RightRoughTendencyRTPScore_RTPSCORE_2010","stat_name","year"
1,1,"Justin Rose",78,-0.09,"RightRoughTendencyRTPScore",2010
2,2,"Steve Stricker",73,-0.08,"RightRoughTendencyRTPScore",2010
3,3,"Phil Mickelson",76,-0.063,"RightRoughTendencyRTPScore",2010
4,4,"Brett Wetterich",54,-0.06,"RightRoughTendencyRTPScore",2010
5,5,"Retief Goosen",75,-0.056,"RightRoughTendencyRTPScore",2010
6,6,"Steve Flesch",78,-0.05,"RightRoughTendencyRTPScore",2010
7,7,"Bob Estes",79,-0.049,"RightRoughTendencyRTPScore",2010
7,7,"Cliff Kresge",50,-0.049,"RightRoughTendencyRTPScore",2010
9,9,"Trevor Immelman",55,-0.048,"RightRoughTendencyRTPScore",2010
10,10,"Ryan Moore",80,-0.046,"RightRoughTendencyRTPScore",2010
11,11,"Stuart Appleby",101,-0.045,"RightRoughTendencyRTPScore",2010
11,11,"Dean Wilson",54,-0.045,"RightRoughTendencyRTPScore",2010
13,13,"Angel Cabrera",64,-0.039,"RightRoughTendencyRTPScore",2010
13,13,"Matt Kuchar",97,-0.039,"RightRoughTendencyRTPScore",2010
15,15,"Charles Howell III",103,-0.031,"RightRoughTendencyRTPScore",2010
16,16,"Bill Haas",87,-0.03,"RightRoughTendencyRTPScore",2010
17,17,"Ernie Els",72,-0.029,"RightRoughTendencyRTPScore",2010
18,18,"Robert Allenby",76,-0.023,"RightRoughTendencyRTPScore",2010
19,19,"Jarrod Lyle",54,-0.022,"RightRoughTendencyRTPScore",2010
20,20,"Padraig Harrington",57,-0.02,"RightRoughTendencyRTPScore",2010
21,21,"Geoff Ogilvy",62,-0.016,"RightRoughTendencyRTPScore",2010
22,22,"Rory Sabbatini",79,-0.013,"RightRoughTendencyRTPScore",2010
22,22,"Jimmy Walker",82,-0.013,"RightRoughTendencyRTPScore",2010
24,24,"Nick Watney",91,-0.012,"RightRoughTendencyRTPScore",2010
25,25,"David Duval",71,-0.011,"RightRoughTendencyRTPScore",2010
25,25,"DJ Trahan",92,-0.011,"RightRoughTendencyRTPScore",2010
27,27,"Adam Scott",70,-0.009,"RightRoughTendencyRTPScore",2010
28,28,"Paul Casey",64,0,"RightRoughTendencyRTPScore",2010
28,28,"Jim Furyk",76,0,"RightRoughTendencyRTPScore",2010
28,28,"Spencer Levin",110,0,"RightRoughTendencyRTPScore",2010
28,28,"Billy Mayfair",78,0,"RightRoughTendencyRTPScore",2010
28,28,"Kevin Sutherland",86,0,"RightRoughTendencyRTPScore",2010
33,33,"Bubba Watson",77,0.006,"RightRoughTendencyRTPScore",2010
34,34,"Chris Stroud",90,0.007,"RightRoughTendencyRTPScore",2010
35,35,"YE Yang",72,0.009,"RightRoughTendencyRTPScore",2010
36,36,"Michael Sim",64,0.011,"RightRoughTendencyRTPScore",2010
37,37,"Rickie Fowler",98,0.012,"RightRoughTendencyRTPScore",2010
37,37,"Alex Prugh",88,0.012,"RightRoughTendencyRTPScore",2010
