"LeftRoughTendencyRTPScore_RANKTHISWEEK_2009","LeftRoughTendencyRTPScore_RANKLASTWEEK_2009","LeftRoughTendencyRTPScore_PLAYERNAME_2009","LeftRoughTendencyRTPScore_ROUNDS_2009","LeftRoughTendencyRTPScore_RTPSCORE_2009","stat_name","year"
1,1,"Steve Stricker",81,-0.095,"LeftRoughTendencyRTPScore",2009
2,2,"Matt Kuchar",82,-0.08,"LeftRoughTendencyRTPScore",2009
3,3,"Dustin Johnson",85,-0.062,"LeftRoughTendencyRTPScore",2009
4,4,"Tiger Woods",64,-0.057,"LeftRoughTendencyRTPScore",2009
5,5,"Fred Couples",54,-0.056,"LeftRoughTendencyRTPScore",2009
6,6,"Kevin Streelman",97,-0.055,"LeftRoughTendencyRTPScore",2009
7,7,"Ben Curtis",63,-0.054,"LeftRoughTendencyRTPScore",2009
8,8,"Kenny Perry",92,-0.035,"LeftRoughTendencyRTPScore",2009
9,9,"Andres Romero",58,-0.028,"LeftRoughTendencyRTPScore",2009
10,10,"Steve Marino",98,-0.021,"LeftRoughTendencyRTPScore",2009
11,11,"Vijay Singh",71,-0.02,"LeftRoughTendencyRTPScore",2009
12,12,"Geoff Ogilvy",78,-0.019,"LeftRoughTendencyRTPScore",2009
13,13,"Robert Garrigus",83,-0.018,"LeftRoughTendencyRTPScore",2009
14,14,"Robert Allenby",71,-0.017,"LeftRoughTendencyRTPScore",2009
14,14,"Joe Ogilvie",85,-0.017,"LeftRoughTendencyRTPScore",2009
16,16,"Charley Hoffman",97,-0.012,"LeftRoughTendencyRTPScore",2009
16,16,"Nick Watney",86,-0.012,"LeftRoughTendencyRTPScore",2009
18,18,"Sean OHair",80,-0.008,"LeftRoughTendencyRTPScore",2009
19,19,"Charles Howell III",99,0,"LeftRoughTendencyRTPScore",2009
19,19,"Anthony Kim",76,0,"LeftRoughTendencyRTPScore",2009
19,19,"Scott Piercy",85,0,"LeftRoughTendencyRTPScore",2009
19,19,"Webb Simpson",94,0,"LeftRoughTendencyRTPScore",2009
19,19,"Kirk Triplett",60,0,"LeftRoughTendencyRTPScore",2009
24,24,"Nathan Green",104,0.006,"LeftRoughTendencyRTPScore",2009
25,25,"Justin Rose",71,0.011,"LeftRoughTendencyRTPScore",2009
25,25,"Adam Scott",53,0.011,"LeftRoughTendencyRTPScore",2009
27,27,"Luke Donald",79,0.019,"LeftRoughTendencyRTPScore",2009
28,28,"Sergio Garcia",59,0.022,"LeftRoughTendencyRTPScore",2009
28,28,"Jarrod Lyle",65,0.022,"LeftRoughTendencyRTPScore",2009
28,28,"Tag Ridings",50,0.022,"LeftRoughTendencyRTPScore",2009
28,28,"Brandt Snedeker",81,0.022,"LeftRoughTendencyRTPScore",2009
32,32,"Matt Jones",56,0.024,"LeftRoughTendencyRTPScore",2009
33,33,"Rocco Mediate",79,0.025,"LeftRoughTendencyRTPScore",2009
34,34,"YE Yang",83,0.026,"LeftRoughTendencyRTPScore",2009
35,35,"Rich Beem",77,0.028,"LeftRoughTendencyRTPScore",2009
36,36,"Jonathan Byrd",89,0.029,"LeftRoughTendencyRTPScore",2009
37,37,"Brett Quigley",92,0.032,"LeftRoughTendencyRTPScore",2009
38,38,"Padraig Harrington",66,0.034,"LeftRoughTendencyRTPScore",2009
39,39,"Tom Pernice Jr",82,0.036,"LeftRoughTendencyRTPScore",2009
40,40,"Spencer Levin",75,0.037,"LeftRoughTendencyRTPScore",2009
40,40,"Troy Matteson",95,0.037,"LeftRoughTendencyRTPScore",2009
42,42,"Jerry Kelly",90,0.041,"LeftRoughTendencyRTPScore",2009
43,43,"Kris Blanks",60,0.044,"LeftRoughTendencyRTPScore",2009
44,44,"Jeff Overton",92,0.045,"LeftRoughTendencyRTPScore",2009
45,45,"Bill Haas",91,0.046,"LeftRoughTendencyRTPScore",2009
46,46,"Davis Love III",89,0.049,"LeftRoughTendencyRTPScore",2009
