"PowerRating_RANKTHISWEEK_2008","PowerRating_RANKLASTWEEK_2008","PowerRating_PLAYERNAME_2008","PowerRating_EVENTS_2008","PowerRating_RATING_2008","stat_name","year"
1,1,"JB Holmes",15,9.7,"PowerRating",2008
2,2,"Bubba Watson",17,9.6,"PowerRating",2008
3,3,"Robert Garrigus",17,9.5,"PowerRating",2008
3,3,"Dustin Johnson",15,9.5,"PowerRating",2008
5,5,"Jhonattan Vegas",1,9.4,"PowerRating",2008
5,5,"Nick Watney",19,9.4,"PowerRating",2008
7,7,"Steve Allan",5,9.3,"PowerRating",2008
7,7,"Brett Wetterich",6,9.3,"PowerRating",2008
9,9,"Brendan Jones",2,9.2,"PowerRating",2008
9,9,"Mike Ruiz",1,9.2,"PowerRating",2008
11,11,"John Daly",3,9.1,"PowerRating",2008
11,11,"Danny Lee",1,9.1,"PowerRating",2008
11,11,"Vijay Singh",15,9.1,"PowerRating",2008
11,11,"Charles Warren",9,9.1,"PowerRating",2008
11,11,"Lee Westwood",3,9.1,"PowerRating",2008
16,16,"Angel Cabrera",7,9,"PowerRating",2008
16,16,"Fred Couples",12,9,"PowerRating",2008
16,16,"Robert Floyd",1,9,"PowerRating",2008
16,16,"Anton Haig",2,9,"PowerRating",2008
16,16,"Anthony Kim",15,9,"PowerRating",2008
16,16,"Davis Love III",14,9,"PowerRating",2008
16,16,"Adam Scott",7,9,"PowerRating",2008
23,23,"Harrison Frazar",11,8.9,"PowerRating",2008
23,23,"Derek Lamely",1,8.9,"PowerRating",2008
23,23,"Tag Ridings",14,8.9,"PowerRating",2008
23,23,"Andres Romero",10,8.9,"PowerRating",2008
27,27,"Chapchai Nirat",1,8.8,"PowerRating",2008
27,27,"Mitsuhiro Tateyama",1,8.8,"PowerRating",2008
29,29,"Bill Haas",17,8.7,"PowerRating",2008
29,29,"Charley Hoffman",16,8.7,"PowerRating",2008
29,29,"Brandt Jobe",6,8.7,"PowerRating",2008
29,29,"Jeev Milkha Singh",2,8.7,"PowerRating",2008
33,33,"Stewart Cink",16,8.6,"PowerRating",2008
33,33,"Jason Day",12,8.6,"PowerRating",2008
33,33,"Yusaku Miyazato",1,8.6,"PowerRating",2008
36,36,"Daniel Chopra",13,8.5,"PowerRating",2008
36,36,"Richard Johnson",7,8.5,"PowerRating",2008
36,36,"Jamie Lovemark",2,8.5,"PowerRating",2008
36,36,"Phil Mickelson",14,8.5,"PowerRating",2008
36,36,"Jeff Overton",17,8.5,"PowerRating",2008
41,41,"Tommy Gainey",3,8.4,"PowerRating",2008
41,41,"Pablo Larrazabal",1,8.4,"PowerRating",2008
43,43,"Rob Grube",1,8.3,"PowerRating",2008
43,43,"Kenny Perry",22,8.3,"PowerRating",2008
43,43,"Chip Sullivan",2,8.3,"PowerRating",2008
43,43,"Nicholas Thompson",18,8.3,"PowerRating",2008
47,47,"Andrew Buckle",7,8.2,"PowerRating",2008
47,47,"Lucas Glover",18,8.2,"PowerRating",2008
47,47,"Mathias Gronberg",11,8.2,"PowerRating",2008
