"AccuracyRating_RANKTHISWEEK_2014","AccuracyRating_RANKLASTWEEK_2014","AccuracyRating_PLAYERNAME_2014","AccuracyRating_EVENTS_2014","AccuracyRating_RATING_2014","stat_name","year"
1,1,"Josh Broadaway",1,8.7,"AccuracyRating",2014
2,2,"Kenny Perry",1,8.4,"AccuracyRating",2014
3,3,"Adam Hadwin",1,8.2,"AccuracyRating",2014
4,4,"Jim Furyk",17,8,"AccuracyRating",2014
4,4,"Lucas Glover",4,8,"AccuracyRating",2014
6,6,"Robert Karlsson",2,7.9,"AccuracyRating",2014
6,6,"Jim Renner",6,7.9,"AccuracyRating",2014
6,6,"Bernd Wiesberger",1,7.9,"AccuracyRating",2014
9,9,"Tim Clark",9,7.8,"AccuracyRating",2014
9,9,"Joe Durant",5,7.8,"AccuracyRating",2014
11,11,"Kevin Chappell",20,7.7,"AccuracyRating",2014
11,11,"Graham DeLaet",14,7.7,"AccuracyRating",2014
11,11,"Jason Gore",4,7.7,"AccuracyRating",2014
11,11,"Branden Grace",3,7.7,"AccuracyRating",2014
11,11,"Zach Johnson",21,7.7,"AccuracyRating",2014
11,11,"Jeff Maggert",5,7.7,"AccuracyRating",2014
11,11,"Rory McIlroy",12,7.7,"AccuracyRating",2014
11,11,"Chez Reavie",1,7.7,"AccuracyRating",2014
11,11,"Scottie Scheffler",1,7.7,"AccuracyRating",2014
11,11,"Nick Watney",10,7.7,"AccuracyRating",2014
21,21,"Justin Hicks",19,7.6,"AccuracyRating",2014
21,21,"Dustin Johnson",10,7.6,"AccuracyRating",2014
21,21,"Russell Knox",19,7.6,"AccuracyRating",2014
21,21,"Bo Van Pelt",13,7.6,"AccuracyRating",2014
25,25,"Charlie Beljan",11,7.5,"AccuracyRating",2014
25,25,"Chad Campbell",9,7.5,"AccuracyRating",2014
25,25,"Paul Casey",9,7.5,"AccuracyRating",2014
25,25,"Fred Funk",2,7.5,"AccuracyRating",2014
25,25,"Stephen Gallacher",2,7.5,"AccuracyRating",2014
25,25,"Ben Martin",10,7.5,"AccuracyRating",2014
25,25,"Hideki Matsuyama",15,7.5,"AccuracyRating",2014
25,25,"Graeme McDowell",12,7.5,"AccuracyRating",2014
25,25,"Ryan Moore",14,7.5,"AccuracyRating",2014
25,25,"Kevin Penner",1,7.5,"AccuracyRating",2014
25,25,"John Peterson",6,7.5,"AccuracyRating",2014
36,36,"Jose Coceres",1,7.4,"AccuracyRating",2014
36,36,"Ken Duke",12,7.4,"AccuracyRating",2014
36,36,"Sergio Garcia",10,7.4,"AccuracyRating",2014
