"ShortGameRating_RANKTHISWEEK_2010","ShortGameRating_RANKLASTWEEK_2010","ShortGameRating_PLAYERNAME_2010","ShortGameRating_EVENTS_2010","ShortGameRating_RATING_2010","stat_name","year"
1,1,"Tom Byrum",1,7.9,"ShortGameRating",2010
2,2,"Robert Damron",1,7.7,"ShortGameRating",2010
2,2,"Dicky Pride",2,7.7,"ShortGameRating",2010
2,2,"Tim Wilkinson",4,7.7,"ShortGameRating",2010
5,5,"Warren Schutte",1,7.6,"ShortGameRating",2010
5,5,"Matt Weibring",3,7.6,"ShortGameRating",2010
7,7,"Kevin Chappell",1,7.5,"ShortGameRating",2010
7,7,"Jeff Klauk",5,7.5,"ShortGameRating",2010
7,7,"Chris Rogers",1,7.5,"ShortGameRating",2010
7,7,"Marc Turnesa",1,7.5,"ShortGameRating",2010
11,11,"Daniel Chopra",7,7.4,"ShortGameRating",2010
11,11,"Carlos Franco",4,7.4,"ShortGameRating",2010
11,11,"Marcus Fraser",1,7.4,"ShortGameRating",2010
11,11,"Mike Weir",7,7.4,"ShortGameRating",2010
15,15,"Bob Heintz",2,7.3,"ShortGameRating",2010
15,15,"Tom Lehman",4,7.3,"ShortGameRating",2010
15,15,"Michael ONeal",1,7.3,"ShortGameRating",2010
15,15,"Alistair Presnell",1,7.3,"ShortGameRating",2010
19,19,"Tim Clark",16,7.2,"ShortGameRating",2010
19,19,"Robin Freeman",1,7.2,"ShortGameRating",2010
19,19,"Soren Kjeldsen",2,7.2,"ShortGameRating",2010
19,19,"Justin Rose",15,7.2,"ShortGameRating",2010
19,19,"Jerod Turner",4,7.2,"ShortGameRating",2010
24,24,"Lucas Glover",12,7.1,"ShortGameRating",2010
24,24,"Alex Hamilton",1,7.1,"ShortGameRating",2010
24,24,"Ryuji Imada",15,7.1,"ShortGameRating",2010
24,24,"Corey Pavin",4,7.1,"ShortGameRating",2010
28,28,"Luke Donald",11,7,"ShortGameRating",2010
28,28,"John Ellis",1,7,"ShortGameRating",2010
28,28,"Jim Furyk",11,7,"ShortGameRating",2010
28,28,"Brian Gay",17,7,"ShortGameRating",2010
28,28,"Padraig Harrington",10,7,"ShortGameRating",2010
28,28,"Nick OHern",5,7,"ShortGameRating",2010
28,28,"Charl Schwartzel",3,7,"ShortGameRating",2010
28,28,"Danny Wax",1,7,"ShortGameRating",2010
28,28,"Dean Wilson",8,7,"ShortGameRating",2010
37,37,"Brad Adamonis",1,6.9,"ShortGameRating",2010
37,37,"Chad Collins",12,6.9,"ShortGameRating",2010
37,37,"Erik Compton",3,6.9,"ShortGameRating",2010
37,37,"Fred Couples",3,6.9,"ShortGameRating",2010
37,37,"Bob Estes",10,6.9,"ShortGameRating",2010
37,37,"Robert Gamez",1,6.9,"ShortGameRating",2010
37,37,"Retief Goosen",13,6.9,"ShortGameRating",2010
37,37,"Zach Johnson",16,6.9,"ShortGameRating",2010
37,37,"Robert Karlsson",5,6.9,"ShortGameRating",2010
37,37,"Marc Leishman",15,6.9,"ShortGameRating",2010
37,37,"David Lutterus",7,6.9,"ShortGameRating",2010
37,37,"Bryce Molder",13,6.9,"ShortGameRating",2010
37,37,"Chris Riley",10,6.9,"ShortGameRating",2010
37,37,"Michael Sim",9,6.9,"ShortGameRating",2010
37,37,"Steve Stricker",14,6.9,"ShortGameRating",2010
37,37,"Chris Stroud",11,6.9,"ShortGameRating",2010
37,37,"Scott Verplank",11,6.9,"ShortGameRating",2010
37,37,"Mark Wilson",13,6.9,"ShortGameRating",2010
55,55,"Trevor Immelman",5,6.8,"ShortGameRating",2010
55,55,"Michael Jonzon",1,6.8,"ShortGameRating",2010
55,55,"Jerry Kelly",18,6.8,"ShortGameRating",2010
55,55,"Ross McGowan",2,6.8,"ShortGameRating",2010
55,55,"Phil Mickelson",13,6.8,"ShortGameRating",2010
55,55,"Carl Pettersson",16,6.8,"ShortGameRating",2010
55,55,"Aron Price",11,6.8,"ShortGameRating",2010
55,55,"Heath Slocum",18,6.8,"ShortGameRating",2010
55,55,"Jimmy Walker",11,6.8,"ShortGameRating",2010
55,55,"Drew Weaver",1,6.8,"ShortGameRating",2010
55,55,"Jay Williamson",10,6.8,"ShortGameRating",2010
66,66,"Cameron Beckman",6,6.7,"ShortGameRating",2010
66,66,"Matt Bettencourt",9,6.7,"ShortGameRating",2010
66,66,"Michael Bradley",13,6.7,"ShortGameRating",2010
66,66,"Michael Clark II",1,6.7,"ShortGameRating",2010
66,66,"Brendon de Jonge",20,6.7,"ShortGameRating",2010
66,66,"Ernie Els",12,6.7,"ShortGameRating",2010
66,66,"Martin Flores",6,6.7,"ShortGameRating",2010
66,66,"Chris Kirk",1,6.7,"ShortGameRating",2010
66,66,"Bill Lunde",8,6.7,"ShortGameRating",2010
66,66,"Jarrod Lyle",7,6.7,"ShortGameRating",2010
66,66,"Billy Mayfair",10,6.7,"ShortGameRating",2010
66,66,"Andrew McLardy",4,6.7,"ShortGameRating",2010
66,66,"Ryan Moore",10,6.7,"ShortGameRating",2010
66,66,"Kevin Na",18,6.7,"ShortGameRating",2010
66,66,"Jeff Overton",15,6.7,"ShortGameRating",2010
66,66,"Pat Perez",16,6.7,"ShortGameRating",2010
66,66,"Tag Ridings",1,6.7,"ShortGameRating",2010
66,66,"John Senden",18,6.7,"ShortGameRating",2010
66,66,"Cameron Tringale",3,6.7,"ShortGameRating",2010
66,66,"Omar Uresti",6,6.7,"ShortGameRating",2010
66,66,"Camilo Villegas",12,6.7,"ShortGameRating",2010
66,66,"Charlie Wi",20,6.7,"ShortGameRating",2010
88,88,"Michael Allen",8,6.6,"ShortGameRating",2010
88,88,"KJ Choi",15,6.6,"ShortGameRating",2010
88,88,"Michael Connell",15,6.6,"ShortGameRating",2010
88,88,"Graham DeLaet",12,6.6,"ShortGameRating",2010
88,88,"Chris DiMarco",17,6.6,"ShortGameRating",2010
88,88,"Jason Dufner",14,6.6,"ShortGameRating",2010
88,88,"Matt Every",11,6.6,"ShortGameRating",2010
88,88,"Charles Howell III",21,6.6,"ShortGameRating",2010
88,88,"John Huston",1,6.6,"ShortGameRating",2010
88,88,"Lee Janzen",11,6.6,"ShortGameRating",2010
88,88,"Miguel Angel Jimenez",2,6.6,"ShortGameRating",2010
88,88,"Matt Jones",15,6.6,"ShortGameRating",2010
88,88,"Anthony Kim",8,6.6,"ShortGameRating",2010
88,88,"James Kingston",1,6.6,"ShortGameRating",2010
88,88,"Matt Kuchar",15,6.6,"ShortGameRating",2010
88,88,"Frank Lickliter II",2,6.6,"ShortGameRating",2010
88,88,"Rory McIlroy",8,6.6,"ShortGameRating",2010
88,88,"Ian Poulter",7,6.6,"ShortGameRating",2010
88,88,"Brandt Snedeker",15,6.6,"ShortGameRating",2010
88,88,"Paul Stankowski",10,6.6,"ShortGameRating",2010
88,88,"Kevin Sutherland",14,6.6,"ShortGameRating",2010
88,88,"Josh Teater",18,6.6,"ShortGameRating",2010
88,88,"David Toms",13,6.6,"ShortGameRating",2010
111,111,"Arjun Atwal",9,6.5,"ShortGameRating",2010
111,111,"Rich Barcelo",8,6.5,"ShortGameRating",2010
111,111,"Jonathan Byrd",15,6.5,"ShortGameRating",2010
111,111,"Greg Chalmers",19,6.5,"ShortGameRating",2010
111,111,"Jason Day",14,6.5,"ShortGameRating",2010
111,111,"Steve Elkington",11,6.5,"ShortGameRating",2010
111,111,"Ross Fisher",4,6.5,"ShortGameRating",2010
111,111,"Fred Funk",3,6.5,"ShortGameRating",2010
111,111,"Nathan Green",15,6.5,"ShortGameRating",2010
111,111,"Adam Hadwin",1,6.5,"ShortGameRating",2010
111,111,"Soren Hansen",2,6.5,"ShortGameRating",2010
111,111,"JP Hayes",12,6.5,"ShortGameRating",2010
111,111,"Charley Hoffman",16,6.5,"ShortGameRating",2010
111,111,"Freddie Jacobson",15,6.5,"ShortGameRating",2010
111,111,"Brandt Jobe",1,6.5,"ShortGameRating",2010
111,111,"Derek Lamely",10,6.5,"ShortGameRating",2010
111,111,"Michael Letzig",15,6.5,"ShortGameRating",2010
111,111,"Scott McCarron",13,6.5,"ShortGameRating",2010
111,111,"Rory Sabbatini",12,6.5,"ShortGameRating",2010
111,111,"Webb Simpson",16,6.5,"ShortGameRating",2010
111,111,"Bo Van Pelt",19,6.5,"ShortGameRating",2010
132,132,"Robert Allenby",14,6.4,"ShortGameRating",2010
132,132,"Aaron Baddeley",17,6.4,"ShortGameRating",2010
132,132,"Craig Barlow",4,6.4,"ShortGameRating",2010
132,132,"Ricky Barnes",16,6.4,"ShortGameRating",2010
132,132,"Kris Blanks",11,6.4,"ShortGameRating",2010
132,132,"Ben Curtis",13,6.4,"ShortGameRating",2010
132,132,"David Duval",6,6.4,"ShortGameRating",2010
132,132,"Spencer Levin",20,6.4,"ShortGameRating",2010
132,132,"WC Liang",1,6.4,"ShortGameRating",2010
132,132,"Will Ma Kenzie",12,6.4,"ShortGameRating",2010
132,132,"Colin Montgomerie",1,6.4,"ShortGameRating",2010
132,132,"Vijay Singh",11,6.4,"ShortGameRating",2010
132,132,"Jeev Milkha Singh",8,6.4,"ShortGameRating",2010
132,132,"Kirk Triplett",5,6.4,"ShortGameRating",2010
132,132,"Nick Watney",17,6.4,"ShortGameRating",2010
132,132,"Tiger Woods",5,6.4,"ShortGameRating",2010
148,148,"Stephen Ames",15,6.3,"ShortGameRating",2010
148,148,"Jason Bohn",16,6.3,"ShortGameRating",2010
