"PuttingRating_RANKTHISWEEK_2009","PuttingRating_RANKLASTWEEK_2009","PuttingRating_PLAYERNAME_2009","PuttingRating_EVENTS_2009","PuttingRating_RATING_2009","stat_name","year"
1,1,"Todd Fischer",1,9.4,"PuttingRating",2009
2,2,"Wen Tang Lin",1,8.9,"PuttingRating",2009
2,2,"Martin Piller",1,8.9,"PuttingRating",2009
4,4,"Nick Dougherty",1,8.8,"PuttingRating",2009
5,5,"Ronnie Black",2,8.7,"PuttingRating",2009
5,5,"Richard Finch",1,8.7,"PuttingRating",2009
5,5,"Spike McRoy",1,8.7,"PuttingRating",2009
5,5,"Loren Roberts",2,8.7,"PuttingRating",2009
9,9,"Thomas Aiken",1,8.5,"PuttingRating",2009
9,9,"Aaron Baddeley",10,8.5,"PuttingRating",2009
9,9,"Prayad Marksaeng",2,8.5,"PuttingRating",2009
9,9,"Shigeki Maruyama",1,8.5,"PuttingRating",2009
9,9,"Jose Maria Olazabal",3,8.5,"PuttingRating",2009
9,9,"Michael Sim",1,8.5,"PuttingRating",2009
15,15,"Bob Heintz",9,8.4,"PuttingRating",2009
15,15,"Greg Kraft",3,8.4,"PuttingRating",2009
15,15,"Jamie Lovemark",2,8.4,"PuttingRating",2009
15,15,"Joe Ogilvie",13,8.4,"PuttingRating",2009
15,15,"Brandt Snedeker",13,8.4,"PuttingRating",2009
15,15,"Azuma Yano",2,8.4,"PuttingRating",2009
21,21,"Steve Allan",1,8.3,"PuttingRating",2009
21,21,"Guy Boros",3,8.3,"PuttingRating",2009
21,21,"Christian Cevaer",1,8.3,"PuttingRating",2009
21,21,"Daniel Chopra",16,8.3,"PuttingRating",2009
21,21,"Jose Coceres",1,8.3,"PuttingRating",2009
21,21,"Chris Couch",3,8.3,"PuttingRating",2009
21,21,"Brad Faxon",5,8.3,"PuttingRating",2009
21,21,"Padraig Harrington",10,8.3,"PuttingRating",2009
21,21,"Ryo Ishikawa",1,8.3,"PuttingRating",2009
21,21,"Anthony Kim",13,8.3,"PuttingRating",2009
21,21,"Dean Wilson",11,8.3,"PuttingRating",2009
32,32,"Tom Byrum",1,8.2,"PuttingRating",2009
32,32,"Wil Collins",5,8.2,"PuttingRating",2009
32,32,"Brian Davis",18,8.2,"PuttingRating",2009
32,32,"Luke Donald",15,8.2,"PuttingRating",2009
32,32,"Tadd Fujikawa",2,8.2,"PuttingRating",2009
32,32,"Brian Gay",20,8.2,"PuttingRating",2009
32,32,"Mathias Gronberg",6,8.2,"PuttingRating",2009
32,32,"Lee Janzen",11,8.2,"PuttingRating",2009
32,32,"Danny Lee",5,8.2,"PuttingRating",2009
32,32,"David Mathis",12,8.2,"PuttingRating",2009
32,32,"Parker McLachlin",10,8.2,"PuttingRating",2009
32,32,"Kevin Na",17,8.2,"PuttingRating",2009
32,32,"Jack Newman",1,8.2,"PuttingRating",2009
32,32,"Jesper Parnevik",3,8.2,"PuttingRating",2009
32,32,"Corey Pavin",9,8.2,"PuttingRating",2009
32,32,"Jeff Quinney",12,8.2,"PuttingRating",2009
32,32,"Chris Riley",15,8.2,"PuttingRating",2009
32,32,"Webb Simpson",16,8.2,"PuttingRating",2009
32,32,"Darron Stiles",6,8.2,"PuttingRating",2009
32,32,"Hideto Tanihara",1,8.2,"PuttingRating",2009
32,32,"Bo Van Pelt",17,8.2,"PuttingRating",2009
32,32,"Garrett Willis",3,8.2,"PuttingRating",2009
54,54,"Craig Barlow",1,8.1,"PuttingRating",2009
54,54,"Greg Chalmers",13,8.1,"PuttingRating",2009
54,54,"Harrison Frazar",16,8.1,"PuttingRating",2009
54,54,"Jim Furyk",15,8.1,"PuttingRating",2009
54,54,"David Gossett",1,8.1,"PuttingRating",2009
54,54,"Bill Haas",15,8.1,"PuttingRating",2009
54,54,"Ryuji Imada",15,8.1,"PuttingRating",2009
54,54,"Cliff Kresge",9,8.1,"PuttingRating",2009
54,54,"Matt Kuchar",16,8.1,"PuttingRating",2009
54,54,"Luke List",1,8.1,"PuttingRating",2009
54,54,"John Mallinger",14,8.1,"PuttingRating",2009
54,54,"George McNeill",15,8.1,"PuttingRating",2009
54,54,"Ryan Moore",14,8.1,"PuttingRating",2009
54,54,"James Nitties",14,8.1,"PuttingRating",2009
54,54,"Geoff Ogilvy",14,8.1,"PuttingRating",2009
54,54,"Jeff Overton",15,8.1,"PuttingRating",2009
54,54,"Tim Petrovic",16,8.1,"PuttingRating",2009
54,54,"Carl Pettersson",14,8.1,"PuttingRating",2009
54,54,"Ian Poulter",9,8.1,"PuttingRating",2009
54,54,"Rory Sabbatini",14,8.1,"PuttingRating",2009
54,54,"Reinier Saxton",1,8.1,"PuttingRating",2009
54,54,"Steve Stricker",15,8.1,"PuttingRating",2009
54,54,"Vaughn Taylor",14,8.1,"PuttingRating",2009
54,54,"Omar Uresti",2,8.1,"PuttingRating",2009
