"DrivingDistance_RANKTHISWEEK_2009","DrivingDistance_RANKLASTWEEK_2009","DrivingDistance_PLAYERNAME_2009","DrivingDistance_ROUNDS_2009","DrivingDistance_AVG_2009","DrivingDistance_TOTALDISTANCE_2009","DrivingDistance_TOTALDRIVES_2009","stat_name","year"
1,1,"Robert Garrigus",83,312,49299,158,"DrivingDistance",2009
2,2,"Bubba Watson",73,311.4,45471,146,"DrivingDistance",2009
3,3,"Dustin Johnson",85,308.3,51792,168,"DrivingDistance",2009
4,4,"Tag Ridings",50,307.4,27053,88,"DrivingDistance",2009
5,5,"Gary Woodland",53,307.3,28889,94,"DrivingDistance",2009
6,6,"Nick Watney",86,305.3,52505,172,"DrivingDistance",2009
7,7,"JB Holmes",74,304.6,45088,148,"DrivingDistance",2009
8,8,"Angel Cabrera",55,304.1,32846,108,"DrivingDistance",2009
9,9,"Troy Matteson",95,301.7,54911,182,"DrivingDistance",2009
10,10,"Harrison Frazar",93,301,53582,178,"DrivingDistance",2009
11,11,"Charley Hoffman",97,300.8,58363,194,"DrivingDistance",2009
12,12,"Scott Piercy",85,300.6,48703,162,"DrivingDistance",2009
13,13,"Phil Mickelson",66,300.1,37818,126,"DrivingDistance",2009
14,14,"Martin Laird",72,299.9,41989,140,"DrivingDistance",2009
14,14,"Davis Love III",89,299.9,52188,174,"DrivingDistance",2009
16,16,"Anthony Kim",76,299,44255,148,"DrivingDistance",2009
17,17,"Marc Leishman",91,298.6,51951,174,"DrivingDistance",2009
18,18,"Sergio Garcia",59,298.5,34630,116,"DrivingDistance",2009
18,18,"Andres Romero",58,298.5,34024,114,"DrivingDistance",2009
18,18,"Charles Warren",63,298.5,34024,114,"DrivingDistance",2009
21,21,"Tiger Woods",64,298.4,36997,124,"DrivingDistance",2009
22,22,"Bill Haas",91,298.3,51902,174,"DrivingDistance",2009
23,23,"Matt Jones",56,298,29797,100,"DrivingDistance",2009
24,24,"Fred Couples",54,297.5,32125,108,"DrivingDistance",2009
25,25,"Lucas Glover",93,297.4,55322,186,"DrivingDistance",2009
26,26,"Daniel Chopra",89,297.1,52888,178,"DrivingDistance",2009
26,26,"Ryan Palmer",78,297.1,46350,156,"DrivingDistance",2009
28,28,"Hunter Mahan",94,297,54648,184,"DrivingDistance",2009
29,29,"John Merrick",91,296.9,49288,166,"DrivingDistance",2009
30,30,"Leif Olson",51,296.5,27869,94,"DrivingDistance",2009
30,30,"John Rollins",92,296.5,52179,176,"DrivingDistance",2009
30,30,"Kevin Streelman",97,296.5,55157,186,"DrivingDistance",2009
33,33,"Jonathan Byrd",89,295.9,50307,170,"DrivingDistance",2009
33,33,"Ryan Moore",89,295.9,50299,170,"DrivingDistance",2009
35,35,"Steve Marino",98,295.7,55584,188,"DrivingDistance",2009
36,36,"Jason Day",61,295.3,31307,106,"DrivingDistance",2009
37,37,"Adam Scott",53,294.9,30667,104,"DrivingDistance",2009
38,38,"Nicholas Thompson",96,294.8,55421,188,"DrivingDistance",2009
39,39,"Stewart Cink",79,294.7,43025,146,"DrivingDistance",2009
40,40,"John Senden",100,294.2,58836,200,"DrivingDistance",2009
41,41,"Jeff Overton",92,293.9,51724,176,"DrivingDistance",2009
41,41,"Vijay Singh",71,293.9,40556,138,"DrivingDistance",2009
43,43,"Michael Letzig",96,293.8,54051,184,"DrivingDistance",2009
44,44,"JJ Henry",97,293.7,54627,186,"DrivingDistance",2009
45,45,"Ted Purdy",101,293.6,54601,186,"DrivingDistance",2009
46,46,"Sean OHair",80,293.3,44579,152,"DrivingDistance",2009
47,47,"Rory Sabbatini",81,293.2,46911,160,"DrivingDistance",2009
48,48,"Robert Allenby",71,293.1,41040,140,"DrivingDistance",2009
48,48,"Kenny Perry",92,293.1,53339,182,"DrivingDistance",2009
50,50,"Peter Tomasulo",61,293,32232,110,"DrivingDistance",2009
50,50,"Camilo Villegas",76,293,42778,146,"DrivingDistance",2009
52,52,"Matt Bettencourt",98,292.9,57409,196,"DrivingDistance",2009
53,53,"David Duval",56,292.7,32784,112,"DrivingDistance",2009
