"DrivingAccuracyPercentage_RANKTHISWEEK_2005","DrivingAccuracyPercentage_RANKLASTWEEK_2005","DrivingAccuracyPercentage_PLAYERNAME_2005","DrivingAccuracyPercentage_ROUNDS_2005","DrivingAccuracyPercentage_Pct_2005","DrivingAccuracyPercentage_FAIRWAYSHIT_2005","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2005","stat_name","year"
1,1,"Jeff Hart",63,75.97,645,849,"DrivingAccuracyPercentage",2005
2,2,"Fred Funk",102,75.9,1071,1411,"DrivingAccuracyPercentage",2005
3,3,"Omar Uresti",84,74.94,879,1173,"DrivingAccuracyPercentage",2005
4,4,"Olin Browne",99,73.46,969,1319,"DrivingAccuracyPercentage",2005
5,5,"Gavin Coles",70,73.44,719,979,"DrivingAccuracyPercentage",2005
6,6,"Bart Bryant",91,73,933,1278,"DrivingAccuracyPercentage",2005
7,7,"Jose Coceres",56,71.88,542,754,"DrivingAccuracyPercentage",2005
8,8,"Brian Davis",75,71.73,751,1047,"DrivingAccuracyPercentage",2005
9,9,"Scott Verplank",87,71.48,862,1206,"DrivingAccuracyPercentage",2005
10,10,"Robert Damron",89,71.43,885,1239,"DrivingAccuracyPercentage",2005
11,11,"Heath Slocum",103,71.25,984,1381,"DrivingAccuracyPercentage",2005
12,12,"Paul Claxton",79,71.14,784,1102,"DrivingAccuracyPercentage",2005
13,13,"Joe Durant",81,70.9,804,1134,"DrivingAccuracyPercentage",2005
14,14,"Jay Williamson",53,70.77,523,739,"DrivingAccuracyPercentage",2005
15,15,"Skip Kendall",80,70.63,767,1086,"DrivingAccuracyPercentage",2005
16,16,"Jeff Maggert",79,70.54,728,1032,"DrivingAccuracyPercentage",2005
17,17,"Kirk Triplett",55,70.43,512,727,"DrivingAccuracyPercentage",2005
18,18,"Tom Byrum",83,70.28,816,1161,"DrivingAccuracyPercentage",2005
19,19,"Larry Mize",54,70.16,489,697,"DrivingAccuracyPercentage",2005
20,20,"Jeff Brehaut",71,69.92,651,931,"DrivingAccuracyPercentage",2005
21,21,"John Cook",72,69.85,681,975,"DrivingAccuracyPercentage",2005
22,22,"Billy Mayfair",114,69.75,1070,1534,"DrivingAccuracyPercentage",2005
23,23,"Darron Stiles",78,69.27,735,1061,"DrivingAccuracyPercentage",2005
23,23,"Duffy Waldorf",86,69.27,798,1152,"DrivingAccuracyPercentage",2005
25,25,"Matt Kuchar",60,68.98,576,835,"DrivingAccuracyPercentage",2005
26,26,"Doug Barron",70,68.88,673,977,"DrivingAccuracyPercentage",2005
27,27,"David Hearn",68,68.53,649,947,"DrivingAccuracyPercentage",2005
28,28,"Richard Johnson",50,68.49,476,695,"DrivingAccuracyPercentage",2005
29,29,"Hidemichi Tanaka",106,68.45,972,1420,"DrivingAccuracyPercentage",2005
30,30,"Jim Carter",62,68.22,571,837,"DrivingAccuracyPercentage",2005
31,31,"Joey Sindelar",104,68.14,988,1450,"DrivingAccuracyPercentage",2005
32,32,"Jim Furyk",94,68.07,887,1303,"DrivingAccuracyPercentage",2005
33,33,"Jerry Kelly",101,68.02,938,1379,"DrivingAccuracyPercentage",2005
34,34,"Loren Roberts",54,67.97,503,740,"DrivingAccuracyPercentage",2005
35,35,"Stephen Leaney",89,67.92,811,1194,"DrivingAccuracyPercentage",2005
36,36,"Mark Brooks",72,67.9,679,1000,"DrivingAccuracyPercentage",2005
37,37,"Danny Briggs",70,67.86,644,949,"DrivingAccuracyPercentage",2005
38,38,"Bradley Hughes",52,67.5,488,723,"DrivingAccuracyPercentage",2005
