"GreensinRegulationPercentage_RANKTHISWEEK_2015","GreensinRegulationPercentage_RANKLASTWEEK_2015","GreensinRegulationPercentage_PLAYERNAME_2015","GreensinRegulationPercentage_ROUNDS_2015","GreensinRegulationPercentage_Pct_2015","GreensinRegulationPercentage_GREENSHIT_2015","GreensinRegulationPercentage_HOLES_2015","GreensinRegulationPercentage_RELATIVEPAR_2015","stat_name","year"
1,1,"Henrik Stenson",63,73.52,794,1080,-0.26,"GreensinRegulationPercentage",2015
2,2,"Jim Herman",88,73.23,1160,1584,-0.23,"GreensinRegulationPercentage",2015
3,3,"Stewart Cink",77,72.94,1011,1386,-0.23,"GreensinRegulationPercentage",2015
4,4,"Will Wilcox",58,72.53,705,972,-0.28,"GreensinRegulationPercentage",2015
5,5,"Paul Casey",87,72.36,1068,1476,-0.27,"GreensinRegulationPercentage",2015
6,6,"Francesco Molinari",56,71.07,678,954,-0.22,"GreensinRegulationPercentage",2015
7,7,"Jason Day",75,70.83,918,1296,-0.36,"GreensinRegulationPercentage",2015
7,7,"Russell Knox",96,70.83,1224,1728,-0.25,"GreensinRegulationPercentage",2015
9,9,"Justin Rose",69,70.54,838,1188,-0.31,"GreensinRegulationPercentage",2015
10,10,"Lucas Glover",79,70.46,1002,1422,-0.22,"GreensinRegulationPercentage",2015
11,11,"Alex Prugh",84,70.14,1010,1440,-0.26,"GreensinRegulationPercentage",2015
12,12,"Michael Putnam",87,70.13,1073,1530,-0.22,"GreensinRegulationPercentage",2015
13,13,"JJ Henry",94,69.88,1132,1620,-0.22,"GreensinRegulationPercentage",2015
14,14,"Jim Furyk",71,69.79,804,1152,-0.24,"GreensinRegulationPercentage",2015
15,15,"Chez Reavie",56,69.64,702,1008,-0.25,"GreensinRegulationPercentage",2015
16,16,"Adam Scott",51,69.62,589,846,-0.26,"GreensinRegulationPercentage",2015
17,17,"Brooks Koepka",84,69.48,1013,1458,-0.3,"GreensinRegulationPercentage",2015
18,18,"Billy Horschel",99,69.33,1173,1692,-0.27,"GreensinRegulationPercentage",2015
19,19,"Bubba Watson",71,69.32,836,1206,-0.33,"GreensinRegulationPercentage",2015
20,20,"Greg Owen",58,69.25,723,1044,-0.22,"GreensinRegulationPercentage",2015
21,21,"Hideki Matsuyama",95,69.2,1121,1620,-0.3,"GreensinRegulationPercentage",2015
22,22,"Graham DeLaet",65,69.15,809,1170,-0.27,"GreensinRegulationPercentage",2015
23,23,"Robert Streb",110,69.14,1369,1980,-0.29,"GreensinRegulationPercentage",2015
24,24,"Jason Dufner",76,69.03,907,1314,-0.24,"GreensinRegulationPercentage",2015
25,25,"Kevin Streelman",95,68.99,1130,1638,-0.26,"GreensinRegulationPercentage",2015
26,26,"Johnson Wagner",68,68.95,844,1224,-0.25,"GreensinRegulationPercentage",2015
27,27,"Justin Thomas",106,68.92,1315,1908,-0.31,"GreensinRegulationPercentage",2015
28,28,"Jason Bohn",95,68.89,1178,1710,-0.3,"GreensinRegulationPercentage",2015
28,28,"Byron Smith",59,68.89,682,990,-0.23,"GreensinRegulationPercentage",2015
30,30,"Daniel Berger",97,68.84,1202,1746,-0.27,"GreensinRegulationPercentage",2015
31,31,"Bill Haas",89,68.8,1065,1548,-0.24,"GreensinRegulationPercentage",2015
