"PuttingAverage_RANKTHISWEEK_2006","PuttingAverage_RANKLASTWEEK_2006","PuttingAverage_PLAYERNAME_2006","PuttingAverage_ROUNDS_2006","PuttingAverage_AVG_2006","PuttingAverage_GIRPUTTS_2006","PuttingAverage_GREENSHIT_2006","PuttingAverage_BIRDIECONVERSION_2006","PuttingAverage_GIRRANK_2006","stat_name","year"
1,1,"Daniel Chopra",110,1.712,2094,1223,34.75,148,"PuttingAverage",2006
2,2,"Vaughn Taylor",88,1.725,1751,1015,34.26,134,"PuttingAverage",2006
3,3,"Brian Gay",107,1.727,2102,1217,31.05,153,"PuttingAverage",2006
4,4,"David Howell",52,1.73,886,512,32.88,152,"PuttingAverage",2006
5,5,"Phil Mickelson",74,1.731,1468,848,35.66,21,"PuttingAverage",2006
6,6,"Steve Stricker",64,1.734,1316,759,30.56,24,"PuttingAverage",2006
7,7,"Ben Crane",85,1.736,1550,893,32.28,178,"PuttingAverage",2006
8,8,"Jim Furyk",89,1.742,1951,1120,30.47,4,"PuttingAverage",2006
9,9,"Stuart Appleby",83,1.743,1555,892,31.53,147,"PuttingAverage",2006
10,10,"Todd Fischer",101,1.744,1934,1109,29.27,176,"PuttingAverage",2006
11,11,"Aaron Baddeley",78,1.745,1391,797,31.36,193,"PuttingAverage",2006
11,11,"Rod Pampling",89,1.745,1649,945,30.65,172,"PuttingAverage",2006
11,11,"Jesper Parnevik",84,1.745,1700,974,30.9,124,"PuttingAverage",2006
14,14,"Michael Allen",84,1.746,1655,948,31.86,166,"PuttingAverage",2006
14,14,"Robert Allenby",79,1.746,1643,941,31.09,29,"PuttingAverage",2006
16,16,"Eric Axley",91,1.748,1841,1053,31.14,88,"PuttingAverage",2006
16,16,"Harrison Frazar",95,1.748,1834,1049,32.7,135,"PuttingAverage",2006
18,18,"Shigeki Maruyama",94,1.749,1842,1053,30.86,144,"PuttingAverage",2006
19,19,"Jonathan Byrd",66,1.75,1447,827,33.09,8,"PuttingAverage",2006
20,20,"Shane Bertsch",104,1.751,2054,1173,30.28,139,"PuttingAverage",2006
20,20,"Davis Love III",85,1.751,1595,911,31.53,54,"PuttingAverage",2006
22,22,"Stephen Ames",63,1.752,1300,742,30.41,58,"PuttingAverage",2006
22,22,"Tommy Armour III",65,1.752,1307,746,29.97,142,"PuttingAverage",2006
22,22,"Marco Dawson",87,1.752,1782,1017,30.74,113,"PuttingAverage",2006
22,22,"Luke Donald",66,1.752,1312,749,30.29,74,"PuttingAverage",2006
