"ParBreakers_RANKTHISWEEK_2013","ParBreakers_RANKLASTWEEK_2013","ParBreakers_PLAYERNAME_2013","ParBreakers_ROUNDS_2013","ParBreakers_Pct_2013","ParBreakers_BIRDIESEAGLES_2013","ParBreakers_HOLES_2013","stat_name","year"
1,1,"Phil Mickelson",78,23.86,335,1404,"ParBreakers",2013
2,2,"Steve Stricker",51,23.76,201,846,"ParBreakers",2013
3,3,"Tiger Woods",61,23.33,252,1080,"ParBreakers",2013
4,4,"Rory Sabbatini",86,23.17,342,1476,"ParBreakers",2013
5,5,"Charl Schwartzel",69,22.79,279,1224,"ParBreakers",2013
6,6,"Brandt Snedeker",79,22.57,321,1422,"ParBreakers",2013
7,7,"Rory McIlroy",56,22.53,223,990,"ParBreakers",2013
8,8,"Charley Hoffman",84,22.49,340,1512,"ParBreakers",2013
8,8,"Jordan Spieth",82,22.49,332,1476,"ParBreakers",2013
10,10,"Ryan Palmer",79,22.36,318,1422,"ParBreakers",2013
11,11,"Chris Kirk",89,22.35,358,1602,"ParBreakers",2013
12,12,"Billy Horschel",96,22.28,385,1728,"ParBreakers",2013
13,13,"Morgan Hoffmann",64,22.22,256,1152,"ParBreakers",2013
13,13,"Justin Rose",62,22.22,240,1080,"ParBreakers",2013
15,15,"Kevin Stadler",83,22.15,315,1422,"ParBreakers",2013
16,16,"Sangmoon Bae",83,22.09,330,1494,"ParBreakers",2013
17,17,"Harris English",95,21.93,375,1710,"ParBreakers",2013
18,18,"Dustin Johnson",71,21.9,276,1260,"ParBreakers",2013
19,19,"Henrik Stenson",65,21.7,250,1152,"ParBreakers",2013
20,20,"Graham DeLaet",94,21.69,367,1692,"ParBreakers",2013
21,21,"Matt Every",89,21.66,347,1602,"ParBreakers",2013
22,22,"Robert Garrigus",69,21.62,253,1170,"ParBreakers",2013
23,23,"Webb Simpson",92,21.59,342,1584,"ParBreakers",2013
24,24,"Keegan Bradley",88,21.58,338,1566,"ParBreakers",2013
25,25,"Bubba Watson",76,21.54,283,1314,"ParBreakers",2013
26,26,"Jimmy Walker",84,21.43,324,1512,"ParBreakers",2013
27,27,"Gary Woodland",94,21.3,345,1620,"ParBreakers",2013
28,28,"Adam Scott",61,21.2,229,1080,"ParBreakers",2013
29,29,"David Hearn",88,21.15,335,1584,"ParBreakers",2013
29,29,"Daniel Summerhays",83,21.15,316,1494,"ParBreakers",2013
31,31,"Vaughn Taylor",50,21.14,175,828,"ParBreakers",2013
32,32,"James Hahn",78,21.1,281,1332,"ParBreakers",2013
33,33,"Andres Romero",63,21.09,224,1062,"ParBreakers",2013
34,34,"Russell Henley",80,21.08,296,1404,"ParBreakers",2013
35,35,"Jason Bohn",70,21.03,265,1260,"ParBreakers",2013
36,36,"Brian Davis",91,21,344,1638,"ParBreakers",2013
37,37,"Charles Howell III",87,20.98,321,1530,"ParBreakers",2013
38,38,"Bryce Molder",82,20.97,302,1440,"ParBreakers",2013
38,38,"Charlie Wi",75,20.97,268,1278,"ParBreakers",2013
40,40,"Jason Kokrak",78,20.94,294,1404,"ParBreakers",2013
41,41,"Camilo Villegas",79,20.89,282,1350,"ParBreakers",2013
42,42,"Luke Donald",60,20.88,218,1044,"ParBreakers",2013
42,42,"Patrick Reed",83,20.88,312,1494,"ParBreakers",2013
44,44,"Brad Fritsch",81,20.85,289,1386,"ParBreakers",2013
44,44,"Pat Perez",69,20.85,259,1242,"ParBreakers",2013
46,46,"James Driscoll",76,20.83,270,1296,"ParBreakers",2013
47,47,"Matt Kuchar",93,20.82,326,1566,"ParBreakers",2013
48,48,"Sergio Garcia",65,20.81,236,1134,"ParBreakers",2013
49,49,"Steven Bowditch",67,20.77,243,1170,"ParBreakers",2013
50,50,"Scott Piercy",78,20.74,280,1350,"ParBreakers",2013
