"TotalEagles_RANKTHISWEEK_2005","TotalEagles_RANKLASTWEEK_2005","TotalEagles_PLAYERNAME_2005","TotalEagles_ROUNDS_2005","TotalEagles_TOTAL_2005","stat_name","year"
1,1,"Kevin Stadler",96,19,"TotalEagles",2005
2,2,"DJ Trahan",81,18,"TotalEagles",2005
3,3,"Joey Snyder III",102,16,"TotalEagles",2005
4,4,"Harrison Frazar",105,15,"TotalEagles",2005
4,4,"Billy Mayfair",114,15,"TotalEagles",2005
6,6,"Brian Davis",75,14,"TotalEagles",2005
6,6,"Steve Lowery",100,14,"TotalEagles",2005
8,8,"Brenden Pappas",51,13,"TotalEagles",2005
8,8,"Vijay Singh",111,13,"TotalEagles",2005
10,10,"Brian Bateman",98,12,"TotalEagles",2005
10,10,"Jason Bohn",91,12,"TotalEagles",2005
10,10,"Mathias Gronberg",60,12,"TotalEagles",2005
10,10,"Scott Gutschewski",86,12,"TotalEagles",2005
10,10,"Charles Howell III",95,12,"TotalEagles",2005
10,10,"Michael Long",72,12,"TotalEagles",2005
10,10,"John Rollins",97,12,"TotalEagles",2005
17,17,"Steve Allan",102,11,"TotalEagles",2005
17,17,"Woody Austin",100,11,"TotalEagles",2005
17,17,"Aaron Baddeley",84,11,"TotalEagles",2005
17,17,"Jonathan Byrd",103,11,"TotalEagles",2005
17,17,"Ben Crane",78,11,"TotalEagles",2005
17,17,"James Driscoll",73,11,"TotalEagles",2005
17,17,"Lucas Glover",88,11,"TotalEagles",2005
17,17,"Shigeki Maruyama",99,11,"TotalEagles",2005
17,17,"Sean OHair",103,11,"TotalEagles",2005
17,17,"Joe Ogilvie",103,11,"TotalEagles",2005
17,17,"Jesper Parnevik",84,11,"TotalEagles",2005
17,17,"DA Points",94,11,"TotalEagles",2005
17,17,"Tag Ridings",93,11,"TotalEagles",2005
17,17,"Bo Van Pelt",112,11,"TotalEagles",2005
31,31,"Robert Allenby",95,10,"TotalEagles",2005
31,31,"Craig Barlow",81,10,"TotalEagles",2005
31,31,"Hunter Haas",83,10,"TotalEagles",2005
31,31,"Mark Hensby",70,10,"TotalEagles",2005
31,31,"Davis Love III",80,10,"TotalEagles",2005
31,31,"Tiger Woods",76,10,"TotalEagles",2005
37,37,"Briny Baird",98,9,"TotalEagles",2005
37,37,"Bart Bryant",91,9,"TotalEagles",2005
37,37,"Fred Couples",72,9,"TotalEagles",2005
37,37,"Carlos Franco",78,9,"TotalEagles",2005
37,37,"Tom Pernice Jr",111,9,"TotalEagles",2005
37,37,"John Senden",101,9,"TotalEagles",2005
37,37,"David Toms",87,9,"TotalEagles",2005
37,37,"Nick Watney",91,9,"TotalEagles",2005
45,45,"Michael Allen",90,8,"TotalEagles",2005
45,45,"Arjun Atwal",65,8,"TotalEagles",2005
45,45,"Mark Calcavecchia",92,8,"TotalEagles",2005
45,45,"Tim Clark",92,8,"TotalEagles",2005
45,45,"Bob Estes",92,8,"TotalEagles",2005
45,45,"Brent Geiberger",61,8,"TotalEagles",2005
45,45,"Dudley Hart",84,8,"TotalEagles",2005
45,45,"David Hearn",68,8,"TotalEagles",2005
45,45,"Scott Hend",75,8,"TotalEagles",2005
45,45,"Brandt Jobe",96,8,"TotalEagles",2005
45,45,"Bernhard Langer",67,8,"TotalEagles",2005
45,45,"Frank Lickliter II",100,8,"TotalEagles",2005
45,45,"Peter Lonard",85,8,"TotalEagles",2005
45,45,"Andrew Magee",82,8,"TotalEagles",2005
45,45,"Geoff Ogilvy",97,8,"TotalEagles",2005
45,45,"Tim Petrovic",97,8,"TotalEagles",2005
45,45,"Chris Smith",93,8,"TotalEagles",2005
45,45,"Vaughn Taylor",99,8,"TotalEagles",2005
45,45,"Brett Wetterich",76,8,"TotalEagles",2005
64,64,"Jason Allred",75,7,"TotalEagles",2005
64,64,"Chris Anderson",66,7,"TotalEagles",2005
64,64,"Tommy Armour III",103,7,"TotalEagles",2005
64,64,"Daniel Chopra",108,7,"TotalEagles",2005
64,64,"John Daly",78,7,"TotalEagles",2005
64,64,"Chris DiMarco",83,7,"TotalEagles",2005
64,64,"Jim Furyk",94,7,"TotalEagles",2005
64,64,"Sergio Garcia",73,7,"TotalEagles",2005
64,64,"JJ Henry",102,7,"TotalEagles",2005
64,64,"Brendan Jones",81,7,"TotalEagles",2005
64,64,"Scott McCarron",78,7,"TotalEagles",2005
64,64,"Rocco Mediate",73,7,"TotalEagles",2005
64,64,"Shaun Micheel",81,7,"TotalEagles",2005
64,64,"Kevin Na",88,7,"TotalEagles",2005
64,64,"Kenny Perry",82,7,"TotalEagles",2005
64,64,"Ted Purdy",122,7,"TotalEagles",2005
64,64,"Rory Sabbatini",81,7,"TotalEagles",2005
64,64,"Jeff Sluman",94,7,"TotalEagles",2005
64,64,"Charlie Wi",67,7,"TotalEagles",2005
64,64,"Jay Williamson",53,7,"TotalEagles",2005
84,84,"Billy Andrade",83,6,"TotalEagles",2005
84,84,"Cameron Beckman",96,6,"TotalEagles",2005
84,84,"Marco Dawson",82,6,"TotalEagles",2005
84,84,"Steve Flesch",90,6,"TotalEagles",2005
84,84,"Retief Goosen",71,6,"TotalEagles",2005
84,84,"Padraig Harrington",50,6,"TotalEagles",2005
84,84,"Bob Heintz",67,6,"TotalEagles",2005
84,84,"John Huston",90,6,"TotalEagles",2005
84,84,"Freddie Jacobson",72,6,"TotalEagles",2005
84,84,"Jerry Kelly",101,6,"TotalEagles",2005
84,84,"Hank Kuehne",84,6,"TotalEagles",2005
84,84,"Neal Lancaster",95,6,"TotalEagles",2005
84,84,"JL Lewis",98,6,"TotalEagles",2005
84,84,"Greg Owen",84,6,"TotalEagles",2005
84,84,"Ryan Palmer",101,6,"TotalEagles",2005
84,84,"Justin Rose",99,6,"TotalEagles",2005
84,84,"Adam Scott",72,6,"TotalEagles",2005
84,84,"Hidemichi Tanaka",106,6,"TotalEagles",2005
84,84,"Hideto Tanihara",50,6,"TotalEagles",2005
84,84,"Charles Warren",89,6,"TotalEagles",2005
84,84,"Dean Wilson",86,6,"TotalEagles",2005
105,105,"KJ Choi",78,5,"TotalEagles",2005
105,105,"Stewart Cink",98,5,"TotalEagles",2005
105,105,"Gavin Coles",70,5,"TotalEagles",2005
105,105,"Ben Curtis",65,5,"TotalEagles",2005
105,105,"Robert Damron",89,5,"TotalEagles",2005
105,105,"Glen Day",80,5,"TotalEagles",2005
105,105,"Luke Donald",67,5,"TotalEagles",2005
105,105,"Brad Faxon",75,5,"TotalEagles",2005
105,105,"Bill Glasson",54,5,"TotalEagles",2005
105,105,"Matt Gogel",78,5,"TotalEagles",2005
105,105,"Todd Hamilton",94,5,"TotalEagles",2005
105,105,"Ryuji Imada",78,5,"TotalEagles",2005
105,105,"Jonathan Kaye",77,5,"TotalEagles",2005
105,105,"Tom Lehman",69,5,"TotalEagles",2005
105,105,"Thomas Levet",54,5,"TotalEagles",2005
105,105,"Hunter Mahan",103,5,"TotalEagles",2005
105,105,"Arron Oberholser",65,5,"TotalEagles",2005
105,105,"Dennis Paulson",63,5,"TotalEagles",2005
105,105,"Carl Pettersson",109,5,"TotalEagles",2005
105,105,"Ian Poulter",62,5,"TotalEagles",2005
105,105,"Patrick Sheehan",114,5,"TotalEagles",2005
105,105,"Heath Slocum",103,5,"TotalEagles",2005
105,105,"Darron Stiles",78,5,"TotalEagles",2005
105,105,"Roland Thatcher",75,5,"TotalEagles",2005
105,105,"Mario Tiziani",67,5,"TotalEagles",2005
105,105,"Omar Uresti",84,5,"TotalEagles",2005
105,105,"Lee Westwood",50,5,"TotalEagles",2005
132,132,"Stuart Appleby",84,4,"TotalEagles",2005
132,132,"Rich Beem",66,4,"TotalEagles",2005
132,132,"Jeff Brehaut",71,4,"TotalEagles",2005
132,132,"DJ Brigman",76,4,"TotalEagles",2005
132,132,"Tom Byrum",83,4,"TotalEagles",2005
132,132,"Chad Campbell",95,4,"TotalEagles",2005
132,132,"Alex Cejka",84,4,"TotalEagles",2005
132,132,"Paul Claxton",79,4,"TotalEagles",2005
132,132,"Joe Durant",81,4,"TotalEagles",2005
132,132,"Todd Fischer",99,4,"TotalEagles",2005
132,132,"Robert Gamez",91,4,"TotalEagles",2005
132,132,"Tom Gillis",77,4,"TotalEagles",2005
132,132,"JP Hayes",63,4,"TotalEagles",2005
132,132,"Tim Herron",100,4,"TotalEagles",2005
132,132,"Lee Janzen",75,4,"TotalEagles",2005
132,132,"Steve Jones",56,4,"TotalEagles",2005
132,132,"Stephen Leaney",89,4,"TotalEagles",2005
132,132,"Phil Mickelson",81,4,"TotalEagles",2005
132,132,"Corey Pavin",77,4,"TotalEagles",2005
132,132,"Pat Perez",89,4,"TotalEagles",2005
132,132,"Craig Perks",67,4,"TotalEagles",2005
132,132,"Phillip Price",77,4,"TotalEagles",2005
132,132,"Rob Rashell",65,4,"TotalEagles",2005
132,132,"Steve Stricker",62,4,"TotalEagles",2005
132,132,"Bob Tway",87,4,"TotalEagles",2005
132,132,"Scott Verplank",87,4,"TotalEagles",2005
132,132,"Duffy Waldorf",86,4,"TotalEagles",2005
132,132,"Mark Wilson",74,4,"TotalEagles",2005
160,160,"Stephen Ames",82,3,"TotalEagles",2005
160,160,"Paul Azinger",66,3,"TotalEagles",2005
160,160,"Mark Brooks",72,3,"TotalEagles",2005
160,160,"Olin Browne",99,3,"TotalEagles",2005
160,160,"Jose Coceres",56,3,"TotalEagles",2005
160,160,"Matt Davidson",53,3,"TotalEagles",2005
160,160,"Dan Forsman",52,3,"TotalEagles",2005
160,160,"Fred Funk",102,3,"TotalEagles",2005
160,160,"Kent Jones",99,3,"TotalEagles",2005
160,160,"Franklin Langham",91,3,"TotalEagles",2005
160,160,"Justin Leonard",78,3,"TotalEagles",2005
160,160,"Will Ma Kenzie",75,3,"TotalEagles",2005
160,160,"Len Mattiace",86,3,"TotalEagles",2005
160,160,"Jose Maria Olazabal",55,3,"TotalEagles",2005
160,160,"Rod Pampling",89,3,"TotalEagles",2005
160,160,"Chris Riley",67,3,"TotalEagles",2005
160,160,"Kevin Sutherland",89,3,"TotalEagles",2005
177,177,"Jim Carter",62,2,"TotalEagles",2005
177,177,"John Cook",72,2,"TotalEagles",2005
177,177,"John Elliott",58,2,"TotalEagles",2005
177,177,"Paul Gow",78,2,"TotalEagles",2005
177,177,"Jay Haas",54,2,"TotalEagles",2005
177,177,"Jeff Hart",63,2,"TotalEagles",2005
177,177,"Glen Hnatiuk",59,2,"TotalEagles",2005
177,177,"Bradley Hughes",52,2,"TotalEagles",2005
177,177,"Zach Johnson",96,2,"TotalEagles",2005
177,177,"Richard Johnson",50,2,"TotalEagles",2005
177,177,"Skip Kendall",80,2,"TotalEagles",2005
177,177,"Matt Kuchar",60,2,"TotalEagles",2005
177,177,"Jeff Maggert",79,2,"TotalEagles",2005
177,177,"Mark OMeara",66,2,"TotalEagles",2005
177,177,"Joey Sindelar",104,2,"TotalEagles",2005
177,177,"Tjaart van der Walt",56,2,"TotalEagles",2005
193,193,"Doug Barron",70,1,"TotalEagles",2005
193,193,"Justin Bolli",65,1,"TotalEagles",2005
193,193,"Danny Briggs",70,1,"TotalEagles",2005
193,193,"Steve Elkington",67,1,"TotalEagles",2005
193,193,"Brian Gay",101,1,"TotalEagles",2005
193,193,"Larry Mize",54,1,"TotalEagles",2005
193,193,"Brett Quigley",96,1,"TotalEagles",2005
193,193,"Loren Roberts",54,1,"TotalEagles",2005
193,193,"Kirk Triplett",55,1,"TotalEagles",2005
193,193,"Mike Weir",71,1,"TotalEagles",2005
