"TotalBirdies_RANKTHISWEEK_2014","TotalBirdies_RANKLASTWEEK_2014","TotalBirdies_PLAYERNAME_2014","TotalBirdies_ROUNDS_2014","TotalBirdies_TOTAL_2014","stat_name","year"
1,1,"Jimmy Walker",98,401,"TotalBirdies",2014
2,2,"Brian Harman",111,389,"TotalBirdies",2014
2,2,"Jordan Spieth",102,389,"TotalBirdies",2014
4,4,"Charles Howell III",106,387,"TotalBirdies",2014
5,5,"Chris Kirk",105,383,"TotalBirdies",2014
5,5,"Brendon Todd",108,383,"TotalBirdies",2014
7,7,"Bill Haas",107,374,"TotalBirdies",2014
8,8,"Cameron Tringale",111,372,"TotalBirdies",2014
9,9,"Kevin Chappell",100,367,"TotalBirdies",2014
10,10,"Morgan Hoffmann",103,366,"TotalBirdies",2014
11,11,"Charley Hoffman",93,362,"TotalBirdies",2014
12,12,"Scott Brown",100,361,"TotalBirdies",2014
13,13,"Brendon de Jonge",109,359,"TotalBirdies",2014
14,14,"Camilo Villegas",95,353,"TotalBirdies",2014
15,15,"Harris English",95,349,"TotalBirdies",2014
16,16,"Zach Johnson",97,347,"TotalBirdies",2014
16,16,"Kevin Na",94,347,"TotalBirdies",2014
18,18,"Justin Hicks",103,342,"TotalBirdies",2014
18,18,"Chris Stroud",88,342,"TotalBirdies",2014
20,20,"Michael Putnam",106,341,"TotalBirdies",2014
20,20,"John Senden",99,341,"TotalBirdies",2014
22,22,"Daniel Summerhays",98,338,"TotalBirdies",2014
23,23,"Keegan Bradley",89,336,"TotalBirdies",2014
23,23,"David Hearn",97,336,"TotalBirdies",2014
23,23,"Matt Kuchar",91,336,"TotalBirdies",2014
23,23,"Gary Woodland",93,336,"TotalBirdies",2014
27,27,"William McGirt",96,335,"TotalBirdies",2014
28,28,"Ryan Palmer",85,334,"TotalBirdies",2014
29,29,"Rickie Fowler",91,330,"TotalBirdies",2014
30,30,"Russell Henley",92,325,"TotalBirdies",2014
31,31,"Stuart Appleby",92,324,"TotalBirdies",2014
32,32,"Billy Horschel",92,323,"TotalBirdies",2014
32,32,"Scott Langley",95,323,"TotalBirdies",2014
34,34,"Brian Stuard",91,322,"TotalBirdies",2014
35,35,"JB Holmes",86,321,"TotalBirdies",2014
35,35,"Seung Yul Noh",92,321,"TotalBirdies",2014
35,35,"Kevin Stadler",90,321,"TotalBirdies",2014
38,38,"Ryan Moore",86,319,"TotalBirdies",2014
39,39,"Freddie Jacobson",91,317,"TotalBirdies",2014
39,39,"Carl Pettersson",91,317,"TotalBirdies",2014
41,41,"Steven Bowditch",93,315,"TotalBirdies",2014
41,41,"Webb Simpson",87,315,"TotalBirdies",2014
43,43,"Patrick Reed",92,314,"TotalBirdies",2014
44,44,"Brian Davis",93,313,"TotalBirdies",2014
45,45,"Russell Knox",92,312,"TotalBirdies",2014
46,46,"Hideki Matsuyama",82,311,"TotalBirdies",2014
47,47,"Luke Guthrie",85,310,"TotalBirdies",2014
48,48,"Kevin Kisner",85,309,"TotalBirdies",2014
49,49,"Ricky Barnes",92,308,"TotalBirdies",2014
49,49,"Matt Every",85,308,"TotalBirdies",2014
49,49,"Chesson Hadley",84,308,"TotalBirdies",2014
52,52,"Robert Garrigus",80,307,"TotalBirdies",2014
53,53,"Brendan Steele",89,306,"TotalBirdies",2014
54,54,"Stewart Cink",91,303,"TotalBirdies",2014
54,54,"Brandt Snedeker",89,303,"TotalBirdies",2014
56,56,"Graham DeLaet",80,298,"TotalBirdies",2014
57,57,"Retief Goosen",94,297,"TotalBirdies",2014
57,57,"Danny Lee",84,297,"TotalBirdies",2014
59,59,"Hunter Mahan",88,295,"TotalBirdies",2014
60,60,"Erik Compton",88,294,"TotalBirdies",2014
60,60,"George McNeill",79,294,"TotalBirdies",2014
62,62,"Brice Garnett",92,293,"TotalBirdies",2014
62,62,"Jerry Kelly",80,293,"TotalBirdies",2014
62,62,"Will Ma Kenzie",82,293,"TotalBirdies",2014
62,62,"Rory McIlroy",66,293,"TotalBirdies",2014
66,66,"Ryo Ishikawa",75,292,"TotalBirdies",2014
67,67,"Bubba Watson",76,289,"TotalBirdies",2014
68,68,"Adam Scott",68,288,"TotalBirdies",2014
69,69,"Pat Perez",84,286,"TotalBirdies",2014
70,70,"Martin Flores",85,284,"TotalBirdies",2014
71,71,"Matt Jones",83,283,"TotalBirdies",2014
71,71,"Marc Leishman",81,283,"TotalBirdies",2014
71,71,"Josh Teater",90,283,"TotalBirdies",2014
71,71,"Bo Van Pelt",83,283,"TotalBirdies",2014
75,75,"Kevin Streelman",79,281,"TotalBirdies",2014
76,76,"Sangmoon Bae",76,280,"TotalBirdies",2014
76,76,"Ben Martin",80,280,"TotalBirdies",2014
78,78,"Jason Bohn",81,277,"TotalBirdies",2014
78,78,"Greg Chalmers",85,277,"TotalBirdies",2014
80,80,"Rory Sabbatini",82,276,"TotalBirdies",2014
81,81,"Gonzalo Fdez Castano",83,275,"TotalBirdies",2014
81,81,"Jim Furyk",84,275,"TotalBirdies",2014
83,83,"Jeff Overton",80,273,"TotalBirdies",2014
83,83,"Kyle Stanley",87,273,"TotalBirdies",2014
85,85,"Billy Hurley III",86,272,"TotalBirdies",2014
86,86,"Andres Romero",81,271,"TotalBirdies",2014
86,86,"Michael Thompson",74,271,"TotalBirdies",2014
86,86,"Tyrone Van Aswegen",79,271,"TotalBirdies",2014
89,89,"John Merrick",87,269,"TotalBirdies",2014
89,89,"Vijay Singh",83,269,"TotalBirdies",2014
91,91,"KJ Choi",80,268,"TotalBirdies",2014
92,92,"Phil Mickelson",71,266,"TotalBirdies",2014
92,92,"Nick Watney",80,266,"TotalBirdies",2014
94,94,"Robert Allenby",83,264,"TotalBirdies",2014
94,94,"Ben Crane",81,264,"TotalBirdies",2014
94,94,"Geoff Ogilvy",84,264,"TotalBirdies",2014
94,94,"Andrew Svoboda",77,264,"TotalBirdies",2014
98,98,"John Huh",87,263,"TotalBirdies",2014
99,99,"JJ Henry",91,262,"TotalBirdies",2014
100,100,"Robert Streb",75,261,"TotalBirdies",2014
101,101,"Ken Duke",80,260,"TotalBirdies",2014
102,102,"Ernie Els",85,259,"TotalBirdies",2014
102,102,"Jhonattan Vegas",77,259,"TotalBirdies",2014
102,102,"Tim Wilkinson",86,259,"TotalBirdies",2014
105,105,"Justin Rose",70,256,"TotalBirdies",2014
106,106,"Aaron Baddeley",74,255,"TotalBirdies",2014
106,106,"Richard Lee",80,255,"TotalBirdies",2014
106,106,"David Lingmerth",80,255,"TotalBirdies",2014
109,109,"Angel Cabrera",69,254,"TotalBirdies",2014
110,110,"James Hahn",82,251,"TotalBirdies",2014
111,111,"Charlie Beljan",76,250,"TotalBirdies",2014
111,111,"Tim Clark",75,250,"TotalBirdies",2014
113,113,"Charl Schwartzel",64,249,"TotalBirdies",2014
114,114,"Jason Kokrak",65,246,"TotalBirdies",2014
115,115,"Tommy Gainey",73,245,"TotalBirdies",2014
116,116,"Jonathan Byrd",76,243,"TotalBirdies",2014
117,117,"Trevor Immelman",84,242,"TotalBirdies",2014
117,117,"Sean OHair",77,242,"TotalBirdies",2014
117,117,"Nicholas Thompson",85,242,"TotalBirdies",2014
120,120,"Brian Gay",81,241,"TotalBirdies",2014
120,120,"YE Yang",79,241,"TotalBirdies",2014
122,122,"Scott Stallings",77,240,"TotalBirdies",2014
123,123,"Justin Leonard",75,239,"TotalBirdies",2014
123,123,"Bryce Molder",77,239,"TotalBirdies",2014
125,125,"Ben Curtis",77,238,"TotalBirdies",2014
125,125,"Davis Love III",74,238,"TotalBirdies",2014
127,127,"Hudson Swafford",75,237,"TotalBirdies",2014
128,128,"James Driscoll",71,236,"TotalBirdies",2014
128,128,"Martin Kaymer",65,236,"TotalBirdies",2014
130,130,"Wes Roach",67,235,"TotalBirdies",2014
130,130,"John Rollins",84,235,"TotalBirdies",2014
132,132,"Chad Collins",78,234,"TotalBirdies",2014
133,133,"Derek Ernst",80,232,"TotalBirdies",2014
134,134,"Dustin Johnson",58,231,"TotalBirdies",2014
135,135,"Andrew Loupe",65,227,"TotalBirdies",2014
