"ScoringAverageActual_RANKTHISWEEK_2005","ScoringAverageActual_RANKLASTWEEK_2005","ScoringAverageActual_PLAYERNAME_2005","ScoringAverageActual_ROUNDS_2005","ScoringAverageActual_AVG_2005","ScoringAverageActual_TOTALSTROKES_2005","ScoringAverageActual_TOTALROUNDS_2005","stat_name","year"
1,1,"Tiger Woods",76,69.11,5114,74,"ScoringAverageActual",2005
2,2,"Vijay Singh",111,69.59,7585,109,"ScoringAverageActual",2005
3,3,"Jim Furyk",94,69.68,6480,93,"ScoringAverageActual",2005
4,4,"Phil Mickelson",81,69.86,5170,74,"ScoringAverageActual",2005
5,5,"Ben Crane",78,69.89,5172,74,"ScoringAverageActual",2005
6,6,"Kenny Perry",82,70.04,5603,80,"ScoringAverageActual",2005
7,7,"David Toms",87,70.05,5394,77,"ScoringAverageActual",2005
8,8,"Scott Verplank",87,70.23,6040,86,"ScoringAverageActual",2005
9,9,"Bart Bryant",91,70.24,6392,91,"ScoringAverageActual",2005
9,9,"Sergio Garcia",73,70.24,4776,68,"ScoringAverageActual",2005
11,11,"Luke Donald",67,70.27,4216,60,"ScoringAverageActual",2005
12,12,"Richard Johnson",50,70.28,3514,50,"ScoringAverageActual",2005
13,13,"Tim Herron",100,70.36,6966,99,"ScoringAverageActual",2005
13,13,"Billy Mayfair",114,70.36,7740,110,"ScoringAverageActual",2005
15,15,"Arjun Atwal",65,70.4,4576,65,"ScoringAverageActual",2005
16,16,"Bob Estes",92,70.41,6478,92,"ScoringAverageActual",2005
17,17,"Olin Browne",99,70.43,6691,95,"ScoringAverageActual",2005
18,18,"Jason Bohn",91,70.44,6410,91,"ScoringAverageActual",2005
19,19,"Davis Love III",80,70.45,5284,75,"ScoringAverageActual",2005
20,20,"Justin Rose",99,70.48,6696,95,"ScoringAverageActual",2005
21,21,"Tim Clark",92,70.49,6133,87,"ScoringAverageActual",2005
22,22,"Geoff Ogilvy",97,70.51,6557,93,"ScoringAverageActual",2005
23,23,"Justin Leonard",78,70.53,5290,75,"ScoringAverageActual",2005
24,24,"Jeff Brehaut",71,70.54,4726,67,"ScoringAverageActual",2005
24,24,"Harrison Frazar",105,70.54,7125,101,"ScoringAverageActual",2005
24,24,"Retief Goosen",71,70.54,4303,61,"ScoringAverageActual",2005
24,24,"Dudley Hart",84,70.54,5925,84,"ScoringAverageActual",2005
28,28,"Shigeki Maruyama",99,70.55,6914,98,"ScoringAverageActual",2005
28,28,"Loren Roberts",54,70.55,3739,53,"ScoringAverageActual",2005
30,30,"Heath Slocum",103,70.56,6985,99,"ScoringAverageActual",2005
31,31,"Dan Forsman",52,70.58,3529,50,"ScoringAverageActual",2005
32,32,"Mathias Gronberg",60,70.6,4095,58,"ScoringAverageActual",2005
32,32,"John Senden",101,70.6,6989,99,"ScoringAverageActual",2005
34,34,"Stewart Cink",98,70.62,6356,90,"ScoringAverageActual",2005
35,35,"Steve Elkington",67,70.64,4733,67,"ScoringAverageActual",2005
36,36,"Jose Maria Olazabal",55,70.66,3745,53,"ScoringAverageActual",2005
37,37,"Chad Campbell",95,70.67,6502,92,"ScoringAverageActual",2005
37,37,"Darron Stiles",78,70.67,5371,76,"ScoringAverageActual",2005
37,37,"Bo Van Pelt",112,70.67,7915,112,"ScoringAverageActual",2005
40,40,"Arron Oberholser",65,70.68,4453,63,"ScoringAverageActual",2005
41,41,"JJ Henry",102,70.69,7069,100,"ScoringAverageActual",2005
42,42,"Carl Pettersson",109,70.7,7423,105,"ScoringAverageActual",2005
42,42,"Kevin Sutherland",89,70.7,6151,87,"ScoringAverageActual",2005
42,42,"Dean Wilson",86,70.7,6080,86,"ScoringAverageActual",2005
45,45,"Charles Howell III",95,70.72,6365,90,"ScoringAverageActual",2005
46,46,"Briny Baird",98,70.73,6790,96,"ScoringAverageActual",2005
46,46,"Brandt Jobe",96,70.73,6507,92,"ScoringAverageActual",2005
48,48,"Mark Calcavecchia",92,70.76,6368,90,"ScoringAverageActual",2005
48,48,"Steve Stricker",62,70.76,4387,62,"ScoringAverageActual",2005
48,48,"Vaughn Taylor",99,70.76,7005,99,"ScoringAverageActual",2005
51,51,"Marco Dawson",82,70.77,5803,82,"ScoringAverageActual",2005
51,51,"Chris DiMarco",83,70.77,5308,75,"ScoringAverageActual",2005
51,51,"Bob Tway",87,70.77,5874,83,"ScoringAverageActual",2005
54,54,"Scott Gutschewski",86,70.79,5805,82,"ScoringAverageActual",2005
55,55,"Zach Johnson",96,70.81,6727,95,"ScoringAverageActual",2005
55,55,"Corey Pavin",77,70.81,5169,73,"ScoringAverageActual",2005
57,57,"Stuart Appleby",84,70.83,5666,80,"ScoringAverageActual",2005
58,58,"Phillip Price",77,70.84,5171,73,"ScoringAverageActual",2005
59,59,"Sean OHair",103,70.85,7014,99,"ScoringAverageActual",2005
59,59,"Brett Quigley",96,70.85,6518,92,"ScoringAverageActual",2005
61,61,"Omar Uresti",84,70.86,5952,84,"ScoringAverageActual",2005
62,62,"Adam Scott",72,70.87,4819,68,"ScoringAverageActual",2005
63,63,"Robert Allenby",95,70.89,6309,89,"ScoringAverageActual",2005
63,63,"Fred Funk",102,70.89,7160,101,"ScoringAverageActual",2005
63,63,"Hidemichi Tanaka",106,70.89,7231,102,"ScoringAverageActual",2005
66,66,"Ryuji Imada",78,70.92,5532,78,"ScoringAverageActual",2005
67,67,"Stephen Leaney",89,70.93,6100,86,"ScoringAverageActual",2005
68,68,"Woody Austin",100,70.94,7094,100,"ScoringAverageActual",2005
68,68,"Fred Couples",72,70.94,4824,68,"ScoringAverageActual",2005
68,68,"Brad Faxon",75,70.94,5037,71,"ScoringAverageActual",2005
