"MoneyLeaders_RANKTHISWEEK_2006","MoneyLeaders_RANKLASTWEEK_2006","MoneyLeaders_PLAYERNAME_2006","MoneyLeaders_EVENTS_2006","MoneyLeaders_MONEY_2006","MoneyLeaders_YTDVICTORIES_2006","stat_name","year"
1,1,"Tiger Woods",15,9941563,8,"MoneyLeaders",2006
2,2,"Jim Furyk",24,7213316,2,"MoneyLeaders",2006
3,3,"Adam Scott",19,4978858,1,"MoneyLeaders",2006
4,4,"Vijay Singh",27,4602416,1,"MoneyLeaders",2006
5,5,"Geoff Ogilvy",20,4354969,2,"MoneyLeaders",2006
6,6,"Phil Mickelson",19,4256505,2,"MoneyLeaders",2006
7,7,"Trevor Immelman",24,3844189,1,"MoneyLeaders",2006
8,8,"Stuart Appleby",23,3470457,2,"MoneyLeaders",2006
9,9,"Luke Donald",18,3177408,1,"MoneyLeaders",2006
10,10,"Brett Wetterich",25,3023185,1,"MoneyLeaders",2006
11,11,"David Toms",22,2911187,1,"MoneyLeaders",2006
12,12,"Rory Sabbatini",24,2861751,1,"MoneyLeaders",2006
13,13,"Joe Durant",28,2811139,1,"MoneyLeaders",2006
14,14,"Chad Campbell",25,2811067,1,"MoneyLeaders",2006
15,15,"Stewart Cink",26,2755911,NA,"MoneyLeaders",2006
16,16,"Davis Love III",23,2747206,1,"MoneyLeaders",2006
17,17,"Rod Pampling",24,2664673,1,"MoneyLeaders",2006
18,18,"Carl Pettersson",28,2647982,1,"MoneyLeaders",2006
19,19,"Retief Goosen",18,2617453,NA,"MoneyLeaders",2006
20,20,"Brett Quigley",33,2617419,NA,"MoneyLeaders",2006
21,21,"Lucas Glover",31,2587982,NA,"MoneyLeaders",2006
22,22,"Dean Wilson",34,2509857,1,"MoneyLeaders",2006
23,23,"Arron Oberholser",23,2467772,1,"MoneyLeaders",2006
24,24,"Zach Johnson",27,2452250,NA,"MoneyLeaders",2006
25,25,"Tom Pernice Jr",33,2396548,NA,"MoneyLeaders",2006
26,26,"Stephen Ames",21,2395155,1,"MoneyLeaders",2006
27,27,"KJ Choi",26,2376548,1,"MoneyLeaders",2006
28,28,"Ernie Els",18,2326220,NA,"MoneyLeaders",2006
29,29,"JJ Henry",28,2301480,1,"MoneyLeaders",2006
30,30,"Ben Curtis",26,2256326,2,"MoneyLeaders",2006
31,31,"Jose Maria Olazabal",18,2120422,NA,"MoneyLeaders",2006
32,32,"Tim Clark",22,1974931,NA,"MoneyLeaders",2006
33,33,"Mike Weir",24,1883724,NA,"MoneyLeaders",2006
34,34,"Steve Stricker",17,1811811,NA,"MoneyLeaders",2006
35,35,"Vaughn Taylor",26,1783945,NA,"MoneyLeaders",2006
36,36,"Troy Matteson",32,1778597,1,"MoneyLeaders",2006
37,37,"Tim Herron",27,1776142,1,"MoneyLeaders",2006
38,38,"Camilo Villegas",29,1742112,NA,"MoneyLeaders",2006
39,39,"Jerry Kelly",31,1737800,NA,"MoneyLeaders",2006
40,40,"Scott Verplank",25,1729319,NA,"MoneyLeaders",2006
