"CareerMoneyLeaders_RANKTHISWEEK_2015","CareerMoneyLeaders_RANKLASTWEEK_2015","CareerMoneyLeaders_PLAYERNAME_2015","CareerMoneyLeaders__2015","CareerMoneyLeaders_MONEY_2015","stat_name","year"
1,1,"Tiger Woods",NA,110061012,"CareerMoneyLeaders",2015
2,2,"Phil Mickelson",NA,77452710,"CareerMoneyLeaders",2015
3,3,"Vijay Singh",NA,69328584,"CareerMoneyLeaders",2015
4,4,"Jim Furyk",NA,65644297,"CareerMoneyLeaders",2015
5,5,"Ernie Els",NA,48198319,"CareerMoneyLeaders",2015
6,6,"Davis Love III",NA,44060343,"CareerMoneyLeaders",2015
7,7,"David Toms",NA,41055764,"CareerMoneyLeaders",2015
8,8,"Steve Stricker",NA,40944541,"CareerMoneyLeaders",2015
9,9,"Sergio Garcia",NA,40443548,"CareerMoneyLeaders",2015
10,10,"Adam Scott",NA,38680018,"CareerMoneyLeaders",2015
11,11,"Zach Johnson",NA,38476706,"CareerMoneyLeaders",2015
12,12,"Justin Rose",NA,34667210,"CareerMoneyLeaders",2015
13,13,"Matt Kuchar",NA,33885712,"CareerMoneyLeaders",2015
14,14,"Justin Leonard",NA,33582663,"CareerMoneyLeaders",2015
15,15,"Stewart Cink",NA,33513527,"CareerMoneyLeaders",2015
16,16,"Luke Donald",NA,33269163,"CareerMoneyLeaders",2015
17,17,"Kenny Perry",NA,32123130,"CareerMoneyLeaders",2015
18,18,"Bubba Watson",NA,31932693,"CareerMoneyLeaders",2015
19,19,"KJ Choi",NA,30474317,"CareerMoneyLeaders",2015
20,20,"Dustin Johnson",NA,29666559,"CareerMoneyLeaders",2015
21,21,"Retief Goosen",NA,29589246,"CareerMoneyLeaders",2015
22,22,"Hunter Mahan",NA,29475013,"CareerMoneyLeaders",2015
23,23,"Rory Sabbatini",NA,29343180,"CareerMoneyLeaders",2015
24,24,"Geoff Ogilvy",NA,29094635,"CareerMoneyLeaders",2015
25,25,"Stuart Appleby",NA,28913129,"CareerMoneyLeaders",2015
26,26,"Charles Howell III",NA,28880376,"CareerMoneyLeaders",2015
27,27,"Rory McIlroy",NA,28303410,"CareerMoneyLeaders",2015
28,28,"Mike Weir",NA,27943673,"CareerMoneyLeaders",2015
29,29,"Scott Verplank",NA,27500225,"CareerMoneyLeaders",2015
30,30,"Jerry Kelly",NA,27465236,"CareerMoneyLeaders",2015
31,31,"Robert Allenby",NA,27399269,"CareerMoneyLeaders",2015
32,32,"Jason Day",NA,27021260,"CareerMoneyLeaders",2015
33,33,"Brandt Snedeker",NA,26766747,"CareerMoneyLeaders",2015
34,34,"Mark Calcavecchia",NA,24216436,"CareerMoneyLeaders",2015
35,35,"Nick Watney",NA,23857184,"CareerMoneyLeaders",2015
36,36,"Padraig Harrington",NA,23857084,"CareerMoneyLeaders",2015
37,37,"Tim Clark",NA,23831960,"CareerMoneyLeaders",2015
38,38,"Bill Haas",NA,23480501,"CareerMoneyLeaders",2015
39,39,"Chad Campbell",NA,23278383,"CareerMoneyLeaders",2015
40,40,"Chris DiMarco",NA,22656443,"CareerMoneyLeaders",2015
41,41,"Fred Couples",NA,22595874,"CareerMoneyLeaders",2015
42,42,"Carl Pettersson",NA,22413822,"CareerMoneyLeaders",2015
43,43,"Bob Estes",NA,21536179,"CareerMoneyLeaders",2015
44,44,"Tom Lehman",NA,21495878,"CareerMoneyLeaders",2015
45,45,"Fred Funk",NA,21271495,"CareerMoneyLeaders",2015
46,46,"Ryan Moore",NA,21208547,"CareerMoneyLeaders",2015
47,47,"Henrik Stenson",NA,21161590,"CareerMoneyLeaders",2015
48,48,"Rickie Fowler",NA,20975460,"CareerMoneyLeaders",2015
49,49,"Webb Simpson",NA,20588649,"CareerMoneyLeaders",2015
50,50,"Nick Price",NA,20576104,"CareerMoneyLeaders",2015
51,51,"Bo Van Pelt",NA,20411496,"CareerMoneyLeaders",2015
52,52,"John Senden",NA,20289882,"CareerMoneyLeaders",2015
53,53,"Billy Mayfair",NA,20263921,"CareerMoneyLeaders",2015
54,54,"Jordan Spieth",NA,20253033,"CareerMoneyLeaders",2015
55,55,"Stephen Ames",NA,19718160,"CareerMoneyLeaders",2015
56,56,"Ben Crane",NA,19514661,"CareerMoneyLeaders",2015
57,57,"Jeff Maggert",NA,19364566,"CareerMoneyLeaders",2015
58,58,"Kevin Na",NA,19238474,"CareerMoneyLeaders",2015
59,59,"Ryan Palmer",NA,19155336,"CareerMoneyLeaders",2015
60,60,"Sean OHair",NA,19044120,"CareerMoneyLeaders",2015
61,61,"David Duval",NA,18983931,"CareerMoneyLeaders",2015
62,62,"Tim Herron",NA,18787302,"CareerMoneyLeaders",2015
63,63,"Charley Hoffman",NA,18566846,"CareerMoneyLeaders",2015
64,64,"Scott Hoch",NA,18530156,"CareerMoneyLeaders",2015
65,65,"John Rollins",NA,18316105,"CareerMoneyLeaders",2015
66,66,"Steve Flesch",NA,18263883,"CareerMoneyLeaders",2015
67,67,"Jason Dufner",NA,18237765,"CareerMoneyLeaders",2015
68,68,"Jeff Sluman",NA,18165266,"CareerMoneyLeaders",2015
69,69,"Jonathan Byrd",NA,17978049,"CareerMoneyLeaders",2015
70,70,"Camilo Villegas",NA,17920445,"CareerMoneyLeaders",2015
71,71,"Lee Westwood",NA,17895871,"CareerMoneyLeaders",2015
72,72,"Brian Gay",NA,17795366,"CareerMoneyLeaders",2015
73,73,"Brad Faxon",NA,17769249,"CareerMoneyLeaders",2015
74,74,"Ian Poulter",NA,17651377,"CareerMoneyLeaders",2015
75,75,"Jimmy Walker",NA,17606795,"CareerMoneyLeaders",2015
76,76,"Aaron Baddeley",NA,17417419,"CareerMoneyLeaders",2015
77,77,"JB Holmes",NA,17129639,"CareerMoneyLeaders",2015
78,78,"Pat Perez",NA,17071318,"CareerMoneyLeaders",2015
79,79,"Rocco Mediate",NA,16792617,"CareerMoneyLeaders",2015
80,80,"Freddie Jacobson",NA,16631873,"CareerMoneyLeaders",2015
81,81,"Woody Austin",NA,16580132,"CareerMoneyLeaders",2015
82,82,"Lucas Glover",NA,16448204,"CareerMoneyLeaders",2015
83,83,"Lee Janzen",NA,16040639,"CareerMoneyLeaders",2015
84,84,"Corey Pavin",NA,16021370,"CareerMoneyLeaders",2015
85,85,"Heath Slocum",NA,15904202,"CareerMoneyLeaders",2015
86,86,"Bob Tway",NA,15785815,"CareerMoneyLeaders",2015
87,87,"Keegan Bradley",NA,15699788,"CareerMoneyLeaders",2015
88,88,"Kevin Sutherland",NA,15658171,"CareerMoneyLeaders",2015
89,89,"Steve Elkington",NA,15505418,"CareerMoneyLeaders",2015
90,90,"Jesper Parnevik",NA,15321627,"CareerMoneyLeaders",2015
91,91,"Hal Sutton",NA,15267685,"CareerMoneyLeaders",2015
92,92,"Loren Roberts",NA,15154767,"CareerMoneyLeaders",2015
93,93,"JJ Henry",NA,15154513,"CareerMoneyLeaders",2015
94,94,"Steve Lowery",NA,15128611,"CareerMoneyLeaders",2015
95,95,"John Huston",NA,14967146,"CareerMoneyLeaders",2015
96,96,"Tom Pernice Jr",NA,14950594,"CareerMoneyLeaders",2015
97,97,"Mark Wilson",NA,14903036,"CareerMoneyLeaders",2015
98,98,"Greg Norman",NA,14484458,"CareerMoneyLeaders",2015
99,99,"Paul Azinger",NA,14467496,"CareerMoneyLeaders",2015
100,100,"Jason Bohn",NA,14461678,"CareerMoneyLeaders",2015
101,101,"Jay Haas",NA,14440317,"CareerMoneyLeaders",2015
102,102,"Mark OMeara",NA,14304797,"CareerMoneyLeaders",2015
103,103,"Paul Casey",NA,14189827,"CareerMoneyLeaders",2015
104,104,"Joe Durant",NA,14181693,"CareerMoneyLeaders",2015
105,105,"Kirk Triplett",NA,14096656,"CareerMoneyLeaders",2015
106,106,"Angel Cabrera",NA,14075672,"CareerMoneyLeaders",2015
107,107,"Rod Pampling",NA,14053868,"CareerMoneyLeaders",2015
108,108,"Shigeki Maruyama",NA,13809170,"CareerMoneyLeaders",2015
109,109,"Ben Curtis",NA,13767219,"CareerMoneyLeaders",2015
110,110,"Boo Weekley",NA,13524471,"CareerMoneyLeaders",2015
111,111,"Brian Davis",NA,13267332,"CareerMoneyLeaders",2015
112,112,"Briny Baird",NA,13251178,"CareerMoneyLeaders",2015
113,113,"Paul Goydos",NA,12782100,"CareerMoneyLeaders",2015
114,114,"Kevin Streelman",NA,12769987,"CareerMoneyLeaders",2015
115,115,"John Cook",NA,12685199,"CareerMoneyLeaders",2015
116,116,"Martin Laird",NA,12653470,"CareerMoneyLeaders",2015
117,117,"Scott McCarron",NA,12649527,"CareerMoneyLeaders",2015
118,118,"Dudley Hart",NA,12635726,"CareerMoneyLeaders",2015
119,119,"Trevor Immelman",NA,12567380,"CareerMoneyLeaders",2015
120,120,"Billy Andrade",NA,12494805,"CareerMoneyLeaders",2015
121,121,"Jeff Overton",NA,12380389,"CareerMoneyLeaders",2015
122,122,"Jose Maria Olazabal",NA,12335310,"CareerMoneyLeaders",2015
123,123,"Anthony Kim",NA,12206409,"CareerMoneyLeaders",2015
124,124,"Tim Petrovic",NA,12166303,"CareerMoneyLeaders",2015
125,125,"Chris Kirk",NA,12131764,"CareerMoneyLeaders",2015
126,126,"Graeme McDowell",NA,12119554,"CareerMoneyLeaders",2015
127,127,"Vaughn Taylor",NA,12095680,"CareerMoneyLeaders",2015
128,128,"Robert Garrigus",NA,11986797,"CareerMoneyLeaders",2015
129,129,"Duffy Waldorf",NA,11932543,"CareerMoneyLeaders",2015
130,130,"Marc Leishman",NA,11893453,"CareerMoneyLeaders",2015
131,131,"Frank Lickliter II",NA,11812529,"CareerMoneyLeaders",2015
132,132,"Chris Riley",NA,11525199,"CareerMoneyLeaders",2015
133,133,"Gary Woodland",NA,11513283,"CareerMoneyLeaders",2015
134,134,"Harrison Frazar",NA,11456390,"CareerMoneyLeaders",2015
135,135,"George McNeill",NA,11394800,"CareerMoneyLeaders",2015
136,136,"Joey Sindelar",NA,11196462,"CareerMoneyLeaders",2015
137,137,"Tom Watson",NA,11081140,"CareerMoneyLeaders",2015
138,138,"Billy Horschel",NA,11071442,"CareerMoneyLeaders",2015
139,139,"Brett Quigley",NA,11058693,"CareerMoneyLeaders",2015
140,140,"Tom Kite",NA,11041042,"CareerMoneyLeaders",2015
141,141,"Brendon de Jonge",NA,10969998,"CareerMoneyLeaders",2015
142,142,"Scott Piercy",NA,10867868,"CareerMoneyLeaders",2015
143,143,"Jonathan Kaye",NA,10584934,"CareerMoneyLeaders",2015
144,144,"Bernhard Langer",NA,10424044,"CareerMoneyLeaders",2015
145,145,"John Daly",NA,10245249,"CareerMoneyLeaders",2015
146,146,"DA Points",NA,10210559,"CareerMoneyLeaders",2015
147,147,"Louis Oosthuizen",NA,10205630,"CareerMoneyLeaders",2015
148,148,"Charl Schwartzel",NA,10163056,"CareerMoneyLeaders",2015
149,149,"Joe Ogilvie",NA,10149923,"CareerMoneyLeaders",2015
150,150,"Craig Stadler",NA,10021897,"CareerMoneyLeaders",2015
151,151,"Charlie Wi",NA,9969877,"CareerMoneyLeaders",2015
152,152,"Patrick Reed",NA,9901196,"CareerMoneyLeaders",2015
153,153,"Cameron Beckman",NA,9799034,"CareerMoneyLeaders",2015
154,154,"Ken Duke",NA,9748667,"CareerMoneyLeaders",2015
155,155,"Bart Bryant",NA,9713852,"CareerMoneyLeaders",2015
156,156,"Kevin Stadler",NA,9698197,"CareerMoneyLeaders",2015
157,157,"Rich Beem",NA,9602992,"CareerMoneyLeaders",2015
158,158,"Bryce Molder",NA,9572225,"CareerMoneyLeaders",2015
159,159,"DJ Trahan",NA,9571429,"CareerMoneyLeaders",2015
160,160,"Peter Lonard",NA,9493678,"CareerMoneyLeaders",2015
161,161,"Tommy Armour III",NA,9458248,"CareerMoneyLeaders",2015
162,162,"Mark Brooks",NA,9455441,"CareerMoneyLeaders",2015
163,163,"Carlos Franco",NA,9431368,"CareerMoneyLeaders",2015
