"SandSavePercentage_RANKTHISWEEK_2014","SandSavePercentage_RANKLASTWEEK_2014","SandSavePercentage_PLAYERNAME_2014","SandSavePercentage_ROUNDS_2014","SandSavePercentage_Pct_2014","SandSavePercentage_SAVES_2014","SandSavePercentage_BUNKERS_2014","SandSavePercentage_TOTALOUPAR_2014","stat_name","year"
1,1,"Bill Haas",107,62.15,110,177,27,"SandSavePercentage",2014
2,2,"Mike Weir",69,61.95,70,113,33,"SandSavePercentage",2014
3,3,"Vijay Singh",83,61.36,81,132,40,"SandSavePercentage",2014
4,4,"Phil Mickelson",71,61.27,87,142,35,"SandSavePercentage",2014
5,5,"Charlie Wi",72,61.02,72,118,26,"SandSavePercentage",2014
6,6,"Tim Clark",75,60.98,75,123,43,"SandSavePercentage",2014
7,7,"Justin Leonard",75,60.58,83,137,47,"SandSavePercentage",2014
8,8,"Seung Yul Noh",92,60.28,85,141,33,"SandSavePercentage",2014
9,9,"Jonas Blixt",64,59.29,67,113,31,"SandSavePercentage",2014
10,10,"Brian Gay",81,59.18,87,147,56,"SandSavePercentage",2014
10,10,"Heath Slocum",71,59.18,58,98,21,"SandSavePercentage",2014
12,12,"Retief Goosen",94,59.15,84,142,37,"SandSavePercentage",2014
13,13,"John Senden",99,59.01,95,161,36,"SandSavePercentage",2014
14,14,"Patrick Reed",92,58.97,92,156,55,"SandSavePercentage",2014
15,15,"Brendon Todd",108,58.24,106,182,60,"SandSavePercentage",2014
16,16,"Justin Rose",70,58.16,57,98,17,"SandSavePercentage",2014
17,17,"Greg Chalmers",85,58.08,97,167,65,"SandSavePercentage",2014
18,18,"Chris Kirk",105,57.89,99,171,35,"SandSavePercentage",2014
19,19,"Jordan Spieth",102,57.64,117,203,54,"SandSavePercentage",2014
20,20,"Jason Day",54,57.3,51,89,16,"SandSavePercentage",2014
21,21,"Marc Leishman",81,56.94,82,144,46,"SandSavePercentage",2014
22,22,"Morgan Hoffmann",103,56.89,95,167,47,"SandSavePercentage",2014
22,22,"Kevin Na",94,56.89,95,167,48,"SandSavePercentage",2014
24,24,"Richard Lee",80,56.83,79,139,43,"SandSavePercentage",2014
25,25,"Chad Collins",78,56.52,78,138,44,"SandSavePercentage",2014
26,26,"Sergio Garcia",61,56.36,62,110,12,"SandSavePercentage",2014
27,27,"Gonzalo Fdez Castano",83,56.34,80,142,44,"SandSavePercentage",2014
27,27,"Matt Kuchar",91,56.34,80,142,36,"SandSavePercentage",2014
29,29,"Brian Davis",93,56.22,104,185,67,"SandSavePercentage",2014
30,30,"James Driscoll",71,55.97,75,134,43,"SandSavePercentage",2014
31,31,"Scott Langley",95,55.63,84,151,54,"SandSavePercentage",2014
