"Par4BirdieorBetterLeaders_RANKTHISWEEK_2005","Par4BirdieorBetterLeaders_RANKLASTWEEK_2005","Par4BirdieorBetterLeaders_PLAYERNAME_2005","Par4BirdieorBetterLeaders_ROUNDS_2005","Par4BirdieorBetterLeaders_Pct_2005","Par4BirdieorBetterLeaders_PAR4BIRDIESORBETTER_2005","Par4BirdieorBetterLeaders_PAR4HOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,22.36,182,814,"Par4BirdieorBetterLeaders",2005
2,2,"Phil Mickelson",81,20.69,167,807,"Par4BirdieorBetterLeaders",2005
3,3,"David Toms",87,20.12,169,840,"Par4BirdieorBetterLeaders",2005
4,4,"Kenny Perry",82,19.84,177,892,"Par4BirdieorBetterLeaders",2005
5,5,"Brenden Pappas",51,19.81,107,540,"Par4BirdieorBetterLeaders",2005
6,6,"Tim Herron",100,19.34,205,1060,"Par4BirdieorBetterLeaders",2005
7,7,"Scott Gutschewski",86,19.11,168,879,"Par4BirdieorBetterLeaders",2005
8,8,"Arjun Atwal",65,18.93,131,692,"Par4BirdieorBetterLeaders",2005
9,9,"Tag Ridings",93,18.82,179,951,"Par4BirdieorBetterLeaders",2005
10,10,"Richard Johnson",50,18.68,99,530,"Par4BirdieorBetterLeaders",2005
11,11,"Scott Verplank",87,18.56,175,943,"Par4BirdieorBetterLeaders",2005
12,12,"Vijay Singh",111,18.55,220,1186,"Par4BirdieorBetterLeaders",2005
13,13,"Marco Dawson",82,18.36,157,855,"Par4BirdieorBetterLeaders",2005
14,14,"Steve Stricker",62,18.33,121,660,"Par4BirdieorBetterLeaders",2005
15,15,"Geoff Ogilvy",97,18.15,182,1003,"Par4BirdieorBetterLeaders",2005
16,16,"Hunter Haas",83,18.13,151,833,"Par4BirdieorBetterLeaders",2005
17,17,"Harrison Frazar",105,18.12,193,1065,"Par4BirdieorBetterLeaders",2005
18,18,"Dan Forsman",52,18.02,93,516,"Par4BirdieorBetterLeaders",2005
19,19,"Ryan Palmer",101,18.01,186,1033,"Par4BirdieorBetterLeaders",2005
20,20,"Brad Faxon",75,17.97,138,768,"Par4BirdieorBetterLeaders",2005
21,21,"Freddie Jacobson",72,17.96,139,774,"Par4BirdieorBetterLeaders",2005
22,22,"Hunter Mahan",103,17.86,192,1075,"Par4BirdieorBetterLeaders",2005
23,23,"Mark Wilson",74,17.79,129,725,"Par4BirdieorBetterLeaders",2005
24,24,"Ben Crane",78,17.77,145,816,"Par4BirdieorBetterLeaders",2005
25,25,"Mark Calcavecchia",92,17.73,173,976,"Par4BirdieorBetterLeaders",2005
26,26,"Zach Johnson",96,17.63,183,1038,"Par4BirdieorBetterLeaders",2005
27,27,"Doug Barron",70,17.62,129,732,"Par4BirdieorBetterLeaders",2005
28,28,"Paul Azinger",66,17.6,122,693,"Par4BirdieorBetterLeaders",2005
28,28,"Fred Couples",72,17.6,129,733,"Par4BirdieorBetterLeaders",2005
30,30,"Lucas Glover",88,17.57,159,905,"Par4BirdieorBetterLeaders",2005
31,31,"Justin Leonard",78,17.56,147,837,"Par4BirdieorBetterLeaders",2005
31,31,"Darron Stiles",78,17.56,141,803,"Par4BirdieorBetterLeaders",2005
33,33,"Brett Wetterich",76,17.5,137,783,"Par4BirdieorBetterLeaders",2005
34,34,"Bob Tway",87,17.39,156,897,"Par4BirdieorBetterLeaders",2005
35,35,"Patrick Sheehan",114,17.38,200,1151,"Par4BirdieorBetterLeaders",2005
36,36,"Vaughn Taylor",99,17.37,182,1048,"Par4BirdieorBetterLeaders",2005
37,37,"Olin Browne",99,17.35,174,1003,"Par4BirdieorBetterLeaders",2005
37,37,"Stewart Cink",98,17.35,169,974,"Par4BirdieorBetterLeaders",2005
39,39,"Jim Furyk",94,17.34,176,1015,"Par4BirdieorBetterLeaders",2005
40,40,"Jonathan Kaye",77,17.32,136,785,"Par4BirdieorBetterLeaders",2005
41,41,"Charles Warren",89,17.31,158,913,"Par4BirdieorBetterLeaders",2005
42,42,"Will Ma Kenzie",75,17.3,133,769,"Par4BirdieorBetterLeaders",2005
43,43,"Sean OHair",103,17.29,186,1076,"Par4BirdieorBetterLeaders",2005
44,44,"Ted Purdy",122,17.23,229,1329,"Par4BirdieorBetterLeaders",2005
45,45,"Chris Smith",93,17.2,166,965,"Par4BirdieorBetterLeaders",2005
46,46,"Davis Love III",80,17.14,139,811,"Par4BirdieorBetterLeaders",2005
47,47,"Dudley Hart",84,17.08,152,890,"Par4BirdieorBetterLeaders",2005
48,48,"Tim Clark",92,17.02,162,952,"Par4BirdieorBetterLeaders",2005
49,49,"John Rollins",97,17.01,173,1017,"Par4BirdieorBetterLeaders",2005
50,50,"Chris DiMarco",83,16.99,139,818,"Par4BirdieorBetterLeaders",2005
51,51,"John Huston",90,16.98,154,907,"Par4BirdieorBetterLeaders",2005
52,52,"Joe Ogilvie",103,16.93,179,1057,"Par4BirdieorBetterLeaders",2005
53,53,"Steve Lowery",100,16.92,170,1005,"Par4BirdieorBetterLeaders",2005
54,54,"Ryuji Imada",78,16.89,140,829,"Par4BirdieorBetterLeaders",2005
55,55,"Aaron Baddeley",84,16.88,146,865,"Par4BirdieorBetterLeaders",2005
56,56,"Mark Hensby",70,16.86,128,759,"Par4BirdieorBetterLeaders",2005
57,57,"Joey Sindelar",104,16.85,182,1080,"Par4BirdieorBetterLeaders",2005
58,58,"Jonathan Byrd",103,16.84,178,1057,"Par4BirdieorBetterLeaders",2005
58,58,"Sergio Garcia",73,16.84,128,760,"Par4BirdieorBetterLeaders",2005
60,60,"Michael Allen",90,16.82,162,963,"Par4BirdieorBetterLeaders",2005
60,60,"Brandt Jobe",96,16.82,166,987,"Par4BirdieorBetterLeaders",2005
60,60,"Billy Mayfair",114,16.82,197,1171,"Par4BirdieorBetterLeaders",2005
63,63,"Arron Oberholser",65,16.81,114,678,"Par4BirdieorBetterLeaders",2005
64,64,"Jose Coceres",56,16.78,96,572,"Par4BirdieorBetterLeaders",2005
64,64,"Shigeki Maruyama",99,16.78,179,1067,"Par4BirdieorBetterLeaders",2005
66,66,"Stuart Appleby",84,16.76,148,883,"Par4BirdieorBetterLeaders",2005
67,67,"Roland Thatcher",75,16.73,127,759,"Par4BirdieorBetterLeaders",2005
68,68,"Jose Maria Olazabal",55,16.72,97,580,"Par4BirdieorBetterLeaders",2005
69,69,"Hank Kuehne",84,16.71,141,844,"Par4BirdieorBetterLeaders",2005
70,70,"Bob Heintz",67,16.69,118,707,"Par4BirdieorBetterLeaders",2005
71,71,"Jeff Maggert",79,16.67,133,798,"Par4BirdieorBetterLeaders",2005
72,72,"Kent Jones",99,16.65,169,1015,"Par4BirdieorBetterLeaders",2005
