"BirdieorBetterConversionPercentage_RANKTHISWEEK_2009","BirdieorBetterConversionPercentage_RANKLASTWEEK_2009","BirdieorBetterConversionPercentage_PLAYERNAME_2009","BirdieorBetterConversionPercentage_ROUNDS_2009","BirdieorBetterConversionPercentage_Pct_2009","BirdieorBetterConversionPercentage_BIRDIES_2009","BirdieorBetterConversionPercentage_GREENSHIT_2009","stat_name","year"
1,1,"Anthony Kim",76,35.77,298,833,"BirdieorBetterConversionPercentage",2009
2,2,"Daniel Chopra",89,33.53,338,1008,"BirdieorBetterConversionPercentage",2009
3,3,"Tiger Woods",64,33.25,253,761,"BirdieorBetterConversionPercentage",2009
4,4,"Jason Day",61,33.12,204,616,"BirdieorBetterConversionPercentage",2009
5,5,"Stephen Ames",77,32.89,300,912,"BirdieorBetterConversionPercentage",2009
5,5,"Harrison Frazar",93,32.89,345,1049,"BirdieorBetterConversionPercentage",2009
7,7,"Dustin Johnson",85,32.8,326,994,"BirdieorBetterConversionPercentage",2009
7,7,"Joe Ogilvie",85,32.8,305,930,"BirdieorBetterConversionPercentage",2009
9,9,"Phil Mickelson",66,32.74,238,727,"BirdieorBetterConversionPercentage",2009
10,10,"Aaron Baddeley",66,32.66,227,695,"BirdieorBetterConversionPercentage",2009
11,11,"Hunter Mahan",94,32.42,367,1132,"BirdieorBetterConversionPercentage",2009
12,12,"Bo Van Pelt",100,32.28,356,1103,"BirdieorBetterConversionPercentage",2009
13,13,"Matt Bettencourt",98,32.19,358,1112,"BirdieorBetterConversionPercentage",2009
14,14,"Steve Stricker",81,32.17,304,945,"BirdieorBetterConversionPercentage",2009
15,15,"Martin Laird",72,32.1,268,835,"BirdieorBetterConversionPercentage",2009
16,16,"Brian Davis",103,32.09,369,1150,"BirdieorBetterConversionPercentage",2009
17,17,"Fred Couples",54,32,208,650,"BirdieorBetterConversionPercentage",2009
18,18,"Matt Weibring",65,31.89,221,693,"BirdieorBetterConversionPercentage",2009
19,19,"Tim Clark",81,31.88,299,938,"BirdieorBetterConversionPercentage",2009
20,20,"Jonathan Byrd",89,31.82,343,1078,"BirdieorBetterConversionPercentage",2009
21,21,"Nick Watney",86,31.76,324,1020,"BirdieorBetterConversionPercentage",2009
22,22,"Kris Blanks",60,31.73,204,643,"BirdieorBetterConversionPercentage",2009
22,22,"Charley Hoffman",97,31.73,369,1163,"BirdieorBetterConversionPercentage",2009
24,24,"Lucas Glover",93,31.69,348,1098,"BirdieorBetterConversionPercentage",2009
24,24,"Geoff Ogilvy",78,31.69,264,833,"BirdieorBetterConversionPercentage",2009
26,26,"Greg Chalmers",85,31.64,287,907,"BirdieorBetterConversionPercentage",2009
27,27,"Bubba Watson",73,31.5,264,838,"BirdieorBetterConversionPercentage",2009
28,28,"Matt Kuchar",82,31.47,298,947,"BirdieorBetterConversionPercentage",2009
29,29,"Webb Simpson",94,31.37,331,1055,"BirdieorBetterConversionPercentage",2009
30,30,"Ted Purdy",101,31.35,347,1107,"BirdieorBetterConversionPercentage",2009
31,31,"Justin Leonard",95,31.27,343,1097,"BirdieorBetterConversionPercentage",2009
31,31,"Kevin Na",91,31.27,314,1004,"BirdieorBetterConversionPercentage",2009
33,33,"Charlie Wi",92,31.21,334,1070,"BirdieorBetterConversionPercentage",2009
34,34,"JB Holmes",74,31.2,254,814,"BirdieorBetterConversionPercentage",2009
34,34,"Jerry Kelly",90,31.2,297,952,"BirdieorBetterConversionPercentage",2009
36,36,"Dean Wilson",81,31.18,280,898,"BirdieorBetterConversionPercentage",2009
37,37,"Luke Donald",79,31.13,268,861,"BirdieorBetterConversionPercentage",2009
37,37,"Pat Perez",74,31.13,254,816,"BirdieorBetterConversionPercentage",2009
39,39,"Justin Rose",71,31.08,258,830,"BirdieorBetterConversionPercentage",2009
40,40,"Michael Letzig",96,31.02,330,1064,"BirdieorBetterConversionPercentage",2009
41,41,"Parker McLachlin",71,30.97,231,746,"BirdieorBetterConversionPercentage",2009
41,41,"Jeff Overton",92,30.97,301,972,"BirdieorBetterConversionPercentage",2009
43,43,"George McNeill",82,30.9,283,916,"BirdieorBetterConversionPercentage",2009
44,44,"Vaughn Taylor",88,30.88,302,978,"BirdieorBetterConversionPercentage",2009
44,44,"Mike Weir",85,30.88,294,952,"BirdieorBetterConversionPercentage",2009
46,46,"Angel Cabrera",55,30.86,187,606,"BirdieorBetterConversionPercentage",2009
46,46,"Ryan Moore",89,30.86,312,1011,"BirdieorBetterConversionPercentage",2009
48,48,"Sean OHair",80,30.85,286,927,"BirdieorBetterConversionPercentage",2009
49,49,"Andres Romero",58,30.68,204,665,"BirdieorBetterConversionPercentage",2009
50,50,"Scott Piercy",85,30.67,295,962,"BirdieorBetterConversionPercentage",2009
51,51,"Rory Sabbatini",81,30.61,288,941,"BirdieorBetterConversionPercentage",2009
52,52,"Kevin Streelman",97,30.55,340,1113,"BirdieorBetterConversionPercentage",2009
53,53,"YE Yang",83,30.53,287,940,"BirdieorBetterConversionPercentage",2009
54,54,"Mark Calcavecchia",72,30.42,258,848,"BirdieorBetterConversionPercentage",2009
55,55,"Brendon de Jonge",90,30.23,312,1032,"BirdieorBetterConversionPercentage",2009
55,55,"James Nitties",86,30.23,282,933,"BirdieorBetterConversionPercentage",2009
57,57,"Ben Crane",93,30.21,326,1079,"BirdieorBetterConversionPercentage",2009
58,58,"Bob Heintz",59,30.16,193,640,"BirdieorBetterConversionPercentage",2009
59,59,"Bill Haas",91,30.1,317,1053,"BirdieorBetterConversionPercentage",2009
60,60,"Kenny Perry",92,30.06,331,1101,"BirdieorBetterConversionPercentage",2009
61,61,"Jim Furyk",86,30.05,293,975,"BirdieorBetterConversionPercentage",2009
62,62,"Zach Johnson",94,30.03,336,1119,"BirdieorBetterConversionPercentage",2009
63,63,"Camilo Villegas",76,30,261,870,"BirdieorBetterConversionPercentage",2009
64,64,"Jason Dufner",90,29.98,310,1034,"BirdieorBetterConversionPercentage",2009
65,65,"Leif Olson",51,29.9,154,515,"BirdieorBetterConversionPercentage",2009
66,66,"Brian Gay",96,29.88,309,1034,"BirdieorBetterConversionPercentage",2009
67,67,"Marc Leishman",91,29.84,313,1049,"BirdieorBetterConversionPercentage",2009
68,68,"Paul Goydos",79,29.83,261,875,"BirdieorBetterConversionPercentage",2009
68,68,"Chris Stroud",88,29.83,309,1036,"BirdieorBetterConversionPercentage",2009
70,70,"Chris Riley",77,29.81,245,822,"BirdieorBetterConversionPercentage",2009
71,71,"Joe Durant",62,29.78,204,685,"BirdieorBetterConversionPercentage",2009
72,72,"Jeff Quinney",78,29.73,264,888,"BirdieorBetterConversionPercentage",2009
73,73,"John Rollins",92,29.71,301,1013,"BirdieorBetterConversionPercentage",2009
74,74,"Scott Verplank",88,29.7,300,1010,"BirdieorBetterConversionPercentage",2009
75,75,"Freddie Jacobson",83,29.69,274,923,"BirdieorBetterConversionPercentage",2009
76,76,"Brandt Snedeker",81,29.67,262,883,"BirdieorBetterConversionPercentage",2009
77,77,"Ryuji Imada",85,29.61,278,939,"BirdieorBetterConversionPercentage",2009
78,78,"Steve Lowery",83,29.6,283,956,"BirdieorBetterConversionPercentage",2009
79,79,"David Duval",56,29.58,181,612,"BirdieorBetterConversionPercentage",2009
79,79,"Gary Woodland",53,29.58,163,551,"BirdieorBetterConversionPercentage",2009
81,81,"DA Points",99,29.57,327,1106,"BirdieorBetterConversionPercentage",2009
82,82,"Tim Petrovic",97,29.52,330,1118,"BirdieorBetterConversionPercentage",2009
