"ScoringAverageBeforeCut_RANKTHISWEEK_2005","ScoringAverageBeforeCut_RANKLASTWEEK_2005","ScoringAverageBeforeCut_PLAYERNAME_2005","ScoringAverageBeforeCut__2005","ScoringAverageBeforeCut_AVG_2005","ScoringAverageBeforeCut_TOTALSTROKES_2005","ScoringAverageBeforeCut_TOTALROUNDS_2005","stat_name","year"
1,1,"Phil Mickelson",NA,68.88,2824,41,"ScoringAverageBeforeCut",2005
2,2,"Tiger Woods",NA,68.9,2756,40,"ScoringAverageBeforeCut",2005
3,3,"Ben Crane",NA,69.56,2852,41,"ScoringAverageBeforeCut",2005
4,4,"Vijay Singh",NA,69.63,4108,59,"ScoringAverageBeforeCut",2005
5,5,"Jim Furyk",NA,69.7,3694,53,"ScoringAverageBeforeCut",2005
6,6,"Arjun Atwal",NA,69.74,2441,35,"ScoringAverageBeforeCut",2005
7,7,"Sergio Garcia",NA,69.75,2511,36,"ScoringAverageBeforeCut",2005
8,8,"Luke Donald",NA,69.82,2304,33,"ScoringAverageBeforeCut",2005
9,9,"Kevin Sutherland",NA,69.85,3702,53,"ScoringAverageBeforeCut",2005
10,10,"John Senden",NA,69.95,4127,59,"ScoringAverageBeforeCut",2005
11,11,"Retief Goosen",NA,69.97,2239,32,"ScoringAverageBeforeCut",2005
12,12,"Billy Mayfair",NA,70,4340,62,"ScoringAverageBeforeCut",2005
13,13,"Tim Clark",NA,70.04,3572,51,"ScoringAverageBeforeCut",2005
14,14,"Dudley Hart",NA,70.06,3433,49,"ScoringAverageBeforeCut",2005
14,14,"Scott Verplank",NA,70.06,3433,49,"ScoringAverageBeforeCut",2005
16,16,"Dean Wilson",NA,70.11,3786,54,"ScoringAverageBeforeCut",2005
17,17,"Kenny Perry",NA,70.15,3227,46,"ScoringAverageBeforeCut",2005
18,18,"Justin Rose",NA,70.18,3930,56,"ScoringAverageBeforeCut",2005
19,19,"Brandt Jobe",NA,70.23,3722,53,"ScoringAverageBeforeCut",2005
20,20,"Bob Estes",NA,70.24,3512,50,"ScoringAverageBeforeCut",2005
21,21,"Mark Calcavecchia",NA,70.25,3723,53,"ScoringAverageBeforeCut",2005
22,22,"Tim Herron",NA,70.26,4005,57,"ScoringAverageBeforeCut",2005
23,23,"Olin Browne",NA,70.29,4147,59,"ScoringAverageBeforeCut",2005
24,24,"Stewart Cink",NA,70.32,3516,50,"ScoringAverageBeforeCut",2005
25,25,"Mathias Gronberg",NA,70.38,2604,37,"ScoringAverageBeforeCut",2005
26,26,"Marco Dawson",NA,70.39,3238,46,"ScoringAverageBeforeCut",2005
26,26,"Richard Johnson",NA,70.39,2323,33,"ScoringAverageBeforeCut",2005
28,28,"Justin Leonard",NA,70.41,3239,46,"ScoringAverageBeforeCut",2005
29,29,"Geoff Ogilvy",NA,70.42,3662,52,"ScoringAverageBeforeCut",2005
29,29,"Jose Maria Olazabal",NA,70.42,2183,31,"ScoringAverageBeforeCut",2005
29,29,"Jeff Sluman",NA,70.42,4014,57,"ScoringAverageBeforeCut",2005
32,32,"Briny Baird",NA,70.43,4437,63,"ScoringAverageBeforeCut",2005
33,33,"Ted Purdy",NA,70.45,5002,71,"ScoringAverageBeforeCut",2005
34,34,"Harrison Frazar",NA,70.47,4369,62,"ScoringAverageBeforeCut",2005
35,35,"Bo Van Pelt",NA,70.48,4863,69,"ScoringAverageBeforeCut",2005
36,36,"David Toms",NA,70.52,3103,44,"ScoringAverageBeforeCut",2005
37,37,"Sean OHair",NA,70.53,3879,55,"ScoringAverageBeforeCut",2005
38,38,"Jason Bohn",NA,70.54,4021,57,"ScoringAverageBeforeCut",2005
39,39,"Joey Sindelar",NA,70.55,4233,60,"ScoringAverageBeforeCut",2005
40,40,"Steve Elkington",NA,70.56,2893,41,"ScoringAverageBeforeCut",2005
40,40,"Adam Scott",NA,70.56,2540,36,"ScoringAverageBeforeCut",2005
40,40,"Bob Tway",NA,70.56,3669,52,"ScoringAverageBeforeCut",2005
43,43,"Davis Love III",NA,70.57,3317,47,"ScoringAverageBeforeCut",2005
44,44,"Tommy Armour III",NA,70.58,4235,60,"ScoringAverageBeforeCut",2005
44,44,"JJ Henry",NA,70.58,4517,64,"ScoringAverageBeforeCut",2005
46,46,"Jerry Kelly",NA,70.61,4378,62,"ScoringAverageBeforeCut",2005
47,47,"Brett Quigley",NA,70.64,4309,61,"ScoringAverageBeforeCut",2005
48,48,"Lee Westwood",NA,70.66,2049,29,"ScoringAverageBeforeCut",2005
49,49,"Bart Bryant",NA,70.67,3816,54,"ScoringAverageBeforeCut",2005
49,49,"Jesper Parnevik",NA,70.67,3463,49,"ScoringAverageBeforeCut",2005
49,49,"Loren Roberts",NA,70.67,2544,36,"ScoringAverageBeforeCut",2005
52,52,"Tom Pernice Jr",NA,70.72,4597,65,"ScoringAverageBeforeCut",2005
