"FinalRoundScoringAverage_RANKTHISWEEK_2005","FinalRoundScoringAverage_RANKLASTWEEK_2005","FinalRoundScoringAverage_PLAYERNAME_2005","FinalRoundScoringAverage__2005","FinalRoundScoringAverage_AVG_2005","FinalRoundScoringAverage_TOTALSTROKES_2005","FinalRoundScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Tiger Woods",NA,69.22,1246,18,"FinalRoundScoringAverage",2005
2,2,"Omar Uresti",NA,69.38,1110,16,"FinalRoundScoringAverage",2005
3,3,"Rich Beem",NA,69.43,486,7,"FinalRoundScoringAverage",2005
3,3,"Glen Hnatiuk",NA,69.43,486,7,"FinalRoundScoringAverage",2005
5,5,"Charles Warren",NA,69.47,1042,15,"FinalRoundScoringAverage",2005
6,6,"Ben Crane",NA,69.76,1186,17,"FinalRoundScoringAverage",2005
7,7,"Dan Forsman",NA,69.78,628,9,"FinalRoundScoringAverage",2005
8,8,"Vijay Singh",NA,69.84,1746,25,"FinalRoundScoringAverage",2005
9,9,"Jeff Brehaut",NA,69.92,839,12,"FinalRoundScoringAverage",2005
10,10,"Bart Bryant",NA,69.95,1329,19,"FinalRoundScoringAverage",2005
11,11,"Brenden Pappas",NA,70,700,10,"FinalRoundScoringAverage",2005
12,12,"Jim Furyk",NA,70.05,1541,22,"FinalRoundScoringAverage",2005
13,13,"DA Points",NA,70.07,981,14,"FinalRoundScoringAverage",2005
14,14,"Bob Estes",NA,70.09,1542,22,"FinalRoundScoringAverage",2005
15,15,"John Cook",NA,70.1,701,10,"FinalRoundScoringAverage",2005
16,16,"David Toms",NA,70.12,1192,17,"FinalRoundScoringAverage",2005
17,17,"Robert Allenby",NA,70.13,1122,16,"FinalRoundScoringAverage",2005
17,17,"Lucas Glover",NA,70.13,1122,16,"FinalRoundScoringAverage",2005
19,19,"JJ Henry",NA,70.15,1403,20,"FinalRoundScoringAverage",2005
20,20,"John Elliott",NA,70.17,421,6,"FinalRoundScoringAverage",2005
21,21,"Shigeki Maruyama",NA,70.23,1545,22,"FinalRoundScoringAverage",2005
22,22,"Doug Barron",NA,70.27,773,11,"FinalRoundScoringAverage",2005
22,22,"Heath Slocum",NA,70.27,1546,22,"FinalRoundScoringAverage",2005
24,24,"Loren Roberts",NA,70.3,703,10,"FinalRoundScoringAverage",2005
25,25,"Tag Ridings",NA,70.31,1125,16,"FinalRoundScoringAverage",2005
26,26,"Tim Herron",NA,70.32,1547,22,"FinalRoundScoringAverage",2005
27,27,"Tjaart van der Walt",NA,70.33,633,9,"FinalRoundScoringAverage",2005
28,28,"Billy Mayfair",NA,70.35,1829,26,"FinalRoundScoringAverage",2005
29,29,"Glen Day",NA,70.38,915,13,"FinalRoundScoringAverage",2005
29,29,"Rocco Mediate",NA,70.38,1126,16,"FinalRoundScoringAverage",2005
31,31,"Michael Allen",NA,70.4,1056,15,"FinalRoundScoringAverage",2005
31,31,"Davis Love III",NA,70.4,1056,15,"FinalRoundScoringAverage",2005
33,33,"Fred Couples",NA,70.43,986,14,"FinalRoundScoringAverage",2005
34,34,"Richard Johnson",NA,70.44,634,9,"FinalRoundScoringAverage",2005
35,35,"Vaughn Taylor",NA,70.45,1409,20,"FinalRoundScoringAverage",2005
36,36,"Chad Campbell",NA,70.48,1480,21,"FinalRoundScoringAverage",2005
37,37,"Olin Browne",NA,70.53,1340,19,"FinalRoundScoringAverage",2005
38,38,"Justin Bolli",NA,70.6,706,10,"FinalRoundScoringAverage",2005
38,38,"Kevin Na",NA,70.6,1059,15,"FinalRoundScoringAverage",2005
40,40,"Neal Lancaster",NA,70.61,1271,18,"FinalRoundScoringAverage",2005
41,41,"Brad Faxon",NA,70.62,918,13,"FinalRoundScoringAverage",2005
42,42,"Kevin Stadler",NA,70.71,990,14,"FinalRoundScoringAverage",2005
42,42,"Bob Tway",NA,70.71,1202,17,"FinalRoundScoringAverage",2005
44,44,"Hidemichi Tanaka",NA,70.74,1344,19,"FinalRoundScoringAverage",2005
45,45,"Tim Petrovic",NA,70.75,1132,16,"FinalRoundScoringAverage",2005
46,46,"Bob Heintz",NA,70.78,637,9,"FinalRoundScoringAverage",2005
47,47,"Nick Watney",NA,70.79,991,14,"FinalRoundScoringAverage",2005
48,48,"Brett Wetterich",NA,70.8,708,10,"FinalRoundScoringAverage",2005
49,49,"Justin Rose",NA,70.81,1487,21,"FinalRoundScoringAverage",2005
50,50,"Jason Bohn",NA,70.83,1275,18,"FinalRoundScoringAverage",2005
50,50,"Kenny Perry",NA,70.83,1275,18,"FinalRoundScoringAverage",2005
52,52,"Tom Lehman",NA,70.86,992,14,"FinalRoundScoringAverage",2005
52,52,"Corey Pavin",NA,70.86,992,14,"FinalRoundScoringAverage",2005
54,54,"Duffy Waldorf",NA,70.87,1063,15,"FinalRoundScoringAverage",2005
55,55,"Aaron Baddeley",NA,70.88,1134,16,"FinalRoundScoringAverage",2005
56,56,"Zach Johnson",NA,70.9,1418,20,"FinalRoundScoringAverage",2005
57,57,"Joe Durant",NA,70.94,1135,16,"FinalRoundScoringAverage",2005
58,58,"Harrison Frazar",NA,70.95,1419,20,"FinalRoundScoringAverage",2005
59,59,"Stewart Cink",NA,71,1491,21,"FinalRoundScoringAverage",2005
59,59,"Paul Claxton",NA,71,781,11,"FinalRoundScoringAverage",2005
59,59,"Matt Davidson",NA,71,426,6,"FinalRoundScoringAverage",2005
59,59,"Jonathan Kaye",NA,71,1065,15,"FinalRoundScoringAverage",2005
59,59,"Matt Kuchar",NA,71,639,9,"FinalRoundScoringAverage",2005
64,64,"Brandt Jobe",NA,71.05,1492,21,"FinalRoundScoringAverage",2005
65,65,"Matt Gogel",NA,71.09,782,11,"FinalRoundScoringAverage",2005
66,66,"Steve Stricker",NA,71.1,711,10,"FinalRoundScoringAverage",2005
67,67,"Marco Dawson",NA,71.11,1280,18,"FinalRoundScoringAverage",2005
67,67,"JL Lewis",NA,71.11,1351,19,"FinalRoundScoringAverage",2005
69,69,"Steve Elkington",NA,71.13,1067,15,"FinalRoundScoringAverage",2005
70,70,"Phil Mickelson",NA,71.17,1281,18,"FinalRoundScoringAverage",2005
71,71,"Jay Williamson",NA,71.18,783,11,"FinalRoundScoringAverage",2005
71,71,"Mark Wilson",NA,71.18,783,11,"FinalRoundScoringAverage",2005
73,73,"Justin Leonard",NA,71.19,1139,16,"FinalRoundScoringAverage",2005
74,74,"Charles Howell III",NA,71.21,1353,19,"FinalRoundScoringAverage",2005
74,74,"John Huston",NA,71.21,997,14,"FinalRoundScoringAverage",2005
74,74,"Arron Oberholser",NA,71.21,997,14,"FinalRoundScoringAverage",2005
77,77,"Jeff Sluman",NA,71.25,1425,20,"FinalRoundScoringAverage",2005
77,77,"Scott Verplank",NA,71.25,1425,20,"FinalRoundScoringAverage",2005
79,79,"Luke Donald",NA,71.27,1069,15,"FinalRoundScoringAverage",2005
80,80,"Briny Baird",NA,71.28,1283,18,"FinalRoundScoringAverage",2005
81,81,"Steve Lowery",NA,71.29,1212,17,"FinalRoundScoringAverage",2005
82,82,"Brent Geiberger",NA,71.3,713,10,"FinalRoundScoringAverage",2005
82,82,"Padraig Harrington",NA,71.3,713,10,"FinalRoundScoringAverage",2005
82,82,"Sean OHair",NA,71.3,1640,23,"FinalRoundScoringAverage",2005
85,85,"Hunter Haas",NA,71.31,927,13,"FinalRoundScoringAverage",2005
86,86,"Brian Davis",NA,71.33,1070,15,"FinalRoundScoringAverage",2005
86,86,"Brian Gay",NA,71.33,1284,18,"FinalRoundScoringAverage",2005
86,86,"Bradley Hughes",NA,71.33,428,6,"FinalRoundScoringAverage",2005
89,89,"DJ Brigman",NA,71.36,785,11,"FinalRoundScoringAverage",2005
89,89,"James Driscoll",NA,71.36,785,11,"FinalRoundScoringAverage",2005
89,89,"Fred Funk",NA,71.36,1570,22,"FinalRoundScoringAverage",2005
92,92,"Hank Kuehne",NA,71.42,857,12,"FinalRoundScoringAverage",2005
