"ScoringAverage_RANKTHISWEEK_2012","ScoringAverage_RANKLASTWEEK_2012","ScoringAverage_PLAYERNAME_2012","ScoringAverage_ROUNDS_2012","ScoringAverage_AVG_2012","ScoringAverage_TOTALSTROKES_2012","ScoringAverage_TOTALADJUSTMENT_2012","ScoringAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,68.873,3760,NA,54,"ScoringAverage",2012
2,2,"Tiger Woods",69,68.904,4675,NA,67,"ScoringAverage",2012
3,3,"Jim Furyk",85,69.304,5888,NA,84,"ScoringAverage",2012
4,4,"Jason Dufner",83,69.456,5731,NA,82,"ScoringAverage",2012
5,5,"Matt Kuchar",86,69.477,5743,NA,82,"ScoringAverage",2012
6,6,"Adam Scott",59,69.533,4091,NA,58,"ScoringAverage",2012
7,7,"Justin Rose",69,69.549,4775,NA,68,"ScoringAverage",2012
8,8,"Dustin Johnson",70,69.564,4702,NA,67,"ScoringAverage",2012
9,9,"Bubba Watson",68,69.639,4619,NA,66,"ScoringAverage",2012
10,10,"Luke Donald",63,69.687,4362,NA,62,"ScoringAverage",2012
11,11,"Louis Oosthuizen",65,69.707,4430,NA,63,"ScoringAverage",2012
12,12,"Bo Van Pelt",84,69.718,5829,NA,83,"ScoringAverage",2012
13,13,"Padraig Harrington",67,69.736,4444,NA,63,"ScoringAverage",2012
14,14,"Zach Johnson",95,69.821,6599,NA,94,"ScoringAverage",2012
15,15,"Brandt Snedeker",81,69.84,5468,NA,78,"ScoringAverage",2012
16,16,"Steve Stricker",73,69.865,4907,NA,70,"ScoringAverage",2012
17,17,"Sergio Garcia",57,69.928,3958,NA,56,"ScoringAverage",2012
18,18,"Keegan Bradley",90,69.984,6189,NA,88,"ScoringAverage",2012
19,19,"Carl Pettersson",92,70.013,6474,NA,92,"ScoringAverage",2012
20,20,"Phil Mickelson",79,70.03,5565,NA,79,"ScoringAverage",2012
21,21,"Webb Simpson",77,70.04,5331,NA,76,"ScoringAverage",2012
