"ConsecutiveCuts_RANKTHISWEEK_2011","ConsecutiveCuts_RANKLASTWEEK_2011","ConsecutiveCuts_PLAYERNAME_2011","ConsecutiveCuts__2011","ConsecutiveCuts_TOTAL_2011","ConsecutiveCuts_STARTTOURNAMENTID_2011","stat_name","year"
1,1,"Steve Stricker",NA,42,2009380,"ConsecutiveCuts",2011
2,2,"Charl Schwartzel",NA,19,2010260,"ConsecutiveCuts",2011
3,3,"Andrew Coltart",NA,13,1998350,"ConsecutiveCuts",2011
3,3,"Gary Woodland",NA,13,2011230,"ConsecutiveCuts",2011
5,5,"Josh Teater",NA,10,2011290,"ConsecutiveCuts",2011
5,5,"Jhonattan Vegas",NA,10,2011250,"ConsecutiveCuts",2011
7,7,"Jim Furyk",NA,9,2011310,"ConsecutiveCuts",2011
8,8,"Robert Allenby",NA,8,2011280,"ConsecutiveCuts",2011
8,8,"Luke Donald",NA,8,2011320,"ConsecutiveCuts",2011
8,8,"Sergio Garcia",NA,8,2011260,"ConsecutiveCuts",2011
8,8,"Jerry Kelly",NA,8,2011320,"ConsecutiveCuts",2011
8,8,"Adam Scott",NA,8,2011280,"ConsecutiveCuts",2011
8,8,"YE Yang",NA,8,2011260,"ConsecutiveCuts",2011
14,14,"Briny Baird",NA,7,2011320,"ConsecutiveCuts",2011
14,14,"Matt Kuchar",NA,7,2011350,"ConsecutiveCuts",2011
14,14,"Hunter Mahan",NA,7,2011320,"ConsecutiveCuts",2011
14,14,"William McGirt",NA,7,2011370,"ConsecutiveCuts",2011
14,14,"Carl Pettersson",NA,7,2011330,"ConsecutiveCuts",2011
14,14,"Webb Simpson",NA,7,2011370,"ConsecutiveCuts",2011
14,14,"Nick Watney",NA,7,2011350,"ConsecutiveCuts",2011
21,21,"Blake Adams",NA,6,2011390,"ConsecutiveCuts",2011
21,21,"Jonathan Byrd",NA,6,2011380,"ConsecutiveCuts",2011
21,21,"Greg Chalmers",NA,6,2011370,"ConsecutiveCuts",2011
21,21,"Simon Dyson",NA,6,2010310,"ConsecutiveCuts",2011
21,21,"Mathew Goggin",NA,6,2010420,"ConsecutiveCuts",2011
21,21,"Adam Hadwin",NA,6,2010320,"ConsecutiveCuts",2011
21,21,"Spencer Levin",NA,6,2011390,"ConsecutiveCuts",2011
21,21,"Phil Mickelson",NA,6,2011350,"ConsecutiveCuts",2011
21,21,"Bryce Molder",NA,6,2011340,"ConsecutiveCuts",2011
21,21,"Andres Romero",NA,6,2011320,"ConsecutiveCuts",2011
21,21,"Peter Senior",NA,6,2000310,"ConsecutiveCuts",2011
21,21,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2011
21,21,"Jimmy Walker",NA,6,2011320,"ConsecutiveCuts",2011
34,34,"Woody Austin",NA,5,2011340,"ConsecutiveCuts",2011
34,34,"Patrick Cantlay",NA,5,2011260,"ConsecutiveCuts",2011
34,34,"Paul Casey",NA,5,2011350,"ConsecutiveCuts",2011
34,34,"Ernie Els",NA,5,2011370,"ConsecutiveCuts",2011
34,34,"Padraig Harrington",NA,5,2011350,"ConsecutiveCuts",2011
34,34,"JP Hayes",NA,5,2011300,"ConsecutiveCuts",2011
34,34,"David Hearn",NA,5,2011380,"ConsecutiveCuts",2011
34,34,"Robert Karlsson",NA,5,2011350,"ConsecutiveCuts",2011
34,34,"James Kingston",NA,5,2008350,"ConsecutiveCuts",2011
34,34,"Wayne Levi",NA,5,2001300,"ConsecutiveCuts",2011
34,34,"Rory McIlroy",NA,5,2011240,"ConsecutiveCuts",2011
34,34,"George McNeill",NA,5,2011390,"ConsecutiveCuts",2011
34,34,"Edoardo Molinari",NA,5,2011240,"ConsecutiveCuts",2011
34,34,"Ryan Palmer",NA,5,2011360,"ConsecutiveCuts",2011
34,34,"Patrick Sheehan",NA,5,2009320,"ConsecutiveCuts",2011
34,34,"Brandt Snedeker",NA,5,2011380,"ConsecutiveCuts",2011
34,34,"Kyle Stanley",NA,5,2011380,"ConsecutiveCuts",2011
34,34,"Cameron Tringale",NA,5,2011400,"ConsecutiveCuts",2011
52,52,"Aaron Baddeley",NA,4,2011380,"ConsecutiveCuts",2011
