"AllAroundRanking_RANKTHISWEEK_2010","AllAroundRanking_RANKLASTWEEK_2010","AllAroundRanking_PLAYERNAME_2010","AllAroundRanking_EVENTS_2010","AllAroundRanking_TOTAL_2010","stat_name","year"
1,1,"Matt Kuchar",26,270,"AllAroundRanking",2010
2,2,"Ben Crane",24,377,"AllAroundRanking",2010
3,3,"Steve Stricker",19,378,"AllAroundRanking",2010
4,4,"Robert Allenby",22,392,"AllAroundRanking",2010
5,5,"Paul Casey",17,397,"AllAroundRanking",2010
6,6,"Charley Hoffman",24,411,"AllAroundRanking",2010
7,7,"Bo Van Pelt",28,427,"AllAroundRanking",2010
8,8,"Nick Watney",24,431,"AllAroundRanking",2010
8,8,"Bubba Watson",22,431,"AllAroundRanking",2010
10,10,"Brendon de Jonge",32,443,"AllAroundRanking",2010
11,11,"Paul Stankowski",18,450,"AllAroundRanking",2010
12,12,"Dustin Johnson",23,472,"AllAroundRanking",2010
13,13,"Adam Scott",20,477,"AllAroundRanking",2010
14,14,"Pat Perez",27,478,"AllAroundRanking",2010
14,14,"DJ Trahan",27,478,"AllAroundRanking",2010
16,16,"Phil Mickelson",20,480,"AllAroundRanking",2010
17,17,"Charles Warren",21,485,"AllAroundRanking",2010
18,18,"Chris Couch",23,486,"AllAroundRanking",2010
19,19,"Bill Haas",25,491,"AllAroundRanking",2010
20,20,"KJ Choi",22,496,"AllAroundRanking",2010
21,21,"JB Holmes",26,498,"AllAroundRanking",2010
22,22,"Aron Price",22,499,"AllAroundRanking",2010
23,23,"Tom Gillis",27,508,"AllAroundRanking",2010
23,23,"Kevin Sutherland",25,508,"AllAroundRanking",2010
25,25,"Jeff Overton",26,514,"AllAroundRanking",2010
26,26,"Retief Goosen",19,527,"AllAroundRanking",2010
26,26,"Alex Prugh",28,527,"AllAroundRanking",2010
28,28,"Vijay Singh",24,529,"AllAroundRanking",2010
29,29,"Matt Jones",27,531,"AllAroundRanking",2010
30,30,"Kevin Streelman",28,534,"AllAroundRanking",2010
31,31,"Aaron Baddeley",26,537,"AllAroundRanking",2010
32,32,"Justin Rose",22,547,"AllAroundRanking",2010
33,33,"Vaughn Taylor",26,557,"AllAroundRanking",2010
34,34,"Rickie Fowler",28,558,"AllAroundRanking",2010
35,35,"Lucas Glover",23,561,"AllAroundRanking",2010
36,36,"Hunter Mahan",25,563,"AllAroundRanking",2010
37,37,"Zach Johnson",25,564,"AllAroundRanking",2010
38,38,"Tim Clark",24,567,"AllAroundRanking",2010
39,39,"Steve Elkington",22,568,"AllAroundRanking",2010
40,40,"Brandt Snedeker",26,569,"AllAroundRanking",2010
40,40,"David Toms",25,569,"AllAroundRanking",2010
42,42,"Joe Durant",19,571,"AllAroundRanking",2010
43,43,"Ryan Palmer",27,572,"AllAroundRanking",2010
44,44,"Stewart Cink",23,573,"AllAroundRanking",2010
45,45,"Jason Day",24,574,"AllAroundRanking",2010
46,46,"Jonathan Byrd",26,581,"AllAroundRanking",2010
47,47,"Charles Howell III",28,588,"AllAroundRanking",2010
48,48,"John Rollins",26,596,"AllAroundRanking",2010
49,49,"Ryan Moore",24,598,"AllAroundRanking",2010
50,50,"Graham DeLaet",28,599,"AllAroundRanking",2010
