"TotalDriving_RANKTHISWEEK_2010","TotalDriving_RANKLASTWEEK_2010","TotalDriving_PLAYERNAME_2010","TotalDriving_EVENTS_2010","TotalDriving_TOTAL_2010","TotalDriving_DISTANCERANK_2010","TotalDriving_ACCURACYRANK_2010","stat_name","year"
1,1,"Charles Warren",21,70,9,61,"TotalDriving",2010
2,2,"Graham DeLaet",28,84,6,78,"TotalDriving",2010
3,3,"Hunter Mahan",25,95,57,38,"TotalDriving",2010
4,4,"Davis Love III",24,102,17,85,"TotalDriving",2010
4,4,"Boo Weekley",27,102,55,47,"TotalDriving",2010
6,6,"Kenny Perry",20,104,68,36,"TotalDriving",2010
7,7,"John Rollins",26,110,30,80,"TotalDriving",2010
8,8,"Chris Couch",23,111,49,62,"TotalDriving",2010
8,8,"Ryan Moore",24,111,75,36,"TotalDriving",2010
10,10,"John Merrick",31,113,60,53,"TotalDriving",2010
11,11,"Blake Adams",26,115,63,52,"TotalDriving",2010
11,11,"Steve Elkington",22,115,80,35,"TotalDriving",2010
11,11,"Tom Gillis",27,115,86,29,"TotalDriving",2010
14,14,"Joe Durant",19,118,116,2,"TotalDriving",2010
14,14,"John Senden",30,118,72,46,"TotalDriving",2010
16,16,"JJ Henry",27,120,46,74,"TotalDriving",2010
17,17,"Jarrod Lyle",18,122,23,99,"TotalDriving",2010
18,18,"Mathias Gronberg",22,123,40,83,"TotalDriving",2010
18,18,"Will Ma Kenzie",23,123,66,57,"TotalDriving",2010
18,18,"Bo Van Pelt",28,123,53,70,"TotalDriving",2010
21,21,"Rory McIlroy",16,127,12,115,"TotalDriving",2010
22,22,"Bill Haas",25,130,42,88,"TotalDriving",2010
23,23,"Scott McCarron",29,131,88,43,"TotalDriving",2010
24,24,"Rickie Fowler",28,133,47,86,"TotalDriving",2010
25,25,"Kevin Streelman",28,134,70,64,"TotalDriving",2010
26,26,"Retief Goosen",19,136,60,76,"TotalDriving",2010
26,26,"Nick Watney",24,136,20,116,"TotalDriving",2010
28,28,"Lucas Glover",23,138,27,111,"TotalDriving",2010
28,28,"Paul Stankowski",18,138,70,68,"TotalDriving",2010
30,30,"Jay Williamson",24,140,120,20,"TotalDriving",2010
31,31,"Stewart Cink",23,141,49,92,"TotalDriving",2010
31,31,"Billy Mayfair",26,141,124,17,"TotalDriving",2010
31,31,"Josh Teater",31,141,44,97,"TotalDriving",2010
34,34,"Sergio Garcia",15,142,47,95,"TotalDriving",2010
35,35,"Charley Hoffman",24,143,15,128,"TotalDriving",2010
35,35,"Adam Scott",20,143,33,110,"TotalDriving",2010
35,35,"DJ Trahan",27,143,10,133,"TotalDriving",2010
38,38,"Chad Campbell",28,144,119,25,"TotalDriving",2010
38,38,"Matt Kuchar",26,144,105,39,"TotalDriving",2010
40,40,"Ben Crane",24,145,136,9,"TotalDriving",2010
40,40,"Kevin Sutherland",25,145,96,49,"TotalDriving",2010
42,42,"Mathew Goggin",28,147,78,69,"TotalDriving",2010
43,43,"David Toms",25,151,144,7,"TotalDriving",2010
44,44,"Vijay Singh",24,153,51,102,"TotalDriving",2010
45,45,"Vaughn Taylor",26,155,122,33,"TotalDriving",2010
46,46,"Cliff Kresge",17,156,128,28,"TotalDriving",2010
47,47,"Robert Allenby",22,159,82,77,"TotalDriving",2010
48,48,"Kris Blanks",30,161,110,51,"TotalDriving",2010
49,49,"Jason Dufner",25,164,140,24,"TotalDriving",2010
49,49,"Zach Johnson",25,164,156,8,"TotalDriving",2010
49,49,"Martin Laird",26,164,20,144,"TotalDriving",2010
49,49,"Troy Matteson",28,164,22,142,"TotalDriving",2010
49,49,"Steve Stricker",19,164,134,30,"TotalDriving",2010
54,54,"Aron Price",22,166,121,45,"TotalDriving",2010
54,54,"Brett Wetterich",16,166,4,162,"TotalDriving",2010
56,56,"Garth Mulroy",19,167,29,138,"TotalDriving",2010
56,56,"Garrett Willis",24,167,153,14,"TotalDriving",2010
58,58,"Paul Casey",17,169,35,134,"TotalDriving",2010
58,58,"Justin Rose",22,169,97,72,"TotalDriving",2010
58,58,"Heath Slocum",25,169,163,6,"TotalDriving",2010
61,61,"Brendon de Jonge",32,170,105,65,"TotalDriving",2010
61,61,"Sean OHair",25,170,78,92,"TotalDriving",2010
61,61,"YE Yang",21,170,88,82,"TotalDriving",2010
64,64,"Henrik Bjornstad",26,171,93,78,"TotalDriving",2010
64,64,"Roger Tambellini",26,171,53,118,"TotalDriving",2010
64,64,"Nicholas Thompson",29,171,80,91,"TotalDriving",2010
67,67,"Pat Perez",27,172,102,70,"TotalDriving",2010
68,68,"Jerry Kelly",29,173,160,13,"TotalDriving",2010
68,68,"Michael Letzig",27,173,75,98,"TotalDriving",2010
70,70,"Dustin Johnson",23,175,3,172,"TotalDriving",2010
70,70,"John Mallinger",29,175,152,23,"TotalDriving",2010
70,70,"James Nitties",30,175,112,63,"TotalDriving",2010
73,73,"Robert Garrigus",22,176,1,175,"TotalDriving",2010
73,73,"Mark Wilson",28,176,150,26,"TotalDriving",2010
75,75,"Jason Day",24,178,15,163,"TotalDriving",2010
75,75,"Chris DiMarco",25,178,160,18,"TotalDriving",2010
75,75,"Skip Kendall",18,178,157,21,"TotalDriving",2010
75,75,"Bubba Watson",22,178,2,176,"TotalDriving",2010
79,79,"Kevin Stadler",28,180,72,108,"TotalDriving",2010
80,80,"Dean Wilson",18,183,142,41,"TotalDriving",2010
81,81,"Aaron Baddeley",26,184,14,170,"TotalDriving",2010
82,82,"Alex Prugh",28,185,27,158,"TotalDriving",2010
83,83,"Richard Johnson",27,186,175,11,"TotalDriving",2010
84,84,"Matt Every",18,187,64,123,"TotalDriving",2010
85,85,"JB Holmes",26,188,5,183,"TotalDriving",2010
86,86,"Alex Cejka",28,189,173,16,"TotalDriving",2010
86,86,"Jim Furyk",21,189,179,10,"TotalDriving",2010
86,86,"Cameron Tringale",22,189,32,157,"TotalDriving",2010
89,89,"Angel Cabrera",19,190,8,182,"TotalDriving",2010
89,89,"Marc Leishman",26,190,31,159,"TotalDriving",2010
89,89,"Greg Owen",27,190,60,130,"TotalDriving",2010
89,89,"Ryan Palmer",27,190,26,164,"TotalDriving",2010
89,89,"Omar Uresti",27,190,189,1,"TotalDriving",2010
94,94,"KJ Choi",22,191,131,60,"TotalDriving",2010
94,94,"Steve Wheatcroft",27,191,102,89,"TotalDriving",2010
96,96,"Tim Clark",24,192,188,4,"TotalDriving",2010
96,96,"Steve Marino",24,192,68,124,"TotalDriving",2010
