"Scrambling_RANKTHISWEEK_2014","Scrambling_RANKLASTWEEK_2014","Scrambling_PLAYERNAME_2014","Scrambling_ROUNDS_2014","Scrambling_Pct_2014","Scrambling_PARORBETTER_2014","Scrambling_MISSEDGIR_2014","stat_name","year"
1,1,"Jim Furyk",84,69.33,312,450,"Scrambling",2014
2,2,"Sergio Garcia",61,66.67,218,327,"Scrambling",2014
3,3,"Brian Gay",81,65.69,381,580,"Scrambling",2014
4,4,"Kevin Na",94,65.16,389,597,"Scrambling",2014
5,5,"Jason Day",54,64.95,202,311,"Scrambling",2014
6,6,"Justin Leonard",75,64.56,368,570,"Scrambling",2014
7,7,"Brendon Todd",108,63.57,445,700,"Scrambling",2014
8,8,"Russell Knox",92,63.4,336,530,"Scrambling",2014
9,9,"Chris Kirk",105,63.3,433,684,"Scrambling",2014
10,10,"Tim Wilkinson",86,63.19,357,565,"Scrambling",2014
11,11,"Ted Potter Jr",68,62.76,268,427,"Scrambling",2014
12,12,"Matt Kuchar",91,62.4,327,524,"Scrambling",2014
13,13,"Jordan Spieth",102,62.39,413,662,"Scrambling",2014
14,14,"Keegan Bradley",89,62.31,329,528,"Scrambling",2014
15,15,"Charlie Wi",72,62.27,307,493,"Scrambling",2014
16,16,"Jerry Kelly",80,62.1,308,496,"Scrambling",2014
17,17,"Rickie Fowler",91,62.06,337,543,"Scrambling",2014
18,18,"Chris Stroud",88,61.89,341,551,"Scrambling",2014
19,19,"Ricky Barnes",92,61.8,343,555,"Scrambling",2014
20,20,"Phil Mickelson",71,61.71,274,444,"Scrambling",2014
21,21,"Scott Langley",95,61.67,370,600,"Scrambling",2014
21,21,"Charl Schwartzel",64,61.67,251,407,"Scrambling",2014
23,23,"David Toms",64,61.6,215,349,"Scrambling",2014
24,24,"Heath Slocum",71,61.58,250,406,"Scrambling",2014
25,25,"Brian Davis",93,61.55,397,645,"Scrambling",2014
26,26,"Ernie Els",85,61.36,335,546,"Scrambling",2014
26,26,"Billy Hurley III",86,61.36,324,528,"Scrambling",2014
28,28,"Freddie Jacobson",91,61.34,376,613,"Scrambling",2014
29,29,"Luke Guthrie",85,61.29,342,558,"Scrambling",2014
30,30,"Charles Howell III",106,61.26,378,617,"Scrambling",2014
31,31,"Justin Rose",70,61.23,248,405,"Scrambling",2014
32,32,"Richard Lee",80,61.21,344,562,"Scrambling",2014
33,33,"Retief Goosen",94,61.12,360,589,"Scrambling",2014
34,34,"Stuart Appleby",92,61,366,600,"Scrambling",2014
35,35,"David Hearn",97,60.99,358,587,"Scrambling",2014
36,36,"Zach Johnson",97,60.75,342,563,"Scrambling",2014
37,37,"Adam Scott",68,60.73,232,382,"Scrambling",2014
38,38,"Luke Donald",57,60.59,226,373,"Scrambling",2014
39,39,"Graeme McDowell",66,60.47,231,382,"Scrambling",2014
39,39,"Jeff Overton",80,60.47,283,468,"Scrambling",2014
41,41,"Hideki Matsuyama",82,60.42,313,518,"Scrambling",2014
41,41,"Brian Stuard",91,60.42,342,566,"Scrambling",2014
43,43,"Bill Haas",107,60.37,358,593,"Scrambling",2014
44,44,"Bryce Molder",77,60.34,286,474,"Scrambling",2014
45,45,"Seung Yul Noh",92,60.33,330,547,"Scrambling",2014
46,46,"Pat Perez",84,60.3,325,539,"Scrambling",2014
47,47,"Aaron Baddeley",74,60.27,314,521,"Scrambling",2014
48,48,"Bronson La Cassie",51,60.24,197,327,"Scrambling",2014
49,49,"John Senden",99,60.21,345,573,"Scrambling",2014
50,50,"Gary Woodland",93,60.11,333,554,"Scrambling",2014
51,51,"Chad Campbell",57,60.08,158,263,"Scrambling",2014
52,52,"Robert Allenby",83,59.96,283,472,"Scrambling",2014
52,52,"Andres Romero",81,59.96,328,547,"Scrambling",2014
54,54,"Brad Fritsch",50,59.93,181,302,"Scrambling",2014
55,55,"Spencer Levin",59,59.89,227,379,"Scrambling",2014
56,56,"Mike Weir",69,59.84,298,498,"Scrambling",2014
57,57,"Bud Cauley",56,59.76,196,328,"Scrambling",2014
57,57,"Dustin Johnson",58,59.76,196,328,"Scrambling",2014
59,59,"Jason Kokrak",65,59.75,242,405,"Scrambling",2014
60,60,"Chad Collins",78,59.66,318,533,"Scrambling",2014
60,60,"Brian Harman",111,59.66,426,714,"Scrambling",2014
62,62,"Brice Garnett",92,59.6,329,552,"Scrambling",2014
63,63,"Sean OHair",77,59.57,302,507,"Scrambling",2014
64,64,"Charley Hoffman",93,59.53,328,551,"Scrambling",2014
65,65,"Greg Chalmers",85,59.49,348,585,"Scrambling",2014
66,66,"Brandt Snedeker",89,59.48,342,575,"Scrambling",2014
67,67,"Brendan Steele",89,59.45,305,513,"Scrambling",2014
67,67,"Shawn Stefani",60,59.45,217,365,"Scrambling",2014
69,69,"Patrick Reed",92,59.42,350,589,"Scrambling",2014
70,70,"Tim Clark",75,59.34,286,482,"Scrambling",2014
70,70,"Cameron Tringale",111,59.34,394,664,"Scrambling",2014
72,72,"Jhonattan Vegas",77,59.23,247,417,"Scrambling",2014
73,73,"Vijay Singh",83,59.19,306,517,"Scrambling",2014
74,74,"Bubba Watson",76,59.14,249,421,"Scrambling",2014
75,75,"Ben Crane",81,59.1,315,533,"Scrambling",2014
75,75,"Ben Martin",80,59.1,289,489,"Scrambling",2014
77,77,"Webb Simpson",87,59.05,310,525,"Scrambling",2014
77,77,"Andrew Svoboda",77,59.05,261,442,"Scrambling",2014
79,79,"William McGirt",96,59.02,363,615,"Scrambling",2014
80,80,"Robert Streb",75,59,259,439,"Scrambling",2014
81,81,"Will Wilcox",51,58.9,172,292,"Scrambling",2014
82,82,"Matt Every",85,58.82,330,561,"Scrambling",2014
83,83,"Erik Compton",88,58.8,344,585,"Scrambling",2014
84,84,"Jonas Blixt",64,58.76,255,434,"Scrambling",2014
85,85,"Graham DeLaet",80,58.75,245,417,"Scrambling",2014
86,86,"Scott Brown",100,58.73,370,630,"Scrambling",2014
86,86,"DH Lee",54,58.73,212,361,"Scrambling",2014
88,88,"Rory McIlroy",66,58.52,206,352,"Scrambling",2014
