"RyderCupPoints_RANKTHISWEEK_2014","RyderCupPoints_RANKLASTWEEK_2014","RyderCupPoints_PLAYERNAME_2014","RyderCupPoints_EVENTS_2014","RyderCupPoints_POINTS_2014","stat_name","year"
1,1,"Bubba Watson",21,6930.538,"RyderCupPoints",2014
2,2,"Rickie Fowler",26,6733.253,"RyderCupPoints",2014
3,3,"Jim Furyk",21,6707.694,"RyderCupPoints",2014
4,4,"Jimmy Walker",25,6111.405,"RyderCupPoints",2014
5,5,"Phil Mickelson",22,5510.339,"RyderCupPoints",2014
6,6,"Matt Kuchar",24,5114.665,"RyderCupPoints",2014
7,7,"Jordan Spieth",26,4835.828,"RyderCupPoints",2014
8,8,"Patrick Reed",23,3651.093,"RyderCupPoints",2014
9,9,"Zach Johnson",26,3568.961,"RyderCupPoints",2014
10,10,"Jason Dufner",21,3559.72,"RyderCupPoints",2014
11,11,"Ryan Moore",25,3355.871,"RyderCupPoints",2014
12,12,"Brendon Todd",25,3343.582,"RyderCupPoints",2014
13,13,"Keegan Bradley",27,3324.697,"RyderCupPoints",2014
14,14,"Chris Kirk",25,3287.882,"RyderCupPoints",2014
15,15,"Webb Simpson",24,3155.57,"RyderCupPoints",2014
16,16,"Harris English",27,3036.069,"RyderCupPoints",2014
17,17,"Kevin Na",24,2960.817,"RyderCupPoints",2014
18,18,"Ryan Palmer",21,2612.135,"RyderCupPoints",2014
19,19,"Matt Every",24,2527.305,"RyderCupPoints",2014
20,20,"Brandt Snedeker",26,2476.65,"RyderCupPoints",2014
21,21,"Erik Compton",25,2458.793,"RyderCupPoints",2014
22,22,"Kevin Stadler",24,2456.982,"RyderCupPoints",2014
23,23,"Brian Harman",28,2450.704,"RyderCupPoints",2014
24,24,"Gary Woodland",22,2364.386,"RyderCupPoints",2014
25,25,"Hunter Mahan",25,2346.355,"RyderCupPoints",2014
26,26,"JB Holmes",21,2303.438,"RyderCupPoints",2014
27,27,"Kevin Streelman",25,2215.509,"RyderCupPoints",2014
28,28,"Bill Haas",27,2151.64,"RyderCupPoints",2014
29,29,"Steve Stricker",14,2004.857,"RyderCupPoints",2014
30,30,"Charley Hoffman",24,1991.022,"RyderCupPoints",2014
31,31,"George McNeill",21,1893.781,"RyderCupPoints",2014
32,32,"Charles Howell III",26,1853.837,"RyderCupPoints",2014
33,33,"Russell Henley",29,1843.748,"RyderCupPoints",2014
34,34,"Will Ma Kenzie",23,1812.878,"RyderCupPoints",2014
35,35,"Billy Horschel",25,1755.92,"RyderCupPoints",2014
36,36,"Brian Stuard",26,1651.247,"RyderCupPoints",2014
37,37,"Chris Stroud",23,1642.675,"RyderCupPoints",2014
38,38,"Jason Bohn",22,1547.979,"RyderCupPoints",2014
39,39,"Brooks Koepka",17,1490.936,"RyderCupPoints",2014
40,40,"Daniel Summerhays",24,1469.448,"RyderCupPoints",2014
41,41,"Scott Brown",29,1448.51,"RyderCupPoints",2014
42,42,"Ben Crane",22,1414.567,"RyderCupPoints",2014
43,43,"Ben Martin",24,1407.792,"RyderCupPoints",2014
44,44,"Jerry Kelly",21,1406.933,"RyderCupPoints",2014
45,45,"Scott Stallings",28,1389.085,"RyderCupPoints",2014
46,46,"Kevin Chappell",27,1384.4,"RyderCupPoints",2014
47,47,"Justin Hicks",28,1370.401,"RyderCupPoints",2014
48,48,"Pat Perez",23,1340.455,"RyderCupPoints",2014
49,49,"Shawn Stefani",15,1332.477,"RyderCupPoints",2014
50,50,"Brendan Steele",25,1331.283,"RyderCupPoints",2014
51,51,"Cameron Tringale",27,1327.969,"RyderCupPoints",2014
52,52,"Billy Hurley III",23,1176.243,"RyderCupPoints",2014
53,53,"Robert Garrigus",26,1171.967,"RyderCupPoints",2014
54,54,"John Huh",29,1135.054,"RyderCupPoints",2014
55,55,"Andrew Svoboda",22,1094.939,"RyderCupPoints",2014
56,56,"Stewart Cink",27,1090.455,"RyderCupPoints",2014
57,57,"Jason Kokrak",18,1071.033,"RyderCupPoints",2014
58,58,"David Toms",21,1058.08,"RyderCupPoints",2014
59,59,"Michael Thompson",24,1048.203,"RyderCupPoints",2014
60,60,"Jeff Overton",21,1046.151,"RyderCupPoints",2014
61,61,"Chesson Hadley",25,1025.173,"RyderCupPoints",2014
62,62,"Scott Langley",27,1011.405,"RyderCupPoints",2014
63,63,"Martin Flores",24,999.677,"RyderCupPoints",2014
64,64,"Robert Streb",18,991.402,"RyderCupPoints",2014
65,65,"Boo Weekley",25,988.665,"RyderCupPoints",2014
66,66,"Justin Leonard",22,951.42,"RyderCupPoints",2014
67,67,"Bo Van Pelt",26,933.783,"RyderCupPoints",2014
68,68,"Nick Watney",27,906.02,"RyderCupPoints",2014
69,69,"Troy Merritt",18,848.997,"RyderCupPoints",2014
70,70,"Tiger Woods",11,806.254,"RyderCupPoints",2014
71,71,"Luke Guthrie",27,802.742,"RyderCupPoints",2014
72,72,"Kevin Kisner",24,801.778,"RyderCupPoints",2014
73,73,"William McGirt",25,791.965,"RyderCupPoints",2014
74,74,"Michael Putnam",27,784.216,"RyderCupPoints",2014
75,75,"Bryce Molder",23,780.211,"RyderCupPoints",2014
76,76,"Jim Renner",24,763.978,"RyderCupPoints",2014
77,77,"James Hahn",25,723.599,"RyderCupPoints",2014
78,78,"Nicholas Thompson",30,721.001,"RyderCupPoints",2014
79,79,"Charlie Beljan",26,709.442,"RyderCupPoints",2014
80,80,"Roberto Castro",27,681.939,"RyderCupPoints",2014
81,81,"Bud Cauley",19,676.484,"RyderCupPoints",2014
82,82,"Morgan Hoffmann",28,655.772,"RyderCupPoints",2014
83,83,"Ben Curtis",26,642.483,"RyderCupPoints",2014
84,84,"Brian Gay",27,637.368,"RyderCupPoints",2014
85,85,"Scott Piercy",15,617.355,"RyderCupPoints",2014
86,86,"Briny Baird",17,616.316,"RyderCupPoints",2014
87,87,"Brice Garnett",26,577.378,"RyderCupPoints",2014
88,88,"Ricky Barnes",25,560.356,"RyderCupPoints",2014
89,89,"Jason Allred",8,560.352,"RyderCupPoints",2014
90,90,"Richard Lee",26,552.468,"RyderCupPoints",2014
91,91,"JJ Henry",28,545.548,"RyderCupPoints",2014
92,92,"Will Wilcox",15,539.538,"RyderCupPoints",2014
93,93,"John Merrick",26,502.487,"RyderCupPoints",2014
94,94,"Jonathan Byrd",23,491.514,"RyderCupPoints",2014
95,95,"Ken Duke",26,490.974,"RyderCupPoints",2014
96,96,"Andrew Loupe",21,480.237,"RyderCupPoints",2014
97,97,"Tommy Gainey",26,473.728,"RyderCupPoints",2014
98,98,"Hudson Swafford",25,464.46,"RyderCupPoints",2014
99,99,"Kyle Stanley",30,448.104,"RyderCupPoints",2014
100,100,"Chad Campbell",17,443.798,"RyderCupPoints",2014
101,101,"DA Points",30,410.836,"RyderCupPoints",2014
102,102,"Chad Collins",27,405.554,"RyderCupPoints",2014
103,103,"Sean OHair",24,404.474,"RyderCupPoints",2014
104,104,"Josh Teater",30,401.818,"RyderCupPoints",2014
105,105,"Fred Couples",4,387.171,"RyderCupPoints",2014
106,106,"Troy Matteson",22,383.891,"RyderCupPoints",2014
107,107,"Johnson Wagner",24,381.876,"RyderCupPoints",2014
108,108,"Ted Potter Jr",26,375.687,"RyderCupPoints",2014
109,109,"Jeff Maggert",18,360.157,"RyderCupPoints",2014
110,110,"Wes Roach",21,359.781,"RyderCupPoints",2014
111,111,"James Driscoll",24,341.654,"RyderCupPoints",2014
112,112,"Joe Durant",14,335.858,"RyderCupPoints",2014
113,113,"Heath Slocum",22,311.767,"RyderCupPoints",2014
114,114,"Jamie Lovemark",19,294.371,"RyderCupPoints",2014
115,115,"Davis Love III",22,284.8,"RyderCupPoints",2014
116,116,"John Rollins",27,282.834,"RyderCupPoints",2014
117,117,"Woody Austin",23,282.624,"RyderCupPoints",2014
118,118,"Spencer Levin",20,277.78,"RyderCupPoints",2014
119,119,"Steve Marino",12,277.605,"RyderCupPoints",2014
120,120,"John Peterson",26,273.955,"RyderCupPoints",2014
121,121,"Derek Ernst",28,273.724,"RyderCupPoints",2014
122,122,"Lucas Glover",29,265.166,"RyderCupPoints",2014
123,123,"Kenny Perry",5,261.176,"RyderCupPoints",2014
124,124,"Dicky Pride",12,243.592,"RyderCupPoints",2014
125,125,"Peter Malnati",17,230.446,"RyderCupPoints",2014
126,126,"Jason Gore",7,207.882,"RyderCupPoints",2014
127,127,"John Mallinger",14,203.508,"RyderCupPoints",2014
128,128,"Tim Herron",14,199.24,"RyderCupPoints",2014
129,129,"Jim Herman",21,197.668,"RyderCupPoints",2014
130,130,"Kevin Tway",22,183.292,"RyderCupPoints",2014
131,131,"Bob Estes",2,156,"RyderCupPoints",2014
132,132,"Mark Wilson",24,138.04,"RyderCupPoints",2014
