"PGAChampionshipPoints_RANKTHISWEEK_2006","PGAChampionshipPoints_RANKLASTWEEK_2006","PGAChampionshipPoints_PLAYERNAME_2006","PGAChampionshipPoints_EVENTS_2006","PGAChampionshipPoints_POINTS_2006","stat_name","year"
1,1,"Tiger Woods",4,4814000,"PGAChampionshipPoints",2006
2,2,"Jim Furyk",6,2520400,"PGAChampionshipPoints",2006
3,3,"Adam Scott",6,2266674,"PGAChampionshipPoints",2006
4,4,"Joe Durant",8,2033279,"PGAChampionshipPoints",2006
5,5,"Dean Wilson",10,1599256,"PGAChampionshipPoints",2006
6,6,"Troy Matteson",10,1567634,"PGAChampionshipPoints",2006
7,7,"KJ Choi",8,1490864,"PGAChampionshipPoints",2006
8,8,"Davis Love III",6,1471125,"PGAChampionshipPoints",2006
9,9,"Stewart Cink",7,1410285,"PGAChampionshipPoints",2006
10,10,"Vijay Singh",9,1167847,"PGAChampionshipPoints",2006
11,11,"Eric Axley",11,1156867,"PGAChampionshipPoints",2006
12,12,"Brett Quigley",10,1089183,"PGAChampionshipPoints",2006
13,13,"Shaun Micheel",8,1083763,"PGAChampionshipPoints",2006
14,14,"Ben Curtis",7,1060554,"PGAChampionshipPoints",2006
15,15,"Frank Lickliter II",9,1055220,"PGAChampionshipPoints",2006
16,16,"Justin Rose",9,1019053,"PGAChampionshipPoints",2006
17,17,"Luke Donald",4,988767,"PGAChampionshipPoints",2006
18,18,"Ernie Els",6,937850,"PGAChampionshipPoints",2006
19,19,"Lucas Glover",9,898458,"PGAChampionshipPoints",2006
20,20,"Brett Wetterich",7,874522,"PGAChampionshipPoints",2006
21,21,"Ian Poulter",3,870000,"PGAChampionshipPoints",2006
22,22,"Steve Flesch",9,813696,"PGAChampionshipPoints",2006
23,23,"Trevor Immelman",7,813443,"PGAChampionshipPoints",2006
24,24,"Charles Howell III",10,761700,"PGAChampionshipPoints",2006
25,25,"Daniel Chopra",10,736813,"PGAChampionshipPoints",2006
26,26,"Bart Bryant",8,714493,"PGAChampionshipPoints",2006
27,27,"Steve Stricker",6,709980,"PGAChampionshipPoints",2006
28,28,"Will Ma Kenzie",9,695480,"PGAChampionshipPoints",2006
29,29,"Jason Bohn",8,682499,"PGAChampionshipPoints",2006
30,30,"Paul Goydos",8,674750,"PGAChampionshipPoints",2006
31,31,"JJ Henry",8,652157,"PGAChampionshipPoints",2006
32,32,"Tom Lehman",5,650873,"PGAChampionshipPoints",2006
33,33,"Jonathan Byrd",8,649282,"PGAChampionshipPoints",2006
34,34,"Tom Pernice Jr",10,618640,"PGAChampionshipPoints",2006
35,35,"Ryan Moore",8,618460,"PGAChampionshipPoints",2006
36,36,"DJ Trahan",9,611996,"PGAChampionshipPoints",2006
37,37,"Stuart Appleby",7,567247,"PGAChampionshipPoints",2006
38,38,"Sean OHair",7,566103,"PGAChampionshipPoints",2006
39,39,"Rod Pampling",6,562450,"PGAChampionshipPoints",2006
40,40,"Ben Crane",8,527344,"PGAChampionshipPoints",2006
41,41,"Sergio Garcia",4,520000,"PGAChampionshipPoints",2006
42,42,"David Toms",6,510643,"PGAChampionshipPoints",2006
43,43,"Robert Allenby",7,509895,"PGAChampionshipPoints",2006
44,44,"Arron Oberholser",7,509800,"PGAChampionshipPoints",2006
45,45,"Nick Watney",9,507913,"PGAChampionshipPoints",2006
46,46,"Retief Goosen",6,500075,"PGAChampionshipPoints",2006
47,47,"Ted Purdy",11,469817,"PGAChampionshipPoints",2006
48,48,"Kent Jones",9,457268,"PGAChampionshipPoints",2006
49,49,"Harrison Frazar",9,451447,"PGAChampionshipPoints",2006
50,50,"Rory Sabbatini",7,450166,"PGAChampionshipPoints",2006
51,51,"Bubba Watson",8,443313,"PGAChampionshipPoints",2006
52,52,"Jesper Parnevik",8,439293,"PGAChampionshipPoints",2006
53,53,"Brian Bateman",10,439067,"PGAChampionshipPoints",2006
54,54,"Joe Ogilvie",6,433505,"PGAChampionshipPoints",2006
55,55,"Daisuke Maruyama",8,431638,"PGAChampionshipPoints",2006
56,56,"Bob Estes",8,417418,"PGAChampionshipPoints",2006
57,57,"Lee Janzen",8,397977,"PGAChampionshipPoints",2006
58,58,"Chad Campbell",7,386560,"PGAChampionshipPoints",2006
59,59,"Mike Weir",6,381202,"PGAChampionshipPoints",2006
60,60,"Jeff Brehaut",11,376555,"PGAChampionshipPoints",2006
61,61,"Charley Hoffman",9,371515,"PGAChampionshipPoints",2006
62,62,"Zach Johnson",7,363159,"PGAChampionshipPoints",2006
63,63,"Kevin Sutherland",10,358299,"PGAChampionshipPoints",2006
64,64,"Nathan Green",9,356916,"PGAChampionshipPoints",2006
65,65,"Steve Lowery",9,354575,"PGAChampionshipPoints",2006
66,66,"Marco Dawson",10,353775,"PGAChampionshipPoints",2006
67,67,"Geoff Ogilvy",3,341600,"PGAChampionshipPoints",2006
68,68,"Anthony Kim",2,338067,"PGAChampionshipPoints",2006
69,69,"Richard Johnson",9,325630,"PGAChampionshipPoints",2006
70,70,"Olin Browne",11,324204,"PGAChampionshipPoints",2006
71,71,"Aaron Baddeley",8,323715,"PGAChampionshipPoints",2006
72,72,"Greg Owen",9,319933,"PGAChampionshipPoints",2006
73,73,"Hunter Mahan",8,319448,"PGAChampionshipPoints",2006
74,74,"Briny Baird",7,317692,"PGAChampionshipPoints",2006
75,75,"Chris DiMarco",7,312799,"PGAChampionshipPoints",2006
76,76,"Heath Slocum",8,311973,"PGAChampionshipPoints",2006
77,77,"Bill Haas",9,304134,"PGAChampionshipPoints",2006
78,78,"Ryan Palmer",9,295458,"PGAChampionshipPoints",2006
79,79,"Fred Funk",7,292782,"PGAChampionshipPoints",2006
80,80,"Ian Leggatt",10,288037,"PGAChampionshipPoints",2006
81,81,"Charles Warren",7,286917,"PGAChampionshipPoints",2006
82,82,"Robert Garrigus",9,281423,"PGAChampionshipPoints",2006
83,83,"Carl Pettersson",8,275500,"PGAChampionshipPoints",2006
84,84,"Mark Calcavecchia",8,270990,"PGAChampionshipPoints",2006
85,85,"Bo Van Pelt",7,268705,"PGAChampionshipPoints",2006
86,86,"Ryuji Imada",8,259965,"PGAChampionshipPoints",2006
87,87,"Tim Clark",5,259443,"PGAChampionshipPoints",2006
88,88,"Chris Riley",10,257478,"PGAChampionshipPoints",2006
89,89,"Tim Petrovic",10,249017,"PGAChampionshipPoints",2006
90,90,"Robert Damron",9,248232,"PGAChampionshipPoints",2006
91,91,"Brian Gay",9,247132,"PGAChampionshipPoints",2006
92,92,"JB Holmes",7,241258,"PGAChampionshipPoints",2006
93,93,"Jose Coceres",5,235844,"PGAChampionshipPoints",2006
94,94,"Shigeki Maruyama",9,235226,"PGAChampionshipPoints",2006
95,95,"Jason Gore",8,222271,"PGAChampionshipPoints",2006
96,96,"Jeff Gove",10,220537,"PGAChampionshipPoints",2006
97,97,"Camilo Villegas",8,219997,"PGAChampionshipPoints",2006
98,98,"Jeff Overton",10,215454,"PGAChampionshipPoints",2006
99,99,"Vaughn Taylor",6,212390,"PGAChampionshipPoints",2006
100,100,"Stephen Leaney",6,210198,"PGAChampionshipPoints",2006
101,101,"Woody Austin",8,204255,"PGAChampionshipPoints",2006
102,102,"David McKenzie",10,198219,"PGAChampionshipPoints",2006
103,103,"Brent Geiberger",10,197637,"PGAChampionshipPoints",2006
104,104,"DA Points",9,194866,"PGAChampionshipPoints",2006
105,105,"Tim Herron",7,194500,"PGAChampionshipPoints",2006
106,106,"JP Hayes",7,190433,"PGAChampionshipPoints",2006
107,107,"Paul Azinger",10,185432,"PGAChampionshipPoints",2006
108,108,"Chris Couch",7,181340,"PGAChampionshipPoints",2006
109,109,"Bernhard Langer",8,177267,"PGAChampionshipPoints",2006
110,110,"Ron Whittaker",10,171719,"PGAChampionshipPoints",2006
111,111,"Robert Gamez",9,168491,"PGAChampionshipPoints",2006
112,112,"Jose Maria Olazabal",4,167320,"PGAChampionshipPoints",2006
113,113,"David Howell",5,163860,"PGAChampionshipPoints",2006
114,114,"Jerry Kelly",9,161474,"PGAChampionshipPoints",2006
115,115,"Duffy Waldorf",8,158481,"PGAChampionshipPoints",2006
116,116,"Bubba Dickerson",10,157286,"PGAChampionshipPoints",2006
117,117,"Michael Allen",9,152021,"PGAChampionshipPoints",2006
118,118,"Alex Cejka",10,145744,"PGAChampionshipPoints",2006
119,119,"Padraig Harrington",3,145500,"PGAChampionshipPoints",2006
120,120,"John Rollins",9,144047,"PGAChampionshipPoints",2006
121,121,"Brandt Jobe",9,143350,"PGAChampionshipPoints",2006
122,122,"Justin Leonard",9,142437,"PGAChampionshipPoints",2006
123,123,"Craig Barlow",6,140350,"PGAChampionshipPoints",2006
124,124,"Greg Kraft",10,138924,"PGAChampionshipPoints",2006
125,125,"Phil Mickelson",3,133500,"PGAChampionshipPoints",2006
126,126,"Scott Verplank",7,133389,"PGAChampionshipPoints",2006
127,127,"Nick OHern",4,132817,"PGAChampionshipPoints",2006
128,128,"Rich Beem",9,129058,"PGAChampionshipPoints",2006
129,129,"Joey Sindelar",8,127533,"PGAChampionshipPoints",2006
130,130,"John Senden",8,124412,"PGAChampionshipPoints",2006
131,131,"Nicholas Thompson",10,123765,"PGAChampionshipPoints",2006
132,132,"Patrick Sheehan",11,123739,"PGAChampionshipPoints",2006
