"PuttsmadeDistance_RANKTHISWEEK_2013","PuttsmadeDistance_RANKLASTWEEK_2013","PuttsmadeDistance_PLAYERNAME_2013","PuttsmadeDistance_EVENTS_2013","PuttsmadeDistance_DISTANCEININCHES_2013","stat_name","year"
1,1,"Sangmoon Bae",26,55,"PuttsmadeDistance",2013
1,1,"Peter Hanson",15,55,"PuttsmadeDistance",2013
1,1,"Russell Henley",24,55,"PuttsmadeDistance",2013
1,1,"Brandt Snedeker",23,55,"PuttsmadeDistance",2013
5,5,"Stephen Ames",19,54,"PuttsmadeDistance",2013
5,5,"Harris English",26,54,"PuttsmadeDistance",2013
5,5,"Phil Mickelson",21,54,"PuttsmadeDistance",2013
5,5,"Ted Potter Jr",22,54,"PuttsmadeDistance",2013
5,5,"Charl Schwartzel",19,54,"PuttsmadeDistance",2013
10,10,"Greg Chalmers",25,53,"PuttsmadeDistance",2013
10,10,"James Driscoll",23,53,"PuttsmadeDistance",2013
10,10,"Rickie Fowler",22,53,"PuttsmadeDistance",2013
10,10,"Chris Kirk",24,53,"PuttsmadeDistance",2013
14,14,"Aaron Baddeley",24,52,"PuttsmadeDistance",2013
14,14,"Sergio Garcia",17,52,"PuttsmadeDistance",2013
14,14,"David Hearn",26,52,"PuttsmadeDistance",2013
14,14,"Billy Horschel",26,52,"PuttsmadeDistance",2013
14,14,"Doug LaBelle II",23,52,"PuttsmadeDistance",2013
14,14,"Richard Lee",24,52,"PuttsmadeDistance",2013
14,14,"Graeme McDowell",16,52,"PuttsmadeDistance",2013
21,21,"Tim Clark",20,51,"PuttsmadeDistance",2013
21,21,"Erik Compton",24,51,"PuttsmadeDistance",2013
21,21,"Tommy Gainey",28,51,"PuttsmadeDistance",2013
21,21,"Morgan Hoffmann",20,51,"PuttsmadeDistance",2013
21,21,"Martin Kaymer",17,51,"PuttsmadeDistance",2013
21,21,"Colt Knost",25,51,"PuttsmadeDistance",2013
21,21,"Ben Kohles",25,51,"PuttsmadeDistance",2013
21,21,"Jeff Overton",24,51,"PuttsmadeDistance",2013
