"YTDConsecutiveCuts_RANKTHISWEEK_2007","YTDConsecutiveCuts_RANKLASTWEEK_2007","YTDConsecutiveCuts_PLAYERNAME_2007","YTDConsecutiveCuts__2007","YTDConsecutiveCuts_NUMBEROFCUTS_2007","stat_name","year"
1,1,"Brian Davis",NA,17,"YTDConsecutiveCuts",2007
2,2,"Tiger Woods",NA,16,"YTDConsecutiveCuts",2007
3,3,"Briny Baird",NA,14,"YTDConsecutiveCuts",2007
4,4,"Sean OHair",NA,12,"YTDConsecutiveCuts",2007
5,5,"Bart Bryant",NA,11,"YTDConsecutiveCuts",2007
5,5,"Ernie Els",NA,11,"YTDConsecutiveCuts",2007
5,5,"Boo Weekley",NA,11,"YTDConsecutiveCuts",2007
8,8,"Freddie Jacobson",NA,10,"YTDConsecutiveCuts",2007
8,8,"Craig Lile",NA,10,"YTDConsecutiveCuts",2007
8,8,"Kenny Perry",NA,10,"YTDConsecutiveCuts",2007
11,11,"Cameron Beckman",NA,9,"YTDConsecutiveCuts",2007
11,11,"Steve Stricker",NA,9,"YTDConsecutiveCuts",2007
13,13,"Stephen Ames",NA,8,"YTDConsecutiveCuts",2007
13,13,"Woody Austin",NA,8,"YTDConsecutiveCuts",2007
13,13,"Lee Westwood",NA,8,"YTDConsecutiveCuts",2007
16,16,"Ken Duke",NA,7,"YTDConsecutiveCuts",2007
16,16,"Sergio Garcia",NA,7,"YTDConsecutiveCuts",2007
16,16,"Rod Pampling",NA,7,"YTDConsecutiveCuts",2007
16,16,"Adam Scott",NA,7,"YTDConsecutiveCuts",2007
16,16,"Camilo Villegas",NA,7,"YTDConsecutiveCuts",2007
21,21,"Shingo Katayama",NA,6,"YTDConsecutiveCuts",2007
21,21,"Justin Leonard",NA,6,"YTDConsecutiveCuts",2007
21,21,"Frank Lickliter II",NA,6,"YTDConsecutiveCuts",2007
21,21,"Geoff Ogilvy",NA,6,"YTDConsecutiveCuts",2007
21,21,"Greg Owen",NA,6,"YTDConsecutiveCuts",2007
21,21,"Corey Pavin",NA,6,"YTDConsecutiveCuts",2007
21,21,"John Rollins",NA,6,"YTDConsecutiveCuts",2007
21,21,"Bo Van Pelt",NA,6,"YTDConsecutiveCuts",2007
29,29,"Michael Allen",NA,5,"YTDConsecutiveCuts",2007
29,29,"Ryan Armour",NA,5,"YTDConsecutiveCuts",2007
29,29,"Rich Beem",NA,5,"YTDConsecutiveCuts",2007
29,29,"Chad Campbell",NA,5,"YTDConsecutiveCuts",2007
29,29,"Paul Casey",NA,5,"YTDConsecutiveCuts",2007
29,29,"Alex Cejka",NA,5,"YTDConsecutiveCuts",2007
29,29,"Daniel Chopra",NA,5,"YTDConsecutiveCuts",2007
29,29,"Ben Crane",NA,5,"YTDConsecutiveCuts",2007
29,29,"Jason Dufner",NA,5,"YTDConsecutiveCuts",2007
29,29,"Jeff Gove",NA,5,"YTDConsecutiveCuts",2007
29,29,"Richard Green",NA,5,"YTDConsecutiveCuts",2007
29,29,"Tim Herron",NA,5,"YTDConsecutiveCuts",2007
29,29,"Paul McGinley",NA,5,"YTDConsecutiveCuts",2007
29,29,"Jesper Parnevik",NA,5,"YTDConsecutiveCuts",2007
29,29,"Chris Stroud",NA,5,"YTDConsecutiveCuts",2007
29,29,"Nick Watney",NA,5,"YTDConsecutiveCuts",2007
45,45,"Jason Bohn",NA,4,"YTDConsecutiveCuts",2007
45,45,"Tim Clark",NA,4,"YTDConsecutiveCuts",2007
45,45,"Brendon de Jonge",NA,4,"YTDConsecutiveCuts",2007
45,45,"Joe Durant",NA,4,"YTDConsecutiveCuts",2007
45,45,"Niclas Fasth",NA,4,"YTDConsecutiveCuts",2007
45,45,"Jim Furyk",NA,4,"YTDConsecutiveCuts",2007
45,45,"Lucas Glover",NA,4,"YTDConsecutiveCuts",2007
45,45,"Ryuji Imada",NA,4,"YTDConsecutiveCuts",2007
45,45,"Zach Johnson",NA,4,"YTDConsecutiveCuts",2007
45,45,"Kent Jones",NA,4,"YTDConsecutiveCuts",2007
45,45,"Shigeki Maruyama",NA,4,"YTDConsecutiveCuts",2007
45,45,"Tom Pernice Jr",NA,4,"YTDConsecutiveCuts",2007
45,45,"Rory Sabbatini",NA,4,"YTDConsecutiveCuts",2007
45,45,"John Senden",NA,4,"YTDConsecutiveCuts",2007
45,45,"Mike Weir",NA,4,"YTDConsecutiveCuts",2007
45,45,"Garrett Willis",NA,4,"YTDConsecutiveCuts",2007
61,61,"Arjun Atwal",NA,3,"YTDConsecutiveCuts",2007
61,61,"Jonathan Byrd",NA,3,"YTDConsecutiveCuts",2007
61,61,"Peter Hanson",NA,3,"YTDConsecutiveCuts",2007
61,61,"Billy Mayfair",NA,3,"YTDConsecutiveCuts",2007
61,61,"Ryan Moore",NA,3,"YTDConsecutiveCuts",2007
61,61,"Joe Ogilvie",NA,3,"YTDConsecutiveCuts",2007
61,61,"Ryan Palmer",NA,3,"YTDConsecutiveCuts",2007
61,61,"Pat Perez",NA,3,"YTDConsecutiveCuts",2007
61,61,"Vijay Singh",NA,3,"YTDConsecutiveCuts",2007
61,61,"Brandt Snedeker",NA,3,"YTDConsecutiveCuts",2007
61,61,"Kevin Sutherland",NA,3,"YTDConsecutiveCuts",2007
61,61,"Duffy Waldorf",NA,3,"YTDConsecutiveCuts",2007
61,61,"Charlie Wi",NA,3,"YTDConsecutiveCuts",2007
74,74,"Stuart Appleby",NA,2,"YTDConsecutiveCuts",2007
74,74,"Craig Barlow",NA,2,"YTDConsecutiveCuts",2007
74,74,"Thomas Bjorn",NA,2,"YTDConsecutiveCuts",2007
74,74,"Michael Boyd",NA,2,"YTDConsecutiveCuts",2007
74,74,"Paul Broadhurst",NA,2,"YTDConsecutiveCuts",2007
74,74,"Mark Brooks",NA,2,"YTDConsecutiveCuts",2007
74,74,"Angel Cabrera",NA,2,"YTDConsecutiveCuts",2007
74,74,"KJ Choi",NA,2,"YTDConsecutiveCuts",2007
74,74,"Darren Clarke",NA,2,"YTDConsecutiveCuts",2007
74,74,"Luke Donald",NA,2,"YTDConsecutiveCuts",2007
74,74,"Steve Elkington",NA,2,"YTDConsecutiveCuts",2007
74,74,"Danny Ellis",NA,2,"YTDConsecutiveCuts",2007
74,74,"Todd Fischer",NA,2,"YTDConsecutiveCuts",2007
74,74,"Steve Flesch",NA,2,"YTDConsecutiveCuts",2007
74,74,"Fred Funk",NA,2,"YTDConsecutiveCuts",2007
74,74,"Robert Gamez",NA,2,"YTDConsecutiveCuts",2007
74,74,"Brian Gay",NA,2,"YTDConsecutiveCuts",2007
74,74,"Jason Gore",NA,2,"YTDConsecutiveCuts",2007
74,74,"Paul Goydos",NA,2,"YTDConsecutiveCuts",2007
74,74,"Anton Haig",NA,2,"YTDConsecutiveCuts",2007
74,74,"Trevor Immelman",NA,2,"YTDConsecutiveCuts",2007
74,74,"Lee Janzen",NA,2,"YTDConsecutiveCuts",2007
74,74,"Craig Kanada",NA,2,"YTDConsecutiveCuts",2007
74,74,"Robert Karlsson",NA,2,"YTDConsecutiveCuts",2007
74,74,"Anthony Kim",NA,2,"YTDConsecutiveCuts",2007
74,74,"Greg Kraft",NA,2,"YTDConsecutiveCuts",2007
74,74,"Matt Kuchar",NA,2,"YTDConsecutiveCuts",2007
74,74,"Doug LaBelle II",NA,2,"YTDConsecutiveCuts",2007
74,74,"Bernhard Langer",NA,2,"YTDConsecutiveCuts",2007
74,74,"Jose Manuel Lara",NA,2,"YTDConsecutiveCuts",2007
74,74,"Jamie Lovemark",NA,2,"YTDConsecutiveCuts",2007
74,74,"Steve Lowery",NA,2,"YTDConsecutiveCuts",2007
74,74,"Sandy Lyle",NA,2,"YTDConsecutiveCuts",2007
74,74,"Hunter Mahan",NA,2,"YTDConsecutiveCuts",2007
74,74,"John Mallinger",NA,2,"YTDConsecutiveCuts",2007
74,74,"Steve Marino",NA,2,"YTDConsecutiveCuts",2007
74,74,"Jim McGovern",NA,2,"YTDConsecutiveCuts",2007
74,74,"Parker McLachlin",NA,2,"YTDConsecutiveCuts",2007
74,74,"Bryce Molder",NA,2,"YTDConsecutiveCuts",2007
74,74,"Colin Montgomerie",NA,2,"YTDConsecutiveCuts",2007
74,74,"Nick OHern",NA,2,"YTDConsecutiveCuts",2007
74,74,"Tim Petrovic",NA,2,"YTDConsecutiveCuts",2007
74,74,"Dicky Pride",NA,2,"YTDConsecutiveCuts",2007
74,74,"Kyle Reifers",NA,2,"YTDConsecutiveCuts",2007
74,74,"Chris Riley",NA,2,"YTDConsecutiveCuts",2007
74,74,"Justin Rose",NA,2,"YTDConsecutiveCuts",2007
74,74,"Andrew Ruthkoski",NA,2,"YTDConsecutiveCuts",2007
74,74,"Michael Sim",NA,2,"YTDConsecutiveCuts",2007
74,74,"Graeme Storm",NA,2,"YTDConsecutiveCuts",2007
74,74,"Bob Tway",NA,2,"YTDConsecutiveCuts",2007
74,74,"Grant Waite",NA,2,"YTDConsecutiveCuts",2007
74,74,"Charles Warren",NA,2,"YTDConsecutiveCuts",2007
74,74,"Steve Wheatcroft",NA,2,"YTDConsecutiveCuts",2007
