"Top10Finishes_RANKTHISWEEK_2008","Top10Finishes_RANKLASTWEEK_2008","Top10Finishes_PLAYERNAME_2008","Top10Finishes_EVENTS_2008","Top10Finishes_TOP10_2008","Top10Finishes_1ST_2008","Top10Finishes_2ND_2008","Top10Finishes_3RD_2008","stat_name","year"
1,1,"Robert Allenby",28,9,NA,2,1,"Top10Finishes",2008
1,1,"Jim Furyk",26,9,NA,1,2,"Top10Finishes",2008
3,3,"Anthony Kim",22,8,2,1,3,"Top10Finishes",2008
3,3,"Justin Leonard",25,8,1,1,NA,"Top10Finishes",2008
3,3,"Phil Mickelson",21,8,2,1,1,"Top10Finishes",2008
3,3,"Vijay Singh",23,8,3,2,1,"Top10Finishes",2008
3,3,"Mike Weir",26,8,NA,2,NA,"Top10Finishes",2008
8,8,"Stephen Ames",24,7,NA,NA,1,"Top10Finishes",2008
8,8,"Stuart Appleby",23,7,NA,1,NA,"Top10Finishes",2008
8,8,"Chad Campbell",28,7,NA,1,2,"Top10Finishes",2008
8,8,"Stewart Cink",23,7,1,2,2,"Top10Finishes",2008
8,8,"Kenny Perry",26,7,3,1,1,"Top10Finishes",2008
8,8,"Camilo Villegas",22,7,2,NA,2,"Top10Finishes",2008
14,14,"Woody Austin",30,6,NA,1,1,"Top10Finishes",2008
14,14,"Sergio Garcia",19,6,1,3,NA,"Top10Finishes",2008
14,14,"Brian Gay",31,6,1,1,NA,"Top10Finishes",2008
14,14,"Padraig Harrington",15,6,2,NA,1,"Top10Finishes",2008
14,14,"Dudley Hart",22,6,NA,1,1,"Top10Finishes",2008
14,14,"Steve Marino",32,6,NA,1,2,"Top10Finishes",2008
14,14,"Geoff Ogilvy",20,6,1,1,NA,"Top10Finishes",2008
14,14,"Pat Perez",27,6,NA,NA,NA,"Top10Finishes",2008
14,14,"Tom Pernice Jr",30,6,NA,NA,NA,"Top10Finishes",2008
14,14,"Steve Stricker",22,6,NA,1,NA,"Top10Finishes",2008
14,14,"Kevin Sutherland",26,6,NA,2,NA,"Top10Finishes",2008
14,14,"Nicholas Thompson",36,6,NA,1,NA,"Top10Finishes",2008
14,14,"Tiger Woods",6,6,4,1,NA,"Top10Finishes",2008
27,27,"Tommy Armour III",25,5,NA,1,1,"Top10Finishes",2008
27,27,"KJ Choi",21,5,1,NA,NA,"Top10Finishes",2008
27,27,"Ben Curtis",22,5,NA,2,NA,"Top10Finishes",2008
27,27,"Ken Duke",33,5,NA,2,NA,"Top10Finishes",2008
27,27,"Ernie Els",16,5,1,NA,1,"Top10Finishes",2008
27,27,"Mathew Goggin",27,5,NA,1,2,"Top10Finishes",2008
27,27,"Ryuji Imada",25,5,1,2,1,"Top10Finishes",2008
27,27,"Matt Kuchar",27,5,NA,1,1,"Top10Finishes",2008
27,27,"Michael Letzig",29,5,NA,1,NA,"Top10Finishes",2008
27,27,"Hunter Mahan",27,5,NA,1,NA,"Top10Finishes",2008
27,27,"Troy Matteson",30,5,NA,1,NA,"Top10Finishes",2008
27,27,"Rod Pampling",28,5,NA,1,1,"Top10Finishes",2008
27,27,"Carl Pettersson",29,5,1,NA,NA,"Top10Finishes",2008
27,27,"Heath Slocum",29,5,NA,NA,NA,"Top10Finishes",2008
27,27,"Brandt Snedeker",26,5,NA,NA,1,"Top10Finishes",2008
27,27,"Boo Weekley",24,5,1,NA,NA,"Top10Finishes",2008
27,27,"Mark Wilson",29,5,NA,1,NA,"Top10Finishes",2008
44,44,"Steve Allan",21,4,NA,NA,1,"Top10Finishes",2008
44,44,"Paul Casey",16,4,NA,NA,NA,"Top10Finishes",2008
44,44,"Alex Cejka",25,4,NA,NA,NA,"Top10Finishes",2008
