"NonmemberEarnings_RANKTHISWEEK_2016","NonmemberEarnings_RANKLASTWEEK_2016","NonmemberEarnings_PLAYERNAME_2016","NonmemberEarnings_EVENTS_2016","NonmemberEarnings_MONEY_2016","NonmemberEarnings_TOTAL_2016","stat_name","year"
1,1,"Lee Westwood",4,880000,992000,"NonmemberEarnings",2016
2,2,"Byeong Hun An",7,645745,937245,"NonmemberEarnings",2016
3,3,"Rafa Cabrera Bello",4,471400,1276400,"NonmemberEarnings",2016
4,4,"Kiradech Aphibarnrat",5,386050,604950,"NonmemberEarnings",2016
5,5,"Matthew Fitzpatrick",7,353601,662851,"NonmemberEarnings",2016
6,6,"Bobby Wyatt",3,346488,346488,"NonmemberEarnings",2016
7,7,"Soren Kjeldsen",5,311667,495095,"NonmemberEarnings",2016
8,8,"Bryson DeChambeau",5,259600,259600,"NonmemberEarnings",2016
9,9,"Rodolfo Cazaubon",3,185904,185904,"NonmemberEarnings",2016
10,10,"Hunter Stewart",7,149977,149977,"NonmemberEarnings",2016
11,11,"Paul Dunne",3,125667,125667,"NonmemberEarnings",2016
12,12,"Rafael Campos",2,114200,114200,"NonmemberEarnings",2016
13,13,"Bernd Wiesberger",7,103760,364760,"NonmemberEarnings",2016
14,14,"Chris Wood",5,102700,265450,"NonmemberEarnings",2016
15,15,"Ryan Ruffels",6,100802,100802,"NonmemberEarnings",2016
16,16,"Andy Sullivan",7,95419,331735,"NonmemberEarnings",2016
17,17,"Martin Flores",1,86100,86100,"NonmemberEarnings",2016
18,18,"Ollie Schniederjans",7,68586,68586,"NonmemberEarnings",2016
19,19,"Gonzalo Fdez Castano",2,65600,65600,"NonmemberEarnings",2016
20,20,"Thongchai Jaidee",6,59720,240386,"NonmemberEarnings",2016
21,21,"Greg Yates",1,52959,52959,"NonmemberEarnings",2016
22,22,"Scott Hend",3,52850,184850,"NonmemberEarnings",2016
23,29,"Martin Kaymer",6,50109,275009,"NonmemberEarnings",2016
24,23,"Trey Mullinax",2,49635,49635,"NonmemberEarnings",2016
25,24,"Paul Peterson",1,44508,44508,"NonmemberEarnings",2016
26,25,"Ryan Blaum",1,42160,42160,"NonmemberEarnings",2016
27,26,"Victor Dubuisson",3,37000,156500,"NonmemberEarnings",2016
28,27,"Brandon Hagy",2,33226,33226,"NonmemberEarnings",2016
29,46,"Matt Dobyns",5,29101,29101,"NonmemberEarnings",2016
30,28,"Daisuke Kataoka",1,28742,28742,"NonmemberEarnings",2016
31,30,"James Driscoll",1,24800,24800,"NonmemberEarnings",2016
32,31,"Nick Mason",1,18662,18662,"NonmemberEarnings",2016
33,32,"Benjamin Taylor",1,16968,16968,"NonmemberEarnings",2016
34,33,"Andrew Dodt",2,15540,57915,"NonmemberEarnings",2016
34,33,"Prayad Marksaeng",1,15540,15540,"NonmemberEarnings",2016
36,35,"Gregory Bourdy",1,15113,15113,"NonmemberEarnings",2016
36,35,"George Coetzee",2,15113,68113,"NonmemberEarnings",2016
38,37,"Austin Connelly",3,15050,15050,"NonmemberEarnings",2016
39,38,"Ben Leong",1,14630,14630,"NonmemberEarnings",2016
40,39,"Danny Chia",2,14140,56890,"NonmemberEarnings",2016
41,40,"Curtis Reed",1,14012,14012,"NonmemberEarnings",2016
42,41,"Blake Adams",4,13764,13764,"NonmemberEarnings",2016
43,42,"SSP Chawrasia",2,13580,65580,"NonmemberEarnings",2016
44,43,"Mardan Mamat",1,13440,13440,"NonmemberEarnings",2016
45,44,"Arie Ahmad Irawan",1,13230,13230,"NonmemberEarnings",2016
45,44,"Richard Lee",2,13230,65230,"NonmemberEarnings",2016
47,47,"Thomas Pieters",3,12096,162346,"NonmemberEarnings",2016
48,48,"Matt Atkins",1,11970,11970,"NonmemberEarnings",2016
49,49,"Jin Park",1,11968,11968,"NonmemberEarnings",2016
50,50,"Yusaku Miyazato",2,11484,61234,"NonmemberEarnings",2016
51,51,"Dean Burmester",1,11400,11400,"NonmemberEarnings",2016
52,52,"Hideto Tanihara",1,11252,11252,"NonmemberEarnings",2016
53,53,"Satoshi Kodaira",2,10208,51958,"NonmemberEarnings",2016
54,54,"Jorge Fernandez Valdes",1,7706,7706,"NonmemberEarnings",2016
54,54,"Adam Svensson",2,7706,7706,"NonmemberEarnings",2016
