"PresidentsCupUnitedes_RANKTHISWEEK_2013","PresidentsCupUnitedes_RANKLASTWEEK_2013","PresidentsCupUnitedes_PLAYERNAME_2013","PresidentsCupUnitedes__2013","PresidentsCupUnitedes_POINTS_2013","stat_name","year"
1,1,"Tiger Woods",NA,22627,"PresidentsCupUnitedes",2013
2,2,"Brandt Snedeker",NA,15040,"PresidentsCupUnitedes",2013
3,3,"Phil Mickelson",NA,14938,"PresidentsCupUnitedes",2013
4,4,"Matt Kuchar",NA,14928,"PresidentsCupUnitedes",2013
5,5,"Jason Dufner",NA,10832,"PresidentsCupUnitedes",2013
6,6,"Keegan Bradley",NA,10731,"PresidentsCupUnitedes",2013
7,7,"Steve Stricker",NA,10431,"PresidentsCupUnitedes",2013
8,8,"Bill Haas",NA,10354,"PresidentsCupUnitedes",2013
9,9,"Hunter Mahan",NA,10022,"PresidentsCupUnitedes",2013
10,10,"Zach Johnson",NA,9185,"PresidentsCupUnitedes",2013
11,11,"Webb Simpson",NA,9174,"PresidentsCupUnitedes",2013
12,12,"Dustin Johnson",NA,8788,"PresidentsCupUnitedes",2013
13,13,"Jim Furyk",NA,8686,"PresidentsCupUnitedes",2013
14,14,"Bubba Watson",NA,8170,"PresidentsCupUnitedes",2013
15,15,"Billy Horschel",NA,6988,"PresidentsCupUnitedes",2013
16,16,"Kevin Streelman",NA,6894,"PresidentsCupUnitedes",2013
17,17,"Rickie Fowler",NA,6634,"PresidentsCupUnitedes",2013
18,18,"DA Points",NA,6557,"PresidentsCupUnitedes",2013
19,19,"Nick Watney",NA,6532,"PresidentsCupUnitedes",2013
20,20,"Scott Piercy",NA,6444,"PresidentsCupUnitedes",2013
21,21,"Boo Weekley",NA,6170,"PresidentsCupUnitedes",2013
22,22,"Jordan Spieth",NA,6080,"PresidentsCupUnitedes",2013
23,23,"John Huh",NA,5709,"PresidentsCupUnitedes",2013
24,24,"Harris English",NA,5548,"PresidentsCupUnitedes",2013
25,25,"Robert Garrigus",NA,5541,"PresidentsCupUnitedes",2013
26,26,"Jimmy Walker",NA,5522,"PresidentsCupUnitedes",2013
27,27,"Ryan Moore",NA,5487,"PresidentsCupUnitedes",2013
28,28,"Kyle Stanley",NA,5384,"PresidentsCupUnitedes",2013
29,29,"Charles Howell III",NA,5265,"PresidentsCupUnitedes",2013
30,30,"Bo Van Pelt",NA,5197,"PresidentsCupUnitedes",2013
31,31,"Michael Thompson",NA,5093,"PresidentsCupUnitedes",2013
32,32,"Ken Duke",NA,4923,"PresidentsCupUnitedes",2013
33,33,"John Merrick",NA,4855,"PresidentsCupUnitedes",2013
34,34,"Ryan Palmer",NA,4592,"PresidentsCupUnitedes",2013
35,35,"Scott Stallings",NA,4536,"PresidentsCupUnitedes",2013
36,36,"Chris Kirk",NA,4518,"PresidentsCupUnitedes",2013
37,37,"Charley Hoffman",NA,4424,"PresidentsCupUnitedes",2013
38,38,"Roberto Castro",NA,4321,"PresidentsCupUnitedes",2013
39,39,"Matt Every",NA,4284,"PresidentsCupUnitedes",2013
40,40,"Gary Woodland",NA,4210,"PresidentsCupUnitedes",2013
41,41,"Patrick Reed",NA,4200,"PresidentsCupUnitedes",2013
42,42,"Chris Stroud",NA,4147,"PresidentsCupUnitedes",2013
43,43,"John Rollins",NA,4144,"PresidentsCupUnitedes",2013
44,44,"Ben Crane",NA,4113,"PresidentsCupUnitedes",2013
45,45,"Mark Wilson",NA,4105,"PresidentsCupUnitedes",2013
46,46,"Kevin Stadler",NA,4071,"PresidentsCupUnitedes",2013
47,47,"Kevin Chappell",NA,4053,"PresidentsCupUnitedes",2013
48,48,"Russell Henley",NA,3950,"PresidentsCupUnitedes",2013
49,49,"Johnson Wagner",NA,3842,"PresidentsCupUnitedes",2013
50,50,"Josh Teater",NA,3836,"PresidentsCupUnitedes",2013
51,51,"Bryce Molder",NA,3836,"PresidentsCupUnitedes",2013
52,52,"Brian Gay",NA,3805,"PresidentsCupUnitedes",2013
53,53,"Daniel Summerhays",NA,3558,"PresidentsCupUnitedes",2013
54,54,"Ben Curtis",NA,3260,"PresidentsCupUnitedes",2013
55,55,"Jason Kokrak",NA,3236,"PresidentsCupUnitedes",2013
56,56,"Cameron Tringale",NA,3235,"PresidentsCupUnitedes",2013
57,57,"Charlie Beljan",NA,3206,"PresidentsCupUnitedes",2013
58,58,"Jeff Overton",NA,3153,"PresidentsCupUnitedes",2013
59,59,"Kevin Na",NA,3121,"PresidentsCupUnitedes",2013
60,60,"David Toms",NA,3113,"PresidentsCupUnitedes",2013
61,61,"William McGirt",NA,3069,"PresidentsCupUnitedes",2013
62,62,"Bud Cauley",NA,3066,"PresidentsCupUnitedes",2013
63,63,"Ted Potter Jr",NA,3043,"PresidentsCupUnitedes",2013
64,64,"Pat Perez",NA,3014,"PresidentsCupUnitedes",2013
65,65,"Brendan Steele",NA,3006,"PresidentsCupUnitedes",2013
66,66,"Brian Harman",NA,2966,"PresidentsCupUnitedes",2013
67,67,"Tommy Gainey",NA,2837,"PresidentsCupUnitedes",2013
68,68,"JJ Henry",NA,2822,"PresidentsCupUnitedes",2013
69,69,"Jeff Maggert",NA,2738,"PresidentsCupUnitedes",2013
70,70,"Derek Ernst",NA,2682,"PresidentsCupUnitedes",2013
71,71,"Martin Flores",NA,2647,"PresidentsCupUnitedes",2013
72,72,"Jonathan Byrd",NA,2638,"PresidentsCupUnitedes",2013
73,73,"Bob Estes",NA,2594,"PresidentsCupUnitedes",2013
74,74,"Stewart Cink",NA,2583,"PresidentsCupUnitedes",2013
75,75,"Scott Brown",NA,2503,"PresidentsCupUnitedes",2013
76,76,"Justin Leonard",NA,2447,"PresidentsCupUnitedes",2013
77,77,"James Driscoll",NA,2435,"PresidentsCupUnitedes",2013
78,78,"Richard Lee",NA,2389,"PresidentsCupUnitedes",2013
79,79,"Jerry Kelly",NA,2365,"PresidentsCupUnitedes",2013
80,80,"Jason Bohn",NA,2318,"PresidentsCupUnitedes",2013
81,81,"Luke Guthrie",NA,2268,"PresidentsCupUnitedes",2013
82,82,"Dicky Pride",NA,2250,"PresidentsCupUnitedes",2013
83,83,"George McNeill",NA,2150,"PresidentsCupUnitedes",2013
84,84,"Brian Stuard",NA,2064,"PresidentsCupUnitedes",2013
85,85,"Chad Campbell",NA,1967,"PresidentsCupUnitedes",2013
86,86,"Ricky Barnes",NA,1938,"PresidentsCupUnitedes",2013
87,87,"Tom Gillis",NA,1929,"PresidentsCupUnitedes",2013
88,88,"Chez Reavie",NA,1895,"PresidentsCupUnitedes",2013
89,89,"Nicholas Thompson",NA,1894,"PresidentsCupUnitedes",2013
90,90,"Morgan Hoffmann",NA,1795,"PresidentsCupUnitedes",2013
91,91,"Sean OHair",NA,1762,"PresidentsCupUnitedes",2013
92,92,"James Hahn",NA,1707,"PresidentsCupUnitedes",2013
93,93,"Troy Matteson",NA,1705,"PresidentsCupUnitedes",2013
94,94,"Erik Compton",NA,1663,"PresidentsCupUnitedes",2013
95,95,"Lucas Glover",NA,1627,"PresidentsCupUnitedes",2013
96,96,"Spencer Levin",NA,1603,"PresidentsCupUnitedes",2013
97,97,"Davis Love III",NA,1597,"PresidentsCupUnitedes",2013
98,98,"Justin Hicks",NA,1497,"PresidentsCupUnitedes",2013
99,99,"Tim Herron",NA,1453,"PresidentsCupUnitedes",2013
100,100,"David Mathis",NA,1437,"PresidentsCupUnitedes",2013
101,101,"John Mallinger",NA,1421,"PresidentsCupUnitedes",2013
102,102,"Brendon Todd",NA,1421,"PresidentsCupUnitedes",2013
103,103,"Vaughn Taylor",NA,1394,"PresidentsCupUnitedes",2013
104,104,"Woody Austin",NA,1309,"PresidentsCupUnitedes",2013
105,105,"Blake Adams",NA,1285,"PresidentsCupUnitedes",2013
