"Par5ScoringAverage_RANKTHISWEEK_2007","Par5ScoringAverage_RANKLASTWEEK_2007","Par5ScoringAverage_PLAYERNAME_2007","Par5ScoringAverage_ROUNDS_2007","Par5ScoringAverage_AVG_2007","Par5ScoringAverage_TOTALSTROKES_2007","Par5ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Phil Mickelson",73,4.45,962,216,"Par5ScoringAverage",2007
2,2,"Tiger Woods",63,4.48,789,176,"Par5ScoringAverage",2007
3,3,"Jason Bohn",57,4.55,806,177,"Par5ScoringAverage",2007
4,4,"Aaron Baddeley",83,4.56,1098,241,"Par5ScoringAverage",2007
4,4,"Jonathan Byrd",73,4.56,1044,229,"Par5ScoringAverage",2007
4,4,"Bill Haas",93,4.56,1369,300,"Par5ScoringAverage",2007
4,4,"Vijay Singh",102,4.56,1346,295,"Par5ScoringAverage",2007
8,8,"Mark Calcavecchia",93,4.57,1299,284,"Par5ScoringAverage",2007
8,8,"Alex Cejka",80,4.57,1189,260,"Par5ScoringAverage",2007
10,10,"Sergio Garcia",68,4.58,879,192,"Par5ScoringAverage",2007
10,10,"Bubba Watson",80,4.58,1208,264,"Par5ScoringAverage",2007
12,12,"Robert Allenby",90,4.6,1209,263,"Par5ScoringAverage",2007
12,12,"Pat Perez",84,4.6,1049,228,"Par5ScoringAverage",2007
12,12,"Justin Rose",63,4.6,750,163,"Par5ScoringAverage",2007
12,12,"Adam Scott",69,4.6,957,208,"Par5ScoringAverage",2007
12,12,"Charles Warren",101,4.6,1494,325,"Par5ScoringAverage",2007
17,17,"Kevin Na",84,4.61,1273,276,"Par5ScoringAverage",2007
17,17,"Rod Pampling",92,4.61,1217,264,"Par5ScoringAverage",2007
17,17,"Carl Pettersson",111,4.61,1581,343,"Par5ScoringAverage",2007
17,17,"John Senden",97,4.61,1415,307,"Par5ScoringAverage",2007
17,17,"Charlie Wi",90,4.61,1370,297,"Par5ScoringAverage",2007
22,22,"Jim Furyk",84,4.62,1142,247,"Par5ScoringAverage",2007
22,22,"Nathan Green",103,4.62,1478,320,"Par5ScoringAverage",2007
22,22,"Charley Hoffman",97,4.62,1465,317,"Par5ScoringAverage",2007
22,22,"Charles Howell III",89,4.62,1228,266,"Par5ScoringAverage",2007
22,22,"Jeff Overton",60,4.62,915,198,"Par5ScoringAverage",2007
22,22,"Steve Stricker",81,4.62,1071,232,"Par5ScoringAverage",2007
28,28,"Briny Baird",115,4.63,1708,369,"Par5ScoringAverage",2007
28,28,"Cameron Beckman",96,4.63,1472,318,"Par5ScoringAverage",2007
28,28,"Rich Beem",89,4.63,1282,277,"Par5ScoringAverage",2007
28,28,"KJ Choi",87,4.63,1185,256,"Par5ScoringAverage",2007
28,28,"Bob Estes",88,4.63,1283,277,"Par5ScoringAverage",2007
28,28,"JJ Henry",86,4.63,1162,251,"Par5ScoringAverage",2007
28,28,"Hunter Mahan",91,4.63,1214,262,"Par5ScoringAverage",2007
28,28,"Steve Marino",106,4.63,1587,343,"Par5ScoringAverage",2007
28,28,"Sean OHair",98,4.63,1404,303,"Par5ScoringAverage",2007
28,28,"Joe Ogilvie",102,4.63,1477,319,"Par5ScoringAverage",2007
28,28,"Kevin Sutherland",85,4.63,1272,275,"Par5ScoringAverage",2007
28,28,"Bo Van Pelt",104,4.63,1464,316,"Par5ScoringAverage",2007
40,40,"Ernie Els",59,4.64,780,168,"Par5ScoringAverage",2007
40,40,"Lucas Glover",98,4.64,1488,321,"Par5ScoringAverage",2007
40,40,"Kent Jones",97,4.64,1516,327,"Par5ScoringAverage",2007
40,40,"Anthony Kim",93,4.64,1295,279,"Par5ScoringAverage",2007
40,40,"Billy Mayfair",98,4.64,1372,296,"Par5ScoringAverage",2007
40,40,"Jesper Parnevik",88,4.64,1323,285,"Par5ScoringAverage",2007
40,40,"Heath Slocum",101,4.64,1398,301,"Par5ScoringAverage",2007
40,40,"Vaughn Taylor",91,4.64,1305,281,"Par5ScoringAverage",2007
40,40,"Chris Tidland",59,4.64,904,195,"Par5ScoringAverage",2007
40,40,"Johnson Wagner",97,4.64,1498,323,"Par5ScoringAverage",2007
50,50,"Rich Barcelo",80,4.65,1219,262,"Par5ScoringAverage",2007
50,50,"Craig Barlow",52,4.65,832,179,"Par5ScoringAverage",2007
50,50,"Jeff Gove",103,4.65,1584,341,"Par5ScoringAverage",2007
50,50,"Mathias Gronberg",95,4.65,1459,314,"Par5ScoringAverage",2007
50,50,"Jerry Kelly",101,4.65,1368,294,"Par5ScoringAverage",2007
