"CurrentParorBetterStreak_RANKTHISWEEK_2007","CurrentParorBetterStreak_RANKLASTWEEK_2007","CurrentParorBetterStreak_PLAYERNAME_2007","CurrentParorBetterStreak_EVENTS_2007","CurrentParorBetterStreak_NUMBEROFROUNDS_2007","stat_name","year"
1,1,"Heath Slocum",185,17,"CurrentParorBetterStreak",2007
2,2,"Scott Verplank",496,14,"CurrentParorBetterStreak",2007
2,2,"Dean Wilson",154,14,"CurrentParorBetterStreak",2007
4,4,"Tiger Woods",220,11,"CurrentParorBetterStreak",2007
5,5,"John Senden",170,10,"CurrentParorBetterStreak",2007
6,6,"Daniel Chopra",131,9,"CurrentParorBetterStreak",2007
6,6,"Parker McLachlin",32,9,"CurrentParorBetterStreak",2007
8,8,"Stuart Appleby",289,8,"CurrentParorBetterStreak",2007
8,8,"Ken Duke",70,8,"CurrentParorBetterStreak",2007
8,8,"Robert Gamez",469,8,"CurrentParorBetterStreak",2007
8,8,"Sergio Garcia",147,8,"CurrentParorBetterStreak",2007
8,8,"Freddie Jacobson",95,8,"CurrentParorBetterStreak",2007
8,8,"Billy Mayfair",576,8,"CurrentParorBetterStreak",2007
8,8,"Bryce Molder",57,8,"CurrentParorBetterStreak",2007
8,8,"Camilo Villegas",64,8,"CurrentParorBetterStreak",2007
8,8,"Mike Weir",249,8,"CurrentParorBetterStreak",2007
8,8,"Garrett Willis",141,8,"CurrentParorBetterStreak",2007
18,18,"Jerry Kelly",369,7,"CurrentParorBetterStreak",2007
19,19,"Trevor Immelman",82,6,"CurrentParorBetterStreak",2007
19,19,"Rory Sabbatini",215,6,"CurrentParorBetterStreak",2007
21,21,"Stephen Ames",234,5,"CurrentParorBetterStreak",2007
21,21,"Arjun Atwal",96,5,"CurrentParorBetterStreak",2007
21,21,"Alex Cejka",149,5,"CurrentParorBetterStreak",2007
21,21,"Stewart Cink",295,5,"CurrentParorBetterStreak",2007
21,21,"Joe Durant",313,5,"CurrentParorBetterStreak",2007
21,21,"Brian Gay",282,5,"CurrentParorBetterStreak",2007
21,21,"Mathias Gronberg",124,5,"CurrentParorBetterStreak",2007
21,21,"Bob Heintz",114,5,"CurrentParorBetterStreak",2007
21,21,"Craig Kanada",90,5,"CurrentParorBetterStreak",2007
21,21,"Shigeki Maruyama",239,5,"CurrentParorBetterStreak",2007
21,21,"Nick OHern",53,5,"CurrentParorBetterStreak",2007
21,21,"Jeff Overton",47,5,"CurrentParorBetterStreak",2007
21,21,"Tag Ridings",104,5,"CurrentParorBetterStreak",2007
21,21,"Jason Schultz",50,5,"CurrentParorBetterStreak",2007
21,21,"Vijay Singh",363,5,"CurrentParorBetterStreak",2007
21,21,"Kevin Stadler",75,5,"CurrentParorBetterStreak",2007
21,21,"Henrik Stenson",28,5,"CurrentParorBetterStreak",2007
21,21,"Brett Wetterich",122,5,"CurrentParorBetterStreak",2007
39,39,"Andy Bare",2,4,"CurrentParorBetterStreak",2007
39,39,"Craig Barlow",243,4,"CurrentParorBetterStreak",2007
39,39,"Mark Brooks",724,4,"CurrentParorBetterStreak",2007
39,39,"Alejandro Canizares",3,4,"CurrentParorBetterStreak",2007
39,39,"Tim Clark",139,4,"CurrentParorBetterStreak",2007
39,39,"Russ Cochran",589,4,"CurrentParorBetterStreak",2007
39,39,"Todd Fischer",139,4,"CurrentParorBetterStreak",2007
39,39,"Jeff Gove",121,4,"CurrentParorBetterStreak",2007
39,39,"JP Hayes",325,4,"CurrentParorBetterStreak",2007
39,39,"JB Holmes",51,4,"CurrentParorBetterStreak",2007
39,39,"Ryuji Imada",94,4,"CurrentParorBetterStreak",2007
39,39,"Neal Lancaster",527,4,"CurrentParorBetterStreak",2007
39,39,"Justin Leonard",357,4,"CurrentParorBetterStreak",2007
39,39,"Luke List",7,4,"CurrentParorBetterStreak",2007
39,39,"Jesper Parnevik",306,4,"CurrentParorBetterStreak",2007
39,39,"Tom Pernice Jr",465,4,"CurrentParorBetterStreak",2007
39,39,"Kyle Reifers",28,4,"CurrentParorBetterStreak",2007
39,39,"BJ Staten",24,4,"CurrentParorBetterStreak",2007
39,39,"Phil Tataurangi",191,4,"CurrentParorBetterStreak",2007
39,39,"Charles Warren",115,4,"CurrentParorBetterStreak",2007
39,39,"Lee Williams",4,4,"CurrentParorBetterStreak",2007
39,39,"Mark Wilson",127,4,"CurrentParorBetterStreak",2007
61,61,"Angel Cabrera",82,3,"CurrentParorBetterStreak",2007
