"Roundsinthe60s_RANKTHISWEEK_2015","Roundsinthe60s_RANKLASTWEEK_2015","Roundsinthe60s_PLAYERNAME_2015","Roundsinthe60s_EVENTS_2015","Roundsinthe60s_TOTALRNDS_2015","stat_name","year"
1,1,"Justin Thomas",30,58,"Roundsinthe60s",2015
2,2,"Danny Lee",36,56,"Roundsinthe60s",2015
3,3,"Robert Streb",30,52,"Roundsinthe60s",2015
4,4,"Tony Finau",31,50,"Roundsinthe60s",2015
5,5,"Steven Bowditch",32,48,"Roundsinthe60s",2015
5,5,"Harris English",29,48,"Roundsinthe60s",2015
5,5,"Jordan Spieth",25,48,"Roundsinthe60s",2015
8,8,"Kevin Kisner",30,47,"Roundsinthe60s",2015
9,9,"Jason Day",20,46,"Roundsinthe60s",2015
10,10,"William McGirt",30,45,"Roundsinthe60s",2015
10,10,"Pat Perez",26,45,"Roundsinthe60s",2015
12,12,"Jason Bohn",27,44,"Roundsinthe60s",2015
12,12,"Patrick Reed",27,44,"Roundsinthe60s",2015
14,14,"Daniel Berger",31,43,"Roundsinthe60s",2015
14,14,"Hudson Swafford",30,43,"Roundsinthe60s",2015
16,16,"Zac Blair",34,42,"Roundsinthe60s",2015
16,16,"Russell Knox",28,42,"Roundsinthe60s",2015
16,16,"Matt Kuchar",25,42,"Roundsinthe60s",2015
16,16,"Carl Pettersson",32,42,"Roundsinthe60s",2015
20,20,"Zach Johnson",25,41,"Roundsinthe60s",2015
20,20,"George McNeill",27,41,"Roundsinthe60s",2015
20,20,"Scott Piercy",28,41,"Roundsinthe60s",2015
23,23,"Brooks Koepka",23,40,"Roundsinthe60s",2015
23,23,"Brendan Steele",24,40,"Roundsinthe60s",2015
23,23,"Daniel Summerhays",29,40,"Roundsinthe60s",2015
26,26,"Paul Casey",24,39,"Roundsinthe60s",2015
26,26,"Adam Hadwin",30,39,"Roundsinthe60s",2015
26,26,"John Huh",31,39,"Roundsinthe60s",2015
26,26,"Spencer Levin",31,39,"Roundsinthe60s",2015
26,26,"Bryce Molder",26,39,"Roundsinthe60s",2015
26,26,"Kyle Reifers",31,39,"Roundsinthe60s",2015
26,26,"Shawn Stefani",26,39,"Roundsinthe60s",2015
33,33,"Chad Campbell",30,38,"Roundsinthe60s",2015
33,33,"David Hearn",30,38,"Roundsinthe60s",2015
33,33,"Jim Herman",27,38,"Roundsinthe60s",2015
33,33,"Kevin Na",27,38,"Roundsinthe60s",2015
33,33,"Jeff Overton",30,38,"Roundsinthe60s",2015
33,33,"Brandt Snedeker",27,38,"Roundsinthe60s",2015
39,39,"Scott Brown",30,37,"Roundsinthe60s",2015
39,39,"Brendon de Jonge",31,37,"Roundsinthe60s",2015
39,39,"Matt Jones",25,37,"Roundsinthe60s",2015
39,39,"Colt Knost",29,37,"Roundsinthe60s",2015
39,39,"David Lingmerth",28,37,"Roundsinthe60s",2015
39,39,"Brendon Todd",27,37,"Roundsinthe60s",2015
39,39,"Nick Watney",28,37,"Roundsinthe60s",2015
39,39,"Mark Wilson",28,37,"Roundsinthe60s",2015
47,47,"James Hahn",28,36,"Roundsinthe60s",2015
47,47,"Brian Harman",29,36,"Roundsinthe60s",2015
47,47,"Ben Martin",27,36,"Roundsinthe60s",2015
47,47,"Sean OHair",26,36,"Roundsinthe60s",2015
47,47,"Cameron Tringale",28,36,"Roundsinthe60s",2015
47,47,"Bubba Watson",19,36,"Roundsinthe60s",2015
53,53,"Alex Cejka",30,35,"Roundsinthe60s",2015
53,53,"Kevin Chappell",26,35,"Roundsinthe60s",2015
53,53,"Charley Hoffman",28,35,"Roundsinthe60s",2015
53,53,"Charles Howell III",30,35,"Roundsinthe60s",2015
53,53,"Dustin Johnson",21,35,"Roundsinthe60s",2015
53,53,"Jerry Kelly",24,35,"Roundsinthe60s",2015
53,53,"Carlos Ortiz",30,35,"Roundsinthe60s",2015
53,53,"Johnson Wagner",23,35,"Roundsinthe60s",2015
61,61,"Erik Compton",28,34,"Roundsinthe60s",2015
61,61,"Jason Kokrak",28,34,"Roundsinthe60s",2015
61,61,"Hideki Matsuyama",25,34,"Roundsinthe60s",2015
61,61,"Rory Sabbatini",25,34,"Roundsinthe60s",2015
61,61,"Chris Stroud",28,34,"Roundsinthe60s",2015
66,66,"Keegan Bradley",24,33,"Roundsinthe60s",2015
66,66,"Chad Collins",24,33,"Roundsinthe60s",2015
66,66,"Martin Flores",30,33,"Roundsinthe60s",2015
66,66,"Russell Henley",24,33,"Roundsinthe60s",2015
66,66,"Ryan Moore",24,33,"Roundsinthe60s",2015
66,66,"Webb Simpson",22,33,"Roundsinthe60s",2015
72,72,"Sangmoon Bae",30,32,"Roundsinthe60s",2015
72,72,"JB Holmes",25,32,"Roundsinthe60s",2015
72,72,"Mark Hubbard",25,32,"Roundsinthe60s",2015
72,72,"Martin Laird",24,32,"Roundsinthe60s",2015
72,72,"Scott Langley",28,32,"Roundsinthe60s",2015
72,72,"Jimmy Walker",24,32,"Roundsinthe60s",2015
78,78,"Rickie Fowler",21,31,"Roundsinthe60s",2015
78,78,"Fabian Gomez",26,31,"Roundsinthe60s",2015
78,78,"Morgan Hoffmann",26,31,"Roundsinthe60s",2015
78,78,"Sam Saunders",28,31,"Roundsinthe60s",2015
78,78,"Jhonattan Vegas",27,31,"Roundsinthe60s",2015
78,78,"Boo Weekley",24,31,"Roundsinthe60s",2015
78,78,"Will Wilcox",17,31,"Roundsinthe60s",2015
85,85,"Ken Duke",30,30,"Roundsinthe60s",2015
85,85,"Billy Horschel",28,30,"Roundsinthe60s",2015
85,85,"Ryo Ishikawa",28,30,"Roundsinthe60s",2015
85,85,"Ryan Palmer",22,30,"Roundsinthe60s",2015
85,85,"Alex Prugh",27,30,"Roundsinthe60s",2015
85,85,"Kevin Streelman",27,30,"Roundsinthe60s",2015
85,85,"Nicholas Thompson",31,30,"Roundsinthe60s",2015
85,85,"Steve Wheatcroft",28,30,"Roundsinthe60s",2015
93,93,"Graham DeLaet",22,29,"Roundsinthe60s",2015
93,93,"Bill Haas",25,29,"Roundsinthe60s",2015
93,93,"Chesson Hadley",30,29,"Roundsinthe60s",2015
93,93,"JJ Henry",30,29,"Roundsinthe60s",2015
93,93,"Cameron Percy",23,29,"Roundsinthe60s",2015
93,93,"Scott Pinckney",27,29,"Roundsinthe60s",2015
93,93,"Brian Stuard",31,29,"Roundsinthe60s",2015
100,100,"Blayne Barber",26,28,"Roundsinthe60s",2015
100,100,"Jonathan Byrd",22,28,"Roundsinthe60s",2015
100,100,"Luke Donald",20,28,"Roundsinthe60s",2015
100,100,"Hunter Mahan",24,28,"Roundsinthe60s",2015
100,100,"Troy Merritt",29,28,"Roundsinthe60s",2015
105,105,"Jonas Blixt",26,27,"Roundsinthe60s",2015
105,105,"Stewart Cink",23,27,"Roundsinthe60s",2015
105,105,"Lucas Glover",26,27,"Roundsinthe60s",2015
105,105,"Luke Guthrie",27,27,"Roundsinthe60s",2015
105,105,"Tom Hoge",26,27,"Roundsinthe60s",2015
105,105,"John Peterson",25,27,"Roundsinthe60s",2015
105,105,"Michael Putnam",28,27,"Roundsinthe60s",2015
105,105,"Henrik Stenson",16,27,"Roundsinthe60s",2015
105,105,"Michael Thompson",27,27,"Roundsinthe60s",2015
114,114,"Ricky Barnes",27,26,"Roundsinthe60s",2015
114,114,"Whee Kim",23,26,"Roundsinthe60s",2015
114,114,"Chris Kirk",21,26,"Roundsinthe60s",2015
114,114,"SJ Park",27,26,"Roundsinthe60s",2015
114,114,"Patrick Rodgers",17,26,"Roundsinthe60s",2015
114,114,"Justin Rose",20,26,"Roundsinthe60s",2015
114,114,"Camilo Villegas",27,26,"Roundsinthe60s",2015
121,121,"Steven Alker",22,25,"Roundsinthe60s",2015
121,121,"Aaron Baddeley",25,25,"Roundsinthe60s",2015
121,121,"Jon Curran",28,25,"Roundsinthe60s",2015
121,121,"Brian Davis",31,25,"Roundsinthe60s",2015
121,121,"Derek Ernst",26,25,"Roundsinthe60s",2015
121,121,"Gonzalo Fdez Castano",28,25,"Roundsinthe60s",2015
121,121,"Phil Mickelson",19,25,"Roundsinthe60s",2015
121,121,"Vijay Singh",23,25,"Roundsinthe60s",2015
121,121,"Nick Taylor",28,25,"Roundsinthe60s",2015
