"SubParRounds_RANKTHISWEEK_2014","SubParRounds_RANKLASTWEEK_2014","SubParRounds_PLAYERNAME_2014","SubParRounds_EVENTS_2014","stat_name","year"
1,1,"Charles Howell III",29,"SubParRounds",2014
2,2,"Brian Harman",32,"SubParRounds",2014
2,2,"Brendon Todd",29,"SubParRounds",2014
2,2,"Jimmy Walker",27,"SubParRounds",2014
5,5,"Bill Haas",28,"SubParRounds",2014
6,6,"David Hearn",28,"SubParRounds",2014
6,6,"Chris Kirk",28,"SubParRounds",2014
6,6,"Kevin Na",27,"SubParRounds",2014
6,6,"Cameron Tringale",31,"SubParRounds",2014
10,10,"Scott Brown",30,"SubParRounds",2014
10,10,"Charley Hoffman",25,"SubParRounds",2014
10,10,"Zach Johnson",26,"SubParRounds",2014
10,10,"Jordan Spieth",27,"SubParRounds",2014
14,14,"Harris English",28,"SubParRounds",2014
14,14,"Matt Kuchar",24,"SubParRounds",2014
16,16,"Keegan Bradley",26,"SubParRounds",2014
17,17,"Rickie Fowler",26,"SubParRounds",2014
17,17,"Jim Furyk",21,"SubParRounds",2014
17,17,"Ryan Palmer",23,"SubParRounds",2014
17,17,"John Senden",27,"SubParRounds",2014
17,17,"Chris Stroud",25,"SubParRounds",2014
17,17,"Gary Woodland",25,"SubParRounds",2014
23,23,"Kevin Chappell",28,"SubParRounds",2014
23,23,"Justin Hicks",30,"SubParRounds",2014
23,23,"Ryan Moore",24,"SubParRounds",2014
26,26,"Graham DeLaet",24,"SubParRounds",2014
26,26,"Billy Horschel",27,"SubParRounds",2014
26,26,"Freddie Jacobson",27,"SubParRounds",2014
26,26,"Russell Knox",26,"SubParRounds",2014
26,26,"Daniel Summerhays",27,"SubParRounds",2014
31,31,"Morgan Hoffmann",32,"SubParRounds",2014
31,31,"Seung Yul Noh",27,"SubParRounds",2014
33,33,"William McGirt",29,"SubParRounds",2014
33,33,"Rory McIlroy",17,"SubParRounds",2014
33,33,"Camilo Villegas",29,"SubParRounds",2014
36,36,"Brendon de Jonge",31,"SubParRounds",2014
36,36,"Luke Guthrie",26,"SubParRounds",2014
36,36,"Jerry Kelly",23,"SubParRounds",2014
36,36,"Pat Perez",25,"SubParRounds",2014
40,40,"Scott Langley",29,"SubParRounds",2014
40,40,"Will Ma Kenzie",27,"SubParRounds",2014
40,40,"Adam Scott",17,"SubParRounds",2014
43,43,"Ricky Barnes",27,"SubParRounds",2014
43,43,"Kevin Kisner",26,"SubParRounds",2014
43,43,"Hideki Matsuyama",24,"SubParRounds",2014
43,43,"Michael Putnam",30,"SubParRounds",2014
47,47,"Retief Goosen",26,"SubParRounds",2014
47,47,"Ben Martin",26,"SubParRounds",2014
47,47,"Carl Pettersson",28,"SubParRounds",2014
47,47,"Patrick Reed",28,"SubParRounds",2014
47,47,"Brandt Snedeker",25,"SubParRounds",2014
47,47,"Kevin Stadler",26,"SubParRounds",2014
53,53,"Stewart Cink",25,"SubParRounds",2014
53,53,"Jeff Overton",24,"SubParRounds",2014
53,53,"Justin Rose",19,"SubParRounds",2014
53,53,"Brian Stuard",29,"SubParRounds",2014
53,53,"Bubba Watson",21,"SubParRounds",2014
58,58,"Matt Every",26,"SubParRounds",2014
58,58,"Brice Garnett",28,"SubParRounds",2014
58,58,"Robert Garrigus",25,"SubParRounds",2014
58,58,"Billy Hurley III",26,"SubParRounds",2014
58,58,"Marc Leishman",24,"SubParRounds",2014
58,58,"George McNeill",24,"SubParRounds",2014
58,58,"Brendan Steele",26,"SubParRounds",2014
58,58,"Bo Van Pelt",25,"SubParRounds",2014
66,66,"KJ Choi",23,"SubParRounds",2014
66,66,"Erik Compton",28,"SubParRounds",2014
66,66,"Chesson Hadley",29,"SubParRounds",2014
66,66,"JB Holmes",24,"SubParRounds",2014
66,66,"Matt Jones",25,"SubParRounds",2014
66,66,"Webb Simpson",25,"SubParRounds",2014
66,66,"Vijay Singh",25,"SubParRounds",2014
73,73,"Stuart Appleby",29,"SubParRounds",2014
74,74,"Steven Bowditch",30,"SubParRounds",2014
74,74,"Ben Crane",25,"SubParRounds",2014
74,74,"Russell Henley",29,"SubParRounds",2014
74,74,"Danny Lee",28,"SubParRounds",2014
74,74,"Josh Teater",28,"SubParRounds",2014
79,79,"Greg Chalmers",27,"SubParRounds",2014
79,79,"Brian Davis",28,"SubParRounds",2014
79,79,"Sergio Garcia",16,"SubParRounds",2014
79,79,"James Hahn",27,"SubParRounds",2014
79,79,"JJ Henry",28,"SubParRounds",2014
79,79,"Ryo Ishikawa",24,"SubParRounds",2014
79,79,"Jason Kokrak",19,"SubParRounds",2014
79,79,"Charl Schwartzel",18,"SubParRounds",2014
79,79,"David Toms",20,"SubParRounds",2014
88,88,"Jason Bohn",25,"SubParRounds",2014
88,88,"Robert Streb",21,"SubParRounds",2014
88,88,"Tyrone Van Aswegen",25,"SubParRounds",2014
88,88,"Tim Wilkinson",25,"SubParRounds",2014
92,92,"Ernie Els",24,"SubParRounds",2014
92,92,"Martin Flores",26,"SubParRounds",2014
92,92,"Michael Thompson",22,"SubParRounds",2014
95,95,"Sangmoon Bae",24,"SubParRounds",2014
95,95,"Gonzalo Fdez Castano",25,"SubParRounds",2014
95,95,"Trevor Immelman",28,"SubParRounds",2014
95,95,"Dustin Johnson",17,"SubParRounds",2014
95,95,"Andres Romero",26,"SubParRounds",2014
95,95,"Nicholas Thompson",30,"SubParRounds",2014
101,101,"Robert Allenby",29,"SubParRounds",2014
101,101,"John Huh",28,"SubParRounds",2014
101,101,"Phil Mickelson",21,"SubParRounds",2014
101,101,"Andrew Svoboda",24,"SubParRounds",2014
101,101,"Hudson Swafford",26,"SubParRounds",2014
101,101,"Jhonattan Vegas",23,"SubParRounds",2014
107,107,"Ken Duke",25,"SubParRounds",2014
107,107,"Brian Gay",26,"SubParRounds",2014
107,107,"Martin Laird",20,"SubParRounds",2014
107,107,"Graeme McDowell",17,"SubParRounds",2014
107,107,"John Merrick",25,"SubParRounds",2014
107,107,"Bryce Molder",25,"SubParRounds",2014
107,107,"Sean OHair",25,"SubParRounds",2014
107,107,"Rory Sabbatini",26,"SubParRounds",2014
107,107,"Heath Slocum",23,"SubParRounds",2014
107,107,"Kevin Streelman",24,"SubParRounds",2014
107,107,"Nick Watney",25,"SubParRounds",2014
118,118,"Bud Cauley",19,"SubParRounds",2014
118,118,"Ben Curtis",24,"SubParRounds",2014
118,118,"Davis Love III",22,"SubParRounds",2014
118,118,"Charlie Wi",25,"SubParRounds",2014
122,122,"Aaron Baddeley",24,"SubParRounds",2014
122,122,"Roberto Castro",27,"SubParRounds",2014
122,122,"Tim Clark",26,"SubParRounds",2014
122,122,"Luke Donald",17,"SubParRounds",2014
122,122,"Richard Lee",27,"SubParRounds",2014
122,122,"Justin Leonard",22,"SubParRounds",2014
122,122,"Hunter Mahan",25,"SubParRounds",2014
122,122,"Geoff Ogilvy",26,"SubParRounds",2014
122,122,"Boo Weekley",24,"SubParRounds",2014
131,131,"Angel Cabrera",23,"SubParRounds",2014
131,131,"Chad Campbell",18,"SubParRounds",2014
131,131,"David Lingmerth",26,"SubParRounds",2014
131,131,"Kyle Stanley",28,"SubParRounds",2014
131,131,"Will Wilcox",16,"SubParRounds",2014
136,136,"Jonas Blixt",21,"SubParRounds",2014
136,136,"Jonathan Byrd",24,"SubParRounds",2014
136,136,"Chad Collins",28,"SubParRounds",2014
136,136,"Troy Merritt",20,"SubParRounds",2014
136,136,"Henrik Stenson",15,"SubParRounds",2014
136,136,"Lee Westwood",18,"SubParRounds",2014
136,136,"YE Yang",28,"SubParRounds",2014
143,143,"Charlie Beljan",26,"SubParRounds",2014
143,143,"Derek Ernst",28,"SubParRounds",2014
143,143,"Andrew Loupe",22,"SubParRounds",2014
143,143,"Ted Potter Jr",24,"SubParRounds",2014
143,143,"John Rollins",28,"SubParRounds",2014
143,143,"Scott Stallings",28,"SubParRounds",2014
143,143,"Shawn Stefani",17,"SubParRounds",2014
150,150,"James Driscoll",25,"SubParRounds",2014
150,150,"Jason Dufner",17,"SubParRounds",2014
150,150,"Tommy Gainey",26,"SubParRounds",2014
