"MoneyperEventLeaders_RANKTHISWEEK_2012","MoneyperEventLeaders_RANKLASTWEEK_2012","MoneyperEventLeaders_PLAYERNAME_2012","MoneyperEventLeaders_EVENTS_2012","MoneyperEventLeaders_MONEYPEREVENT_2012","MoneyperEventLeaders_TOTALMONEY_2012","stat_name","year"
1,1,"David Lynn",1,865000,865000,"MoneyperEventLeaders",2012
2,2,"Rory McIlroy",16,502996,8047951,"MoneyperEventLeaders",2012
3,3,"Tiger Woods",19,322797,6133158,"MoneyperEventLeaders",2012
4,4,"Bubba Watson",19,244473,4644996,"MoneyperEventLeaders",2012
5,5,"Brandt Snedeker",22,226806,4989739,"MoneyperEventLeaders",2012
6,6,"Justin Rose",19,225838,4290929,"MoneyperEventLeaders",2012
7,7,"Jason Dufner",22,221331,4869303,"MoneyperEventLeaders",2012
8,8,"Luke Donald",17,206589,3512023,"MoneyperEventLeaders",2012
9,9,"Lee Westwood",15,201104,3016569,"MoneyperEventLeaders",2012
10,10,"Phil Mickelson",22,191082,4203821,"MoneyperEventLeaders",2012
11,11,"Louis Oosthuizen",19,182157,3460995,"MoneyperEventLeaders",2012
12,12,"Adam Scott",16,181222,2899556,"MoneyperEventLeaders",2012
13,13,"Zach Johnson",25,180169,4504244,"MoneyperEventLeaders",2012
14,14,"Steve Stricker",19,180001,3420021,"MoneyperEventLeaders",2012
15,15,"Dustin Johnson",19,178622,3393820,"MoneyperEventLeaders",2012
16,16,"Matt Kuchar",22,177412,3903064,"MoneyperEventLeaders",2012
17,17,"Hunter Mahan",23,174747,4019193,"MoneyperEventLeaders",2012
18,18,"Casey Wittenberg",1,163594,163594,"MoneyperEventLeaders",2012
19,19,"Ernie Els",22,156959,3453117,"MoneyperEventLeaders",2012
20,20,"Sergio Garcia",16,156882,2510115,"MoneyperEventLeaders",2012
21,21,"Keegan Bradley",25,156426,3910658,"MoneyperEventLeaders",2012
22,22,"Webb Simpson",22,156216,3436758,"MoneyperEventLeaders",2012
23,23,"Jim Furyk",24,150991,3623804,"MoneyperEventLeaders",2012
24,24,"Graeme McDowell",16,150517,2408279,"MoneyperEventLeaders",2012
25,25,"Carl Pettersson",26,136102,3538655,"MoneyperEventLeaders",2012
26,26,"Rickie Fowler",23,133317,3066292,"MoneyperEventLeaders",2012
27,27,"Ben Curtis",19,131271,2494152,"MoneyperEventLeaders",2012
28,28,"Bo Van Pelt",24,126812,3043509,"MoneyperEventLeaders",2012
29,29,"Robert Garrigus",26,123328,3206530,"MoneyperEventLeaders",2012
30,30,"Ryan Moore",24,119122,2858943,"MoneyperEventLeaders",2012
31,31,"Nick Watney",26,117085,3044223,"MoneyperEventLeaders",2012
32,32,"Ian Poulter",15,114351,1715271,"MoneyperEventLeaders",2012
33,33,"Jonas Blixt",21,107414,2255695,"MoneyperEventLeaders",2012
