"EaglesHolesper_RANKTHISWEEK_2016","EaglesHolesper_RANKLASTWEEK_2016","EaglesHolesper_PLAYERNAME_2016","EaglesHolesper_ROUNDS_2016","EaglesHolesper_FREQUENCY_2016","EaglesHolesper_OFHOLES_2016","EaglesHolesper_OFEAGLES_2016","stat_name","year"
1,2,"Ben Martin",48,78.5,864,11,"EaglesHolesper",2016
2,1,"Adam Scott",39,81,648,8,"EaglesHolesper",2016
2,3,"Bubba Watson",30,81,486,6,"EaglesHolesper",2016
4,4,"Sung Kang",51,91.8,918,10,"EaglesHolesper",2016
5,5,"Patrick Rodgers",49,98,882,9,"EaglesHolesper",2016
6,6,"Cameron Percy",22,99,396,4,"EaglesHolesper",2016
7,8,"Chez Reavie",56,100.8,1008,10,"EaglesHolesper",2016
8,6,"DH Lee",35,105,630,6,"EaglesHolesper",2016
9,14,"Rory McIlroy",37,108,540,5,"EaglesHolesper",2016
10,9,"Andrew Loupe",50,112.5,900,8,"EaglesHolesper",2016
11,10,"Jerry Kelly",44,113.1,792,7,"EaglesHolesper",2016
12,15,"Jimmy Walker",43,120,720,6,"EaglesHolesper",2016
13,11,"Matt Every",34,122.4,612,5,"EaglesHolesper",2016
14,26,"Daniel Summerhays",55,123.8,990,8,"EaglesHolesper",2016
15,12,"Kevin Chappell",49,126,882,7,"EaglesHolesper",2016
15,12,"Tony Finau",49,126,882,7,"EaglesHolesper",2016
15,18,"Scott Piercy",45,126,756,6,"EaglesHolesper",2016
15,30,"Patrick Reed",53,126,882,7,"EaglesHolesper",2016
15,29,"Kyle Reifers",63,126,1134,9,"EaglesHolesper",2016
15,30,"Jhonattan Vegas",49,126,882,7,"EaglesHolesper",2016
21,17,"Nick Taylor",57,128.3,1026,8,"EaglesHolesper",2016
22,16,"Morgan Hoffmann",43,129,774,6,"EaglesHolesper",2016
23,25,"Jason Day",36,130.5,522,4,"EaglesHolesper",2016
24,18,"Hiroshi Iwata",51,131.1,918,7,"EaglesHolesper",2016
25,18,"Blayne Barber",44,132,792,6,"EaglesHolesper",2016
26,38,"Chris Stroud",52,133.7,936,7,"EaglesHolesper",2016
27,24,"Bill Haas",42,136.8,684,5,"EaglesHolesper",2016
28,83,"Fabian Gomez",49,138,828,6,"EaglesHolesper",2016
28,33,"Charley Hoffman",49,138,828,6,"EaglesHolesper",2016
28,27,"Kevin Kisner",49,138,828,6,"EaglesHolesper",2016
28,33,"Ryan Palmer",46,138,828,6,"EaglesHolesper",2016
32,18,"Rickie Fowler",42,140.4,702,5,"EaglesHolesper",2016
33,23,"Tom Hoge",47,141,846,6,"EaglesHolesper",2016
34,32,"Jim Herman",55,141.4,990,7,"EaglesHolesper",2016
35,38,"Dustin Johnson",37,144,576,4,"EaglesHolesper",2016
35,18,"Justin Rose",35,144,576,4,"EaglesHolesper",2016
35,27,"Brendan Steele",48,144,864,6,"EaglesHolesper",2016
38,44,"Dicky Pride",33,148.5,594,4,"EaglesHolesper",2016
39,36,"Harold Varner III",58,149.1,1044,7,"EaglesHolesper",2016
40,33,"Jamie Donaldson",28,150,450,3,"EaglesHolesper",2016
40,46,"Sergio Garcia",28,150,450,3,"EaglesHolesper",2016
40,46,"Steve Stricker",25,150,450,3,"EaglesHolesper",2016
40,38,"Justin Thomas",53,150,900,6,"EaglesHolesper",2016
44,48,"Russell Henley",42,151.2,756,5,"EaglesHolesper",2016
