"BirdieAverage_RANKTHISWEEK_2013","BirdieAverage_RANKLASTWEEK_2013","BirdieAverage_PLAYERNAME_2013","BirdieAverage_ROUNDS_2013","BirdieAverage_AVG_2013","BirdieAverage_OFBIRDIES_2013","BirdieAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Phil Mickelson",78,4.22,329,78,"BirdieAverage",2013
2,2,"Steve Stricker",51,4.13,194,47,"BirdieAverage",2013
3,3,"Rory Sabbatini",86,4.07,334,82,"BirdieAverage",2013
3,3,"Tiger Woods",61,4.07,244,60,"BirdieAverage",2013
5,5,"Charl Schwartzel",69,4.06,276,68,"BirdieAverage",2013
6,6,"Ryan Palmer",79,3.97,314,79,"BirdieAverage",2013
6,6,"Brandt Snedeker",79,3.97,314,79,"BirdieAverage",2013
8,8,"Billy Horschel",96,3.96,380,96,"BirdieAverage",2013
9,9,"Justin Rose",62,3.95,237,60,"BirdieAverage",2013
10,10,"Rory McIlroy",56,3.93,216,55,"BirdieAverage",2013
11,11,"Sangmoon Bae",83,3.92,325,83,"BirdieAverage",2013
11,11,"Charley Hoffman",84,3.92,329,84,"BirdieAverage",2013
13,13,"Morgan Hoffmann",64,3.91,250,64,"BirdieAverage",2013
14,14,"Jordan Spieth",82,3.89,319,82,"BirdieAverage",2013
15,15,"Harris English",95,3.87,368,95,"BirdieAverage",2013
16,16,"Graham DeLaet",94,3.85,362,94,"BirdieAverage",2013
16,16,"Chris Kirk",89,3.85,343,89,"BirdieAverage",2013
16,16,"Kevin Stadler",83,3.85,304,79,"BirdieAverage",2013
19,19,"Webb Simpson",92,3.82,336,88,"BirdieAverage",2013
20,20,"David Hearn",88,3.8,334,88,"BirdieAverage",2013
21,21,"Jason Bohn",70,3.79,265,70,"BirdieAverage",2013
21,21,"Matt Every",89,3.79,337,89,"BirdieAverage",2013
23,23,"Vaughn Taylor",50,3.78,174,46,"BirdieAverage",2013
23,23,"Bubba Watson",76,3.78,276,73,"BirdieAverage",2013
25,25,"Dustin Johnson",71,3.77,264,70,"BirdieAverage",2013
25,25,"Henrik Stenson",65,3.77,241,64,"BirdieAverage",2013
27,27,"Keegan Bradley",88,3.76,327,87,"BirdieAverage",2013
27,27,"Jimmy Walker",84,3.76,316,84,"BirdieAverage",2013
29,29,"Robert Garrigus",69,3.75,244,65,"BirdieAverage",2013
29,29,"Adam Scott",61,3.75,225,60,"BirdieAverage",2013
31,31,"Brian Davis",91,3.73,339,91,"BirdieAverage",2013
32,32,"Luke Donald",60,3.72,216,58,"BirdieAverage",2013
33,33,"Steven Bowditch",67,3.71,241,65,"BirdieAverage",2013
33,33,"Russell Henley",80,3.71,289,78,"BirdieAverage",2013
33,33,"Bryce Molder",82,3.71,297,80,"BirdieAverage",2013
33,33,"Andres Romero",63,3.71,219,59,"BirdieAverage",2013
33,33,"Gary Woodland",94,3.71,334,90,"BirdieAverage",2013
38,38,"Daniel Summerhays",83,3.7,307,83,"BirdieAverage",2013
38,38,"Charlie Wi",75,3.7,263,71,"BirdieAverage",2013
40,40,"James Driscoll",76,3.69,266,72,"BirdieAverage",2013
41,41,"Pat Perez",69,3.68,254,69,"BirdieAverage",2013
42,42,"Charles Howell III",87,3.67,312,85,"BirdieAverage",2013
42,42,"Hunter Mahan",91,3.67,312,85,"BirdieAverage",2013
44,44,"James Hahn",78,3.66,271,74,"BirdieAverage",2013
44,44,"Matt Kuchar",93,3.66,318,87,"BirdieAverage",2013
44,44,"David Lingmerth",68,3.66,249,68,"BirdieAverage",2013
47,47,"Brad Fritsch",81,3.64,280,77,"BirdieAverage",2013
47,47,"Matt Jones",83,3.64,302,83,"BirdieAverage",2013
47,47,"Camilo Villegas",79,3.64,273,75,"BirdieAverage",2013
50,50,"Brendon de Jonge",110,3.63,399,110,"BirdieAverage",2013
50,50,"Scott Piercy",78,3.63,272,75,"BirdieAverage",2013
50,50,"Patrick Reed",83,3.63,301,83,"BirdieAverage",2013
53,53,"Jeff Overton",78,3.62,282,78,"BirdieAverage",2013
54,54,"Roberto Castro",97,3.6,349,97,"BirdieAverage",2013
54,54,"Sergio Garcia",65,3.6,227,63,"BirdieAverage",2013
54,54,"Jason Kokrak",78,3.6,281,78,"BirdieAverage",2013
54,54,"John Rollins",77,3.6,263,73,"BirdieAverage",2013
58,58,"Jason Day",86,3.59,287,80,"BirdieAverage",2013
59,59,"Jason Dufner",78,3.58,276,77,"BirdieAverage",2013
