"BallStriking_RANKTHISWEEK_2011","BallStriking_RANKLASTWEEK_2011","BallStriking_PLAYERNAME_2011","BallStriking_ROUNDS_2011","BallStriking_VALUE_2011","BallStriking_TOTALDRVRANK_2011","BallStriking_GIRRANK_2011","stat_name","year"
1,1,"Boo Weekley",66,5,4,1,"BallStriking",2011
2,2,"John Senden",94,13,8,5,"BallStriking",2011
3,3,"Brandt Jobe",100,17,3,14,"BallStriking",2011
4,4,"John Rollins",85,18,2,16,"BallStriking",2011
5,5,"Bill Haas",93,22,11,11,"BallStriking",2011
6,6,"John Merrick",71,25,1,24,"BallStriking",2011
7,7,"Briny Baird",60,32,17,15,"BallStriking",2011
7,7,"Webb Simpson",98,32,24,8,"BallStriking",2011
9,9,"Chez Reavie",92,33,7,26,"BallStriking",2011
10,10,"Joe Durant",71,34,31,3,"BallStriking",2011
10,10,"JJ Henry",96,34,16,18,"BallStriking",2011
12,12,"Gary Woodland",93,35,23,12,"BallStriking",2011
13,13,"Adam Scott",60,37,5,32,"BallStriking",2011
14,14,"Bo Van Pelt",92,43,9,34,"BallStriking",2011
15,15,"Bubba Watson",85,44,35,9,"BallStriking",2011
16,16,"Kyle Stanley",98,48,18,30,"BallStriking",2011
16,16,"DJ Trahan",91,48,31,17,"BallStriking",2011
18,18,"Heath Slocum",89,53,51,2,"BallStriking",2011
19,19,"Chad Campbell",99,55,51,4,"BallStriking",2011
20,20,"Dustin Johnson",72,57,30,27,"BallStriking",2011
21,21,"Kevin Stadler",88,61,28,33,"BallStriking",2011
22,22,"Josh Teater",104,63,10,53,"BallStriking",2011
23,23,"Billy Horschel",75,65,18,47,"BallStriking",2011
24,24,"Davis Love III",70,68,40,28,"BallStriking",2011
24,24,"Billy Mayfair",94,68,45,23,"BallStriking",2011
26,26,"Charley Hoffman",93,77,20,57,"BallStriking",2011
26,26,"Hunter Mahan",92,77,55,22,"BallStriking",2011
28,28,"Justin Rose",79,78,68,10,"BallStriking",2011
29,29,"David Hearn",88,79,58,21,"BallStriking",2011
30,30,"Jason Bohn",74,83,41,42,"BallStriking",2011
31,31,"Nick Watney",80,85,31,54,"BallStriking",2011
32,32,"Martin Laird",77,87,26,61,"BallStriking",2011
33,33,"Brian Davis",105,88,48,40,"BallStriking",2011
34,34,"David Toms",78,90,84,6,"BallStriking",2011
35,35,"Steve Elkington",50,94,28,66,"BallStriking",2011
36,36,"Woody Austin",59,95,41,54,"BallStriking",2011
36,36,"Keegan Bradley",91,95,12,83,"BallStriking",2011
38,38,"Jim Herman",69,96,60,36,"BallStriking",2011
38,38,"Rod Pampling",72,96,12,84,"BallStriking",2011
40,40,"Charl Schwartzel",58,100,21,79,"BallStriking",2011
41,41,"Graeme McDowell",50,101,26,75,"BallStriking",2011
42,42,"Aron Price",58,106,60,46,"BallStriking",2011
43,43,"Cameron Tringale",110,107,65,42,"BallStriking",2011
44,44,"Charles Howell III",108,109,90,19,"BallStriking",2011
45,45,"Scott Stallings",84,110,50,60,"BallStriking",2011
46,46,"Blake Adams",116,111,14,97,"BallStriking",2011
46,46,"Sergio Garcia",61,111,55,56,"BallStriking",2011
48,48,"Jason Dufner",78,112,60,52,"BallStriking",2011
49,49,"Tom Gillis",55,113,45,68,"BallStriking",2011
50,50,"Brendan Steele",89,114,15,99,"BallStriking",2011
51,51,"Chris Couch",73,115,6,109,"BallStriking",2011
51,51,"Justin Hicks",60,115,25,90,"BallStriking",2011
53,53,"Ben Crane",76,119,51,68,"BallStriking",2011
54,54,"Tommy Gainey",104,120,72,48,"BallStriking",2011
55,55,"Robert Allenby",84,123,84,39,"BallStriking",2011
55,55,"Alexandre Rocha",65,123,94,29,"BallStriking",2011
57,57,"Jim Furyk",87,125,87,38,"BallStriking",2011
57,57,"Bill Lunde",92,125,112,13,"BallStriking",2011
57,57,"Mark Wilson",89,125,48,77,"BallStriking",2011
60,60,"Troy Matteson",91,126,34,92,"BallStriking",2011
61,61,"Scott Piercy",78,128,43,85,"BallStriking",2011
61,61,"Jhonattan Vegas",84,128,84,44,"BallStriking",2011
63,63,"Matt Kuchar",94,129,79,50,"BallStriking",2011
64,64,"Johnson Wagner",81,135,90,45,"BallStriking",2011
65,65,"Lucas Glover",74,137,55,82,"BallStriking",2011
66,66,"Pat Perez",76,138,38,100,"BallStriking",2011
67,67,"Steve Marino",76,142,54,88,"BallStriking",2011
68,68,"Brendon de Jonge",105,143,78,65,"BallStriking",2011
69,69,"Hunter Haas",96,147,76,71,"BallStriking",2011
69,69,"Carl Pettersson",95,147,58,89,"BallStriking",2011
71,71,"Kent Jones",76,149,76,73,"BallStriking",2011
71,71,"DA Points",89,149,39,110,"BallStriking",2011
73,73,"Spencer Levin",113,152,117,35,"BallStriking",2011
73,73,"Alex Prugh",82,152,72,80,"BallStriking",2011
75,75,"JB Holmes",57,153,90,63,"BallStriking",2011
76,76,"Bobby Gates",82,155,37,118,"BallStriking",2011
77,77,"Sung Kang",63,159,43,116,"BallStriking",2011
78,78,"Kris Blanks",92,161,141,20,"BallStriking",2011
79,79,"Zach Johnson",79,164,97,67,"BallStriking",2011
79,79,"Nick OHern",89,164,106,58,"BallStriking",2011
81,81,"Trevor Immelman",84,165,134,31,"BallStriking",2011
82,82,"Stephen Ames",69,166,65,101,"BallStriking",2011
82,82,"Robert Garrigus",83,166,94,72,"BallStriking",2011
82,82,"Vijay Singh",79,166,103,63,"BallStriking",2011
82,82,"Kevin Streelman",90,166,72,94,"BallStriking",2011
86,86,"Luke Donald",73,168,127,41,"BallStriking",2011
87,87,"Ernie Els",71,169,162,7,"BallStriking",2011
88,88,"Jerry Kelly",85,170,100,70,"BallStriking",2011
89,89,"William McGirt",103,171,146,25,"BallStriking",2011
89,89,"Phil Mickelson",79,171,120,51,"BallStriking",2011
89,89,"Jim Renner",65,171,64,107,"BallStriking",2011
92,92,"Joseph Bramlett",73,182,79,103,"BallStriking",2011
92,92,"Jeff Overton",92,182,63,119,"BallStriking",2011
94,94,"Ben Curtis",66,184,97,87,"BallStriking",2011
94,94,"Chris Stroud",88,184,136,48,"BallStriking",2011
96,96,"Tag Ridings",87,187,45,142,"BallStriking",2011
97,97,"Andres Gonzales",60,188,65,123,"BallStriking",2011
98,98,"Ricky Barnes",78,191,129,62,"BallStriking",2011
99,99,"Ben Martin",74,196,79,117,"BallStriking",2011
100,100,"Steve Stricker",70,197,119,78,"BallStriking",2011
101,101,"Alex Cejka",59,201,127,74,"BallStriking",2011
102,102,"Chris Kirk",87,202,144,58,"BallStriking",2011
103,103,"Scott McCarron",65,204,21,183,"BallStriking",2011
104,104,"Michael Bradley",74,205,168,37,"BallStriking",2011
104,104,"Will Strickler",51,205,35,170,"BallStriking",2011
104,104,"Vaughn Taylor",89,205,129,76,"BallStriking",2011
104,104,"Roland Thatcher",67,205,75,130,"BallStriking",2011
108,108,"Rickie Fowler",84,207,87,120,"BallStriking",2011
109,109,"Kevin Chappell",78,208,94,114,"BallStriking",2011
110,110,"Jason Day",76,210,100,110,"BallStriking",2011
110,110,"Brandt Snedeker",85,210,97,113,"BallStriking",2011
112,112,"Jonathan Byrd",83,211,120,91,"BallStriking",2011
112,112,"George McNeill",69,211,79,132,"BallStriking",2011
114,114,"Steven Bowditch",86,212,71,141,"BallStriking",2011
115,115,"Chris Riley",76,215,100,115,"BallStriking",2011
116,116,"Fabian Gomez",84,218,114,104,"BallStriking",2011
117,117,"Bryce Molder",82,223,115,108,"BallStriking",2011
118,118,"Ian Poulter",52,228,132,96,"BallStriking",2011
119,119,"Scott Gutschewski",67,230,70,160,"BallStriking",2011
120,120,"Garrett Willis",71,232,108,124,"BallStriking",2011
121,121,"KJ Choi",77,233,152,81,"BallStriking",2011
122,122,"Ryan Moore",79,234,79,155,"BallStriking",2011
123,123,"David Mathis",83,237,108,129,"BallStriking",2011
123,123,"Michael Thompson",79,237,136,101,"BallStriking",2011
125,125,"Robert Karlsson",61,238,90,148,"BallStriking",2011
126,126,"Lee Janzen",62,240,87,153,"BallStriking",2011
127,127,"Aaron Baddeley",77,241,144,97,"BallStriking",2011
127,127,"Shane Bertsch",62,241,115,126,"BallStriking",2011
129,129,"Paul Goydos",81,242,122,120,"BallStriking",2011
129,129,"Zack Miller",86,242,68,174,"BallStriking",2011
131,131,"Angel Cabrera",50,243,106,137,"BallStriking",2011
132,132,"Chris DiMarco",93,244,138,106,"BallStriking",2011
132,132,"Rory Sabbatini",85,244,159,85,"BallStriking",2011
134,134,"Tim Herron",85,245,153,92,"BallStriking",2011
135,135,"Brian Gay",90,253,108,145,"BallStriking",2011
135,135,"Justin Leonard",82,253,141,112,"BallStriking",2011
137,137,"Retief Goosen",50,257,132,125,"BallStriking",2011
137,137,"Marc Turnesa",54,257,162,95,"BallStriking",2011
139,139,"Geoff Ogilvy",69,260,103,157,"BallStriking",2011
140,140,"James Driscoll",71,261,117,144,"BallStriking",2011
141,141,"Ryan Palmer",82,263,124,139,"BallStriking",2011
142,142,"Matt McQuillan",59,265,108,157,"BallStriking",2011
142,142,"YE Yang",63,265,103,162,"BallStriking",2011
144,144,"Michael Putnam",67,266,139,127,"BallStriking",2011
145,145,"Jimmy Walker",79,270,134,136,"BallStriking",2011
146,146,"Andres Romero",77,272,126,146,"BallStriking",2011
147,147,"Troy Merritt",63,274,141,133,"BallStriking",2011
148,148,"Marc Leishman",87,278,156,122,"BallStriking",2011
149,149,"Rich Beem",53,284,112,172,"BallStriking",2011
149,149,"Michael Connell",76,284,146,138,"BallStriking",2011
151,151,"Paul Stankowski",78,286,182,104,"BallStriking",2011
152,152,"Harrison Frazar",58,288,124,164,"BallStriking",2011
153,153,"Rocco Mediate",53,290,122,168,"BallStriking",2011
154,154,"Camilo Villegas",69,292,129,163,"BallStriking",2011
155,155,"Stewart Cink",72,293,165,128,"BallStriking",2011
155,155,"David Duval",67,293,158,135,"BallStriking",2011
157,157,"Padraig Harrington",60,298,165,133,"BallStriking",2011
158,158,"Charlie Wi",83,299,159,140,"BallStriking",2011
159,159,"Freddie Jacobson",92,300,157,143,"BallStriking",2011
160,160,"Daniel Summerhays",75,301,151,150,"BallStriking",2011
161,161,"Sean OHair",71,305,153,152,"BallStriking",2011
162,162,"Derek Lamely",65,306,150,156,"BallStriking",2011
163,163,"Ryuji Imada",83,309,179,130,"BallStriking",2011
164,164,"Dean Wilson",62,310,153,157,"BallStriking",2011
165,165,"Richard Johnson",64,316,170,146,"BallStriking",2011
165,165,"Tim Petrovic",88,316,149,167,"BallStriking",2011
167,167,"Colt Knost",80,317,146,171,"BallStriking",2011
168,168,"JP Hayes",56,318,140,178,"BallStriking",2011
169,169,"Cameron Beckman",71,320,169,151,"BallStriking",2011
170,170,"Joe Ogilvie",75,328,167,161,"BallStriking",2011
171,171,"Matt Jones",71,329,164,165,"BallStriking",2011
172,172,"Arjun Atwal",91,334,185,149,"BallStriking",2011
173,173,"Shaun Micheel",77,338,184,154,"BallStriking",2011
174,174,"Nathan Green",81,344,178,166,"BallStriking",2011
175,175,"Bio Kim",71,345,159,186,"BallStriking",2011
176,176,"Anthony Kim",72,347,171,176,"BallStriking",2011
177,177,"Stuart Appleby",65,349,174,175,"BallStriking",2011
177,177,"Jarrod Lyle",83,349,177,172,"BallStriking",2011
179,179,"Matt Bettencourt",84,351,182,169,"BallStriking",2011
180,180,"Martin Piller",63,352,171,181,"BallStriking",2011
181,181,"Greg Chalmers",88,354,175,179,"BallStriking",2011
182,182,"Kevin Kisner",70,355,171,184,"BallStriking",2011
183,183,"Nate Smith",66,358,181,177,"BallStriking",2011
184,184,"Steve Flesch",88,361,176,185,"BallStriking",2011
185,185,"DJ Brigman",67,362,180,182,"BallStriking",2011
186,186,"Kevin Na",84,366,186,180,"BallStriking",2011
