"LongestDrives_RANKTHISWEEK_2016","LongestDrives_RANKLASTWEEK_2016","LongestDrives_PLAYERNAME_2016","LongestDrives_ROUNDS_2016","LongestDrives_DISTANCE_2016","LongestDrives_TOURNAMENT_2016","LongestDrives_ROUND_2016","LongestDrives_HOLE_2016","LongestDrives_COURSE_2016","stat_name","year"
1,1,"Bubba Watson",30,411,NA,3,6,656,"LongestDrives",2016
3,3,"Kevin Kisner",49,403,NA,2,17,656,"LongestDrives",2016
3,111,"Gary Woodland",45,403,NA,4,16,698,"LongestDrives",2016
5,4,"Davis Love III",40,400,NA,3,6,656,"LongestDrives",2016
6,5,"Justin Thomas",53,399,NA,4,6,656,"LongestDrives",2016
6,5,"Brooks Koepka",39,399,NA,2,17,656,"LongestDrives",2016
8,7,"Jason Day",36,397,NA,4,6,656,"LongestDrives",2016
8,7,"Dustin Johnson",37,397,NA,1,12,656,"LongestDrives",2016
8,7,"Russell Knox",48,397,NA,3,17,656,"LongestDrives",2016
14,13,"Scott Piercy",45,395,NA,1,17,656,"LongestDrives",2016
14,13,"Brandt Snedeker",47,395,NA,3,17,656,"LongestDrives",2016
14,13,"Brett Stegmaier",57,395,NA,1,15,510,"LongestDrives",2016
14,13,"Jordan Spieth",34,395,NA,4,6,656,"LongestDrives",2016
21,20,"JB Holmes",39,392,NA,1,6,656,"LongestDrives",2016
21,20,"Rickie Fowler",42,392,NA,3,6,656,"LongestDrives",2016
26,25,"Emiliano Grillo",47,390,NA,3,17,656,"LongestDrives",2016
26,25,"James Hahn",45,390,NA,3,17,656,"LongestDrives",2016
29,192,"Charles Howell III",63,389,NA,2,16,698,"LongestDrives",2016
29,28,"Steven Bowditch",40,389,NA,4,6,656,"LongestDrives",2016
29,28,"Jimmy Walker",43,389,NA,3,17,656,"LongestDrives",2016
33,31,"Zach Johnson",42,388,NA,3,17,656,"LongestDrives",2016
33,211,"Rory McIlroy",37,388,NA,4,16,698,"LongestDrives",2016
33,31,"Patrick Reed",53,388,NA,4,17,656,"LongestDrives",2016
39,35,"Martin Laird",46,385,NA,1,5,746,"LongestDrives",2016
39,35,"Danny Lee",53,385,NA,4,6,656,"LongestDrives",2016
44,180,"Patrick Rodgers",49,382,NA,2,16,698,"LongestDrives",2016
45,40,"Padraig Harrington",38,381,NA,2,17,656,"LongestDrives",2016
45,40,"Marc Leishman",41,381,NA,1,1,8,"LongestDrives",2016
48,43,"JJ Henry",44,380,NA,3,6,656,"LongestDrives",2016
52,47,"Andres Romero",22,379,NA,2,9,776,"LongestDrives",2016
52,47,"Hiroshi Iwata",51,379,NA,1,1,665,"LongestDrives",2016
54,NA,"Matt Dobyns",13,378,NA,1,16,698,"LongestDrives",2016
60,54,"Fred Couples",2,377,NA,1,18,500,"LongestDrives",2016
64,63,"Carlos Ortiz",47,376,NA,3,16,698,"LongestDrives",2016
64,82,"Robert Streb",51,376,NA,4,16,698,"LongestDrives",2016
71,63,"Cameron Percy",22,375,NA,3,9,5,"LongestDrives",2016
71,63,"Jonas Blixt",46,375,NA,4,5,704,"LongestDrives",2016
75,145,"Luke List",51,374,NA,1,16,698,"LongestDrives",2016
75,67,"Charlie Beljan",26,374,NA,1,9,6,"LongestDrives",2016
75,67,"Shane Lowry",35,374,NA,4,9,5,"LongestDrives",2016
75,67,"Smylie Kaufman",57,374,NA,3,6,656,"LongestDrives",2016
87,78,"Fabian Gomez",49,373,NA,3,6,656,"LongestDrives",2016
87,145,"Andrew Loupe",50,373,NA,3,16,698,"LongestDrives",2016
97,86,"Ryan Palmer",46,371,NA,1,1,665,"LongestDrives",2016
97,86,"Rory Sabbatini",40,371,NA,3,9,5,"LongestDrives",2016
97,86,"Sean OHair",45,371,NA,1,2,510,"LongestDrives",2016
97,846,"Erik Compton",45,371,NA,4,16,698,"LongestDrives",2016
97,86,"Tyler Aldridge",53,371,NA,1,1,665,"LongestDrives",2016
97,155,"Jason Kokrak",52,371,NA,1,16,698,"LongestDrives",2016
