"BounceBack_RANKTHISWEEK_2010","BounceBack_RANKLASTWEEK_2010","BounceBack_PLAYERNAME_2010","BounceBack_ROUNDS_2010","BounceBack_Pct_2010","stat_name","year"
1,NA,"Charley Hoffman",85,27.78,"BounceBack",2010
2,NA,"Aaron Baddeley",94,27.72,"BounceBack",2010
3,NA,"Sergio Garcia",58,26.79,"BounceBack",2010
4,NA,"Steve Marino",81,26.75,"BounceBack",2010
5,NA,"Robert Garrigus",71,25.46,"BounceBack",2010
6,NA,"John Daly",63,25,"BounceBack",2010
6,NA,"Padraig Harrington",57,25,"BounceBack",2010
6,NA,"Aron Price",70,25,"BounceBack",2010
6,NA,"Paul Stankowski",62,25,"BounceBack",2010
6,NA,"Charles Warren",64,25,"BounceBack",2010
11,NA,"DJ Trahan",92,24.9,"BounceBack",2010
12,NA,"JB Holmes",100,24.63,"BounceBack",2010
13,NA,"Tom Gillis",97,24.53,"BounceBack",2010
14,NA,"Cameron Percy",73,24.52,"BounceBack",2010
15,NA,"Woody Austin",93,24.5,"BounceBack",2010
16,NA,"James Nitties",92,24.23,"BounceBack",2010
17,NA,"Jonathan Byrd",85,24.14,"BounceBack",2010
18,NA,"Garth Mulroy",53,23.9,"BounceBack",2010
19,NA,"Brandt Snedeker",89,23.83,"BounceBack",2010
20,NA,"Ben Crane",85,23.81,"BounceBack",2010
21,NA,"Mark Calcavecchia",50,23.56,"BounceBack",2010
22,NA,"Chris DiMarco",88,23.53,"BounceBack",2010
22,NA,"Will Ma Kenzie",72,23.53,"BounceBack",2010
24,NA,"John Merrick",109,23.43,"BounceBack",2010
25,NA,"Jason Day",82,23.18,"BounceBack",2010
26,NA,"Joe Ogilvie",99,23.16,"BounceBack",2010
27,NA,"Michael Letzig",84,23.08,"BounceBack",2010
27,NA,"Vijay Singh",75,23.08,"BounceBack",2010
29,NA,"Jeff Quinney",91,22.98,"BounceBack",2010
30,NA,"Stewart Cink",84,22.94,"BounceBack",2010
31,NA,"Matt Jones",89,22.91,"BounceBack",2010
31,NA,"Kevin Sutherland",86,22.91,"BounceBack",2010
33,NA,"Chris Stroud",90,22.86,"BounceBack",2010
34,NA,"Bubba Watson",77,22.75,"BounceBack",2010
35,NA,"Chad Campbell",95,22.73,"BounceBack",2010
36,NA,"John Rollins",81,22.67,"BounceBack",2010
36,NA,"Garrett Willis",82,22.67,"BounceBack",2010
38,NA,"Graham DeLaet",88,22.61,"BounceBack",2010
39,NA,"Angel Cabrera",64,22.56,"BounceBack",2010
40,NA,"Jim Furyk",76,22.54,"BounceBack",2010
40,NA,"Steve Wheatcroft",74,22.54,"BounceBack",2010
42,NA,"Lucas Glover",75,22.52,"BounceBack",2010
