"Par5Performance_RANKTHISWEEK_2006","Par5Performance_RANKLASTWEEK_2006","Par5Performance_PLAYERNAME_2006","Par5Performance_ROUNDS_2006","Par5Performance_STATUS_2006","Par5Performance_PAR5AVG_2006","Par5Performance_TOTALPAR_2006","stat_name","year"
1,1,"Lucas Glover",105,-153,4.56,1745,"Par5Performance",2006
2,2,"John Rollins",93,-145,4.55,1600,"Par5Performance",2006
3,3,"Vijay Singh",103,-142,4.57,1665,"Par5Performance",2006
4,4,"Daniel Chopra",110,-140,4.63,1905,"Par5Performance",2006
5,5,"Bo Van Pelt",102,-137,4.6,1730,"Par5Performance",2006
5,5,"Nick Watney",97,-137,4.59,1675,"Par5Performance",2006
7,7,"Joe Durant",101,-135,4.62,1755,"Par5Performance",2006
8,8,"Charley Hoffman",100,-132,4.61,1680,"Par5Performance",2006
9,9,"Brett Quigley",109,-131,4.62,1715,"Par5Performance",2006
10,10,"Jason Bohn",104,-130,4.64,1785,"Par5Performance",2006
11,11,"Harrison Frazar",95,-129,4.59,1565,"Par5Performance",2006
11,11,"Frank Lickliter II",99,-129,4.61,1645,"Par5Performance",2006
11,11,"Tom Pernice Jr",108,-129,4.61,1675,"Par5Performance",2006
14,14,"Steve Lowery",99,-127,4.62,1670,"Par5Performance",2006
14,14,"Troy Matteson",101,-127,4.63,1725,"Par5Performance",2006
16,16,"Trevor Immelman",86,-126,4.54,1370,"Par5Performance",2006
16,16,"Sean OHair",100,-126,4.63,1680,"Par5Performance",2006
16,16,"Kevin Sutherland",100,-126,4.62,1655,"Par5Performance",2006
19,19,"Shane Bertsch",104,-123,4.65,1750,"Par5Performance",2006
20,20,"Jesper Parnevik",84,-121,4.59,1475,"Par5Performance",2006
21,21,"Todd Fischer",101,-120,4.65,1730,"Par5Performance",2006
21,21,"Will Ma Kenzie",91,-120,4.6,1515,"Par5Performance",2006
23,23,"Hunter Mahan",98,-119,4.63,1605,"Par5Performance",2006
24,24,"Greg Owen",79,-117,4.59,1435,"Par5Performance",2006
25,25,"Brian Gay",107,-116,4.68,1790,"Par5Performance",2006
25,25,"Bill Haas",99,-116,4.65,1645,"Par5Performance",2006
25,25,"JJ Henry",96,-116,4.63,1560,"Par5Performance",2006
25,25,"Charles Howell III",96,-116,4.63,1575,"Par5Performance",2006
25,25,"Phil Mickelson",74,-116,4.54,1250,"Par5Performance",2006
30,30,"Rich Beem",85,-115,4.6,1440,"Par5Performance",2006
30,30,"Jeff Brehaut",100,-115,4.66,1685,"Par5Performance",2006
30,30,"Jerry Kelly",100,-115,4.67,1730,"Par5Performance",2006
30,30,"Justin Rose",98,-115,4.63,1575,"Par5Performance",2006
34,34,"Mathias Gronberg",92,-114,4.63,1530,"Par5Performance",2006
34,34,"John Senden",96,-114,4.64,1600,"Par5Performance",2006
34,34,"Vaughn Taylor",88,-114,4.61,1460,"Par5Performance",2006
37,37,"Ryuji Imada",105,-113,4.67,1710,"Par5Performance",2006
37,37,"Charles Warren",93,-113,4.63,1525,"Par5Performance",2006
39,39,"Bubba Watson",83,-112,4.59,1380,"Par5Performance",2006
40,40,"David Branshaw",98,-111,4.68,1720,"Par5Performance",2006
40,40,"Jim Furyk",89,-111,4.61,1420,"Par5Performance",2006
40,40,"Kent Jones",103,-111,4.67,1705,"Par5Performance",2006
40,40,"Dean Wilson",115,-111,4.7,1825,"Par5Performance",2006
44,44,"Tim Clark",80,-110,4.61,1410,"Par5Performance",2006
45,45,"Stuart Appleby",83,-109,4.59,1340,"Par5Performance",2006
45,45,"Duffy Waldorf",96,-109,4.66,1605,"Par5Performance",2006
47,47,"Woody Austin",107,-106,4.7,1780,"Par5Performance",2006
47,47,"Nathan Green",108,-106,4.69,1715,"Par5Performance",2006
47,47,"Davis Love III",85,-106,4.6,1340,"Par5Performance",2006
47,47,"Shaun Micheel",96,-106,4.67,1595,"Par5Performance",2006
47,47,"Brett Wetterich",82,-106,4.62,1395,"Par5Performance",2006
52,52,"Ryan Palmer",101,-105,4.68,1655,"Par5Performance",2006
53,53,"Richard Johnson",94,-104,4.67,1570,"Par5Performance",2006
53,53,"Tiger Woods",55,-104,4.43,910,"Par5Performance",2006
55,55,"Craig Barlow",77,-103,4.6,1285,"Par5Performance",2006
55,55,"Stewart Cink",93,-103,4.62,1340,"Par5Performance",2006
55,55,"Carl Pettersson",95,-103,4.66,1525,"Par5Performance",2006
55,55,"Ted Purdy",103,-103,4.71,1785,"Par5Performance",2006
59,59,"Arron Oberholser",82,-102,4.58,1225,"Par5Performance",2006
59,59,"Camilo Villegas",95,-102,4.67,1525,"Par5Performance",2006
61,61,"Brian Davis",92,-101,4.67,1545,"Par5Performance",2006
61,61,"Heath Slocum",96,-101,4.68,1585,"Par5Performance",2006
63,63,"Michael Allen",84,-100,4.66,1475,"Par5Performance",2006
63,63,"Robert Allenby",79,-100,4.61,1295,"Par5Performance",2006
63,63,"Joe Ogilvie",95,-100,4.67,1525,"Par5Performance",2006
63,63,"Rod Pampling",89,-100,4.63,1365,"Par5Performance",2006
67,67,"JB Holmes",81,-99,4.61,1285,"Par5Performance",2006
67,67,"Mike Weir",88,-99,4.67,1480,"Par5Performance",2006
69,69,"Steve Flesch",119,-98,4.75,1935,"Par5Performance",2006
69,69,"Jonathan Kaye",95,-98,4.68,1545,"Par5Performance",2006
69,69,"Tag Ridings",103,-98,4.71,1685,"Par5Performance",2006
69,69,"Jeff Sluman",101,-98,4.72,1735,"Par5Performance",2006
73,73,"Arjun Atwal",97,-96,4.7,1605,"Par5Performance",2006
73,73,"Paul Azinger",87,-96,4.67,1450,"Par5Performance",2006
73,73,"Briny Baird",81,-96,4.63,1315,"Par5Performance",2006
73,73,"Ben Crane",85,-96,4.65,1370,"Par5Performance",2006
73,73,"Marco Dawson",87,-96,4.69,1530,"Par5Performance",2006
73,73,"Chris Riley",86,-96,4.65,1390,"Par5Performance",2006
79,79,"Eric Axley",91,-95,4.69,1510,"Par5Performance",2006
79,79,"Rory Sabbatini",84,-95,4.65,1340,"Par5Performance",2006
79,79,"DJ Trahan",92,-95,4.68,1505,"Par5Performance",2006
82,82,"Jonathan Byrd",66,-94,4.61,1195,"Par5Performance",2006
82,82,"Robert Damron",91,-94,4.7,1555,"Par5Performance",2006
82,82,"Bob Estes",85,-94,4.66,1390,"Par5Performance",2006
82,82,"Billy Mayfair",94,-94,4.7,1560,"Par5Performance",2006
86,86,"Olin Browne",108,-93,4.73,1705,"Par5Performance",2006
86,86,"Chad Campbell",91,-93,4.67,1420,"Par5Performance",2006
86,86,"Carlos Franco",86,-93,4.69,1490,"Par5Performance",2006
86,86,"Bernhard Langer",77,-93,4.63,1265,"Par5Performance",2006
90,90,"Alex Cejka",93,-92,4.7,1515,"Par5Performance",2006
90,90,"Brandt Jobe",91,-92,4.69,1500,"Par5Performance",2006
90,90,"Shigeki Maruyama",94,-92,4.69,1495,"Par5Performance",2006
93,93,"Brent Geiberger",99,-91,4.71,1570,"Par5Performance",2006
93,93,"Geoff Ogilvy",76,-91,4.61,1180,"Par5Performance",2006
93,93,"Wes Short Jr",96,-91,4.71,1570,"Par5Performance",2006
93,93,"Joey Sindelar",90,-91,4.71,1560,"Par5Performance",2006
97,97,"Aaron Baddeley",78,-90,4.64,1255,"Par5Performance",2006
97,97,"KJ Choi",93,-90,4.7,1480,"Par5Performance",2006
97,97,"Chris Couch",75,-90,4.65,1275,"Par5Performance",2006
97,97,"Robert Garrigus",85,-90,4.69,1435,"Par5Performance",2006
97,97,"Dudley Hart",83,-90,4.66,1310,"Par5Performance",2006
