"OfficialWorldGolfRanking_RANKTHISWEEK_2012","OfficialWorldGolfRanking_RANKLASTWEEK_2012","OfficialWorldGolfRanking_PLAYERNAME_2012","OfficialWorldGolfRanking_EVENTS_2012","OfficialWorldGolfRanking_AVGPOINTS_2012","OfficialWorldGolfRanking_TOTALPOINTS_2012","OfficialWorldGolfRanking_POINTSLOST_2012","OfficialWorldGolfRanking_POINTSGAINED_2012","OfficialWorldGolfRanking_COUNTRY_2012","stat_name","year"
1,1,"Rory McIlroy",47,13.22,621.31,-364.27,596.99,NA,"OfficialWorldGolfRanking",2012
2,2,"Luke Donald",51,8.62,439.74,-447.49,345.77,NA,"OfficialWorldGolfRanking",2012
3,3,"Tiger Woods",40,8.53,341.31,-172.24,369.87,NA,"OfficialWorldGolfRanking",2012
4,4,"Justin Rose",52,6.42,333.73,-210.39,337.66,NA,"OfficialWorldGolfRanking",2012
5,5,"Adam Scott",42,6.21,260.71,-212.63,215.02,NA,"OfficialWorldGolfRanking",2012
6,6,"Louis Oosthuizen",52,6.14,319.27,-179.83,334.85,NA,"OfficialWorldGolfRanking",2012
7,7,"Lee Westwood",52,6.03,313.71,-320.61,271.5,NA,"OfficialWorldGolfRanking",2012
8,8,"Bubba Watson",49,5.29,259.43,-213.58,288.71,NA,"OfficialWorldGolfRanking",2012
9,9,"Jason Dufner",51,5.29,269.85,-158.75,267.95,NA,"OfficialWorldGolfRanking",2012
10,10,"Brandt Snedeker",52,5.23,271.71,-162.96,267.89,NA,"OfficialWorldGolfRanking",2012
11,11,"Webb Simpson",50,5.13,256.37,-217.61,202.01,NA,"OfficialWorldGolfRanking",2012
12,13,"Ian Poulter",51,5,254.89,-171.42,232.12,NA,"OfficialWorldGolfRanking",2012
13,12,"Keegan Bradley",52,5,259.85,-157.1,241.47,NA,"OfficialWorldGolfRanking",2012
14,14,"Charl Schwartzel",52,4.9,254.7,-222.23,205.41,NA,"OfficialWorldGolfRanking",2012
15,15,"Graeme McDowell",52,4.81,250.1,-245.16,252.31,NA,"OfficialWorldGolfRanking",2012
16,16,"Sergio Garcia",49,4.73,231.99,-148.07,194.26,NA,"OfficialWorldGolfRanking",2012
17,17,"Phil Mickelson",49,4.69,229.87,-213.24,232.79,NA,"OfficialWorldGolfRanking",2012
18,18,"Steve Stricker",41,4.65,190.6,-204.57,176.69,NA,"OfficialWorldGolfRanking",2012
19,19,"Peter Hanson",52,4.59,238.89,-148.72,234.55,NA,"OfficialWorldGolfRanking",2012
20,20,"Nick Watney",52,4.54,235.98,-203.14,200.84,NA,"OfficialWorldGolfRanking",2012
21,21,"Matt Kuchar",51,4.44,226.34,-246.1,218.05,NA,"OfficialWorldGolfRanking",2012
22,22,"Bo Van Pelt",52,4.41,229.29,-159.96,206.94,NA,"OfficialWorldGolfRanking",2012
23,23,"Dustin Johnson",48,4.36,209.22,-230.23,170.53,NA,"OfficialWorldGolfRanking",2012
24,24,"Ernie Els",52,4.34,225.54,-155.4,252.88,NA,"OfficialWorldGolfRanking",2012
25,25,"Zach Johnson",50,4.25,212.34,-159.94,217.6,NA,"OfficialWorldGolfRanking",2012
26,26,"Hunter Mahan",52,3.85,200.39,-212.04,209.85,NA,"OfficialWorldGolfRanking",2012
27,27,"Jim Furyk",52,3.83,198.95,-146.66,209.36,NA,"OfficialWorldGolfRanking",2012
28,28,"Martin Kaymer",52,3.67,190.65,-274.42,131,NA,"OfficialWorldGolfRanking",2012
29,29,"Paul Lawrie",50,3.53,176.42,-97.44,187.32,NA,"OfficialWorldGolfRanking",2012
30,30,"Francesco Molinari",52,3.42,177.62,-167.98,181.16,NA,"OfficialWorldGolfRanking",2012
31,31,"Rickie Fowler",51,3.37,171.84,-161.56,157.73,NA,"OfficialWorldGolfRanking",2012
32,32,"Carl Pettersson",52,3.34,173.51,-103.64,197.08,NA,"OfficialWorldGolfRanking",2012
33,33,"Gonzalo Fdez Castano",40,3.31,132.52,-82.57,97.76,NA,"OfficialWorldGolfRanking",2012
34,34,"Branden Grace",52,3.17,164.58,-65.55,197.4,NA,"OfficialWorldGolfRanking",2012
35,35,"Bill Haas",52,3.12,162.23,-172.45,149.3,NA,"OfficialWorldGolfRanking",2012
36,36,"Nicolas Colsaerts",52,3.1,161.3,-99.57,169.52,NA,"OfficialWorldGolfRanking",2012
37,37,"Jason Day",44,2.89,127.08,-195.35,79.01,NA,"OfficialWorldGolfRanking",2012
38,38,"John Senden",52,2.85,148.11,-128.55,118.23,NA,"OfficialWorldGolfRanking",2012
39,39,"Robert Garrigus",52,2.84,147.57,-89.4,161.44,NA,"OfficialWorldGolfRanking",2012
40,40,"Ryan Moore",48,2.76,132.59,-106.82,123.72,NA,"OfficialWorldGolfRanking",2012
41,42,"Scott Piercy",52,2.71,141.12,-56.69,141.23,NA,"OfficialWorldGolfRanking",2012
42,41,"David Toms",44,2.68,118.09,-144.13,87.21,NA,"OfficialWorldGolfRanking",2012
43,43,"Hiroyuki Fujita",52,2.64,137.44,-102.3,122.29,NA,"OfficialWorldGolfRanking",2012
44,44,"Matteo Manassero",52,2.59,134.77,-106.99,132.29,NA,"OfficialWorldGolfRanking",2012
45,45,"Thomas Bjorn",47,2.52,118.55,-134.84,92.01,NA,"OfficialWorldGolfRanking",2012
46,46,"David Lynn",48,2.42,116.26,-71.97,103.04,NA,"OfficialWorldGolfRanking",2012
47,47,"Jamie Donaldson",47,2.39,112.41,-77.86,103.53,NA,"OfficialWorldGolfRanking",2012
48,48,"KJ Choi",52,2.3,119.52,-182.66,69.16,NA,"OfficialWorldGolfRanking",2012
49,49,"George Coetzee",52,2.27,117.84,-80.3,104.6,NA,"OfficialWorldGolfRanking",2012
50,51,"Thorbjorn Olesen",52,2.2,114.27,-61.81,117.78,NA,"OfficialWorldGolfRanking",2012
51,50,"Geoff Ogilvy",48,2.18,104.69,-128.47,80.02,NA,"OfficialWorldGolfRanking",2012
52,52,"Shane Lowry",50,2.15,107.71,-52.71,86.32,NA,"OfficialWorldGolfRanking",2012
53,57,"Henrik Stenson",52,2.14,111.08,-48.08,117.44,NA,"OfficialWorldGolfRanking",2012
54,54,"Miguel Angel Jimenez",52,2.13,111.01,-138.18,91.56,NA,"OfficialWorldGolfRanking",2012
55,55,"Marcus Fraser",52,2.13,110.88,-66.46,91.2,NA,"OfficialWorldGolfRanking",2012
56,53,"Alexander Noren",52,2.13,110.79,-87.83,85.96,NA,"OfficialWorldGolfRanking",2012
57,56,"Richie Ramsay",52,2.13,110.75,-68.46,92.68,NA,"OfficialWorldGolfRanking",2012
58,58,"Rafa Cabrera Bello",52,2.12,110.2,-86.31,122.3,NA,"OfficialWorldGolfRanking",2012
59,59,"Padraig Harrington",52,2.09,108.42,-96.16,110.56,NA,"OfficialWorldGolfRanking",2012
60,61,"Marcel Siem",52,2.08,108.03,-51.09,120.55,NA,"OfficialWorldGolfRanking",2012
61,60,"Anders Hansen",49,2.06,101.02,-131.97,71.07,NA,"OfficialWorldGolfRanking",2012
62,62,"Freddie Jacobson",45,2.05,92.12,-114.37,49.39,NA,"OfficialWorldGolfRanking",2012
63,63,"Simon Dyson",52,2.02,105.12,-132.2,54.97,NA,"OfficialWorldGolfRanking",2012
64,64,"Greg Chalmers",52,2.02,104.94,-83.57,69.89,NA,"OfficialWorldGolfRanking",2012
65,66,"Bernd Wiesberger",52,2.01,104.77,-54.45,100.28,NA,"OfficialWorldGolfRanking",2012
66,65,"John Huh",41,2.01,82.54,-32.95,104.15,NA,"OfficialWorldGolfRanking",2012
67,67,"Bud Cauley",40,2,80.04,-33.55,84.67,NA,"OfficialWorldGolfRanking",2012
68,68,"Kevin Na",52,1.99,103.53,-108.32,104.31,NA,"OfficialWorldGolfRanking",2012
69,71,"Thaworn Wiratchant",52,1.99,103.34,-47.38,100.43,NA,"OfficialWorldGolfRanking",2012
70,69,"Sangmoon Bae",52,1.99,103.29,-107.87,72.46,NA,"OfficialWorldGolfRanking",2012
71,70,"Martin Laird",51,1.97,100.6,-152.04,103.34,NA,"OfficialWorldGolfRanking",2012
72,72,"KT Kim",52,1.95,101.49,-149.96,66.09,NA,"OfficialWorldGolfRanking",2012
73,73,"Brendan Jones",45,1.91,86.14,-68.89,80.4,NA,"OfficialWorldGolfRanking",2012
74,74,"Jonas Blixt",47,1.89,88.75,-33.22,83.29,NA,"OfficialWorldGolfRanking",2012
75,75,"Ryo Ishikawa",52,1.88,97.81,-128.17,93.46,NA,"OfficialWorldGolfRanking",2012
76,76,"Kyle Stanley",52,1.86,96.87,-79.4,112.59,NA,"OfficialWorldGolfRanking",2012
77,78,"Toru Taniguchi",49,1.82,89.12,-78.7,61.78,NA,"OfficialWorldGolfRanking",2012
78,77,"Aaron Baddeley",49,1.8,88.39,-125.57,66.05,NA,"OfficialWorldGolfRanking",2012
79,79,"Kristoffer Broberg",40,1.8,71.89,-3.76,75.64,NA,"OfficialWorldGolfRanking",2012
80,82,"Thongchai Jaidee",52,1.76,91.32,-63.22,92.67,NA,"OfficialWorldGolfRanking",2012
81,80,"Ben Crane",49,1.74,85.32,-118.9,80.89,NA,"OfficialWorldGolfRanking",2012
82,81,"Vijay Singh",52,1.73,90.2,-96.74,77.61,NA,"OfficialWorldGolfRanking",2012
