"GIRPercentagefromFairway_RANKTHISWEEK_2015","GIRPercentagefromFairway_RANKLASTWEEK_2015","GIRPercentagefromFairway_PLAYERNAME_2015","GIRPercentagefromFairway_ROUNDS_2015","GIRPercentagefromFairway_Pct_2015","GIRPercentagefromFairway_GREENSHIT_2015","GIRPercentagefromFairway_OFHOLES_2015","stat_name","year"
1,1,"Adam Scott",51,84.86,342,403,"GIRPercentagefromFairway",2015
2,2,"Jim Herman",88,83.13,685,824,"GIRPercentagefromFairway",2015
3,3,"Stewart Cink",77,82.42,511,620,"GIRPercentagefromFairway",2015
4,4,"Paul Casey",87,82.05,608,741,"GIRPercentagefromFairway",2015
5,5,"Charles Howell III",105,81.49,625,767,"GIRPercentagefromFairway",2015
6,6,"Brooks Koepka",84,81.47,532,653,"GIRPercentagefromFairway",2015
7,7,"Harris English",105,81.44,680,835,"GIRPercentagefromFairway",2015
8,8,"Alex Prugh",84,81.33,562,691,"GIRPercentagefromFairway",2015
9,9,"Lucas Glover",79,81.2,570,702,"GIRPercentagefromFairway",2015
10,10,"Robert Streb",110,81.15,749,923,"GIRPercentagefromFairway",2015
11,11,"Justin Rose",69,81.14,482,594,"GIRPercentagefromFairway",2015
11,11,"Bo Van Pelt",81,81.14,542,668,"GIRPercentagefromFairway",2015
13,13,"Russell Knox",96,81.1,738,910,"GIRPercentagefromFairway",2015
14,14,"JJ Henry",94,81.08,613,756,"GIRPercentagefromFairway",2015
15,15,"Michael Putnam",87,80.99,588,726,"GIRPercentagefromFairway",2015
16,16,"Jason Dufner",76,80.38,557,693,"GIRPercentagefromFairway",2015
17,17,"Tyrone Van Aswegen",58,80.35,323,402,"GIRPercentagefromFairway",2015
18,18,"Jordan Spieth",91,80.26,622,775,"GIRPercentagefromFairway",2015
19,19,"Sergio Garcia",59,80.25,378,471,"GIRPercentagefromFairway",2015
20,20,"Seung Yul Noh",65,80.24,402,501,"GIRPercentagefromFairway",2015
21,21,"Russell Henley",87,80.21,612,763,"GIRPercentagefromFairway",2015
22,22,"Byron Smith",59,80.04,357,446,"GIRPercentagefromFairway",2015
23,23,"Martin Flores",95,80,576,720,"GIRPercentagefromFairway",2015
24,24,"JB Holmes",89,79.91,517,647,"GIRPercentagefromFairway",2015
25,25,"Francesco Molinari",56,79.9,457,572,"GIRPercentagefromFairway",2015
26,26,"Charley Hoffman",97,79.84,610,764,"GIRPercentagefromFairway",2015
27,27,"Daniel Berger",97,79.83,657,823,"GIRPercentagefromFairway",2015
28,28,"Bubba Watson",71,79.81,427,535,"GIRPercentagefromFairway",2015
29,29,"Hideki Matsuyama",95,79.76,662,830,"GIRPercentagefromFairway",2015
30,30,"Jim Furyk",71,79.71,495,621,"GIRPercentagefromFairway",2015
31,31,"Whee Kim",71,79.69,463,581,"GIRPercentagefromFairway",2015
32,32,"Jimmy Walker",89,79.62,504,633,"GIRPercentagefromFairway",2015
33,33,"Greg Owen",58,79.42,386,486,"GIRPercentagefromFairway",2015
34,34,"Scott Pinckney",88,79.36,592,746,"GIRPercentagefromFairway",2015
35,35,"Louis Oosthuizen",68,79.35,415,523,"GIRPercentagefromFairway",2015
36,36,"Henrik Stenson",63,79.32,468,590,"GIRPercentagefromFairway",2015
37,37,"Scott Stallings",60,79.18,384,485,"GIRPercentagefromFairway",2015
38,38,"Patrick Reed",103,79.13,603,762,"GIRPercentagefromFairway",2015
39,39,"Jason Day",75,79.12,451,570,"GIRPercentagefromFairway",2015
40,40,"Patrick Rodgers",57,79.1,333,421,"GIRPercentagefromFairway",2015
41,41,"Rory Sabbatini",81,79.09,537,679,"GIRPercentagefromFairway",2015
42,42,"Billy Horschel",99,79.05,668,845,"GIRPercentagefromFairway",2015
43,43,"Tom Hoge",83,79.04,513,649,"GIRPercentagefromFairway",2015
44,44,"Carlos Ortiz",100,79,632,800,"GIRPercentagefromFairway",2015
45,45,"Lee Westwood",56,78.95,345,437,"GIRPercentagefromFairway",2015
46,46,"Brendan Steele",88,78.94,566,717,"GIRPercentagefromFairway",2015
47,47,"Justin Thomas",106,78.93,678,859,"GIRPercentagefromFairway",2015
47,47,"Mark Wilson",89,78.93,603,764,"GIRPercentagefromFairway",2015
49,49,"Keegan Bradley",87,78.87,601,762,"GIRPercentagefromFairway",2015
50,50,"Spencer Levin",99,78.86,735,932,"GIRPercentagefromFairway",2015
51,51,"Robert Allenby",63,78.81,409,519,"GIRPercentagefromFairway",2015
52,52,"Will Wilcox",58,78.68,406,516,"GIRPercentagefromFairway",2015
53,53,"Dustin Johnson",75,78.65,442,562,"GIRPercentagefromFairway",2015
54,54,"Nick Watney",91,78.63,607,772,"GIRPercentagefromFairway",2015
55,55,"Andres Gonzales",90,78.56,546,695,"GIRPercentagefromFairway",2015
56,56,"Kevin Streelman",95,78.51,687,875,"GIRPercentagefromFairway",2015
57,57,"Matt Kuchar",97,78.42,654,834,"GIRPercentagefromFairway",2015
58,58,"Bill Haas",89,78.4,599,764,"GIRPercentagefromFairway",2015
59,59,"Brice Garnett",81,78.37,529,675,"GIRPercentagefromFairway",2015
60,60,"Chad Campbell",97,78.18,695,889,"GIRPercentagefromFairway",2015
61,61,"Bill Lunde",50,78.13,318,407,"GIRPercentagefromFairway",2015
62,62,"Hunter Mahan",88,78.12,532,681,"GIRPercentagefromFairway",2015
63,63,"Ryan Palmer",80,78.11,471,603,"GIRPercentagefromFairway",2015
64,64,"Chez Reavie",56,78.04,437,560,"GIRPercentagefromFairway",2015
65,65,"Ben Martin",93,78.02,646,828,"GIRPercentagefromFairway",2015
66,66,"Martin Laird",77,77.99,489,627,"GIRPercentagefromFairway",2015
67,67,"Danny Lee",120,77.94,834,1070,"GIRPercentagefromFairway",2015
68,68,"Cameron Percy",72,77.89,458,588,"GIRPercentagefromFairway",2015
69,69,"Vijay Singh",78,77.88,507,651,"GIRPercentagefromFairway",2015
70,70,"Tony Finau",106,77.81,624,802,"GIRPercentagefromFairway",2015
71,71,"Padraig Harrington",60,77.8,340,437,"GIRPercentagefromFairway",2015
72,72,"Shawn Stefani",94,77.74,632,813,"GIRPercentagefromFairway",2015
72,72,"Gary Woodland",81,77.74,454,584,"GIRPercentagefromFairway",2015
74,74,"Boo Weekley",79,77.73,541,696,"GIRPercentagefromFairway",2015
75,75,"David Hearn",97,77.7,676,870,"GIRPercentagefromFairway",2015
76,76,"Hudson Swafford",97,77.68,651,838,"GIRPercentagefromFairway",2015
77,77,"Steven Bowditch",103,77.62,607,782,"GIRPercentagefromFairway",2015
78,78,"Scott Piercy",90,77.48,578,746,"GIRPercentagefromFairway",2015
79,79,"Graham DeLaet",65,77.39,462,597,"GIRPercentagefromFairway",2015
80,80,"Marc Leishman",74,77.34,413,534,"GIRPercentagefromFairway",2015
81,81,"Ian Poulter",68,77.33,440,569,"GIRPercentagefromFairway",2015
82,82,"Pat Perez",96,77.3,681,881,"GIRPercentagefromFairway",2015
83,83,"Mark Hubbard",79,77.22,549,711,"GIRPercentagefromFairway",2015
84,84,"Kyle Reifers",96,77.19,609,789,"GIRPercentagefromFairway",2015
85,85,"Blayne Barber",76,77.17,507,657,"GIRPercentagefromFairway",2015
86,86,"Aaron Baddeley",76,77.12,401,520,"GIRPercentagefromFairway",2015
86,86,"Johnson Wagner",68,77.12,455,590,"GIRPercentagefromFairway",2015
88,88,"Adam Hadwin",95,77.07,652,846,"GIRPercentagefromFairway",2015
89,89,"Roberto Castro",54,77.02,352,457,"GIRPercentagefromFairway",2015
90,90,"Jamie Donaldson",50,76.94,307,399,"GIRPercentagefromFairway",2015
91,91,"Ryo Ishikawa",90,76.91,533,693,"GIRPercentagefromFairway",2015
92,92,"Geoff Ogilvy",50,76.9,313,407,"GIRPercentagefromFairway",2015
92,92,"Jhonattan Vegas",90,76.9,516,671,"GIRPercentagefromFairway",2015
